阴平[1]55 阳平[2]212 上[3]53 去[5]24
#ɿ
ts [1]知支枝肢之芝脂资咨兹滋只 [2]汁直值殖植质执侄织职掷置  [3]旨指只纸止址子紫梓姊 [5]自志痣痔制智稚至致治字蛰
tsʰ  [1]摛痴差{参~}□{擦：~干：~丢}[2]慈磁糍池驰持尺迟赤吃{文}斥雌瓷词祠辞  [3]此侈耻齿 [5]次秩翅刺赐
s [1]诗尸思斯撕私丝师狮施 [2]时拾湿失实室食蚀石识适释  [3]始史使死屎 [5]四肆是示视世逝誓势士仕市饰式试轼寺恃侍似祀嗜
z [2]日

#i
p [1]逼{白} [2]逼{文}笔鼻壁璧碧臂毕   [3]比彼 [5]备闭避敝弊庇毙被篦蓖币
pʰ [1]戾 [2]皮疲痹枇琵匹辟僻劈霹劈霹  [3]鄙痞 [5]屁□{差：∽得很}
m [1]咪 [2]眉秘泌蔑密蜜迷  [3]米 [5]谜
t [1]低  [2]笛敌迪的滴嫡狄  [3]底抵诋砥 [5]地帝蒂隶逮第弟递
tʰ [1]梯锑涕剔{∽肉}[2]提题啼蹄惕堤屉踢 [3]体  [5]替剃嚏剔{挑∽}
n [2]黎梨犁离篱倪尼泥呢厘力历宜疑律历率立粒笠栗匿逆溺 [3]李你拟礼里理鲤 [5]利俐痢莉例吏丽义议腻艺
tɕ [1]机肌饥讥几{∽乎}鸡基稽脐 [2]及吸极级急辑集即鲫吉疾积绩击寂激棘迹脊籍藉戟  [3]己纪几{∽个}挤   [5]计记纪忌既季济剂继妓寄嫉祭悸
tɕʰ [1]期欺妻凄栖溪  [2]其棋旗齐奇骑祈祁七漆崎泣乞讫吃{白} [3]启起岂杞  [5]气汽弃企契
ɕ [1]希稀兮嘻犀携西牺熙晞些   [2]夕昔惜席习袭悉息媳熄锡析淅晰蟋隙   [3]洗喜写   [5]细系戏
Ø [1]衣依伊医倚   [2]移抑乙益译绎夷姨胰屹遗   [3]以已矣椅也  [5]忆亿意易异翼艺{文}仪义{文}议{文}夜

#u
p [2]不 [3]补 [5]布怖步部捕簿卜{萝~}
pʰ [1]铺{∽张}[2]卜仆扑葡蒲勃渤瀑荸{∽荠}[3]普谱甫浦脯 [5]铺{床∽}
m [1]□{∽子：呆子}[2]木沐牧目睦没穆模{∽型}[3]母拇 [5]墓暮幕慕募
f [1]俘夫肤呼敷孵{∽化}   [2]壶狐扶乎弗佛伏胡湖糊忽复腹服福幅拂核{桃∽}符  [3]腐虎斧釜浒府辅抚   [5]富付副赴附妇户戽沪护赋互讣{文}
t [1]都{首∽}[2]独督读犊渎毒厾{∽底，碗∽} [3]赌堵肚{∽子}  [5]杜度渡镀妒肚
tʰ [2]涂途徒突图秃   [3]土吐   [5]兔
n [1]撸  [2]卢驴庐奴录禄氯六陆戮  [3]努鲁橹卤 [5]怒路露
ts [1]朱珠株诛蛛诸猪租 [2]竹筑祝足逐烛触轴  [3]主祖组阻煮 [5]住注驻柱做著铸箸
tsʰ [1]初粗雏 [2]除出锄厨储族畜{∽牲}  [3]楚础杵处{∽理}  [5]助醋处{∽所}
