[pʰi{24}]痞
[ni{33}]疑宜谊
[ni{22}]汝
[li{55}]璃吕
[tsi{55}]支枝肢芝资知踟蜘遮之脂兹滋姿咨栀辎
[tsi{24}]姐紫纸指姊只止趾址旨楮
[tsi{42}]智稚借蔗鹧置至痔致痣志誌
[tsʰi{55}]车雌雉痴疵嗤
[tsʰi{33}]迟池驰瓷词祠饲伺持恃侍寺辞慈鹚磁糍嗣茨
[tsʰi{24}]齿始扯此耻侈矢
[tsʰi{42}]字自次治翅刺赐似厕祀巳
[si{55}]尸诗施赊佘
[si{33}]蛇时匙鲥莳
[si{24}]捨屎豕
[si{22}]社市
[si{42}]试是视示氏豉
[ȵi{55}]儿{妹～}
[ȵi{33}]而儿{～子}
[ȵi{22}]耳饵议
[ȵi{42}]二贰义仪遇{又}
[kʰi{33}]其棋期旗麒岐歧祈祁鳍奇{～怪}
[hi{55}]希稀欺熙牺兮
[hi{42}]夜
[ji{33}]娱矣
[ji{22}]以已与
[ji{42}]异易{容～}
[pu{42}]簸{～箕}
[pʰu{33}]婆菩葡脯{胸～}
[pʰu{24}]普谱浦蒲捕甫辅圃脯{果～}
[pʰu{42}]破
[mu{55}]巫诬蟆模
[mu{33}]无
[mu{22}]武舞鹉
[mu{42}]雾务墓暮慕募
[fu{55}]孵俘敷肤麸
[fu{33}]符扶芙抚
[tu{55}]都
[tu{24}]赌堵朵
[tu{42}]剁垜
[tʰu{33}]图徒途涂屠
[tʰu{24}]土
[tʰu{22}]肚
[tʰu{42}]吐杜兔妒渡镀度{风～}
[nu{33}]奴□{那，代词}
[nu{22}]努
[nu{42}]糯怒
[lu{33}]卢炉芦鸬庐驴
[lu{22}]鲁橹虏卤
[lu{42}]露路鹭
[tsu{55}]租
[tsu{24}]祖组
[tsu{42}]做
[tsʰu{55}]粗
[tsʰu{24}]娶楚础
[tsʰu{22}]坐
[tsʰu{42}]醋
[su{24}]数{～钱}
[su{42}]数{～量}
[ɬu{55}]苏酥
[ɬu{24}]锁
[ɬu{42}]漱诉素嗉
[ku{55}]姑估孤鸪辜
[ku{24}]古鼓裹股牯
[ku{42}]过固锢顾雇故
[kʰu{55}]箍
[hu{55}]呼枯乎
[hu{33}]禾壶和狐葫蝴糊湖胡鬍
[hu{24}]火苦虎浒
[hu{42}]裤库户护沪戽瓠
[u{55}]窝乌污坞
[u{42}]恶{厌～}
[pa{55}]爸巴芭疤笆
[pa{24}]把
[pa{42}]坝霸壩欛罢
[pʰa{33}]爬琶杷耙
[pʰa{42}]怕
[ma{55}]妈
[ma{33}]麻痲
[ma{22}]马码
[ma{42}]骂
[va{55}]花洼蛙挖
[va{33}]华桦铧
[va{22}]瓦
[va{42}]化话
[ta{24}]打
[tʰa{55}]他它
[na{33}]拿那
[na{24}]哪
[tsa{55}]渣楂揸
[tsa{42}]炸诈榨乍
[tsʰa{55}]岔叉杈钗汊差{～错}
[tsʰa{33}]茶搽查
[sa{55}]沙纱莎
[sa{24}]耍洒
[ȵa{55}]□{抓，拿}
[ka{55}]家傢加痂嘉
[ka{24}]贾假{真～}
[ka{42}]价嫁稼架驾假{请～}
[kʰa{55}]卡
[ŋa{55}]桠
[ŋa{33}]牙芽衙砑
[ŋa{22}]雅
[ha{55}]虾哈蝦
[ha{42}]夏厦霞下吓遐暇
[kva{55}]瓜
[kva{24}]寡剐
[kva{42}]挂卦
[kʰva{55}]夸垮跨胯
[a{55}]丫鸦阿
[a{24}]哑
[a{42}]亚
[po{55}]波菠玻坡簸{颠～}
[po{42}]播
[pʰo{33}]薄{～荷}
[pʰo{24}]颇
[pʰo{42}]破{又}
[mo{55}]摩魔蟆{又}模{又}
[mo{33}]磨{～刀}
[mo{42}]磨{石～}
[fo{42}]货
[vo{55}]莴蜗涡倭
[to{55}]多
[to{24}]躲
[to{42}]惰剁{又}垜{又}
[tʰo{55}]拖
[tʰo{33}]驼驮紽舵
[tʰo{24}]妥椭
[tʰo{42}]堕
[no{55}]□{搓}
[no{33}]挪懦
[no{42}]懦{又}
[lo{55}]啰
[lo{33}]罗锣箩萝骡螺瘰
[lo{22}]裸
[tso{24}]左佐阻
[tsʰo{55}]初搓
[tsʰo{33}]锄
[tsʰo{42}]错措助挫锉矬
[so{55}]梳疏蔬
[so{42}]傻
[ɬo{55}]蓑梭唆□{大吃}
[ɬo{24}]琐所
[ȵo{42}]□{弱}
[ko{55}]哥歌戈
[ko{24}]果
[ko{42}]个
[kʰo{55}]科棵颗蝌坷
[kʰo{42}]课
[ŋo{33}]鹅俄蛾
[ŋo{22}]我
[ŋo{42}]饿卧
[ho{55}]枯
[ho{24}]可
[o{55}]苛
[pe{55}]瘪□{粘连}
[pʰe{55}]□{颠的后缀，颠～}□{竹篾织成的一种门扇。}□{扑克}
[me{55}]□{小}
[te{55}]爹
[le{55}]□{～网即撒网}
[tsʰe{42}]谢
[tse{55}]□{乳}
[tse{24}]者
[tsʰe{33}]邪斜
[tsʰe{24}]且
[se{55}]奢
[se{42}]射麝赦舍{宿～}
[ɬe{55}]些
[ɬe{24}]写
[ɬe{42}]泄泻卸
[ȵe{22}]□{事情，东西}
[kʰe{55}]□{大枝，量词。}
[kʰe{33}]茄
[ŋe{55}]□{枝，量词}
[he{55}]靴
[je{55}]惹
[je{33}]爷椰
[je{22}]惹{又}也野
[pai{24}]摆
[pai{42}]拜
[pʰai{55}]派{～头}
[pʰai{33}]排牌簰
[pʰai{24}]派{流～}
[pʰai{42}]败派{流～，又读}
[mai{33}]埋
[mai{22}]买
[mai{42}]卖迈
[vai{55}]歪
[vai{33}]怀槐淮
[vai{42}]快块外外坏
[tai{55}]獃□{外婆叫阿～}
[tai{42}]戴带
[tʰai{55}]胎苔{舌～}
[tʰai{33}]台抬臺苔{青～}
[tʰai{42}]大太态怠贷第泰殆
[nai{55}]奶{二～}
[nai{22}]乃奶{吃～}
[nai{42}]耐奈
[lai{55}]拉
[lai{33}]来
[lai{42}]赖癞攋
[tsai{55}]灾栽斋
[tsai{24}]宰
[tsai{42}]再载寨债
[tsʰai{55}]猜差{出～}
[tsʰai{33}]财材豺才裁
[tsʰai{24}]采彩睬
[tsʰai{22}]在
[tsʰai{42}]菜蔡
[sai{33}]柴
[sai{42}]晒赛
[ɬai{55}]腮鳃
[ɬai{24}]洗徙玺
[kai{55}]街阶该佳楷皆
[kai{24}]改解{～放}
[kai{42}]盖界届戒介芥疥尬解{押～}
[kʰai{24}]凯
[kʰai{42}]概{又}溉{又}慨{又}
[ŋai{55}]呆
[ŋai{33}]涯崖
[ŋai{42}]捱
[hai{55}]开{又}
[hai{33}]鞋谐孩亥懈械
[hai{24}]海蟹
[hai{42}]害骇
[kvai{55}]乖
[kvai{42}]怪
[kʰvai{24}]拐
[kʰvai{42}]筷桧刽
[ai{55}]哀埃碍艾挨{～近}
[ai{55}]碍艾哀埃挨
[ai{24}]矮蔼
[ai{42}]爱隘
[pui{55}]杯
[pui{42}]辈背揹贝
[pʰui{55}]坯
[pʰui{24}]赔培陪焙裴
[pʰui{22}]倍
[pʰui{42}]配佩背沛
[mui{55}]枚妹{～儿}
[mui{33}]媒煤梅莓霉脢玫
[mui{22}]每
[mui{42}]妹{姐～}
[fui{24}]毁贿悔侮晦
[tui{55}]堆
[tui{42}]对兑
[tʰui{55}]推
[tʰui{33}]颓□{笨}
[tʰui{24}]腿
[tʰui{42}]退蜕
[nui{22}]女
[nui{42}]内
[lui{33}]雷擂
[lui{22}]吕旅类缕屡垒儡履累{积～}
[lui{42}]泪虑滤累{劳～}
[tsui{55}]猪诸追朱珠蛛诛株硃锥
[tsui{24}]煮主嘴
[tsui{42}]醉罪最序叙聚著注驻註蛀坠赘铸
[tsʰui{55}]吹炊蛆趋雏崔催
[tsʰui{33}]厨橱除徐槌储随髓锤垂
[tsʰui{24}]取处{～分}
[tsʰui{22}]柱拄苎
[tsʰui{42}]脆趣住翠粹淬处{到～}
[sui{55}]书输衰枢舒
[sui{33}]薯殊谁
[sui{24}]水鼠暑署
[sui{42}]睡树竖税帅絮恕戍黍
[ɬui{55}]需须虽绥荽鬚尿{口语}
[ɬui{42}]绪岁遂隧穗瑞
[ȵui{33}]鱼渔愚
[ȵui{22}]语乳蕊
[ȵui{42}]裕寓遇锐御禦
[kui{55}]居拘驹车{～马炮}
[kui{24}]举
[kui{42}]句锯
[kʰui{55}]区驱
[kʰui{33}]佢
[kʰui{24}]瞿
[kʰui{22}]距拒矩渠
[kʰui{42}]巨据俱具惧
[hui{55}]灰恢墟虚嘘
[hui{33}]回茴
[hui{24}]许
[hui{22}]雨羽宇禹
[hui{42}]去汇绘会秽
[jui{33}]余馀如儒擩豫虞愉逾榆盂
[jui{42}]预誉喻愈
[ui{55}]淤於迂于煨煨{～红薯}
[tʰɔi{42}]代袋待队{又}贷{又}
[ɬɔi{42}]碎□{鸡囊、鸭囊叫～}
[kʰɔi{42}]概溉慨丐
[hɔi{55}]开
[ŋɔi{42}]艾
[pɐi{55}]悲碑婢卑□{跛}
[pɐi{24}]比畀鄙
[pɐi{42}]闭秘泌蔽敝痹弊臂鐾陛
[pʰɐi{55}]批蓖披胚枇纰
[pʰɐi{33}]皮疲脾琵
[pʰɐi{24}]譬彼
[pʰɐi{22}]被{～子}
[pʰɐi{42}]屁备币避篦稗毙庇痱被{～动}
[mɐi{55}]妈{又}
[mɐi{33}]谜迷眉楣媚糜靡微弥
[mɐi{24}]尾
[mɐi{22}]米美
[mɐi{42}]味未昧寐
[fɐi{55}]非飞妃挥辉徽
[fɐi{33}]肥
[fɐi{24}]匪翡
[fɐi{42}]废肺吠费
[vɐi{55}]威
[vɐi{33}]围违苇纬维惟唯
[vɐi{24}]萎委
[vɐi{22}]伟
[vɐi{42}]为卫位胃谓猬慧彗畏餵慰惠讳
[tɐi{55}]低
[tɐi{24}]底抵牴
[tɐi{42}]帝蒂
[tʰɐi{55}]梯
[tʰɐi{33}]堤题提啼蹄
[tʰɐi{24}]体
[tʰɐi{22}]弟
[tʰɐi{42}]地剃递涕隶逮替屉嚏
[nɐi{33}]霓尼泥{～土}
[nɐi{22}]你尔拟
[nɐi{42}]腻泥{～子}
[lɐi{33}]梨犁黎离篱狸厘
[lɐi{24}]□{撞}
[lɐi{22}]礼里李理鲤
[lɐi{42}]荔厉励丽利蜊痢例吏
[tsɐi{55}]挤剂
[tsɐi{24}]子梓
[tsɐi{42}]济际制製祭滞
[tsʰɐi{55}]妻凄淒栖
[tsʰɐi{33}]齐脐荠
[tsʰɐi{42}]砌
[sɐi{55}]师狮筛蛳
[sɐi{24}]史驶使
[sɐi{22}]柿
[sɐi{42}]世事士仕势誓逝嗜肆{放～}
[ɬɐi{55}]西私丝思司犀斯厮撕
[ɬɐi{33}]□{眼困}
[ɬɐi{24}]死
[ɬɐi{42}]细婿四肆{数字}
