汉字	音标	注释
多	tɔ¹³	
拖	tʰɔ¹³	
驼	tʰɔ²¹	
舵	tʰɔ²ˀ²³	
大	tʰo²²	
罗	lɔ²¹	
锣	lɔ²¹	~鼓
锣	lɔ⁴ˀ⁴⁵	打~
箩	lɔ²¹	
左	tsɔ²⁴	
搓	tsʰɔ¹³	
歌	kɔ¹³	
哥	kɔ²ˀ²³	
个	ko⁴⁴	
个	ko²ˀ²³	一~钱
可	kʰɔ²⁴	
鹅	ŋɔ²¹	天~
鹅	ŋɔ⁴ˀ⁴⁵	
我	ŋɔ²⁴	
饿	ŋɔ²²	
河	hɔ²¹	
何	hɔ²¹	
荷	hɔ²¹	~花
贺	hɔ²²	
茄	kʰɔ⁴ˀ⁴⁵	
波	pɔ¹³	
菠	pɔ¹³	
簸	pɔ⁴⁴	~箕
坡	pɔ¹³	不符合古今语音演变的对应规律
玻	pɔ¹³	不符合古今语音演变的对应规律
破	pʰɔ⁴⁴	
婆	pʰɔ²¹	老姑~
婆	pʰɔ⁴ˀ⁴⁵	两公~
魔	mɔ¹³	不符合古今语音演变的对应规律
磨	mɔ²¹	~刀
磨	mɔ²²	~石
磨	mɔ⁴ˀ⁴⁵	~石
朵	tɔ²⁴	
妥	tʰɔ²⁴	
糯	lɔ²²	
脶	lɔ²¹	指纹
螺	lɔ²¹	田~
螺	lɔ⁴ˀ⁴⁵	石~
坐	tsʰɔ⁴⁴	
座	tsʰɔ²²	
蓑	sɔ¹³	
锁	sɔ²⁴	
果	kɔ²⁴	
过	kɔ⁴⁴	
科	kʰɔ¹³	
课	kʰɔ⁴⁴	
卧	ŋɔ²²	
火	fʉ²⁴	
货	kʰɔ⁴⁴	
和	hɔ²¹	~气
禾	vʉ²¹	
祸	vɔ¹³	不符合古今语音演变的对应规律
窝	vɔ¹³	
靴	hɵ¹³	一般人穿
靴	hɵ⁴ˀ⁴⁵	官人穿
巴	po¹³	
疤	po²ˀ²³	
把	po²⁴	~握
霸	po⁴⁴	
把	po²⁴	柄，不符合古今语音演变的对应规律
把	po²ˀ²³	洗镬~
坝	po⁴⁴	
怕	pʰo⁴⁴	
帕	pʰo²ˀ²³	
爬	pʰo²¹	
麻	mo²¹	~pᴀŋ²⁴
麻	mo⁴ˀ⁴⁵	~嘀
马	mo⁴⁴	
骂	mo⁴⁴	不符合古今语音演变的对应规律
拿	lo²¹	
茶	tsʰo²¹	
搽	tsʰo²¹	
渣	tso¹³	
榨	tso⁴⁴	
叉	tsʰo¹³	丫~
叉	tsʰo²ˀ²³	打~
差	tsʰo¹³	~别
查	tsʰo²¹	调~
沙	so²ˀ²³	
纱	so¹³	
家	ko¹³	亲~
家	ko²ˀ²³	自~
加	ko¹³	
假	ko²⁴	真~
架	ko⁴⁴	
架	kᴀ²ˀ²³	~子
嫁	ko⁴⁴	
价	ko⁴⁴	
牙	ŋo²¹	
芽	ŋo²¹	字音
芽	ŋo⁴ˀ⁴⁵	话音
雅	ŋo²¹	不符合古今语音演变的对应规律
虾	ho¹³	
霞	ho²¹	
下	ho²²	~昼
下	ho²ˀ²³	底~
下	ho⁴ˀ⁴⁵	一~
下	ho⁴⁴	~山，不符合古今语音演变的对应规律
哑	o²⁴	
亚	o⁴⁴	
姐	tsiᴀ²⁴	契~
姐	tsəe²⁴	不符合古今语音演变的对应规律
借	tsiᴀ⁴⁴	
且	tsʰiᴀ²⁴	
写	siᴀ²⁴	
泻	siᴀ⁴⁴	
邪	tsʰiᴀ²¹	
斜	tsʰiᴀ²¹	
谢	tsʰiᴀ²²	
遮	tsiᴀ¹³	
者	tsiᴀ²⁴	
蔗	tsiᴀ²ˀ²³	
车	tsʰiᴀ¹³	~马
扯	tsʰiᴀ²⁴	
蛇	siᴀ²¹	
蛇	siᴀ⁴ˀ⁴⁵	偷檐~
赊	siᴀ¹³	
舍	siᴀ²⁴	~得
社	siᴀ⁴⁴	
惹	ŋiᴀ⁴⁴	
爷	jo²¹	姑~
爷	jo⁴ˀ⁴⁵	契~
野	jo⁴⁴	
夜	jo²²	
瓜	ko¹³	冬~
瓜	ko²ˀ²³	黄~
寡	ko²⁴	
夸	kʰᴀ¹³	
垮	kʰᴀ¹³	不符合古今语音演变的对应规律
跨	kʰᴀ¹³	不符合古今语音演变的对应规律
瓦	ŋo⁴⁴	
花	fo¹³	
花	fo²ˀ²³	演眼~
化	fo⁴⁴	
华	fo²¹	中~
划	vᴀ³	~船，字音，不符合古今语音演变的对应规律
蛙	vᴀ¹³	
补	pʉ²⁴	
布	pʉ⁴⁴	
铺	pʰʉ¹³	~设
普	pʰʉ²⁴	
铺	pʰʉ²ˀ²³	店~
菩	pʰʉ²¹	~萨
部	pʰʉ²²	
簿	pʰʉ²²	
步	pʰʉ²²	
模	mʉ²¹	~子
墓	mʉ²²	
都	tʉ¹³	首~
赌	tʉ²⁴	
肚	tʰʉ²ˀ²³	猪~
土	tʰʉ²⁴	
兔	tʰʉ⁴⁴	
徒	tʰʉ²¹	
涂	tʰʉ²¹	
图	tʰʉ²¹	
杜	tʉ⁴⁴	不符合古今语音演变的对应规律
肚	tʉ⁴⁴	~脐
肚	tʉ²⁴	~屎
度	tʰʉ²²	
奴	lʉ²¹	
努	lʉ²⁴	
卢	lʉ²¹	
炉	lʉ²¹	
炉	lʉ⁴ˀ⁴⁵	~嘀
鲁	lʉ⁴⁴	
卤	lʉ⁴⁴	
路	lʉ²²	器物的痕迹
路	lʉ⁴ˀ⁴⁵	
露	lʉ²²	
租	tsʉ¹³	
祖	tsʉ²⁴	
做	tsɿ⁴⁴	不符合古今语音演变的对应规律
粗	tsʰʉ¹³	
醋	tsʰʉ⁴⁴	
错	tsʰɔ⁴⁴	~误，不符合古今语音演变的对应规律
苏	sʉ¹³	
素	sʉ⁴⁴	
姑	kʉ¹³	~爷
姑	kʉ²ˀ²³	细~
孤	kʉ¹³	
箍	kʉ¹³	动词，不符合古今语音演变的对应规律
箍	kʰʉ²ˀ²³	
古	kʉ²⁴	
鼓	kʉ²⁴	
故	kʉ⁴⁴	
顾	kʉ⁴⁴	
枯	kʉ¹³	不符合古今语音演变的对应规律
苦	fʉ²⁴	味~
苦	kʰʉ²⁴	辛~
库	kʰʉ⁴⁴	
裤	kʰʉ⁴⁴	
吴	m̩²¹	
五	m̩⁴⁴	
误	ŋʉ²²	
呼	fʉ¹³	
虎	fʉ²⁴	
戽	fʉ⁴⁴	
胡	fʉ²¹	姓~
湖	fʉ²¹	
胡	vʉ²¹	~须
户	fʉ²²	
互	fʉ²²	
护	fʉ²²	
乌	vʉ¹³	
女	loe⁴⁴	崽~
女	loe²ˀ²³	孙~
吕	loe⁴⁴	
旅	loe²ˀ²³	
徐	tsʰʉ²¹	
序	sʉ²²	
猪	tsʉ¹³	
著	tsʉ⁴⁴	
除	tsʰʉ²¹	
苎	tsʰʉ⁴⁴	~麻
阻	tsɔ²⁴	
初	tsʰɔ¹³	
楚	tsʰɔ²⁴	清~
楚	tsʰᴀu²⁴	~国
锄	tsʰɔ²¹	
助	tsʰɔ²²	
梳	sɔ¹³	动词
梳	sɔ²ˀ²³	名词
蔬	sɔ¹³	
所	sɔ²⁴	
诸	tsʉ¹³	
煮	tsʉ²⁴	
处	tsʰʉ⁴⁴	~所
书	sʉ¹³	
舒	sʉ¹³	
鼠	sʉ²⁴	
薯	sʉ²¹	红~，不符合古今语音演变的对应规律
如	jʉ²¹	
如	jɿ²¹	~ki²ˀ²³，不符合古今语音演变的对应规律
居	kʉ¹³	
车	kʉ¹³	~马炮
举	kʉ²⁴	
锯	kʉ⁴⁴	动词
锯	kʉ²ˀ²³	名词
去	hoe²¹	不符合古今语音演变的对应规律
去	hi⁴⁴	
渠	kʰʉ²¹	
巨	kʰʉ²²	
距	kʰʉ⁴⁴	
鱼	ŋʉ²¹	字音
鱼	ŋʉ⁴ˀ⁴⁵	鲤~
语	ŋʉ⁴⁴	
虚	hʉ¹³	
许	hʉ²⁴	
余	jʉ²¹	
预	jʉ²²	
肤	fʉ¹³	
府	fʉ²⁴	
斧	pʉ²⁴	~头
斧	fʉ²⁴	字音
傅	fʉ¹³	不符合古今语音演变的对应规律
符	fʉ²¹	
扶	pʰʉ²¹	话音
扶	fʉ²¹	字音
腐	fʉ²²	
辅	fʉ²²	
附	fʉ²²	
无	vʉ²¹	
舞	mʉ⁴⁴	
武	mʉ⁴⁴	
务	mʉ²²	
雾	mʉ²²	
屡	loe²ˀ²³	
取	tsʰoe²⁴	
娶	tsʰoe²⁴	
趣	tsʰoe⁴⁴	
聚	tsʰoe²²	
须	soe¹³	胡~
需	soe¹³	
株	tsʉ¹³	
驻	tsʉ⁴⁴	
厨	tsʰʉ²¹	
柱	tsʰʉ⁴⁴	
住	tsʰʉ²²	
数	sʉ²ˀ²³	名词
朱	tsʉ¹³	
珠	tsʉ¹³	
主	tsʉ²⁴	
注	tsʉ⁴⁴	
输	sʉ¹³	
殊	sʉ²¹	
竖	sʉ²²	
树	sʉ⁴ˀ⁴⁵	
儒	jʉ²¹	
拘	kʰʉ¹³	不符合古今语音演变的对应规律
句	kʉ⁴⁴	
区	kʰʉ¹³	
具	kʰʉ²²	
愚	jʉ²¹	
娱	jʉ²¹	
遇	jʉ²²	
雨	jʉ²⁴	
羽	jʉ²²	不符合古今语音演变的对应规律
芋	vʉ²²	
愉	jʉ²²	不符合古今语音演变的对应规律
裕	jʉ²²	
戴	to⁴⁴	不符合古今语音演变的对应规律
胎	tʰʉ¹³	
态	tʰo⁴⁴	不符合古今语音演变的对应规律
贷	tʰʉ²²	不符合古今语音演变的对应规律
台	tʰʉ²¹	
待	tʰʉ²²	
代	tʰʉ²²	
袋	tʰʉ²²	
耐	loe²²	
来	lᴀ²¹	
灾	tsᴀ¹³	
栽	tsoe¹³	
宰	tsoe²⁴	
再	tsoe⁴⁴	
彩	tsʰoe²⁴	
菜	tsʰʉ⁴⁴	青~
菜	tsʰʉ²ˀ²³	韭~
财	tsʰʉ²¹	
裁	tsʰʉ²¹	
在	tsʰʉ²²	
鳃	soe¹³	
赛	tsʰoe⁴⁴	不符合古今语音演变的对应规律
该	kʉ¹³	
改	kʉ²⁴	
概	kʰoe⁴⁴	不符合古今语音演变的对应规律
开	hʉ¹³	
碍	ŋʉ²²	
海	hʉ²⁴	
亥	hʉ²⁴	不符合古今语音演变的对应规律
哀	oe¹³	
爱	ʉ⁴⁴	
贝	poe⁴⁴	
带	to⁴⁴	动词
带	to²ˀ²³	名词
太	tʰo⁴⁴	
泰	tʰo⁴⁴	
大	tʰo²²	~夫
赖	lo²²	
蔡	tsʰoe⁴⁴	
盖	kʉ⁴⁴	动词
盖	kʉ²ˀ²³	名词
艾	ŋʉ²²	
害	hʉ²²	
拜	pᴀ⁴⁴	
排	pʰᴀ²¹	
排	pʰᴀ⁴ˀ⁴⁵	竹~
埋	mᴀ²¹	
斋	tsᴀ¹³	
豺	tsʰᴀ²¹	
阶	kᴀ¹³	
介	kᴀ⁴⁴	
界	kᴀ⁴⁴	
戒	kᴀ⁴⁴	
楷	kᴀ¹³	不符合古今语音演变的对应规律
械	hᴀi²²	
挨	ᴀ¹³	~着
摆	pᴀ²⁴	
派	pʰᴀ⁴⁴	
牌	pʰᴀ⁴ˀ⁴⁵	
稗	pʰᴀ²²	
买	mᴀ⁴⁴	
卖	mᴀ²²	
奶	lᴀŋ⁴ˀ⁴⁵	不符合古今语音演变的对应规律
债	tsᴀ⁴⁴	
差	tsʰᴀ¹³	出~
柴	tsʰᴀ²¹	
筛	sɵ¹³	动词，不符合古今语音演变的对应规律
筛	sɵ²ˀ²³	名词，不符合古今语音演变的对应规律
洒	sᴀ²⁴	
洒	sᴀ⁴ˀ⁴⁵	微微~~
晒	sᴀ⁴⁴	
佳	kᴀ¹³	
街	kᴀ¹³	
解	kᴀ²⁴	
鞋	hᴀ⁴ˀ⁴⁵	
蟹	hᴀ²⁴	不符合古今语音演变的对应规律
矮	ᴀ²⁴	
败	pʰo²²	
寨	tsʰᴀ²²	
币	pʰoe²²	
毙	poe⁴⁴	不符合古今语音演变的对应规律
例	ləe²²	
例	lᴀ⁴ˀ⁴⁵	
际	tsəe⁴⁴	
祭	tsəe⁴⁴	
制	tsei⁴⁴	
世	sɿ⁴⁴	
势	siᴀ²²	不符合古今语音演变的对应规律
誓	siᴀ²²	
艺	ŋei²²	
闭	poe⁴⁴	
批	pʰᴀ¹³	
迷	moe²¹	
米	mᴀ⁴⁴	
低	tᴀ¹³	
堤	tʰᴀ²¹	不符合古今语音演变的对应规律
底	tᴀ²⁴	~下
底	tᴀ²ˀ²³	背~
帝	təe⁴⁴	
梯	tʰᴀ¹³	
体	tʰᴀi²⁴	
替	tʰᴀ⁴⁴	
剃	tʰᴀ⁴⁴	
题	tʰᴀ²¹	
提	tʰiᴀ²¹	话音，不符合古今语音演变的对应规律
提	tʰᴀ²¹	字音
弟	tʰᴀ²ˀ²³	
弟	tʰᴀi²²	徒~
第	tʰəe²²	
泥	lᴀ²¹	
犁	lᴀ²¹	
礼	ləe⁴⁴	
丽	ləe²²	
挤	tsəe¹³	不符合古今语音演变的对应规律
济	tsəe⁴⁴	
妻	tsʰəe¹³	
齐	tsʰᴀ²¹	
脐	tsʰəe⁴ˀ⁴⁵	
西	sᴀ¹³	~瓜
西	sie²ˀ²³	东~
洗	sᴀ²⁴	
细	sᴀ⁴⁴	
鸡	kie¹³	
计	kei⁴⁴	
继	ki⁴⁴	
启	kʰi²⁴	
系	hᴀi²²	~统
杯	poe¹³	
背	pʉ⁴⁴	~脊
背	pʉ²ˀ²³	~底
配	pʰoe⁴⁴	
陪	pʰʉ²¹	
赔	pʰʉ²¹	
倍	pʰoe⁴ˀ⁴⁵	
背	pʰʉ²²	~诵
佩	pʰoe⁴⁴	不符合古今语音演变的对应规律
梅	mʉ²¹	
煤	mʉ²¹	
妹	mʉ²²	~夫
妹	mʉ⁴ˀ⁴⁵	姊~
妹	mʉ²⁴	大~嘀，不符合古今语音演变的对应规律
堆	toe¹³	
对	toe⁴⁴	形容词
对	toe²ˀ²³	名词
推	tʰoe¹³	
腿	tʰoe²⁴	
退	tʰoe⁴⁴	
队	toe²ˀ²³	
内	loe²²	
雷	loe²¹	
累	loe²²	劳~
催	tsʰoe¹³	
罪	tsʰoe²²	
碎	soe⁴⁴	
碎	soe²ˀ²³	sᴀ⁵~
恢	fʉ¹³	
灰	fʉ¹³	
悔	foe⁴⁴	不符合古今语音演变的对应规律
回	foe²¹	
汇	foe²²	
兑	tʰoe²²	
最	tsoe⁴⁴	
会	foe²²	~计，不符合古今语音演变的对应规律
外	ŋʉ²²	
会	foe²²	~议
会	foe²²	不~
乖	kᴀ¹³	
怪	kᴀ⁴⁴	
块	kʰᴀ²⁴	不符合古今语音演变的对应规律
怀	fᴀi²¹	
坏	fᴀi²²	
拐	kᴀ²⁴	
挂	ko⁴⁴	
歪	vᴀi¹³	
画	fo²²	
快	kʰᴀ⁴⁴	
筷	kʰᴀ⁴⁴	
话	vo²²	动词
话	vo⁴ˀ⁴⁵	名词
脆	tsʰoe⁴⁴	
岁	soe⁴⁴	
税	soe⁴⁴	
卫	voe²²	
废	foe⁴⁴	
肺	foe⁴⁴	
桂	koe⁴⁴	
惠	foe²²	
慧	foe²²	
碑	poe¹³	
彼	pʰoe²⁴	不符合古今语音演变的对应规律
披	pʰoe¹³	
皮	pʰoe²¹	
皮	pʰoe⁴ˀ⁴⁵	信~
脾	pʰoe²¹	
被	pʰoe⁴⁴	~子
避	pʰoe⁵	不符合古今语音演变的对应规律
弥	ŋi²¹	~补
离	ləe²¹	
篱	ləe²¹	
篱	loe⁴ˀ⁴⁵	笊~，不符合古今语音演变的对应规律
荔	ləe²²	
紫	tsɿ²⁴	
此	tsʰɿ²⁴	
刺	tsʰɿ⁴⁴	
斯	sɿ¹³	
赐	tsʰɿ⁴⁴	不符合古今语音演变的对应规律
知	təe¹³	
智	tsʰɿ⁴⁴	
池	tsʰɿ²¹	
支	tsɿ¹³	
枝	tsɿ¹³	
纸	tsɿ²⁴	
只	tsɿ²⁴	~有
舐	sᴀ⁴⁴	舔
施	sɿ¹³	
是	sɿ²²	
氏	sɿ²²	
儿	jʉ²¹	
寄	ki⁴⁴	
企	kʰi⁴⁴	~业，不符合古今语音演变的对应规律
奇	kʰi²¹	
骑	kʰi²¹	
技	kʰi⁴⁴	
徛	kʰi⁴⁴	站立
宜	ŋi²¹	
蚁	ŋi²⁴	
义	ŋi²²	
议	ŋi⁴⁴	不符合古今语音演变的对应规律
牺	hi¹³	
戏	hi⁴⁴	
椅	jɿ²⁴	
移	jɿ²¹	
易	jɿ²²	难~
悲	poe¹³	
比	poe²⁴	
秘	poe⁴⁴	~书
屁	pʰoe⁴⁴	
备	pʰoe²²	
鼻	pʰoe²²	
眉	moe²¹	
美	moe⁴⁴	
地	tʰəe²²	
尼	lᴀ²¹	不符合古今语音演变的对应规律
梨	ləe²⁴	字音，不符合古今语音演变的对应规律
梨	ləe²ˀ²³	话音
利	ləe²²	
资	tsɿ¹³	
次	tsʰɿ⁴⁴	
瓷	tsʰɿ²¹	
餈	tsʰəe²¹	粽~
餈	tsʰəe⁴ˀ⁴⁵	~巴
自	sɿ²²	不符合古今语音演变的对应规律
私	sɿ¹³	
死	səe²⁴	
四	sɿ⁴⁴	
致	tsɿ⁴⁴	
迟	tsʰɿ²¹	
师	sɿ¹³	
脂	tsɿ¹³	
指	tsɿ²⁴	
指	tsɿ²ˀ²³	手~头
至	tsɿ⁴⁴	
示	sɿ⁴⁴	不符合古今语音演变的对应规律
尸	sɿ¹³	
屎	sɿ²⁴	
视	sɿ²²	
二	ŋi²²	
饥	ki¹³	
器	hi⁴⁴	
夷	jɿ²¹	
姨	jɿ²¹	
你	lei⁴⁴	
李	ləe⁴⁴	姓氏
李	ləe²⁴	水果
里	ləe⁴⁴	
里	ləe²ˀ²³	~子
理	ləe⁴⁴	
子	tsɿ²⁴	
子	tsɿ²ˀ²³	葡萄~
慈	tsʰɿ²¹	
