原文	單字	IPA轉寫
A		
A	亞打	ʔa
Ai	矮隘帝大	ʔai
Ak	軛	ʔak
Am	膽闇	ʔam
An	晏但	ʔan
Ang	等	ʔaŋ
Ap	鴨答	ʔap
At	押達	ʔat
Au	坳刀	ʔau
C		
Cha	渣	tʃa
Ch'a	詫	tʃʰa
Chai	制債	tʃai
Ch'ai	踹	tʃʰai
Chak	側澤	tʃak
Ch'ak	拆	tʃʰak
Cham	斬	tʃam
Ch'am	杉	tʃʰam
Chan	盞	tʃan
Ch'an	產	tʃʰan
Chang	爭	tʃaŋ
Ch'ang	撐	tʃʰaŋ
Chap	劄	tʃap
Ch'ap	插	tʃʰap
Chat	軋	tʃat
Ch'at	察	tʃʰat
Chau	找	tʃau
Ch'au	炒	tʃʰau
Chei	…	tʃei
Ch'ei	始	tʃei
Cheiê	者	tʃeiɐ
Ch'eiê	且	tʃʰeiɐ
Cheiêk	酌	tʃeiɐk
Ch'eiêk	綽	tʃʰeiɐk
Cheiêng	張	tʃeiɐŋ
Cheiêng	昌	tʃʰeiɐŋ
Chem	蘸	tʃem
Ch'em	椿舂	tʃʰem
Chen,chǐng	政	tʃen/tʃɪŋ
Ch'en,ch'ǐng	程	tʃen/tʃɪŋ
Chep	…	tʃep
Ch'ep	*	tʃʰep
Cheu	縐	tʃeu
Chi	至主	tʃi
Ch'i	恥	tʃʰi
Chiau	照	tʃiau
Ch'iau	超	tʃʰiau
Chiêk	隻	tʃiɐk
Ch'iêk	尺	tʃʰiɐk
Chiêm	沾	tʃiɐm
Ch'iêm	諂	tʃʰiɐm
Chiên	戰	tʃiɐn
Ch'iên	廛	tʃʰiɐn
Chiêt	折	tʃiɐt
Ch'iêt	澈	tʃʰiɐt
Chǐk,chet	直	tʃɪk
Ch'ǐk	赤	tʃʰɪk
Chim	針	tʃim
Ch'im	沉	tʃʰim
Chin	眞	tʃin
Ch'in	袗	tʃʰin
Chip	汁	tʃip
Chit	質	tʃit
Ch'it	*	tʃʰit
Chiu	周	tʃiu
Ch'iu	臭獸	tʃiu
Choê	阻	tʃoɐ
Ch'oêt	初	tʃoɐ
Choên	專	tʃoɐn
Choêt	拙	tʃoɐt
Ch'oêt	怵	tʃʰoɐt
Choi	喙	tʃoi
Chok	濯捉	tʃok
Ch'ok	戳	tʃʰok
Chong	壯	tʃoŋ
Ch'ong	床	tʃʰoŋ
Chui	追	tʃui
Ch'ui	處吹	tʃʰui
Chuk	竹	tʃuk
Ch'uk	畜	tʃʰuk
Chun	准津	tʃun
Ch'un	春川	tʃun
Chung	忠	tʃuŋ
Ch'ung	充	tʃʰuŋ
Chut	*	tʃut
Ch'ut	出	tʃʰut
E		
Ei	地蔕	ʔei
Eiau	釣	ʔeiau
Eiê	爹	ʔeiɐ
Eiêk	諑	ʔeiɐk
Eiêm	點	ʔeiɐm
Eiên	*	ʔeiɐn
Eiêng	定	ʔeiɐŋ
Eiêp	碟	ʔeiɐp
Em	*	ʔem
En,ǐng	典定	ʔen/ɪŋ
Ep	…	ʔep
Et,ǐk	靮跌	ʔet/ɪk
Eu	區鬥	ʔeu
F		
Fa	花	fa
Fai	快	fai
Fak	*	fak
Fan	犯	fan
Fang	宏	faŋ
Fat	法	fat
Fei	非費慧	fei
Feiê	…	feiɐ
Feiêt	*	feiɐt
Feu	浮	feu
Foê	火	foɐ
Foên	寬緩	foɐn
Foêt	濶	foɐt
Foi	悔	foi
Fok	縛	fok
Fong	方	foŋ
Fu	富	fu
Fuk	福	fuk
Fun	訓	fun
Fung	風	fuŋ
Fut	佛	fut
H		
Ha	夏他	ha
Hai	係鞋體太	hai
Hak	黑	hak
Ham	陷堪貪	ham
Han	限恨炭	han
Hang	行藤	haŋ
Hap	恰歃合塔	hap
Hat	乞撻	hat
Hau	考好討	hau
Hei	喜	hei
Heiau	曉挑	heiau
Heiê	靴	heiɐ
Heiêk	喫踢	heiɐk
Heiêm	險添	heiɐm
Heiêng	香	heiɐŋ
Heiêp	怯貼	heiɐp
Hem	咸氹	hem
Hen,hǐng	愆兄天廳	hen/hɪŋ
Hep	*	hep
Het,hǐk	歇鐵剔	het/hɪk
Heu	口偷	heu
Hiêng	艇	hiɐŋ
Him	謙欽	him
Hin	欣歆	hin
Hip	泣	hip
Hiu	休	hiu
Hoê	河拕	hoɐ
Hoên	寒	hoɐn
Hoêt	渴	hoɐt
Hoi	開胎	hoi
Hot	學託	hot
Hong	康湯	hoŋ
Hou	土	hou
Hui	去退	hui
Huk	哭禿	huk
Hun	犬獻吞盾	hun
Hung	洪同	huŋ
Hut	血缺	hut
I		
It	噎	ʔit
Iu	丟	ʔiu
K		
Ka	家	ka
K'a	卡掯	kʰa
Kai	鷄佳	kai
K'ai	溪啟	kʰai
Kak	革	kak
K'ak	…	kʰak
Kam	監泔	kam
K'am	嵌	kʰam
Kan	間	kan
K'an	很	kʰan
Kang	耕	kaŋ
K'ang	鯁	kʰaŋ
Kap	甲	kap
K'ap	*	kʰap
K'at	…	kʰat
Kau	樛膠高	kau
K'au	靠巧	kʰau
Kei	基	kei
K'ei	暨	kʰei
Keiê	*	keiɐ
K'eiê	茄	kʰeiɐ
Keiêk	腳	keiɐk
K'eiêk	却	kʰeiɐk
Keiêng	薑	keiɐŋ
K'eiêng	强	kʰeiɐŋ
K'êm	蠄	kʰɐm
Ken,kǐng	見敬	ken/kɪŋ
K'en,k'ǐng	乾傾矜	kʰen/kʰɪŋ
Kep	蛤	kep
K'ep	給	kʰep
Ket,kǐk	潔佶激	ket/kɪk
K'et,k'ǐk	揭劇	kʰet/kʰɪk
Kêt	㓤	kɐt
K'êt	咳	kʰɐt
Keu	垢	keu
K'eu	叩溝	kʰeu
Kiau	嬌	kiau
K'iau	橋	kʰiau
Kiêk	蹻	kiɐk
K'iêk	屐	kʰiɑk
Kiêm	兼	kiɐm
K'iêm	鉗	kʰiɐm
Kiêng	頸	kiɐŋ
K'iêng	擎	kʰiɐŋ
Kiêp	劫及	kiɐp
Kiêt	*	kiɐt
K'iêt	*	kʰiɐt
Kim	金	kim
K'im	琴	kʰim
Kin	根	kin
K'in	芹	kʰin
Kip	急	kip
K'ip	汲跲	kʰip
Kit	吉	kit
Kiu	九	kiu
K'iu	求	kʰiu
Koê,kwoê	歌過	koɐ/kwoɐ
Koên,kwoên	干官	koɐn/kwoɐn
Koêt,kwoêt	割	koɐt/kwoɐt
K'oêt,k'woêt	豁	kʰoɐt/kʰoɐt
Koi,kwoi	改個	koi/kwoi
K'oi,k'woi	概儈	kʰoi/kʰwoi
Kok	各椁	kok
K'ok	确霍	kʰok
Kong	江	koŋ
K'ong	伉港筐	kʰoŋ
Ku	古	ku
K'u	枯箍	kʰu
Kui	居	kui
K'ui	軀	kʰui
Kuk	谷	kuk
K'uk	曲	kʰuk
Kun	捐君	kun
K'un	拳羣	kʰun
Kung	恭	kuŋ
K'ung	窮戇	kʰuŋ
Kut	骨鷸	kut
K'ut	屈	kʰut
Kwa	瓜	kwa
K'wa	誇罣	kʰwa
Kwai	怪	kwai
K'wai	…	kʰwai
Kwak	湱	kwak
K'wak	緙	kʰwak
Kwan	關	kwan
Kwang	轟鑛	kwaŋ
K'wang	逛筐	kʰwaŋ
Kwat	聒刮	kwat
Kwei	貴	kwei
K'wei	愧虧	kʰwei
Kwen,kwǐng	炯	kwen/kwɪŋ
K'wen,k'wǐng	*	kʰwen/kʰwɪŋ
Kwet,kwǐk	虢	kwet/kwɪk
K'wet,k'wǐk	隙洫	kʰwet/kʰwɪk
Kwit	…	kwit
Kwok	國	kwok
K'wok	廓擴	kʰwok
Kwong	光	kwoŋ
K'wong	狂	kʰwoŋ
L		
La	罅	la
Lai	犁賴	lai
Lak	勒	lak
Lam	婪	lam
Lan	懶	lan
Lang	舲冷	laŋ
Lap	蠟	lap
Lat	辣	lat
Lau	勞	lau
Lei	李裏	lei
Leiê	*	leiɐ
Leiêk	掠	leiɐk
Leiêng	兩	leiɐŋ
Lem	霖	lem
Len,lǐng	連令	len/lɪŋ
Lep	笠	lep
Let,lǐk	歷	let/lɪk
Leu	蔞	leu
Liau	繚	liau
Liêk	…	liɐk
Liêm	廉廩	liɐm
Liêng	靚	liɐŋ
Liêp	獵	liɐp
Lim	林	lim
Lin	憐鄰	lin
Lip	苙粒	lip
Lit	劣	lit
Liu	柳	liu
Loê	羅	loɐ
Loên	亂卵	loɐn
Loêt	埒	loɐt
Loi	來	loi
Lok	洛	lok
Long	狼	loŋ
Lou	路	lou
Lu	…	lu
Lui	雷戾	lui
Luk	六	luk
Lun	聯	lun
Lung	龍	luŋ
Lut	慄	lut
Ll	斯	ɬ
Llai	西徙	ɬai
Llak	塞	ɬak
Llam	滲三	ɬam
Llan	散	ɬan
Llang	僧	ɬaŋ
Llap	𢶍	ɬap
Llat	撒	ɬat
Llau	掃	ɬau
Llei	四	ɬei
Lleiê	冩	ɬeiɐ
Lleiêk	削	ɬeiɐk
Lleiêng	想	ɬeiɐŋ
Llen,llǐng	先星	ɬen/ɬɪŋ
Llep	颯	ɬep
Llet,llǐk	屑昔	ɬet/ɬɪk
Lleu	叟	ɬeu
Lliau	小肖	ɬiau
Lliêk	錫	ɬiɐk
Lliêng	腥	ɬiɐŋ
Lliêp	…	ɬiɐp
Llim	心	ɬim
Llin	新信	ɬin
Llip	膝	ɬip
Lliu	秀	ɬiu
Lloê	鎖	ɬoɐ
Lloên	算	ɬoɐn
Lloi	顋髓	ɬoi
Llok	索	ɬok
Llong	桑	ɬoŋ
Llou	素	ɬou
Llui	需	ɬui
Lluk	宿	ɬuk
Llun	徇孫	ɬun
Llung	送	ɬuŋ
Llut	卹雪	ɬut
M		
M	唔	m
Ma	馬	ma
Mai	米買	mai
Mak	麥擘	mak
Man	萬	mqn
Mang	萌盲	maŋ
Mat	襪蔑	mat
Mau	貿茅毛	mau
Mei	尾	mei
Meiê	𧴯	meiɐ
Mem	…	mem
Men,mǐng	面命	men/mɪŋ
Met,mǐk	滅	met/mɪk
Meu	謀	meu
Miau	苗	miau
Miêk	…	miɐk
Miêng	名	miɐŋ
Min	民	min
Mit	密覓	mit
Miu	貓	miu
Moê	摩	moɐ
Moên	門	moɐn
Moêt	物末	moɐt
Moi	每	moi
Mok	莫	mok
Mong	忘	moŋ
Mou	暮瞀	mou
Muk	木	muk
Mun	文問	mun
Mung	蒙	muŋ
Mut	物	mut
N		
Na	拿	na
Nai	泥乃	nai
Nak	齒匿	nak
Nam	南	nan
Nan	難	nan
Nang	能	naŋ
Nap	納	nap
Nat	捺	nat
Nau	瑙	nau
Nei	餌	nei
Neiê	…	neiɐ
Neiêng	娘	neiɐŋ
Nem	腍	nem
Nen,nǐng	年寧卵心	nen/nɪŋ
Nep	…	nep
Net,nǐk	溺	net/nɪk
Neu	耨錨	neu
Ng	五	ŋ
