#a
p[32]巴芭疤笆[21]爸爬琵耙耙[55]把霸坝
m[32]妈[21]麻蟆
t[33]打
tʰ[32]他
n[21]拿[33]哪[55]那
ɬ[32]洒
tʃ[32]渣抓[21]茶擦查[55]诈榨炸
tʃʰ[32]叉杈差岔
ʃ[32]沙纱[33]耍
k[32]家加痂嘉傢稼[33]假贾[55]嫁价
kʰ[32]卡
ŋ[32]鸦哑[21]牙芽衙
x[32]虾哈[21]霞侠
ku[32]瓜[33]寡剐[55]挂卦
kʰu[32]夸垮[55]跨
ʔ[32]丫[33]哑[55]阿亚
w[32]蛙花[21]华
#ɑ
pʰ[55]怕
m[32]骂[33]马码
kʰ[55]假架驾
j[32]厦下夏夜[33]雅
w[32]话[33]瓦[55]化
#o
p[32]波菠播玻[55]薄
pʰ[32]颇坡
m[32]魔摩[21]模摸
t[32]多舵惰[21]驼驮[33]躲[55]堕
tʰ[32]拖[33]妥椭
n[21]挪
ɬ[32]蓑梭[21]傻[33]唆所
l[21]罗锣箩萝[33]裸[55]啰
tʃ[33]左佐阻
tʃʰ[55]挫错锉
k[32]歌哥戈
kʰ[32]棵[33]颗[55]课
ŋ[32]饿卧[21]蛾鹅俄
x[32]贺[21]河何荷和禾[33]可坷
w[32]窝莴
#ɯ
p[32]罢
n[33]女
ɬ[32]须絮需[55]绪
l[32]虑滤
tʃ[32]聚序叙猪箸诸诛蛛株住朱珠[21]徐除储厨橱[33]煮主[55]著驻注蛀铸
tʃʰ[32]蛆[33]处杵取娶柱[55]处趣
ȵ[32]御誉预遇寓裕[21]鱼渔馀[33]语
ʃ[32]书舒输殊竖树[21]薯[33]暑鼠署[55]戍庶恕
k[32]居车拘驹俱矩巨具惧[21]渠佢[33]举[55]个据锯拒距句
kʰ[32]区驱
ŋ[33]我
x[32]墟虚嘘芋[33]许雨[55]去
#ɛ
t[32]爹
ɬ[32]些[33]写[55]泻卸
tʃ[32]姐者[21]谢
tʃʰ[32]车[21]邪斜[33]且扯
ʃ[32]射麝奢赊佘射[33]舍社[55]赦舍
k[21]茄
ku[21]瘸
j[21]椰爷[33]惹也野
#i
p[32]蔽弊币毙避痹备婢[21]皮疲脾琵枇[33]彼被比[55]蓖臂譬秘庇篦
pʰ[32]披[33]鄙[55]屁
m[32]媚微未味[21]糜弥摩眉媚[33]尾
f[32]非飞妃[21]肥[33]匪翡[55]废肺吠痱费
t[32]地
n[32]腻[21]呢[33]你
ɬ[32]斯撕嘶私司丝思[33]死[55]四肆
l[32]利痢吏[21]离篱璃梨厘狸驴[33]吕旅履李里裏理鲤
tʃ[32]寺遮雌支枝肢栀资姿咨自脂兹滋字痔治之芝[21]池驰瓷糍迟慈磁鹚辞词祠饲持[33]紫纸姊旨指子梓止趾址[55]借蔗鹧知蜘智致稚至置志痣
tʃʰ[32]痴[33]此似耻齿[55]刺赐翅次
ȵ[32]二贰[21]儿而疑[33]乳尔蚁耳饵拟[55]议
ʃ[32]逝施是氏豉尸视诗侍[21]蛇匙时[33]屎始市[55]世势嗜试
k[32]技饥肌基几机讥[21]奇骑岐歧鳍其棋期旗麒祈[33]几己杞[55]寄妓纪记忌既
kʰ[33]企
x[32]牺嬉熙希稀[33]起喜岂[55]系戏器弃气汽
j[32]豫於淤迂喻义易医异衣依易[21]如愉宜仪谊移姨余愚娱于逾[33]与宇禹羽椅矣已以[55]意
#u
p[32]怖部簿步埠[21]婆蒲菩脯葡[33]补浦捕[55]簸布怖
pʰ[32]铺[33]谱圃普[55]破
m[32]墓侮务雾摸暮慕摹募[21]磨无[33]武舞鹉母拇
f[32]夫肤傅敷俘孵父腐附驸妇负赴[21]符扶芙浮[33]府腑俯斧抚釜辅[55]付赋咐富副
t[32]都妒杜度渡镀[21]徒屠途涂图[33]朵堵赌肚[55]剁
tʰ[33]土[55]吐兔
n[32]糯怒[21]奴[33]努
ɬ[32]苏酥[33]锁琐[55]素诉
l[32]路露[21]螺卢炉芦鸬鹭庐[33]鲁橹虏卤
tʃ[32]租助[21]锄[33]坐座祖组[55]做
tʃʰ[32]粗初[33]楚础[55]醋措
ʃ[32]梳疏蔬[33]数[55]数漱
k[32]锅孤辜估[33]果裹古股鼓[55]过姑故固锢雇顾
kʰ[32]箍
x[32]科枯呼乎[33]火夥伙苦虎浒[55]戽货祸和库裤
w[32]巫诬恶户沪互护乌污[21]胡湖狐壶葫糊蝴
#ai
p[21]排牌[33]摆[55]拜
m[21]埋
t[32]大呆[21]台苔抬[55]戴带
tʰ[32]胎
ɬ[32]腮鳃
l[32]拉[21]来
tʃ[32]灾栽斋[21]才材财裁豺[33]宰崽[55]载债寨再载
tʃʰ[32]猜钗差
ʃ[21]柴[55]赛晒
k[32]该皆阶佳街[33]改解[55]盖丐界芥尴届戒
kʰ[55]慨
ŋ[21]涯崖挨[33]蔼
x[32]开[21]孩谐械鞋
ku[32]乖[33]拐[55]怪
ʔ[32]哀[21]挨[33]矮[55]艾埃爱
w[32]歪[21]怀槐淮[55]快块
#ɑi
p[32]败
pʰ[32]派
m[21]卖迈[33]买
t[32]贷待怠殆代袋
tʰ[55]态太泰
n[32]耐奈[33]乃奶
l[32]赖癞
tʃ[32]在
tʃʰ[33]彩采睬[55]菜蔡
ʃ[32]誓士仕柿事
k[55]溉
kʰ[33]凯慨楷[55]概
ŋ[32]碍
x[32]害[33]海亥
kʰu[55]筷
w[32]坏外
#ɐi
p[32]碑卑悲[55]闭
pʰ[32]批
m[21]迷谜[33]米美
t[32]低第递[21]堤题提蹄啼[33]底抵弟[55]隶帝蒂
tʰ[32]梯屉[33]体[55]替涕剃
n[21]泥倪霓尼
ɬ[32]西犀[33]洗[55]细婿
l[32]例厉励丽荔[21]犁黎[33]礼
tʃ[21]齐脐[33]挤[55]滞制际济剂
tʃʰ[32]妻凄[55]砌
ʃ[32]筛师狮蛳示[33]使史驶
k[32]鸡[55]祭计继髻
kʰ[32]稽溪[33]启[55]契
ŋ[32]艺[21]危
x[55]系
ku[32]闺龟归[21]逵葵[33]傀轨鬼诡[55]桂季贵
kʰu[32]盔规亏窥挥辉
w[32]为萎讳威畏[21]维惟遗唯围违回茴[33]毁委伟苇纬[55]慰
#oi
p[32]杯[21]培陪赔裴焙[55]贝辈背
pʰ[33]倍[55]沛配佩
m[32]妹[21]梅枚玫媒煤莓霉
t[32]堆队[55]对
tʰ[32]推[33]腿[55]蜕退
n[32]内
ɬ[55]碎
l[21]雷[33]蕊垒
tʃ[32]罪[21]垂[55]缀赘
tʃʰ[32]催崔
x[32]恢灰
#ei
ku[32]跪柜
kʰu[32]溃[55]刽桧愧
w[32]汇会绘卫彗惠慧为位魏胃谓猬猥[33]伪[55]喂
#au
p[32]褒包胞苞[21]袍刨[33]保堡宝饱[55]报豹鲍
pʰ[32]抛
m[21]毛茅锚矛
t[32]刀叨[21]桃逃淘陶萄[33]祷岛倒捣[55]到倒
tʰ[32]滔掏涛
ɬ[32]骚臊[33]嫂[55]扫
l[32]捞唠[21]劳牢痨
tʃ[32]遭糟[21]曹槽嘲嘈巢[33]早枣蚤澡藻爪找[55]灶罩
tʃʰ[32]操抄钞
ȵ[32]搔挠
ʃ[32]稍[55]潲
k[32]高膏篙羔糕交郊[33]稿绞狡搞搅剿矫饺[55]告教校较酵窖觉
ŋ[21]熬
x[32]敲[21]豪壕毫嚎
ʔ[55]奥
#ɑu
p[32]暴爆瀑曝[33]抱[55]雹
pʰ[32]泡[33]跑[55]炮泡
m[32]冒帽卯貌
t[32]道稻盗悼
tʰ[33]讨[55]套
n[33]脑恼[55]闹
l[32]搂漏陋涝[33]篓柳老姥[55]露
tʃ[32]皂造
tʃʰ[33]草炒[55]糙躁燥
ȵ[33]咬
k[32]旧
kʰ[33]考烤[55]拷靠犒
ŋ[32]傲
x[32]号孝
j[32]效
#ɐu
pʰ[32]剖
m[32]戊茂贸[21]谋
f[33]否
t[32]兜豆痘丢[21]头投[33]导斗抖陡[55]斗逗
tʰ[32]偷[55]透
n[33]纽扭钮
ɬ[32]修羞搜馊[55]秀绣宿锈
l[32]溜[21]楼流刘留榴硫琉馏
tʃ[32]袖纣宙邹周舟州洲[21]就愁[33]走酒[55]骤奏皱咒
tʃʰ[32]秋鳅抽[21]绸稠筹[33]丑丑[55]凑臭
