#ɿ
p[31]屄[24]彼鄙比[53]篦闭避弊毙
pʰ[31]批坯披砒[45]皮疲脾琵枇啤[24]痞否{否极泰来}[53]屁
m[31]眯[45]迷谜弥猕糜靡泥[24]米
t[31]低堤[24]底抵诋砥[53]帝弟第递地
tʰ[31]梯[45]题提蹄啼[24]体[53]替涕剃屉剔
n[45]尼呢{呢子}倪[24]拟[53]腻
l[45]犁黎离篱璃梨厘狸[24]礼李里理鲤娌[53]例厉励丽利莉
ts[31]资姿咨兹滋龇[24]姊子紫籽梓[53]自字渍
tsʰ[31]□{用剪子一顺溜剪下去}[45]词辞[24]此[53]次刺伺赐厕
s[31]司丝思斯撕私嘶厮师狮饲[24]死[53]四肆似祀巳寺嗣士仕柿事侍
tʃ[31]鸡稽基肌饥机叽畸[24]几己挤济{济南}[53]济荠剂计继系{系鞋带}寄技妓纪{纪律，年纪}记忌既季冀
tʃʰ[31]妻欺期凄[45]齐脐奇骑歧祁鳍其棋旗麒[24]启企起杞岂祈[53]砌器弃气汽
ʃ[31]西犀溪牺嬉熙希稀[24]洗喜[53]细戏
ʒ[31]伊医衣依[45]宜仪移夷姨疑遗怡[24]倚椅以已[53]艺义议蚁易意毅亿忆抑异

#i
t[31]爹
n[24]你
tɕ[31]阶秸街[24]姐解[53]借介界芥疥届戒械
tɕʰ[24]且
ɕ[31]些[45]邪斜鞋携[24]写[53]泻卸谢懈解{姓}泄
∅[45]爷[24]也野[53]夜

#uᵝ
p[24]补捕哺[53]部簿布怖步埠
pʰ[31]铺{铺设}[45]蒲菩{菩萨}葡{葡萄}[24]谱普浦圃[53]铺{店铺}
f[31]夫肤敷麸[45]俘孵符扶芙浮[24]府腑俯甫斧抚腐辅阜[53]付赋傅赴讣附富副妇负
t[31]都{首都}[24]堵赌肚{腹肚}[53]杜肚{肚子}妒度渡
tʰ[45]徒屠途涂图[24]土吐{吐痰}[53]吐{呕吐}兔
n[45]奴[24]努[53]怒
l[45]卢炉芦庐{庐山}[24]鲁虏卤[53]路赂露鹭{鹭鸶}
ts[31]租[24]祖组阻殂[53]助
tsʰ[31]粗[24]楚础[53]醋□{害怕}
s[31]苏酥疏蔬[53]素诉塑嗉{鸟嗉子}漱
tʂ[31]猪诸诛蛛株朱珠[24]煮拄主[53]著{显著}驻注柱住蛀铸
tʂʰ[45]除储{储蓄}厨殊滁[24]褚处暑薯[53]处
ʂ[31]书舒枢输{运输}[45]秫[53]庶恕署戍竖树
ʐ[31]输{输赢}擩{擩进去}[45]如茹[24]儒乳
k[31]姑孤估箍菇[24]古估牯股鼓谷[53]故固锢雇顾
kʰ[31]枯[24]苦[53]库裤
x[31]呼乎[45]胡湖糊狐壶[24]虎浒{水浒}[53]户沪互护瓠扈
∅[31]乌污巫诬梧{梧桐}[45]吴吾无[24]五伍午武舞侮鹉[53]误悟恶务雾

#yᶽ
n[24]女
l[45]驴[24]吕旅缕屡[53]虑滤
tʃ[31]居车{车马炮}拘驹[24]举[53]巨拒距据锯聚俱句具惧剧
tʃʰ[31]蛆趋区驱躯[45]渠瞿[24]取娶[53]去趣
ʃ[31]须需虚嘘墟吁[45]徐[24]许[53]序叙绪絮
ʒ[31]迂淤[45]鱼渔愚虞娱余与誉于盂榆逾愉[24]雨宇禹羽愈[53]御预豫遇寓芋喻

#ʅ
tʂ[31]只{量词}知支肢枝栀之芝[24]纸只{只有}脂指止址旨趾[53]制滞智致稚至置治志痣窒
tʂʰ[31]痴嗤{嗤笑}□{向前滑}[45]池驰匙迟持[24]侈耻齿[53]翅
ʂ[31]施尸诗[45]时[24]屎使史驶始[53]世势誓逝是氏示视嗜试市恃式

#yɪ
tɕʰ[45]茄{茄子}瘸{瘸腿}
ɕ[45]□{篾制品}

#ɛ
p[24]摆[53]拜稗败
pʰ[45]排牌[53]派
m[45]埋[24]买[53]卖迈
f[53]□{感叹词，表示疼}
t[31]呆[24]逮歹[53]戴带贷待怠殆代袋大{大夫}
tʰ[31]胎[45]台苔{青苔}抬[53]态太泰
n[24]乃奶[53]耐奈
l[45]来[24]□{拔}[53]赖癞
ts[31]灾栽[24]宰载{满载}崽[53]在再
tsʰ[31]猜[45]才材财裁[24]采彩睬[53]蔡菜
s[31]腮鳃[24]□{解开}[53]赛
tʂ[31]斋[24]者[53]债寨
tʂʰ[31]钗差{出差}[45]豺柴[24]踩
ʂ[31]筛{筛子}[53]晒
k[31]该[24]改[53]概溉盖丐
kʰ[31]开揩[24]楷凯[53]慨慷{慨，感慨}
x[45]孩还{还有}[24]海[53]亥害
∅[31]哀挨[45]挨碍{阻碍}[24]霭矮隘蔼{和蔼}[53]碍{碍事}艾爱

#uɛ
tʂ[31]□{冻僵了}[53]拽
tʂʰ[31]揣
ʂ[31]衰摔[24]甩[53]帅率蜂
k[31]乖[24]拐[53]怪
kʰ[53]块会{会计}桧快筷
x[45]怀槐淮[53]坏
∅[31]歪[53]外

#a
p[31]巴芭疤粑扒{扒皮}[45]爸{主要用于小孩子，成人极少用}[24]把靶[53]霸坝耙罢
pʰ[31]趴[45]爬扒钯[53]怕
m[31]妈马{马虎}[45]麻[24]马码蚂[53]骂{文读}
t[31]□{爸爸}瘩{疙瘩}[24]打[53]大
tʰ[31]他
n[45]拿[24]哪
l[31]拉垃啦[24]喇
ts[31]臜{腌臜}
tsʰ[45]□{~天，大前天}
s[24]洒
tʂ[31]查{姓}楂{山楂}渣叉[24]眨[53]诈榨炸乍
tʂʰ[31]差{差别，差不多}[45]茶搽茬查[24]□{关系破裂}[53]岔{三岔路}叉杈衩
ʂ[31]沙纱砂裟鲨痧[24]傻[53]厦
k[31]嘎[24]□{干什么}
kʰ[24]卡
x[31]哈[45]蛤{蛤蟆}
∅[31]阿腌{腌臜}[45]儿而[24]耳饵[53]二

#ia
tɕ[31]家加痂嘉傢稼佳袈[24]假{真假，放假}贾{姓}[53]架驾嫁价
tɕʰ[31]掐[24]卡[53]跨
ɕ[31]虾□{~腰}[45]霞瑕遐暇侠[53]下夏厦{厦门}
∅[31]鸦丫桠{枝桠}呀[45]牙芽伢衙涯崖[24]雅哑[53]亚轧

#ua
tʂ[31]抓[24]爪鸡{爪}
k[31]瓜呱{呱呱叫}[24]寡剐[53]卦挂褂
kʰ[31]夸[24]侉{侉子}垮[53]挎
x[31]花[45]华{中华}划{划船}[53]华{姓}化画话划{计划}
∅[31]蛙挖娲[45]娃[24]瓦{名词}[53]洼瓦{动词}

#ɔ
p[31]包胞苞[24]褒保堡宝饱[53]报抱暴豹爆鲍饱雹
pʰ[31]泡{松软}抛[45]袍刨[24]跑[53]炮泡{浸泡}
m[31]猫[45]毛茅锚矛[24]卯□{遗漏}[53]冒帽貌茂贸
t[31]刀叨[24]祷捣岛倒{打倒，颠倒}导[53]到倒{倒水}道稻盗
tʰ[31]滔掏涛[45]桃逃淘陶萄[24]讨[53]套导{领导}
n[31]孬[45]挠[24]脑恼瑙[53]闹
l[45]劳捞牢唠痨[24]老[53]涝
ts[31]遭糟[24]早枣澡藻[53]躁灶皂造噪燥蚤{虼蚤}
tsʰ[31]操[45]曹槽□{践踏}[24]草[53]糙□{板脸教训人}
s[31]骚臊[24]扫{扫地}嫂[53]扫{扫帚}□{快}
tʂ[31]朝{今朝}召昭招沼{沼气}[24]找爪{爪牙}[53]罩赵兆照诏
tʂʰ[31]抄超剿钞[45]巢朝{朝代}潮[24]炒吵[53]□{故意找话，搭讪}
ʂ[31]梢捎稍烧[45]□{~道：喜欢打扮，好炫耀，爱出风头；话多，逞能等}[24]少{多少}[53]少{少年}韶绍邵
ʐ[45]饶[24]扰绕{围绕}[53]绕{绕线}
k[31]高膏糕[24]羔稿搞[53]告
kʰ[31]□{算计，吃亏：可惜了}[45]考烤[53]靠铐
x[31]蒿薅[45]豪壕毫号{呼号}嚎[24]好{好坏}[53]好{喜好}耗浩号{号数}皓昊
∅[45]熬敖[24]袄[53]傲鳌奥懊

#iɔ
p[31]膘标彪镖[24]表裱婊
pʰ[31]飘漂{漂流}[45]瓢嫖[24]漂{漂白}[53]票漂{漂亮}
m[45]苗描瞄[24]邈渺秒[53]庙妙谬{姓}
t[31]刁貂雕[53]钓吊掉调
t[31]挑[45]条调[24]挑{挑战}[53]跳
n[24]鸟□{女儿}[53]尿
l[45]燎疗聊辽撩廖瞭[24]了[53]料尥{尥蹶子}撂
tɕ[31]交郊胶教{教书}焦蕉椒骄娇矫浇跤[45]嚼[24]绞狡搅缴侥饺[53]教{教育}校{校对}较窖觉{睡觉}轿叫
tɕʰ[31]敲锹缲{缲边}[45]樵瞧乔侨桥荞[24]巧□{便宜}[53]悄俏窍翘
ɕ[31]消宵霄硝销嚣逍萧箫潇□{轻而薄}[24]小晓[53]酵孝效校{学校}笑鞘啸
∅[31]妖邀腰要{要求}吆[45]摇谣窑姚尧遥瑶[24]舀咬[53]要{重要}耀跃

#o
p[31]波菠{菠菜}玻{玻璃}播[24]跛{跛足}簸{簸一簸}[53]簸{簸箕}
pʰ[31]坡[45]婆[53]破剖{开膛剖肚}
m[31]摸[45]魔磨{磨刀}摩馍模摹膜谋[24]某亩牡母[53]磨{磨面，石磨}暮慕墓募幕
t[31]多[24]朵躲[53]舵剁惰跺堕
tʰ[31]拖[45]驼驮{驮起来}砣□{车~子}[24]妥椭
n[53]糯{糯米}
l[31]啰{啰唆}[45]罗锣箩萝骡螺脶{手指文}[24]捋[53]摞{摞起来}
ts[31]□{抓}[45]昨[24]左佐[53]坐座做
tsʰ[31]搓初[45]锄雏[53]措错锉{锉刀}
s[31]蓑梭唆{啰唆}梳{梳头}[24]锁琐数{动词}所[53]数{名词}潲{潲雨}
k[31]歌哥过锅戈[24]果裹[53]过个
