#ɿ
ts[1]资姿咨兹滋租组[3]子仔籽紫阻祖
tsʰ[1]雌疵粗[2]慈磁糍词辞祠[3]此自助楚刺（～刀）[5]次醋措
s[1]私思斯撕丝司饲苏酥（松脆）[3]似已祀寺士仕事（～情）史使驶柿字[5]赐伺素数诉
#a
p[1]巴芭疤笆爸粑吧[2]扒（～倒身上）[3]把靶鈀（鈳~）[5]坝霸
pʰ[1]扒（~饭：用筷子送米饭进嘴里）[2]耙爬杷琶[3]罢[5]怕帕
m[1]马码玛蚂[2]麻妈嫲（勺~：勺子）[3]吗么（～个）[5]骂
f[1]花哗[2]华划（～船）[3]画摦（心～～开：心情舒畅）[5]化
v[1]娃蛙洼叱（啜~～：张开嘴的样子）[3]话
t[3]打[5]□（～～掉：神气活现大声说话）
tʰ[1]他她它
n[1]拿[2]那（~吒）挪（~用）[3]那（~里）哪娜
l[1]拉[2]逻（探看：~亲戚）[3]□（用五指把成堆的粮食或沙子等散开）[5]□（缝隙）
ts[1]渣抓抯（~取）[5]炸诈榨灹（火声）𪗭（吃食声）
tsʰ[1]叉杈差[2]查茶搽[3]叉（~手：碍手）[5]岔䟕（~路）𥝾（~笋：分蘖）
s[1]沙纱[2]侪（涯兜~：我们大家）[3]洒耍[5]嗄（~饱肚：撑饱肚子）齰（~牙）
tʃ[1]遮謶（吱~：多言）[3]者[5]蔗鹧遮（顺着：～这条路行就到）
tʃʰ[1]车奢訍（提拿）哆（啜~～：张口的样子）[3]扯奲（阔~~哩：宽大）[5]㾝（泄泻：~痢肚）哆（又音）
ʃ[1]社赊畬閯[2]佘蛇[3]舍（~得）射[5]赦舍（宿~）
k[1]加痂嘉家傢豭佳瓜[2]□（大声说话）[3]假（真~）贾寡剐[5]价架驾嫁挂假（人年~:农历十二月二十五始）吤（声也：～～掉）
kʰ[1]夸垮跨[2]卡（~片）[3]柯（树~:树枝）卡（鱼骨头~倒哩）
ŋ[1]我（第一人称领属代词：~爸）[2]牙芽衙齖（䶥~）[3]瓦雅[5]戇（傻，又音）
h[1]下（~班）[2]虾瑕霞暇[3]夏厦下（~降）
∅[1]亚桠丫鸦阿（～哥）啊（叹词）[2]啊（叹词）[3]哑[5]啊（叹词）
#e
p[1]悂（～食：蹭饭）[3]矲（坏、差、劣：好~）
f[3]竵（物不正）𠿎（嘴歪）
l[2]□（~只：这个）
tsʰ[2]侪（～家：大家）
s[1]须（一种带状水生植物）[3]洗[5]细婿
tʃ[1]嗻（吱~：多言）[3]这
tʃʰ[3]掣（引诱）[5]滞瘌（传染）
ʃ[1]舐（舔）[2]舐（~螺哩：蜗牛）[3]事（做~：干活儿）[5]世（出~：出生）
k[5]计个
kʰ[5]契
h[1]㰨（气逆、呼吸困难）识（～~哩笑）[5]係系（关~）
∅[1]欸（叹词，表示招呼或应答，～，你过来!）[2]欸（叹词，表示惊疑，～，佢做么个唔来?）[3]欸（叹词，表示答应或同意，～，我一定去。）[5]欸（叹词，表示惊异或感叹，～，你做么个咐哩!）
#o
p[1]波玻菠坡（又音）[3]跛[5]播
pʰ[1]坡[2]婆[3]颇[5]破
m[1]摸摩[2]磨（~刀）魔摹[3]磨（石~）么（什~）
f[2]和[3]火伙贺祸[5]货
v[1]窝倭侉（痛呼）[2]禾[3]呵（吩咐、支使）𥘫（祭祀：～祖公）唩（语助：係~：是啊）
t[1]多[3]朵躲跺[5]𧱫（戇~：蠢猪）
tʰ[1]拖[2]驼陀驮跎坷（挑担）[3]妥惰唾堕舵亸（软~~哩）
n[2]挪（~用）捼（~索哩：搓绳子）[3]糯[5]𨁌（用脚底来回搓）
l[1]攞（曳拉）[2]罗萝箩锣螺脶[3]裸摞
ts[3]左佐[5]做
tsʰ[1]坐初搓蹉[2]锄[3]座侳（选取：你~哪份）[5]错（～误）挫锉蹉（足跌：～一跤）
s[1]梭蔬疏唆蓑酥（~糖）[2]傻[3]所琐锁[5]嗦（~~掉：拟声）
tʃʰ[5]蹉（滑跌）
ʃ[5]□（啜~～：嘴巴上翘）
k[1]哥歌锅𢦪（磨损：矍锄用~哩）瘑[3]果裹个[5]过
kʰ[1]科棵颗戈[2]□（咳声：～～咯咯）[3]可[5]课
ŋ[1]我[2]俄鹅讹[3]饿卧[5]𩑸（举头：～起头）戇（~牯：傻瓜，又音）
∅[1]屙𨵌（倒塌）阿（~阿弥陀佛）[2]阿（～～斫斫：摆臭架子）[3]哦（应答）[5]哦（感叹）
#ai
p[1]𨃅（～脚哩：跛子）跛（~脚哩：跛子）[2]排（~队）[3]摆[5]拜媲（牙~：牛虱）
pʰ[1]𠜱砒（~礵）[2]牌簰排（~长）[3]败椑[5]派
m[1]买[2]埋[3]卖迈
