// HSD Syllabary Data Partition
// 地区：甘肅省-天水市-清水縣
// 来源：曹興隆《甘肅清水方言語音調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-天水市-清水縣
@SRC	曹興隆《甘肅清水方言語音調查研究》

@INI	p	pʰ	m	f	v	t	tʰ	l	ʦ	ʦʰ	s	ʂ	ʧ	ʧʰ	ʃ	ʒ	k	kʰ	x	Ø
@FIN	a
@TON	平聲	24
@TON	上聲	53
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	a	平聲	巴 芭 把 爸 八 疤{傷~}
p	a	上聲	靶{打~} 㞎{~屎(拉屎)}
p	a	去聲	把{~柄} 罷 霸 壩 □{貼，~著牆上}
pʰ	a	平聲	爬 耙 鈀 拔 巴{尾~}
pʰ	a	去聲	怕 罷{罷了的(還好)}
m	a	平聲	麻 蟆{蓋乎~} 抹{~布，~桌子} 螞{~蚱}
m	a	上聲	媽 馬 碼{密~}
m	a	去聲	罵
f	a	平聲	法{辦~，~辦} 乏 髮{頭~} 發{~現} 伐 筏 罰 閥 砝{~碼}
v	a	平聲	蛙 挖 襪
v	a	上聲	瓦1{磚~} 瓦2{~了(變形)} □{臉~下(因生氣等變臉色)}
v	a	去聲	瓦{~房，~刀} □1{~上(地裡)，陰~裡，陽~裡} □2{一口~了(一口吃了)}
t	a	平聲	答 搭{~架，~衣裳} 達 妲{~己} 瘩{疙~} 耷 爹{舊稱父親，現多用「爹爹」稱叔叔，或用「排行數+爹」稱叔伯，如：大爹、二爹。}
t	a	上聲	打
t	a	去聲	大
tʰ	a	平聲	踏 沓1{一~~(一摞)} 塔 拓{~票子(印紙錢)，~章子(蓋章)} 沓2{說話嘮叨，~婆子，前~三後~四} 塌 蹋 □{~戲(排戲)}
tʰ	a	上聲	□{~~鼻子繃繃眼，越看越日眼}
l	a	平聲	拿 納 拉 捺 娜 鈉 辣 蠟 臘 邋{~遢} 垃{~圾}
l	a	上聲	喇{~叭}
l	a	去聲	那 哪
ʦ	a	平聲	雜= 咋 咱 咂{吮吸}
ʦʰ	a	平聲	擦 雜- 砸
s	a	平聲	靸{趿；穿鞋時將鞋幫踩在腳跟底下，~鞋(拖鞋)} 靸{~瓦(穿瓦)} 薩{菩~，哈~}
s	a	上聲	撒 灑
ʂ	a	上聲	傻
ʧ	a	平聲	扎1{~進去} 紮{捆綁} 渣 楂{山~丸} 抓1{~住} 抓2{~養} □{精乾} 蚱{螞~} 眨
ʧ	a	上聲	□{砍，~柴} 爪{~子} 拃{紮；三~一大尺}
ʧ	a	去聲	詐{~唬} 榨{~油} 炸{爆~} 閘{~刀} 紮{一~啤酒}
ʧʰ	a	平聲	茶 查{調查} 差 插 察 鍘 茬{麥~~，~地} 炸{油~} 叉{~兒(叉號)} 杈1{取禾草的農具，形似樹杈} 杈2{樹圪~(樹枝，樹杈)} □{~住(遮住，堵住視線)}
ʧʰ	a	上聲	嚓{喀~~} □{~利(辦事利落)} 叉{把腿~開}
ʧʰ	a	去聲	搽{~粉} 鍤{用鍬插地起土} □{一個人害怕} 岔 □{~人(陌生人)}
ʃ	a	平聲	沙 紗 殺 刷 砂 莎 鯊
ʃ	a	上聲	耍{玩~} 煞 廈{高樓大~}
ʃ	a	去聲	啥 □{收煞(收集)，除去細物中的大物；把麥裡的草煞刻子}
ʒ	a	平聲	□1{用手搓磨，~細} □2{折磨人}
k	a	上聲	尕{不行，沒本事} 嘎 尬
kʰ	a	上聲	卡{~片}
x	a	平聲	瞎 蛤{~蟆} 哈{點頭~腰}
x	a	上聲	□{拿，~著來，~的(走親戚帶的禮物)} 哈{~巴狗}
x	a	去聲	下- {上~} 嚇
Ø	a	平聲	啊 阿{~姨}
Ø	a	去聲	也-
// HSD Syllabary Data Partition
// 地区：甘肅省-天水市-清水縣
// 来源：曹興隆《甘肅清水方言語音調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-天水市-清水縣
@SRC	曹興隆《甘肅清水方言語音調查研究》

@INI	p	pʰ	m	n	l	ʦ	ʦʰ	s	ʨ	ʨʰ	ɕ	Ø
@FIN	i
@TON	平聲	24
@TON	上聲	53
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	i	平聲	碑 卑-{自~} 臂= 悲- 筆 畢 逼 碧 璧 壁
p	i	上聲	陛 彼 鄙 比
p	i	去聲	蔽 敝 弊 幣 閉 箅{~子} 鐾{把刀~刻子} 被{~兒} 備
pʰ	i	平聲	批 皮 疲 脾 庇{~護} 痹{麻~大意} 屄 鼻
pʰ	i	上聲	匹 僻 辟 劈 譬 避 丕
pʰ	i	去聲	屁
m	i	平聲	迷 穈{~子} 糜 彌 靡 眉 秘 泌 密 蜜
m	i	上聲	米
m	i	去聲	謎 寐
n	i	平聲	泥 倪 尼
n	i	上聲	你
n	i	去聲	膩 擬 匿 逆 溺
l	i	平聲	犁 黎 隸 離 籬 璃 梨 厘 狸 立 笠 粒 力 歷
l	i	上聲	禮 李 里 理 鯉 栗
l	i	去聲	例 厲 勵 麗 荔 利 痢 吏
ʦ	i	平聲	低 抵 疾 即 積 脊 籍 的{目~} 笛= 敵 狄
ʦ	i	上聲	底 寂 擠
ʦ	i	去聲	第= 弟= 帝 遞 祭 際 薺 劑 濟
ʦʰ	i	平聲	堤 梯{~子} 題 啼 提 蹄 涕{鼻~} 妻 臍{脯~眼} 集{跟~} 七 泣{哭哭~~} 漆 踢 笛-{~杆子}
ʦʰ	i	上聲	體
ʦʰ	i	去聲	第- 弟- 替 剃 砌 劑{麵~~子} 戚{親~}
s	i	平聲	西 婿{女~} 習 悉 膝 息 熄 媳 惜 夕 席 昔 析
s	i	上聲	洗 襲
s	i	去聲	細
ʨ	i	平聲	雞 飢 肌 幾{茶~子} 基 杞{苟~子} 機 譏 急 級 給{供~} 及 吉 極 擊 激
ʨ	i	上聲	己 幾{~乎，~個}
ʨ	i	去聲	計 繼 繫{~鞋帶} 技 妓 寄 冀 紀 記 忌= 既
ʨʰ	i	平聲	奇 騎 岐 企 祁 欺 其 棋 期 旗 祈 豈 乞
ʨʰ	i	上聲	啟 起
ʨʰ	i	去聲	契 器 棄 忌-{~俗} 氣 汽 去-
ɕ	i	平聲	犀 溪 奚 兮 希 稀 吸 熙
ɕ	i	上聲	係{關~} 喜
ɕ	i	去聲	繫{~~子，聯~} 戲
Ø	i	平聲	縊 宜 儀 誼 移 夷 姨 肄 疑 醫 矣 毅 衣 依 遺 揖{作~} 乙 一 抑 益 譯 役
Ø	i	上聲	蟻 倚 椅 已 以 逸 尾{~巴}
Ø	i	去聲	藝 刈 義 易 意 異 億 憶 翼 亦 疫
// HSD Syllabary Data Partition
// 地区：甘肅省-天水市-清水縣
// 来源：曹興隆《甘肅清水方言語音調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-天水市-清水縣
@SRC	曹興隆《甘肅清水方言語音調查研究》

@INI	ʨ	ʨʰ	ɕ	n	Ø
@FIN	ia
@TON	平聲	24
@TON	上聲	53
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
ʨ	ia	平聲	家 加 佳 圿{垢~} 嘉 稼 袷(裌){~~子} 甲{~乙} 夾 挾{~菜}
ʨ	ia	上聲	假 賈
ʨ	ia	去聲	價 架 駕 嫁 甲{馬~兒，~~子}
ʨʰ	ia	平聲	掐
ʨʰ	ia	上聲	洽 恰
ʨʰ	ia	去聲	卡{~住了} □{私藏東西}
ɕ	ia	平聲	蝦 霞 瑕 暇 匣{風~，~~子} 轄 俠 峽 狹
ɕ	ia	去聲	下={~雨} 夏 廈{~門}
n	ia	平聲	牙- 芽-{出~，~麵} 押 娘{舊稱母親}
n	ia	去聲	壓-{~住}
Ø	ia	平聲	牙= 芽= 衙 鴉{烏~} 鴨 崖{懸~} 丫
Ø	ia	上聲	雅 啞{~巴}
Ø	ia	去聲	壓={~力} 亞
// HSD Syllabary Data Partition
// 地区：甘肅省-天水市-清水縣
// 来源：曹興隆《甘肅清水方言語音調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-天水市-清水縣
@SRC	曹興隆《甘肅清水方言語音調查研究》

@INI	p	pʰ	m	n	l	ʦ	ʦʰ	s	ʨ	ʨʰ	ɕ	Ø
@FIN	iŋ
@TON	平聲	24
@TON	上聲	53
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	iŋ	平聲	彬 斌 賓 殯 繽 檳{~榔兒} 冰 兵
p	iŋ	上聲	秉{~性} 丙 柄 餅 稟
p	iŋ	去聲	病= 並{合~，~且} 鬢{~間}
pʰ	iŋ	平聲	貧 頻 顰 憑 平 坪 評 瓶 屏 蘋 萍
pʰ	iŋ	上聲	品 拼{~命}
pʰ	iŋ	去聲	聘 拼{~音} 病-
m	iŋ	平聲	民 鳴 名 銘 明 暝
m	iŋ	上聲	閩 閔 憫 抿{頭~地光很} 抿{~一口} 皿 冥 敏
m	iŋ	去聲	命
n	iŋ	平聲	您 寧 擰 凝 嚀 獰 陰-
n	iŋ	去聲	硬{~不來} 佞
l	iŋ	平聲	林 淋 臨 鄰 霖 麟 鱗 磷 陵 凌 菱 綾 零 玲 齡 鈴 翎 伶 靈
l	iŋ	上聲	領 嶺
l	iŋ	去聲	吝 令 另{~外，~家}
ʦ	iŋ	平聲	津 精{僅僅，光是} 精{~力} 晶 睛 丁 釘 盯
ʦ	iŋ	上聲	井 頂 鼎
ʦ	iŋ	去聲	盡= 進 晉 澄 靜 靖 訂 釘 定
ʦʰ	iŋ	平聲	侵 親 秦 青 情 清 晴 聽 停 婷 亭 廳 庭 廷 蜓 蜻
ʦʰ	iŋ	上聲	寢 請 挺 霆 艇
ʦʰ	iŋ	去聲	親{~家} 盡- 靜{~~地} 淨
s	iŋ	平聲	辛 鋅 心 尋- 新 薪 星 腥 猩
s	iŋ	上聲	醒
s	iŋ	去聲	信 迅-{~速，魯~} 訊- 姓 性
ʨ	iŋ	平聲	今 金 襟 巾 筋 斤 京 荊 驚 鯨 警{~察} 經
ʨ	iŋ	上聲	錦 緊 僅 謹 景 警{~警告}
ʨ	iŋ	去聲	禁 勁 莖 竟 鏡 境 敬 競 頸
ʨʰ	iŋ	平聲	欽 琴 禽 擒 勤 芹 擎 卿 輕 噙
ʨʰ	iŋ	上聲	傾 頃
ʨʰ	iŋ	去聲	妗 近 慶 罄 □{冷卻後凝固}
ɕ	iŋ	平聲	興 行 形 型 刑 邢 滎
ɕ	iŋ	上聲	釁 欣 擤 幸
ɕ	iŋ	去聲	興 杏 □{斥責}
Ø	iŋ	平聲	吟 音 喑 因 姻 殷 尹 陰= 淫 銀 寅 蠅 鶯 嬰 櫻 鸚 迎 英 盈 贏 營 瑩 螢
Ø	iŋ	上聲	飲 引 隱 癮 應{答~} 影 穎 □{縫，~被兒}
Ø	iŋ	去聲	飲 印 應{~該} 映
// HSD Syllabary Data Partition
// 地区：甘肅省-天水市-清水縣
// 来源：曹興隆《甘肅清水方言語音調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-天水市-清水縣
@SRC	曹興隆《甘肅清水方言語音調查研究》

@INI	p	pʰ	m	n	l	ʦ	ʦʰ	s	ʨ	ʨʰ	ɕ	Ø
@FIN	iɔ
@TON	平聲	24
@TON	上聲	53
@TON	去聲	44
@TON	輕聲	21

// Initial	Final	Tone	CharList (Space separated)
p	iɔ	平聲	膘 飆{突然快速上升或前進} 標 彪
p	iɔ	上聲	表 裱 婊{~子}
pʰ	iɔ	平聲	飄 瓢 嫖 漂{水上浮}
pʰ	iɔ	上聲	漂{~亮}
pʰ	iɔ	去聲	票{~子，車~}
m	iɔ	平聲	苗 描 瞄 矛{桿子}
m	iɔ	上聲	藐 渺 秒 緲
m	iɔ	去聲	妙 廟
n	iɔ	上聲	鳥 咬
n	iɔ	去聲	尿
l	iɔ	平聲	療 遼 聊 寥
l	iɔ	上聲	了 燎
l	iɔ	去聲	瞭{巡營~哨} 料{搭~} 撂{~屁} 尥{男孩子注重打扮以顯酷，你藏~地很}
ʦ	iɔ	平聲	□{~著做(抽空做)} □{只要，要是} 焦 蕉 椒 刁 貂 雕{神~}
ʦ	iɔ	上聲	椒{又} 吊{~兒郎當}
ʦ	iɔ	去聲	釣 吊 掉= 調{腔~，~著走了(調動工作)}
ʦʰ	iɔ	平聲	雕{~章子} 瞧 樵 悄 挑{選} 條 調{~和} 跳{~高}
ʦʰ	iɔ	上聲	雀{~兒}
ʦʰ	iɔ	去聲	俏 掉-{~向，打~兒} 糶{~糧食}
s	iɔ	平聲	肖{姓} 消 銷 宵 霄 硝{~銨} 逍 蕭 瀟 簫
s	iɔ	上聲	小
s	iɔ	去聲	笑{表情} 笑{饅頭蒸熟裂開了}
ʨ	iɔ	平聲	交 膠 郊 教{教學(教書)} 嬌 澆 繳
ʨ	iɔ	上聲	絞 狡{~猾} 鉸{用剪子~} 攪{打~，~搭} 驕{~傲} 僥 餃
ʨ	iɔ	去聲	教{~師} 校{校對} 較 矯 酵{~子} 窖{洋芋~} 覺{睡~} 叫
ʨʰ	iɔ	平聲	敲 喬 橋 僑 蕎 蹺 □{跨過，~尿騷，一~(一步)}
ʨʰ	iɔ	上聲	巧
ʨʰ	iɔ	去聲	竅{七~} 竅{~大(主意多，多指動手能力強)} 轎 撬{~槓}
ɕ	iɔ	平聲	□{~眼(使眼色)} 淆 囂{~張}
ɕ	iɔ	上聲	曉
ɕ	iɔ	去聲	孝 校{學~} 效
ɕ	iɔ	輕聲	□{質量差，不結實}
Ø	iɔ	平聲	肴 妖 邀 腰 要{要求} 搖 遙 謠 窯 姚 堯 吆{~喝} 杳{~無音信}
Ø	iɔ	上聲	舀{~水}
Ø	iɔ	去聲	要 耀 鷂{~子} □{在將收割的作物弄成捆時，用來捆綁的一束擰起來的作物叫做~}
// HSD Syllabary Data Partition
// 地区：甘肅省-天水市-清水縣
// 来源：曹興隆《甘肅清水方言語音調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-天水市-清水縣
@SRC	曹興隆《甘肅清水方言語音調查研究》

@INI	n	l	ʦ	ʦʰ	s	ʨ	ʨʰ	ɕ	Ø
@FIN	iɔ̃
@TON	平聲	24
@TON	上聲	53
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
n	iɔ̃	平聲	娘=
n	iɔ̃	上聲	釀 仰-{~般子(四腳朝天躺著)}
l	iɔ̃	平聲	良 涼{不熱} 涼{傻，笨} 量{~糧食(買糧食)} 糧 梁 粱
l	iɔ̃	上聲	兩{~個} 兩{幾錢幾~} 輛 倆
l	iɔ̃	去聲	量{較~，飯~} 亮 靚 晾{~衣裳} 諒{原~}
ʦ	iɔ̃	平聲	將{~來} 漿{~水}
ʦ	iɔ̃	上聲	獎 蔣 槳
ʦ	iɔ̃	去聲	將{~相} 醬 匠={~人}
ʦʰ	iɔ̃	平聲	牆 槍 □{斜，~雨}
ʦʰ	iɔ̃	上聲	熗{將菜肴放在熱油中略炒，再加水煮，~漿水，~清湯} 搶 嗆{~了一哈}
ʦʰ	iɔ̃	去聲	匠-{鐵~}
s	iɔ̃	平聲	相{~互} 箱 廂 湘 襄 鑲 祥 詳 翔
s	iɔ̃	上聲	想
s	iɔ̃	去聲	象 像 橡 相{~貌} 相{~親} 相{~端/~復(想辦法解決)}
ʨ	iɔ̃	平聲	疆 韁{~繩} 姜 江 豇{~豆}
ʨ	iɔ̃	上聲	講
ʨ	iɔ̃	去聲	降{下~} 虹 絳
ʨʰ	iɔ̃	平聲	強 腔{秦~} □{兩個娃都不幹活去，一個~一個哩}
ʨʰ	iɔ̃	上聲	強{勉~，~調}
ʨʰ	iɔ̃	去聲	羌 僵{硬} 犟{脾氣~}
ɕ	iɔ̃	平聲	香 鄉 降{投~，~住}
ɕ	iɔ̃	上聲	享 響
ɕ	iɔ̃	去聲	向 項{~目} 巷=
Ø	iɔ̃	平聲	央 秧 殃 羊 洋 楊 揚 鴦{鴛~} 陽 佯{~昏子}
Ø	iɔ̃	上聲	養 癢{~人，骨~} 仰= 氧
Ø	iɔ̃	去聲	□{撒，~糞} □{~床} 樣{~子，~樣板} 漾{撒落，拋開，瓜子~了一地下，~糞}
// HSD Syllabary Data Partition
// 地区：甘肅省-天水市-清水縣
// 来源：曹興隆《甘肅清水方言語音調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-天水市-清水縣
@SRC	曹興隆《甘肅清水方言語音調查研究》

@INI	p	pʰ	m	n	l	ʦ	ʦʰ	s	ʨ	ʨʰ	ɕ	Ø
@FIN	iə
@TON	平聲	24
@TON	上聲	53
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	iə	平聲	□{吃(貶義)，~著吃} □{把泥狀物抹在物體上} 別={區~} 鱉 憋
p	iə	去聲	□{爆，~仙美花兒(即爆玉米花)}
pʰ	iə	平聲	別{~阿搭(其他地方)} 別{插，~針子，~住} □{在液體表面舀} □{借或拿去不還}
pʰ	iə	上聲	撇{~捺} 撇{~了(扔了)}
m	iə	平聲	滅
m	iə	上聲	蔑
n	iə	平聲	聶 鑷{~子} 捏 業 孽 涅 乜{人家} □{~~(乳房)}
l	iə	平聲	列 裂 烈 獵 □{胳膊扭傷或脫臼}
l	iə	去聲	□{躲，收縮}
ʦ	iə	平聲	姐{~姐} 接 捷= 跌 碟{光~} 諜 牒 蝶 節 截{半~子}
ʦ	iə	上聲	爹 姐{~夫}
ʦ	iə	去聲	借
ʦʰ	iə	平聲	捷-{~路，~方(偏方)} 竊 帖 貼 疊{~被兒} 碟{~碟子} 鐵 切 截{~斷，半~子}
ʦʰ	iə	上聲	且 妾
ʦʰ	iə	去聲	笡{把娃娃~哈(使嬰兒躺著睡覺)} 笡{依靠，憑藉}
s	iə	平聲	些 邪 斜 薛{姓} 屑 楔 □{朝，~我臉一巴掌} □{把氣~了(說經常吐唾沫會~氣)}
s	iə	上聲	寫
s	iə	去聲	泄 瀉 卸 謝 □{打，把某人給~了一頓}
ʨ	iə	平聲	皆 階 街= 劫 傑 揭{~過(揭開)} □{推} 結 潔
ʨ	iə	上聲	解={理~}
ʨ	iə	去聲	介 界 疥 屆 戒 解{押送，~蘇三(去另外一個地方有時也說解：今年一哈給~著上海去了)}
ʨʰ	iə	平聲	茄{~兒} 怯{~怕} 揭{扛}
ʨʰ	iə	上聲	起-
ʨʰ	iə	去聲	□{~實(成功或有錢後顯露出傲氣)}
ɕ	iə	平聲	諧 協 歇 蠍 蟹 血 穴 鞋= 攜 挾 脅 頡 偕 熁{烤，~火，~饃饃}
ɕ	iə	上聲	邂{~逅}
ɕ	iə	去聲	械 懈
Ø	iə	平聲	耶 爺 葉 頁 噎{~住了} 液 □{解開，滑落，毛衣~了，崖~了} □{幾個人一起去，紐今兒~著阿搭去的} 冶 □{~子麻(心狠，下手重)}
Ø	iə	上聲	也= 野 掖{張~}
Ø	iə	去聲	夜 □{跑掉}
// HSD Syllabary Data Partition
// 地区：甘肅省-天水市-清水縣
// 来源：曹興隆《甘肅清水方言語音調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-天水市-清水縣
@SRC	曹興隆《甘肅清水方言語音調查研究》

@INI	n	l	ʦ	ʦʰ	s	ʨ	ʨʰ	ɕ	Ø
@FIN	iəu
@TON	平聲	24
@TON	上聲	53
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
n	iəu	平聲	牛 □{小孩發脾氣}
n	iəu	上聲	紐 扭 鈕
l	iəu	平聲	流 留 劉 瀏 硫{~磺} 榴{手~彈} 琉 六 綠-
l	iəu	上聲	柳
l	iəu	去聲	溜{~了，~撒} 遛 瘤
ʦ	iəu	平聲	揪 丟 □{蹲}
ʦ	iəu	上聲	酒
ʦ	iəu	去聲	就={就業} □{蹲，又讀平聲}
ʦʰ	iəu	平聲	秋 楸{~樹兒} 鞧{~大了}
ʦʰ	iəu	去聲	就-{~地兒(馬上，目前)}
s	iəu	平聲	修 羞 休
s	iəu	去聲	秀 繡 鏽 袖 宿{星~(星讀成羞)}
ʨ	iəu	平聲	赳 揂{~門(關門但不插插銷)} 揂{餵養，飼養，~牲口，~雞兒，~碎娃娃}
ʨ	iəu	上聲	九 久 玖 疚 灸 韭{~菜}
ʨ	iəu	去聲	鳩 糾 舅 救 究 咎 臼
ʨʰ	iəu	平聲	囚 丘 求 球 裘 □{男根，二~、~勢(詈詞)} 逑 酋
ʨʰ	iəu	去聲	就- 舊
ɕ	iəu	平聲	休{無~歇(不停)}
ɕ	iəu	上聲	朽
Ø	iəu	平聲	尤 憂 猶 優 由 油 郵 遊 悠 幽 蚰{~蜒} 莜{~麥}
Ø	iəu	上聲	有 酉{辛~年}
Ø	iəu	去聲	又 友 右 佑 幼 祐 宥 誘{引~}
// HSD Syllabary Data Partition
// 地区：甘肅省-天水市-清水縣
// 来源：曹興隆《甘肅清水方言語音調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-天水市-清水縣
@SRC	曹興隆《甘肅清水方言語音調查研究》

@INI	p	pʰ	m	n	l	ʦ	ʦʰ	s	ʨ	ʨʰ	ɕ	∅
@FIN	iɛ̃
@TON	平聲	24
@TON	上聲	53
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	iɛ̃	平聲	鞭 編 邊
p	iɛ̃	上聲	貶 □{挽，~袖子} 汴 蝙 扁 匾
p	iɛ̃	去聲	辯 辨={~別} 變 便{方~} 遍
pʰ	iɛ̃	平聲	緶{縫} 偏 便{~宜}
pʰ	iɛ̃	上聲	篇 片 諞{~傳}
pʰ	iɛ̃	去聲	辨-{想} 辮{麥~兒} 騙 □{合作，~莊農}
m	iɛ̃	平聲	棉 綿 眠 靦{~腆}
m	iɛ̃	上聲	免 勉 娩
m	iɛ̃	去聲	面 緬
n	iɛ̃	平聲	年 蔫 嚴-{塞~} 言{~傳}
n	iɛ̃	上聲	攆{追} 蹨{追} 眼 臉 碾{~場} 輦{車~} 靨{笑~窩窩}
n	iɛ̃	去聲	念 碾{~盤}
l	iɛ̃	平聲	廉 鐮 簾 連 聯 憐 蓮
l	iɛ̃	上聲	斂
l	iɛ̃	去聲	殮{入~} 練 鏈 煉
ʦ	iɛ̃	平聲	尖{針~兒} 尖{靈敏，聰明} 掂{抬} 煎 □{熱，加熱} 顛
ʦ	iɛ̃	上聲	點 剪{~子} 典 碘 □{敏捷，~竄，~腳} □{香味濃或鼻子嗅覺敏銳} □{不保守秘密，嘴~}
ʦ	iɛ̃	去聲	漸 店 電 箭 踐 殿 奠 薦{推~} 薦{用木棍等在側面撐住} 踮
ʦʰ	iɛ̃	平聲	簽 添 潛 甜 遷 錢 天 田 填 千 前
ʦʰ	iɛ̃	上聲	舔 淺 腆{靦~}
ʦʰ	iɛ̃	去聲	賤{便宜，低賤} 墊{~子，~錢}
s	iɛ̃	平聲	仙 先 □{~答答(很黏的樣子)}
s	iɛ̃	上聲	鮮 癬
s	iɛ̃	去聲	線 羨 腺
ʨ	iɛ̃	平聲	監 奸 殲 兼 艱 間 犍{~牛} 堅 肩
ʨ	iɛ̃	上聲	減 鹼{~麵子} 檢 儉 簡 柬 諫 撿 揀 澗{大~裡} 鐧
ʨ	iɛ̃	去聲	劍 見 建 健= 鍵
ʨʰ	iɛ̃	平聲	鉗{~子} 謙 乾 虔 牽 鉛
ʨʰ	iɛ̃	上聲	歉 遣 膁{~窩}
ʨʰ	iɛ̃	去聲	欠 □{二，說話莽撞、不經過思考} 健{康~} 件
ɕ	iɛ̃	平聲	嫌 閑 鍁 掀 咸{咸陽} 賢 銜 弦 □{眼~} □{搭~}
ɕ	iɛ̃	上聲	險 顯
ɕ	iɛ̃	去聲	陷 餡 限 獻 縣 現
∅	iɛ̃	平聲	岩 淹 閹 鹽 閻= 檐 腌{~咸菜} 嚴={~格} 儼 顏 焉 延 言= 研{~細，~究} 煙 沿 蜒{蚰~}
∅	iɛ̃	上聲	掩{門~住} 魘{~住了} 演 黶{~子，~子黶脖子，騎馬壓騾子} □{液體晃動}
∅	iɛ̃	去聲	驗 炎{發~} 厭 焰 雁 晏 宴 堰 硯 諺 燕 艷 彥
// HSD Syllabary Data Partition
// 地区：甘肅省-天水市-清水縣
// 来源：曹興隆《甘肅清水方言語音調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-天水市-清水縣
@SRC	曹興隆《甘肅清水方言語音調查研究》

@INI	p	pʰ	m	f	v	t	tʰ	l	ʦ	ʦʰ	s	k	kʰ	x
@FIN	u
@TON	平聲	24
@TON	上聲	53
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	u	平聲	不
p	u	上聲	堡-{紅~（鎮名）} 捕 補
p	u	去聲	布 怖
pʰ	u	平聲	鋪{~炕} 葡{~萄} 哭- 殕{~氣了} 窟{~窿} 仆
pʰ	u	上聲	普 譜 浦 褲{~兒} 苦- 撲{艱~} 撲{~克} 瀑{~布}
pʰ	u	去聲	鋪{小賣~} 部 簿{禮~} 步 庫{~倉} 褲{~帶(腰帶、皮帶)}
m	u	平聲	謀 木 目 穆 苜{~蓿} 沫{白~}
m	u	上聲	模{墼~子} 某 畝 牡-{~丹} 母 拇
m	u	去聲	暮 幕 墓 慕 募 牧 □{糊塗，笨}
