ɑ
p[1]巴芭疤杷[2]爸[3]吧把欛耙[5]垻罢八
pʰ[2]爬螃[5]怕帕
m[1]妈[2]麻痲抹[3]马码[5]骂
f[5]法乏发{头~}发{~财}罚发
t[2]答[3]打[5]大大搭达
tʰ[1]他[5]塔榻踏
l[1]拉垃[2]哪拿纳[3]哪[5]那腊蜡辣
ts[5]杂
tsʰ[5]擦
s[1]萨[3]洒[5]撤
tʂ[1]查渣[5]炸诈榨札眨闸煠扎
tʂʰ[1]叉差[2]茶搽查[5]杈岔插察
ʂ[1]沙纱砂[3]厦傻[5]杀
Ǿ[1]阿
i
p[1]逼[3]彼比[5]蔽敝弊币毙闭陛鄙庇鼻毕必笔
pʰ[2]皮疲脾痹琵枇[3]匹[5]避屁
m[2]迷谜弥靡[3]米[5]秘密蜜
t[1]低[3]底抵[5]逮帝蒂弟第递地滴
tʰ[1]梯[2]堤屉题提蹄[3]体[5]替涕剃
l[2]犂黎离篱璃离梨厘貍泥宜谊尼疑[3]你礼莉李里理里鲤[5]腻厉励丽隷荔利吏立笠粒栗率力
tɕ[1]鷄奇飢肌几基姬机讥饥几[3]挤己纪几[5]祭际济剂计继寄徛技妓拒记杞忌既季缉集急级疾积寂
tɕʰ[1]妻凄凄欺期[2]齐脐奇骑棋旗其祈[3]啓起岂[5]契企器弃气汽泣七漆乞
ɕ[1]些西栖犀溪牺熙嘻希稀蟋[2]婿徙惜[3]洗禧喜[5]褯细系系系系玺戏袭吸悉息
Ǿ[1]衣医[3]蚁椅倚[5]义议
u
p[3]补[5]布布怖部簿步不不
pʰ[1]铺[2]菩脯葡[3]捕谱普[5]浦铺赴
m[3]牡母拇[5]慕墓募木
f[1]呼夫肤俘孵[2]胡湖狐葫蝴胡浮复符扶芙[3]虎府俯甫斧抚釜腐辅[5]户互护付赋傅富副负妇父附忽咐
v[1]吾乌污巫诬[2]蜈梧无[3]吴五伍午武舞侮鹉[5]误悟务雾物
t[1]都[3]堵赌肚[5]妒杜肚度渡读
tʰ[2]途屠徒涂[3]土吐吐[5]兔图突凸秃
l[2]奴卢炉芦庐[3]努鲁虏卤[5]怒路赂露鹿六緑
ts[1]租[3]祖组阻[5]做助柱卒
tsʰ[1]粗初[2]除锄雏[3]楚础[5]醋
s[1]苏酥梳疏蔬[3]数蜀[5]素诉塑漱数速
tʂ[1]猪诸蛛株朱珠[3]煮拄住主[5]着驻注蛀铸竹烛
tʂʰ[2]储厨[3]处[5]出
ʂ[1]书舒输输殊[3]鼠暑署薯[5]恕墅竖树术
ʐ[2]如[3]乳辱[5]入
k[1]姑孤辜[3]古估[5]故固顾骨
kʰ[1]枯[3]苦[5]库裤哭酷
y
ȵ[3]女
l[2]驴[3]吕旅履缕屡[5]虑滤律
tɕ[1]居拘[3]举矩[5]具惧据锯距聚俱句剧橘
tɕʰ[1]蛆趋区驱躯[2]渠[3]取娶[5]去趣曲
ɕ[1]虚嘘须须需[2]徐续[3]许[5]序绪
Ǿ[2]鱼[3]语与[5]玉御预
o
p[1]波菠播玻[5]薄拨脖剥驳博
pʰ[1]坡[2]婆[3]剖[5]破泊泊
m[1]摩[2]魔磨蟆模模[5]磨沫没墨默莫寞
t[1]多躲[3]朵[5]舵剁夺
tʰ[1]拖托[2]驼驮[3]妥
l[2]挪罗锣箩萝螺囉[3]裸[5]骡落洛乐糯
ts[3]左佐[5]坐座作昨
tsʰ[1]搓[5]措错拙戳错
s[1]梭唆[3]锁琐所[5]缩
tʂ[5]桌镯
tʂʰ[5]浊
ʂ[5]说
ʐ[2]弱[5]诺
k[1]哥戈歌锅[3]果裹棵[5]个过过鸽各[5]葛
kʰ[1]科[3]颗可[5]课磕渴扩壳
x[1]喝[2]荷何河荷和禾[3]火伙[5]贺货祸和合合盒活霍或鹤获
ŋ[2]鹅[3]我[5]饿
e
p[5]北百白柏伯
pʰ[5]拍
m[5]麦
t[5]德
tʰ[5]特
ts[5]摘责
tsʰ[2]厕择泽[5]泽册侧测恻
s[5]色涩瑟虱
tʂ[1]遮[2]蔗[3]者[5]褶哲澈折浙窄
tʂʰ[1]车[3]扯[5]彻拆
ʂ[1]赊奢[2]蛇[3]舍[5]射麝舍社摄涉舌设
ʐ[3]惹[5]热
k[2]割[5]革胳
kʰ[5]咳刻客
x[5]核黑
ɚ
Ǿ[2]儿而[3]耳饵[5]贰
ɿ
ts[1]资姿咨滋[2]餈[3]紫姊子滓[5]自至字
tsʰ[1]疵[2]雌赐瓷慈磁辞祠词[3]此[5]刺次伺秩
s[1]斯厮撕私师狮蛳思丝司思[3]死[5]四肆似寺饲士柿事
ʅ
tʂ[1]知蜘支肢栀脂芝汁[2]织置[3]纸只指旨止址[5]制制智翅致致稚峙治志志执侄质直植
tʂʰ[1]痴[2]池驰迟持[3]侈耻趾齿[5]尺吃
ʂ[1]施匙豉尸诗[2]时[3]屎史使驶始[5]世势誓逝是示视试市侍湿十拾失室食石实
ʐ[5]日
iɑ
tɕ[1]家嘉家稼佳加[3]贾假[5]架驾嫁价夹甲匣
tɕʰ[2]恰[5]掐洽
ɕ[1]虾[2]霞瑕狭峡侠[5]吓下夏厦瞎
Ǿ[1]鸦丫[2]牙[3]哑雅[5]鸭压
uɑ
tʂ[1]抓[3]爪
ʂ[3]耍[5]刷
k[1]瓜[3]寡剐[5]挂卦褂刮
kʰ[1]夸[3]垮[5]跨
x[1]花[2]华划[5]化华画话滑
Ǿ[1]挖[2]娃[3]瓦
io
tɕ[5]脚角觉
ɕ[5]学
Ǿ[5]药钥
ie
p[1]憋[5]别别
pʰ[1]瞥[3]撇
m[5]灭
t[1]爹[5]跌叠碟迭蝶谍
tʰ[2]贴[5]铁帖
l[5]例猎烈劣镊孽列业捏
tɕ[1]街[3]姐[5]借戒接妾杰揭节结洁吉
tɕʰ[2]茄捷[3]且[5]砌劫怯切窃截
ɕ[2]邪斜偕谐蟹[3]写[5]泻卸谢胁协泄歇穴
Ǿ[2]爷[3]野[5]夜
ye
n[5]虐
tɕ[5]絶决诀
tɕʰ[5]掘缺雀
ɕ[1]靴[5]屑雪血削
Ǿ[5]月越
ai
p[3]摆[5]拜败
pʰ[2]排牌徘[5]派
m[2]埋[3]买[5]卖迈
t[1]獃呆[5]戴贷待怠代袋带
tʰ[1]胎苔[2]台台抬[5]态太泰
l[2]来[3]奶[5]耐奈赖癞
ts[1]灾栽[3]宰[5]再载在载
tsʰ[1]猜[2]纔才材财裁豺[3]彩采踩睬[5]菜蔡宅
s[1]鳃[5]赛
tʂ[1]斋[5]债寨
tʂʰ[1]钗差[2]柴
ʂ[1]筛筛[5]晒
k[1]该[3]改[5]溉盖丐
kʰ[1]开[3]凯楷[5]概慨
x[2]孩鞋还[3]海蟹[5]害
ŋ[1]埃[2]崖捱巖[3]蔼矮[5]碍爱隘
uai
tʂʰ[1]揣
ʂ[1]衰摔[5]帅率
k[1]乖[3]柺[5]怪
kʰ[3]块块[5]会快筷
x[2]怀槐淮[5]坏
Ǿ[1]歪[5]外
ei
p[1]杯碑卑悲[5]贝狈辈背倍背臂被婢被备
pʰ[1]批坯披[2]培陪赔[5]配佩
m[2]梅媒煤玫莓眉霉[3]每美[5]妹昧
f[1]恢灰飞非妃挥[2]肥[3]毁匪[5]废肺沸费
uei
t[1]堆[5]对队兑
tʰ[1]推[3]腿[5]退
l[2]雷擂[3]累垒[5]内累累类泪
ts[1]追[3]嘴[5]罪最醉
tsʰ[1]催崔摧炊[2]锤[5]脆翠悴粹
s[1]虽[2]随谁[3]髓[5]碎岁隧
tʂ[1]锥[5]缀
tʂʰ[1]吹[2]垂
ʂ[3]水[5]税睡
ʐ[5]鋭瑞
k[1]闺规龟归[3]诡轨鬼[5]瑰桂跪柜贵
kʰ[1]盔亏窥[2]奎逵葵[5]魁愧
x[1]徽[2]回回[3]悔[5]贿晦汇会绘秽惠慧讳汇
Ǿ[1]微[2]围为唯[3]尾伟萎[5]卫味喂
ɑu
p[1]褒包胞[3]保宝堡饱[5]报抱暴菢豹爆鲍刨
pʰ[1]抛[2]袍刨[3]跑[5]泡泡炮
m[1]猫猫[2]毛茅锚矛[5]冒帽貌藐贸
t[1]刀[3]倒岛祷捣[5]倒到稻道盗蹈
tʰ[1]滔掏涛[2]桃逃淘陶萄[3]讨[5]套导
l[1]捞[2]劳牢唠[3]脑恼老姥[5]涝閙
ts[1]糟遭[3]早枣蚤澡[5]竈皂
tsʰ[1]操[2]曹槽[3]草[5]躁糙造燥
s[1]骚[3]嫂扫扫[5]潲
tʂ[1]朝招[3]找沼[5]罩赵召照诏
tʂʰ[1]抄钞超[2]巢潮朝[3]炒吵
ʂ[1]梢筲稍烧[3]少[5]哨少绍
ʐ[2]饶[3]扰绕
k[1]膏高膏篙糕羔[3]稿搞[5]告
kʰ[1]敲[3]考烤拷[5]靠犒铐
x[2]毫豪壕号[3]好[5]好耗浩号
ŋ[2]熬[3]袄咬[5]傲懊奥澳懊坳
iɑu
p[1]臕标[3]表表
pʰ[1]飘鳔[2]瓢嫖[5]漂票漂
m[2]苗描[3]秒渺[5]庙妙
t[1]刁雕貂凋[5]吊钓调掉调
tʰ[1]挑[2]条调[5]跳跳
l[2]燎疗辽聊撩僚镣[3]了鸟[5]尿廖料
tɕ[1]交胶郊教焦蕉椒骄娇浇[3]绞狡搅剿缴侥饺[5]教较觉窖轿叫
tɕʰ[1]锹悄撬[2]瞧侨桥乔[3]巧[5]俏翘窍
ɕ[1]消宵霄硝销逍肖嚣萧箫[2]淆[3]小晓[5]校孝校效笑
Ǿ[1]妖邀腰夭[2]摇谣遥舀姚[3]咬[5]要耀
əu
t[1]都兜[3]斗陡[5]斗豆痘逗
tʰ[1]偷[2]头投[3]抖[5]透
l[2]楼[3]搂[5]漏陋
ts[1]邹[3]走[5]奏骤
tsʰ[5]凑
s[1]搜馊搜[5]嗽瘦
tʂ[1]周舟州洲[3]帚[5]肘昼宙皱骤咒
tʂʰ[1]抽[2]绸稠筹愁酬仇[3]丑[5]臭
ʂ[1]收[3]手首守[5]兽受寿授售
ʐ[2]柔[5]肉
k[1]勾钩沟勾[3]狗苟[5]够构购
kʰ[1]抠[3]口[5]叩扣
x[2]喉猴[3]吼[5]后厚后候
ŋ[1]欧呕殴[3]藕偶偶
iəu
t[1]丢
l[1]溜[2]流留牛刘琉硫[3]纽扭榴柳
tɕ[1]阄纠灸纠[3]酒九久韭[5]就救究臼舅旧
tɕʰ[1]秋鳅丘[2]求球
ɕ[1]携修羞休[2]囚[3]朽[5]秀绣锈袖嗅
Ǿ[1]优忧右悠[2]邮油游[3]有友[5]又诱
an
p[1]班斑扳搬[3]板版[5]扮办半伴
pʰ[1]潘[2]襻盘[5]盼绊判叛
m[2]蛮瞒馒[3]满[5]慢漫
f[2]凡繁[3]反[5]泛范犯烦饭
t[1]担丹单耽[3]胆[5]担淡旦诞但弹蛋
tʰ[1]坍滩摊贪[2]谈痰潭谭壜坛弹[3]毯坦[5]叹炭探
l[2]蓝篮槛南男难婪兰拦[3]览揽缆懒[5]滥难烂
ts[5]暂站赞绽蘸
tsʰ[1]参餐[2]惭蚕残[3]搀忏惨産[5]灿
s[1]三[3]散伞[5]散
tʂ[1]粘[3]斩展[5]站占栈战
tʂʰ[1]缠[2]馋谗禅
ʂ[1]山杉衫[3]陕闪[5]扇善
ʐ[2]然燃[3]染
k[1]甘柑干肝[3]敢橄感擀赶[5]干
kʰ[1]堪勘刊[3]坎砍[5]看看
x[1]憨[2]含函咸罕韩[3]喊喊[5]撼憾汉旱捍汗銲
ŋ[1]安[5]暗岸按案
ian
p[1]鞭编边[3]贬蝙扁[5]变便辩
pʰ[1]篇偏[5]骗遍遍片
m[2]绵棉眠[3]免缅[5]面面
t[1]颠[3]点典[5]店电奠垫淀
tʰ[1]添天[2]甜田填[3]舔
l[2]研年廉镰帘连联莲严[3]脸[5]敛练炼恋验念
tɕ[1]阶监尖兼艰间煎肩坚[3]解解减检俭简拣剪[5]介界届械鉴舰渐剑间箭践件键健荐见
tɕʰ[1]签签纤谦迁千牵[2]钳钱干前铅[3]潜浅[5]欠歉
ɕ[1]仙先[2]嫌闲贤[3]险显[5]陷限线羡宪献现县
Ǿ[1]烟咽[2]盐[3]眼[5]燕
uan
t[1]端[3]短[5]断
tʰ[2]团
l[3]暖[5]乱
ts[5]钻
tsʰ[5]窜
s[1]酸[5]算
tʂ[1]专[3]转[5]赚转
tʂʰ[1]川穿[2]传船[3]铲
ʂ[1]删栓[5]涮
ʐ[3]软
k[1]官棺观关[3]管馆[5]贯罐冠
kʰ[1]宽[3]款
x[1]欢[2]还[3]缓[5]唤换幻
Ǿ[1]弯[2]完玩[3]晚碗[5]万
yan
tɕ[3]卷
tɕʰ[1]圈[2]全泉权拳[3]犬[5]劝
ɕ[1]鲜宣喧[2]玄悬[5]旋
Ǿ[1]冤渊[2]圆员缘元原源阮愿[3]远[5]院怨
en
p[1]奔[3]本[5]笨
pʰ[1]喷[2]盆
m[2]门[5]闷
f[1]分吩[2]坟[3]翡粉[5]粪奋愤份
t[3]等[5]凳邓
tʰ[1]吞[2]腾
l[2]能
ts[1]争筝尊增睁臻[3]怎[5]赠
tsʰ[1]撑[2]层[5]趁衬
s[1]森参生牲甥[3]损省
tʂ[1]针珍真诊征[3]枕拯[5]镇阵振震证正
tʂʰ[2]沉陈尘臣橙乘程
ʂ[1]深身声[2]神晨[3]沈婶审[5]渗肾慎胜
ʐ[2]人仁[3]忍[5]任认
k[1]跟根[5]更
kʰ[3]恳啃肯
ŋ[1]恩[5]硬
x[2]痕[3]很[5]恨
in
p[1]彬宾冰兵[5]病
pʰ[1]拚拼[2]贫频苹萍[3]品
m[2]民名[3]敏
t[1]丁[5]定
tʰ[1]听[2]停
l[2]林淋临怜鳞邻
tɕ[1]今金津巾斤筋睛经[3]锦紧谨景警[5]禁尽进仅
tɕʰ[1]钦亲轻[2]琴禽擒秦勤芹[3]寝[5]浸侵
ɕ[1]心芯辛薪新兴[5]信杏
Ǿ[1]音阴因[2]淫银[3]饮引隐瘾[5]印
uen
t[1]墩蹲[5]盾沌钝盾
tʰ[2]屯豚
l[2]仑轮[5]嫩论
ts[1]遵
tsʰ[1]村[2]存[5]寸
s[1]孙[3]笋
tʂ[3]准
tʂʰ[1]春[2]脣纯
ʂ[2]绳[5]舜
ʐ[5]润
k[3]滚[5]棍
kʰ[1]坤[3]綑[5]困
x[1]昏婚浑荤[2]魂
Ǿ[1]温瘟[2]文蚊闻[3]稳吻刎[5]问
yn
tɕ[1]均军[5]俊菌
tɕʰ[2]羣裙
ɕ[1]燻[2]寻巡[5]讯逊询迅驯
Ǿ[1]晕[2]云[3]永[5]运
ɑŋ
p[3]榜[5]傍
pʰ[2]庞
m[2]盲忙芒茫[3]蟒
f[1]荒方[2]房[3]仿[5]放
t[1]当裆[3]党档[5]挡荡
tʰ[1]汤[2]堂唐糖[3]躺[5]烫
l[2]郎螂[5]囊朗浪
ts[1]脏[5]藏
tsʰ[1]苍舱[2]藏
s[1]丧
tʂ[1]张章[3]长涨[5]账丈仗
tʂʰ[2]长[3]厂[5]唱
ʂ[1]商伤[5]上尚
ʐ[5]让
k[1]刚岗[3]港
kʰ[1]康[5]抗
x[2]行杭
ŋ[2]昂
iaŋ
l[2]良凉粮粱[3]两[5]量谅亮
tɕ[1]疆姜江将[3]讲蒋奬[5]降酱匠
tɕʰ[1]枪[2]强墙[3]抢
ɕ[1]香乡相箱[2]翔降[3]想[5]相详象
Ǿ[1]央秧殃[2]羊洋杨阳扬[3]痒养[5]样
uɑŋ
tsʰ[1]窗
tʂ[1]庄妆[5]状撞壮
tʂʰ[2]牀[3]闯
ʂ[1]双[3]爽
k[1]光
kʰ[2]狂
x[2]黄
Ǿ[1]汪[2]王亡[3]网[5]忘望旺
oŋ
pʰ[2]棚朋[3]捧[5]碰
m[2]谋萌[3]某亩[5]茂
f[1]风[2]缝[3]否[5]缝
t[5]洞
tʰ[2]同[3]统
l[1]弄[2]隆龙
tʂ[5]重
tʂʰ[1]充[2]重崇
ʐ[2]溶
x[1]烘[2]弘宏虹红洪鸿
Ǿ[1]翁
ioŋ
tɕʰ[2]穷邛
ɕ[1]凶兄胸[2]熊雄
Ǿ[3]勇拥[5]用
