單字	松柏(調類)	松柏(調值)	注释
圍	wɐi4	wɐi²¹	
違	wɐi4	wɐi²¹	
韋	wɐi5	wɐi²¹²	
偉	wɐi5	wɐi²¹²	
瑋	wɐi5	wɐi²¹²	
葦	wɐi5	wɐi²¹²	
煒	wɐi5	wɐi²¹²	
胃	wɐi6	wɐi⁵²	
渭	wɐi6	wɐi⁵²	
謂	wɐi6	wɐi⁵²	
彙	wui6	wui⁵²	
蝟	wɐi6	wɐi⁵²	
緯	wɐi5	wɐi²¹²	
依	ji1	ji⁴⁵	
衣	ji1	ji⁴⁵	衣服
威	wɐi1	wɐi⁴⁵	
蔚	wɐi3	wɐi⁴⁴	
慰	wɐi3	wɐi⁴⁴	
熨	tʰuɔŋ3	tʰuɔŋ⁴⁴	熨斗。訓讀「燙」
尉	wɐi3	wɐi⁴⁴	太尉
畏	wɐi3	wɐi⁴⁴	
衣			衣錦還鄉
巍	ŋɐi4	ŋɐi²¹	
魏	ŋɐi6	ŋɐi⁵²	
毅	ŋɐi6	ŋɐi⁵²	
沂			
揮	fɐi1	fɐi⁴⁵	
輝	fɐi1	fɐi⁴⁵	
希	hi1	hi⁴⁵	
徽	fɐi1	fɐi⁴⁵	
暉	fɐi1	fɐi⁴⁵	
稀	hi1	hi⁴⁵	
卉	wɐi3	wɐi⁴⁴	
諱	wɐi5	wɐi²¹²	
愾			
豈	hi2	hi²¹⁴	
氣	hi3	hi⁴⁴	
崎	kʰi4	kʰi²¹	長崎
祈	kʰi4	kʰi²¹	
幾	ki2	ki²¹⁴	幾個
妃	fi1	fi⁴⁵	
菲	fi1	fi⁴⁵	芳菲
菲	fi2	fi²¹⁴	菲薄
悱	fi2	fi²¹⁴	
斐	fi2	fi²¹⁴	
霏	fi1	fi⁴⁵	
微	mi4	mi²¹	
尾	mi5	mi²¹²	
娓	mi5	mi²¹²	
未	mi6	mi⁵²	
味	mi6	mi⁵²	
歸	kɐi1	kɐi⁴⁵	
嘰	ki1	ki⁴⁵	
饑	ki1	ki⁴⁵	
譏	ki1	ki⁴⁵	
機	ki1	ki⁴⁵	
磯	ki1	ki⁴⁵	
幾	ki1	ki⁴⁵	幾乎
鬼	kɐi2	kɐi²¹⁴	
溉	kʰuɔi3	kʰuɔi⁴⁴	
既	ki3	ki⁴⁴	
貴	kɐi3	kɐi⁴⁴	
皈			
肥	fi4	fi²¹	
翡	fi2	fi²¹⁴	
狒	fɐi3	fɐi⁴⁴	又读fɐt⁵²
飛	fi1	fi⁴⁵	
非	fi1	fi⁴⁵	
扉	fi1	fi⁴⁵	
匪	fi2	fi²¹⁴	
芾			蔽芾
沸	fɐi3	fɐi⁴⁴	俗读fɐt⁵²
榧			
痱	pui6	pui⁵²	
緋	fi2	fi²¹⁴	
誹	fi2	fi²¹⁴	
輜	ʦi1	ʦi⁴⁵	
甾			
事	si6	si⁵²	
置	ʦi3	ʦi⁴⁴	
徵			古代五音之一
芝	ʦi1	ʦi⁴⁵	
之	ʦi1	ʦi⁴⁵	
止	ʦi2	ʦi²¹⁴	
趾	ʦi2	ʦi²¹⁴	
址	ʦi2	ʦi²¹⁴	
織	ʦɪk7	ʦɪk⁴	
誌	ʦi3	ʦi⁴⁴	
識			默而識之
志	ʦi3	ʦi⁴⁴	
痣	ʦi3	ʦi⁴⁴	
芷	ʦi2	ʦi²¹⁴	
矣	ji5	ji²¹²	
醫	ji1	ji⁴⁵	
意	ji3	ji⁴⁴	
怡	ji4	ji²¹	
台			古代第一人稱
貽	ji4	ji²¹	
飴	ji4	ji²¹	
頤	ji4	ji²¹	
已	ji5	ji²¹²	
以	ji5	ji²¹²	
異	ji6	ji⁵²	
姬	ki1	ki⁴⁵	又读kʰi⁴⁵
食	sɪk9	sɪk⁵²	
疑	ji4	ji²¹	
擬	ji5	ji²¹²	
伺			窺伺
思	si1	si⁴⁵	思想
思	si1	si⁴⁵	意思
絲	si1	si⁴⁵	
伺	ʦi6	ʦi⁵²	伺候
司	si1	si⁴⁵	
詞	ʦʰi4	ʦʰi²¹	
辭	ʦʰi4	ʦʰi²¹	
祠	ʦʰi4	ʦʰi²¹	
巳	ʦi6	ʦi⁵²	
似	ʦʰi5	ʦʰi²¹²	又读ʦʰi⁴⁴
祀	ʦi6	ʦi⁵²	
耜			
姒	ʦʰi5	ʦʰi²¹²	
嗣	ʦi6	ʦi⁵²	
寺	ʦi6	ʦi⁵²	
飼	ʦi6	ʦi⁵²	
熙	hi1	hi⁴⁵	
熹	hi1	hi⁴⁵	
嘻	hi1	hi⁴⁵	
嬉	hi1	hi⁴⁵	
禧	hi1	hi⁴⁵	
喜	hi2	hi²¹⁴	
欺	hi1	hi⁴⁵	
杞	ki2	ki²¹⁴	
起	hi2	hi²¹⁴	
亟	kɪk7	kɪk⁴	亟請
詩	si1	si⁴⁵	
試	si3	si⁴⁴	
始	ʦʰi2	ʦʰi²¹⁴	
幟	ʦɪk7	ʦɪk⁴	又读ʦʰi⁴⁴
弒			
史	si2	si²¹⁴	
使	si2	si²¹⁴	使用
使	si3	si⁴⁴	使者
駛	sɐi2	sɐi²¹⁴	
而	ji4	ji²¹	
耳	ji5	ji²¹²	
餌	ji5	ji²¹²	又读ni²¹²
期	kʰi4	kʰi²¹	日期
期			期年
淇	kʰi4	kʰi²¹	
琪	kʰi4	kʰi²¹	
其	kʰi4	kʰi²¹	
旗	kʰi4	kʰi²¹	
忌	ki6	ki⁵²	
麒	kʰi4	kʰi²¹	
釐	li4	li²¹	釐定
狸	li4	li²¹	
里	li5	li²¹²	
李	li5	li²¹²	
理	li5	li²¹²	
鯉	li5	li²¹²	
吏	li6	li⁵²	
裏	li5	li²¹²	
仔	ʦɐi2	ʦɐi²¹⁴	仔細
滋	ʦi1	ʦi⁴⁵	
孜	ʦi1	ʦi⁴⁵	
子	ʦi2	ʦi²¹⁴	
梓	ʦi2	ʦi²¹⁴	
居	ki1	ki⁴⁵	
基	ki1	ki⁴⁵	
箕	ki1	ki⁴⁵	
己	ki2	ki²¹⁴	
紀	ki2	ki²¹⁴	
記	ki3	ki⁴⁴	
慈	ʦʰi4	ʦʰi²¹	
字	ʦi6	ʦi⁵²	
牸	ʦi6	ʦi⁵²	
廁	ʦʰi3	ʦʰi⁴⁴	又读ʦʰi⁴⁴
仕	si6	si⁵²	
士	si6	si⁵²	
俟			
持	ʦʰi4	ʦʰi²¹	
治	ʦi6	ʦi⁵²	
峙	ʦi6	ʦi⁵²	
植	ʦɪk9	ʦɪk⁵²	
值	ʦɪk9	ʦɪk⁵²	
痔	ʦi3	ʦi⁴⁴	
痴	ʦʰi1	ʦʰi⁴⁵	
恥	ʦʰi2	ʦʰi²¹⁴	
祉	ʦi2	ʦi²¹⁴	
癡	ʦʰi1	ʦʰi⁴⁵	
時	si4	si²¹	
市	si5	si²¹²	
恃	si6	si⁵²	又读ʦʰi²¹²
侍	si6	si⁵²	
嗤	ʦʰi1	ʦʰi⁴⁵	
齒	ʦʰi2	ʦʰi²¹⁴	
熾	ʦi3	ʦi⁴⁴	又读ʦʰɪk⁴
鰣			
肢	ʦi1	ʦi⁴⁵	
支	ʦi1	ʦi⁴⁵	
只	ʦi2	ʦi²¹⁴	
枝	ʦi1	ʦi⁴⁵	
氏			月氏
祇	ʦi2	ʦi²¹⁴	同「只有」的「只」
紙	ʦi2	ʦi²¹⁴	
咫			
枳			
惴			
梔			
捶	ʦʰui4	ʦʰui²¹	
縊	ʔɐi3	ʔɐi⁴⁴	
蛇			委蛇
移	ji4	ji²¹	
易	ji6	ji⁵²	容易
蠵			
賜	ʦʰi3	ʦʰi⁴⁴	
璽	sai2	sai²¹⁴	
斯	si1	si⁴⁵	
廝	si1	si⁴⁵	
髓	suɔi2	suɔi²¹⁴	
徙	sai2	sai²¹⁴	
隨	ʦʰui4	ʦʰui²¹	
隋	ʦʰui4	ʦʰui²¹	
墮	tuɔ6	tuɔ⁵²	
窺	kʰɐi1	kʰɐi⁴⁵	
企	kʰi5	kʰi²¹²	
吱	ʦi1	ʦi⁴⁵	
施	si1	si⁴⁵	
弛	ʦʰi4	ʦʰi²¹	
翅	ʦʰi3	ʦʰi⁴⁴	
豕			
兒	ji4	ji²¹	
蕊	jui5	jui²¹²	
爾	ji5	ji²¹²	
邇			
示	si6	si⁵²	
歧	kʰi4	kʰi²¹	
祇			神祇
岐	kʰi4	kʰi²¹	
雌	ʦʰi1	ʦʰi⁴⁵	
此	ʦʰi2	ʦʰi²¹⁴	
刺	ʦʰi3	ʦʰi⁴⁴	
譬	pʰi3	pʰi⁴⁴	
瀰	ni4	ni²¹	
獼	ni4	ni²¹	
彌	ni4	ni²¹	
弭	ni5	ni²¹²	
罹	li4	li²¹	
鸝			
離	li4	li²¹	
驪			
麗	lɐi6	lɐi⁵²	
璃	li4	li²¹	琉璃
璃	li1	li⁴⁵	玻璃又读li²¹
漓	li4	li²¹	
籬	li4	li²¹	
累	lui5	lui²¹²	累積
累	lui6	lui⁵²	受累；連累
邐			
荔	lɐi6	lɐi⁵²	又读lai⁵²
羸			
劑	ʦɐi1	ʦɐi⁴⁵	
紫	ʦi2	ʦi²¹⁴	
積	ʦɪk7	ʦɪk⁴	
規	kʰɐi1	kʰɐi⁴⁵	
疵			
漬	ʦɪk7	ʦɪk⁴	
舐			
氏	si6	si⁵²	姓氏
垂	sui4	sui²¹	
匙	si4	si²¹	鑰匙
是	si6	si⁵²	
睡	sui6	sui⁵²	
瑞	sui6	sui⁵²	
提	tʰɐi4	tʰɐi²¹	
堤	tʰɐi4	tʰɐi²¹	
炊	ʦʰui1	ʦʰui⁴⁵	
吹	ʦʰui1	ʦʰui⁴⁵	
侈	ʦʰi2	ʦʰi²¹⁴	
豉	si6	si⁵²	
脾	pʰi4	pʰi²¹	
婢			
避	pi6	pi⁵²	
卑	pi1	pi⁴⁵	
臂	pi3	pi⁴⁴	
裨			
俾	pi2	pi²¹⁴	
知	ʦi1	ʦi⁴⁵	知道
蜘	ʦi1	ʦi⁴⁵	
智	ʦi3	ʦi⁴⁴	
爲	wɐi4	wɐi²¹	作爲
爲	wɐi6	wɐi⁵²	爲了
犄			
椅	ji2	ji²¹⁴	
漪	ji1	ji⁴⁵	
倚	ji2	ji²¹⁴	
逶			
萎	wɐi2	wɐi²¹⁴	又读wɐi²¹²
委			虛與委蛇，委委佗佗
委	wɐi2	wɐi²¹⁴	委託,又读wɐi²¹²
儀	ji4	ji²¹	
宜	ji4	ji²¹	
誼	ji4	ji²¹	
義	ji6	ji⁵²	
議	ji5	ji²¹²	
崖	ŋai4	ŋai²¹	
涯	ŋai4	ŋai²¹	
危	ŋɐi4	ŋɐi²¹	
蟻	ŋɐi5	ŋɐi²¹²	
僞	ŋɐi6	ŋɐi⁵²	
犧	hi1	hi⁴⁵	
羲	hi1	hi⁴⁵	
曦	hi1	hi⁴⁵	
戲	hi3	hi⁴⁴	
毀	fɐi2	fɐi²¹⁴	
麾	fɐi1	fɐi⁴⁵	
綺	ji2	ji²¹⁴	
崎	kʰi1	kʰi⁴⁵	崎嶇
虧	kʰɐi1	kʰɐi⁴⁵	
跪	kɐi6	kɐi⁵²	
灑	sa2	sa²¹⁴	又读sa²¹⁴
屣			
屣			
奇	kʰi4	kʰi²¹	奇怪
琦	kʰi4	kʰi²¹	
騎	kʰi4	kʰi²¹	騎馬,罕见kʰɛ²¹
騎	kʰi4	kʰi²¹	鐵騎
技	ki6	ki⁵²	
披	pʰi1	pʰi⁴⁵	
糜	mi4	mi²¹	
靡	mi4	mi²¹	
妓	ki6	ki⁵²	
畸	kʰi1	kʰi⁴⁵	
