音标	调类	字汇							
tsɿ	1	知支枝肢资姿蔗(甘∽杆)只(这∽手)滋汁							
tsɿ	2	直值植织职执质汁只							
tsɿ	3	只(∽有)止址趾纸子仔(∽细)籽紫指							
tsɿ	5	字自治制智这(白读)至致志痔痣蛰(惊∽)							
tsɿ	7	值(一派连读)							
tsʰɿ	1	痴							
tsʰɿ	2	词池持辞尺吃赤齿(牙∽)							
tsʰɿ	3	此耻							
tsʰɿ	5	次秩(∽序)痔							
tsʰɿ	7	吃(一派连读)							
sɿ	1	师狮斯撕施私尸诗丝司诗思							
sɿ	2	时匙十石实适湿食识释失室							
sɿ	3	死屎使始史驶豉							
sɿ	5	四是市事士仕世势示式试似誓视逝适(合∽)豉□(给，拿∽他，可能是“赐”)							
sɿ	7	十(一派连读)							
zɿ	2	日							
pi	1	憋							
pi	2	别必壁鼻笔滗毕							
pi	3	比							
pi	5	闭币弊毙备秘(∽密)被避							
pi	7	别(一派连读)							
pʰi	1	屄							
pʰi	2	皮疲脾啤枇琵匹撇僻癖痹							
pʰi	3	鄙擗							
pʰi	5	屁㡀(不好)纰(∽漏)							
mi	1	眯咪							
mi	2	迷谜篾蔑秘灭觅眉(∽毛)梅(杨∽)							
mi	3	米							
mi	5	沕							
ti	1	低爹							
ti	2	滴的(目∽)敌迪							
ti	3	底抵的(文读)							
ti	5	弟递地帝第							
tʰi	1	梯剔(∽骨鸭)锑(∽亳儿，硬币)							
tʰi	2	题提惕蹄踢铁贴屉							
tʰi	3	体							
tʰi	5	剃替嚏							
ni	1	躧(动词，蹭)的(白)							
ni	2	尼泥黎黎厘离璃漓宜疑沂捏立业孽列律率仪(∽表)							
ni	3	你李礼拟里理的(白)							
ni	5	利莉义议艺荔厉励丽腻例							
ni	10	的							
tɕi	1	鸡基几(茶∽)机挤(白，∽牙膏)季(四∽豆)奇(∽数)							
tɕi	2	急集激级圾节结洁接际(实∽上)吉给迹							
tɕi	3	几挤(文读)己姐纪(∽律)							
tɕi	5	记计继剂际寄借纪(世∽，∽录片)季技(文，科∽)际							
tɕʰi	1	期溪欺妻凄吃(白，偏乡音)							
tɕʰi	2	棋其旗奇(∽怪)骑齐七切							
tɕʰi	3	起启且							
tɕʰi	5	气汽企弃器技(白，∽术)去(白)							
tɕʰi	7	七(一派连读)							
ɕi	1	西希稀些嘻□(∽开)禧							
ɕi	2	斜(文)携邪习息熄媳歇吸惜穴							
ɕi	3	喜洗写							
ɕi	5	细谢戏婿							
i	1	衣依医椰叶(茶∽货，差货，疑为黔中借词)							
i	2	移爷一叶宜(便∽)于(白，等∽)蚁(蚂∽子)益姨							
i	3	椅以野也里(白，∽头)已							
i	5	意夜液义(新)艺(新)忆亿异							
i	7	一(一派连读)							
ki	1	叽(酸∽ka了)							
ki	3	嗝给							
ki	5	锯(白读)							
kʰi	1	吃(白，偏乡音)							
puᶹ	2	不							
puᶹ	3	补							
puᶹ	5	步布怖部卜(萝∽)							
puᶹ	7	不(见于连调)							
pʰuᶹ	1	铺(∽床)							
pʰuᶹ	2	葡孛菩扑卜(占∽)朴(∽素)勃(蓬∽)							
pʰuᶹ	3	普谱甫浦							
pʰuᶹ	5	铺(卧∽)							
muᶹ	2	模木睦目							
muᶹ	3	母姆拇							
muᶹ	5	幕							
muᶹ	7	木(一派连读)							
fuᶹ	1	呼敷夫肤俘傅(师∽)							
fuᶹ	2	服壶湖胡蝴糊狐弧扶符忽沸							
fuᶹ	3	府俯腐虎斧辅							
fuᶹ	5	父妇付附富副户护互							
tuᶹ	1	都							
tuᶹ	2	读独毒督							
tuᶹ	3	堵赌肚							
tuᶹ	5	度镀肚杜妒							
tʰuᶹ	2	涂途图屠突							
tʰuᶹ	3	土吐							
tʰuᶹ	5	兔							
nuᶹ	1	噜							
nuᶹ	2	六录绿驴炉泸芦陆碌							
nuᶹ	3	卤鲁努							
nuᶹ	5	路怒露							
nuᶹ	7	六(见于连调)绿(见于连调)							
kuᶹ	1	姑菇辜孤跍(“蹲”之意)							
kuᶹ	2	骨谷							
kuᶹ	3	古估股鼓							
kuᶹ	5	故顾固雇							
kʰuᶹ	1	箍枯							
kʰuᶹ	2	哭酷							
kʰuᶹ	3	苦							
kʰuᶹ	5	库裤							
kʰuᶹ	7	哭(一派连读)							
tsuᶹ	1	猪诸朱珠蛛租							
tsuᶹ	2	触烛祝竹筑轴							
tsuᶹ	3	祖组主煮							
tsuᶹ	5	住柱注蛀助做著							
tsʰuᶹ	1	粗初							
tsʰuᶹ	2	除厨锄出束							
tsʰuᶹ	3	楚础处(∽理)杵暑杵(∽棒棒)							
tsʰuᶹ	5	处醋助							
suᶹ	1	书苏输舒酥梳蔬殊							
suᶹ	2	熟属叔蜀续(手∽)							
suᶹ	3	暑数(∽数)墅(别∽)薯							
suᶹ	5	数(∽学)竖素塑诉							
suᶹ	7	熟(一派连读)							
zuᶹ	2	如擩入肉辱							
zuᶹ	3	乳汝							
vuᶹ	1	乌污巫诬							
vuᶹ	2	吴无屋物勿梧							
vuᶹ	3	五伍武舞午侮吾							
vuᶹ	5	雾误务							
vuᶹ	7	屋(一派连读)							
y	1	淤							
y	2	鱼于余娱育浴疫月越狱							
y	3	雨与语羽							
y	5	玉喻遇芋预裕誉鋊(光滑，磨∽了)慰(∽问)							
tɕy	1	居锥(白)							
tɕy	2	局焗橘足决绝蕨㰵(吮吸)							
tɕy	3	举挤矩							
tɕy	5	句巨距拒具惧锯据剧							
tɕy	7	局(一派连读)							
tɕʰy	1	区驱							
tɕʰy	2	渠茄曲族缺捽(用力揉、擦，如洗衣时∽衣服)屈							
tɕʰy	3	取娶							
tɕʰy	5	去趣							
ɕy	1	需须虚虽(∽然)荽							
ɕy	2	徐续速宿雪血恤削息(出∽)蓄穴							
ɕy	3	许							
ɕy	5	序隧绪							
ny	3	女							
a	1	阿							
a	5	那(白读)							
pa	1	巴芭							
pa	2	八拔爸							
pa	3	把□(∽着，以为)							
pa	5	罢坝把(刀∽)霸							
pa	7	八(一派连读)							
pʰa	1	汃							
pʰa	2	爬拔							
pʰa	5	怕帕把(拖∽)							
ma	1	妈							
