	江永銅山嶺	江華橋市	寧遠禾亭	
白	pɯ1	piɐ6	pʰo6	
百	pɯ7	piɐ5	po6	
板	pa3	pan3	pi3	
办	pa1	pan5	pʰaŋ6	
半	paŋ5	puŋ5	pie5	
帮	paŋ1	pøn1	pen1	
包	piao1	piao1	piəu1	
宝	pia3	po3	pi3	
本	pi3	puŋ3	pie3	
边	pəŋ1	pin1	paŋ1	
变	pəŋ5	pin5	paŋ5	
兵	pioŋ1	piɛn1	pyo1	
饼	pioŋ3	piɛn3	pyo3	
草	tsʰia3	tʰo3	ʨʰi3	
插	tsʰo7	tsʰa5	ʨʰia6	
查	tsu2	sa2	tsʰo2	
肠	tsiaŋ2	søn2	lin2	
吵	tshəɯ3	ʨʰiao5	tsʰə3	
撤	ʨʰi1	tʰie1	tsʰo6	
迟	ta2	si2	tsʰɿ2	
虫	li2	soŋ2	lie2	
仇(~恨)	ɕiao2	sao2	tsʰəu2	
初	tsu1	ʨʰyø1	tsʰao1	
锄	tsu2	sø2		
疮	tsʰaŋ1	ʨʰyøn1	tsʰen1	
葱	tsʰaŋ1	tʰoŋ1	ʨʰie1	
凑	tsʰao5	tʰao5	tsʰəu5	
催	tsʰi1	tʰuɛi1	tsʰuae1	
寸	ʨʰyɤ5	tʰuŋ5	tsʰuaŋ5	
错	tsʰa7	tʰø5	tsʰə6	
达	lu7	la5	ta6	
答	lu7	la5	to6	
代	to1	lae5	tia5	
带	lo5	lae5	tia5	
待(~客)	to5	lae5		
戴	lo5	lae5	tia5	
单	la1	lan1	ti1	
淡	toŋ5	tan6	tʰo5	
当	laŋ1	løn1	ten1	
地	ta1	ti6	tʰae6	
灯	li1	lan1	tie1	
笛	tsiɯ1	tie6	tʰyo6	
点	nəŋ3	lin3	tiaŋ3	
调(～动)	lae5	liəɯ5	ti5	
钉(名词)	lioŋ1	liɛn1	tyo1	
顶	lioŋ3	nɛn3	tyo3	
定	tsioŋ1	tiɛn6	tʰyo6	
东	li1	loŋ1	tie1	
洞	ti1		tʰie5	
逗	lao1	lao1	təu1	
毒	tu1	to6	tʰao6	
短	laŋ3	luŋ3	tie3	
队	li5	lɛi5	to5	
兑	li5	luɛi5	to5	
墩	li1	luŋ1		
罚	ho1	pa6	fia6	
法	ɕiao1	fua5	fiəu6	
犯	ɕioŋ5	pan4	fie5	
防	faŋ2	poŋ2	fen2	
纺	pʰaŋ3		pʰen3	
放	paŋ5	poŋ5	pen5	
飞	po1	fie1	pa1	
肺	fae5	fuɛi5	fei5	
痱	hɯ5	puɛi6		
粉	fɪi3	pɛn3	fie3	
份	pi1	pɛn6	pʰie6	
风	pi1	hoŋ1	fie1	
枫	pi1	poŋ1		
服	fu1	po6	fu6	
浮	pia2	pao2	pʰi2	
斧	pu7	pu5	pu3	
甘	kaŋ1	køn1		
肝	kaŋ1	køn1	ke1	
高	kia1	ko1	ki1	
古	ku3	ku3	kao3	
怪	ko5	kuae5	kua5	
关	kua1	kuan1	kue1	
官	kaŋ1	kuŋ1	kue1	
灌	kaŋ5	kuŋ5	kue5	
桂	kuae5	kuɛi5		
咳	kʰe1	ha5		
含	haŋ2	uŋ2	hen2	
寒	haŋ2	øn2	he2	
好	hia3	ho3	ɕi3	
号(~数)	hia1	o6		
禾	u2	uə2	vu2	
盒	ho1	uɤ6	ha6	
横	ua2	vian2	vi2	
红	hi2	oŋ2	he2	
后(~代)	hao5	ao6	həu5	
戽	su5	fu5	sao5	
滑	uo5	ua6		
话	hɯ1	ua6	ho6	
魂	fɪi2	uɛn2	faŋ2	
货	fu5	fuə5	kʰəu5	
急	ʨi7	kie6	ʨi6	
几	ʨi3	ki3	tsɿ3	
记	ʨi5	ki5	tsɿ5	
寄	ʨi5	ki5	tsɿ5	
夹	ko7	ka6	ka6	
尖	tsəŋ1	tin1	tsaŋ1	
碱	ʨiŋ3	kin3		
江	kaŋ1	køn1	ʨin1	
姜	ʨiaŋ1	kiɛn1	ʨin1	
交	ʨiao1	kiao1	ʨiəu1	
娇	ʨiɯ1	kiəɯ1		
角	ʨiao7	kø5	ʨi6	
脚	ʨi7	kie1	ʨi6	
轿	ʨi1	kioɯ6	tsʰɿ6	
接	tsae7	tie1	tsɿ6	
节	tsae7	tie1	tsɿ6	
结	ʨi7	kie1	tsɿ6	
借	tsi5	tie5	ʨyo5	
斤	ʨie1	ʨiɛn1	ʨie1	
尽(~前)	tsi3	tɛn3	ʨin3	
紧	ʨie3	ʨiɛn3	ʨie3	
近	ʨie5	ʨiɛn4	ʨʰie5	
浸	tsa1	tɛn5	tsʰae6	
经	ʨiəŋ1	kiɛn1		
惊	ʨioŋ1	kiɛn1	ʨyo1	
颈	ʨioŋ3	kiɛn3	ʨyo3	
镜	ʨioŋ5	kiɛn5	ʨyo5	
九	ʨiao3	ʨiao3	ʨiəu3	
酒	tsiao3	tao3	ʨiəu3	
就	tsiao1	tao6	ʨʰiəu6	
舅	ʨiao5	ʨiao4	ʨʰiəu5	
锯	ʨyu5	ky5	ʨi5	
嚼	tsae1	siəɯ6	ʨʰiəu6	
开	hɯ1	hɛi1	hə1	
靠	kʰia5	hao6	kʰi5	
客	hɯ7	hiɐ5	kʰo6	
空(形容词)	hi1	hoŋ1	he1	
抠	ku1	kʰao1	həu1	
哭	hu7	ho1	hao6	
苦(味道~)	hu3	fu3	hao3	
裤	hu5	fu5		
快	kʰo5	fae5	kʰua5	
亏	kʰua1	fɛi1	kʰuae1	
腊	lu1	la2	lo6	
辣	lo1	la6	lia6	
来	lo2	lɛi2	la2	
赖	lo1	lae6	lia6	
老	lia5	lo4	li5	
离	la2	li2	lae2	
梨	li2	li1	lae2	
李	la5	li4	lae5	
连	ləŋ2	lin2	laŋ2	
镰	ləŋ2	lin2	laŋ2	
楝	liɯ1	lin5	laŋ6	
六	liao1	lo6	liəu6	
龙	li2	loŋ2	nin2	
路	lu1	lu6	lao6	
绿	lyu1	lo6		
马	mu5	ma4	mo6	
买	mo5	mae4	mia5	
麦	mu1	miɐ6	mo6	
卖	mo1	mae6	mia6	
脉	məŋ1	miɐ6	mo6	
毛	mia2	mo2	mi2	
梅	məŋ2	muɛi2	mə2	
媒	məŋ2	muɛi2	mə2	
妹	məŋ1	muɛi6	mə6	
门	mi2	muŋ2	mie2	
米	mae5	muεi4	mi5	
密	mae1	mɤ6	pʰa2	
庙	mae1	miəɯ6	mi6	
篾	mae1	mie6	mi6	
摸	maŋ1	mø1	mə5	
模	mu2	mu2	mao2	
磨(动词)	mu2	mø2	mə2	
墨	məŋ1	mua6	mə6	
默	məŋ1	mɤ3	mə6	
木	mu1	mo6	mao6	
南	noŋ2	nan2	lo2	
难	na2	nan2	ni2	
闹	nəɯ1	no6	ni6	
泥	nae2	nɛi2	ni2	
念	nəŋ1	ȵin6	lan6	
尿	ni1	ȵiəɯ6	liao1	
孽	nae1	nie6	ni6	
糯	na1	nø6	lə6	
女	nyu5	ȵy4	ni5	
皮	po2	pi2	pʰa2	
平	pioŋ2	piɛn2	pʰyo2	
瓶	pioŋ2	piɛn2	pʰyo2	
七	tsʰa7	tʰɤ1	tsʰae6	
欺	ʨʰi1			
祁	ʨi2	ki2	tsʰɿ2	
棋	ʨi2	ki2	tsʰɿ2	
起	ɕi3	ɕi3	sɿ3	
气	ʨʰi5	ɕi5	tsʰɿ5	
汽	ʨʰi5	ɕi5	tsʰɿ5	
砌	tsʰae5	tʰi5	tsʰɿ5	
千	tsʰəŋ1	tʰin3	tsʰaŋ1	
牵	ʨʰiəŋ1	ɕin1	ʨʰin1	
浅	tsʰəŋ3	tʰin3	tsʰaŋ3	
欠	ʨʰiəŋ5	ɕin5	ʨʰin5	
强	ʨiaŋ2	kiɛn2	ʨʰin2	
墙	tsiaŋ2	siɛn2	ʨʰin2	
桥	ʨi2	kiəɯ2	tsʰɿ2	
樵	tsae2	一	tsʰɿ2	
切	tsʰae7	tʰie1	tsʰɿ6	
轻	ʨʰioŋ3	hiɛn1	ʨʰyo1	
清	tsʰioŋ1	tʰiɛn1	ʨʰyo1	
求	ʨiao2	ʨiao2	ʨʰiəu2	
蛆	tsʰyu1	tʰø1	ʨʰi1	
去(来~)	hu5	ɕy5	hao5	
全	ʨyəŋ2	syn2	tsʰuaŋ2	
拳	kuəŋ2	kyn2	kʰuaŋ2	
劝	ʨʰyəŋ2	ɕyn5	kʰuaŋ5	
缺	kʰuae7	kʰye1	kʰuei6	
腮	tsʰo1	sɛi1	ʨʰia1	
三	soŋ1	san1	so1	
伞	sa3	san3	ɕi3	
杀	so7	sa5	ɕia6	
山	sa1	san1	ɕi1	
杉	su1	sa1	so1	
删			suaŋ1	
烧	ɕi1	siəɯ1	sɿ1	
舌	ɕyɤ2	sie6		
身	ɕie1	sɛn1	ɕie1	
深	ɕie1	sɛn1	ɕie1	
升	ɕie1	sɛn1	ɕie1	
声	ɕioŋ1	siɛn1	so1	
屎	sɿ3	si3	sɿ3	
试	ɕi5	si5	sɿ5	
匙	sɿ2	si2	sə5	
守	ʨiao3	sao3	səu3	
书	ɕyu1	sy1	ɕi1	
梳	su1	sø1	sao1	
输	ɕyu1	ɕy1	ɕi1	
赎	ɕyu1	so6	sao6	
熟	ɕiao1	so6	səu6	
数(动词)	su3	sy3	sao3	
水	ɕya3	suɛi3	suae3	
税	ɕyae5	sɛi5	suei5	
丝	sɿ1	si1	sɿ1	
死	sa3	si3	sae3	
四	sa5	si5	sae5	
松(~树)	ʨyɤ2	soŋ2		
粟	syu7	so1		
随	ʨya2	suɛi2	tsʰuae2	
岁	ɕyae5	sɛi5	suei5	
碎		suɛi5	so5	
塔	tʰu7	tʰa5		
贪	tʰoŋ1	tʰan1	tʰi1	
炭	tʰa5	tʰan5	tʰi5	
讨	tʰia3		tʰi3	
天	tʰəŋ1	tʰin1	tʰaŋ1	
挑	lae1			
帖	tʰae7	tʰie1	tʰi6	
铁	tʰae7	tʰie1	tʰi6	
听	tsʰioŋ1	tʰiɛn5	tʰyo5	
停	tsioŋ2	tiɛn2	tʰyo2	
铜	ti2	toŋ2	tʰie2	
退	tsʰi5	tʰɛi5	tʰo5	
完	yəŋ2	yn2		
网	maŋ5	møn4		
味	ua1	mi6	uae6	
五	ŋ5	ŋ4	ŋ5	
锡	siɯ7	sie1	ɕyo6	
席	tsi1	sie6	ʨʰyo6	
洗	sae3	sɛi3	sɿ3	
喜	ɕi3	ɕi3	sɿ3	
戏	ɕi5	ɕi5	sɿ5	
下(方位词)	hɯ5	ia6	ho5	
咸	hoŋ2	an2	ho2	
嫌	ɕiəŋ2	in2	ɕin2	
苋	ha3	an2	hi6	
县	yəŋ1	yn6	fan6	
香	ɕiaŋ1	ɕiɛn1	ɕin1	
箱	siaŋ1	siɛn1	ɕin1	
象	ʨiaŋ6	siɛn4	ɕin5	
孝	ɕiao6	hiao5	ɕiəu5	
挟	ko7	ka5	ka6	
谢(花~了)	tsi1	sie5		
兴(时~)	ɕie5	hiɛn1		
休	ɕiao1	sao1	səu1	
修	siao1	sao1	səu1	
袖	tsiao1	sao6	ʨʰyo6	
血	fae7	fie1	fei6	
鸭	ɯ7	a5	ŋo6	
岩	ŋa2	nan2		
盐	iəŋ2	in2	lin2	
阎	iəŋ2	niɛn2	iaŋ2	
演	iəŋ5	in3	in5	
窑	i2	iəɯ2	zɿ2	
野	iɯ5	ie4	lyo5	
业	nae1	nie6	nie6	
叶	i1	ie6	zɿ6	
猗站	ʨi5	ki4	tsʰɿ5	
姨	i2	i2	zɿ2	
移	i2	i2	zɿ2	
疑	ni2	ni2	ni2	
蚁	ni7	nɛi2		
阴	ie1	iɛn1	ie1	
印	ie5	iɛn5	ie5	
应(答~)	ie1	ɛn5		
赢	ioŋ2	ɛn2	lyo2	
影	nioŋ3	ɛn3		
永(~州，地名)	ioŋ5	yn4	lyo5	
油	iao2	iao2	iəu2	
有	hao6	iao4	hou5	
鱼	ŋu2	ȵy2	ŋao2	
圆	kaŋ2	luŋ1	uaŋ2	
缘	yəŋ2	yn2	yaŋ2	
远	uəŋ5	yn4	uaŋ5	
月	ye1	ȵie6	uei6	
越	ŋuae1	e6	ye6	
再	tso5	tɛi5	ʨia5	
葬	tsaŋ5	tøn5	tsen5	
渣	tsu1	tsa1	tso1	
胀	liaŋ6	ʨiɛn5	tsen6	
着(穿)	lae7	ʨie1	tsə6	
针	ʨie1	ʨiɛn1	ʨie1	
真	ʨie	ʨiɛn1	ʨie1	
蒸	ʨie1	ʨian1	ʨie1	
正(~月)	ʨioŋ1	ʨiɛn1	tso1	
知	la1	ʨi1	tae1	
痔	tsɿ5	ʨi5	tsɿ5	
重(轻~)	tsi5	soŋ4	ʨʰie5	
皱	tsao5		tsəu5	
猪	lyu1	ʨy1	ʨi1	
竹	liao7	ʨyo1	tsəu6	
苎	ʨyu5			
住	tsyu1	sy6	tsʰao6	
装	tsaŋ1	ʨyøn1		
状	tsaŋ1	søn6		
紫	tsɿ3		tsɿ3	
足	tsyu7	to1	tsu6	
最	ʨyɤ5	tɛi5	一	
罪	ʨyɤ5	suɛi4	tsʰo6	
左	tsa5	tø5	tso5	
