// HSD Syllabary Data Partition
// 地区：山西省-大同市-渾源縣-永安鎮
// 来源：張津《渾源方言調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-大同市-渾源縣-永安鎮
@SRC	張津《渾源方言調查研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	k	kʰ	x	Ø
@FIN	a
ts	a	陽平	雜 鍘2{~刀} 炸1{~糕} 咂 喋1{特指老鼠撕咬破壞}
ts	a	上聲	閘{~門} 咋2{怎~} 鍘3{開~} 蚱1
ts	a	去聲	乍{~驚~~} 炸2{~彈} 詐 榨 柵1{~粒子} 黍1{糝疙~} 托{~開：張開} 蚱2{~猛}
ts	a	輕聲	蚱3{~螞}
tsʰ	a	陰平	叉1{夜~；~子} 杈1{三股~} 釵1{~子} 差2{和~；~不多；~下一個去；有一個人落選} 喳2{~~：象聲，後一個~讀輕聲} 齵{跟腿上~了一口；平~：明著欺辱或指辦事容易} 蹉1{平~：明著欺負人} 馇{疙~食} 剎1{~~那} 嚓1{單字音；嘿~~聲，象聲}
tsʰ	a	陽平	搽{搽~粉} 茬1 查 碴1 叉2{擋住、堵塞住、互相卡住；水口子也叫爛柴~住啦；路窄的叫一掛車當把路口兒~住啦}
tsʰ	a	上聲	叉3{~腰；~腿} 杈2{樹疙~兒} 衩1{~兒褲} 嚓2{黑~~一聲，象聲}
tsʰ	a	去聲	岔{~道兒} 差3{~二斤} 衩2{開~兒褲子} 叉4{仰八~} 嚓3{“黑~~的”等“A~~的”式形容詞中“A”為入聲時其詞綴中~的讀音} 鑔
tsʰ	a	輕聲	叉5{動詞後綴，如：吃~、喝~、扒~、爬~；後綴“巴~的”中的讀音}
s	a	陰平	沙1{~子；~米：往鍋裡下米} 奢1{舊~} 卅{開五~} 仨1{~梅~梅：劃拳口令之一} 紗1{紡~} 薩1{拉~} 莎1 痧 剎2{一~那} 吵1{單字音} 煞1{臉還~白~白的}
s	a	陽平	吵2{象聲，如：~~下飛啦} 曬{~了一眼；瞥了一眼}
s	a	上聲	吵3{象聲，如：~~下飛啦} 啥1 灑 耍 傻1{大~傻} 撒1{~種}
s	a	去聲	沙2{~出來：挑出來；羅子~：羅子的網眼粗} 紗2{~橘子玻璃：乾淨氣派的窗戶} 唼{姐~啦}
s	a	輕聲	啥2{跟~的：巫婆神漢；不~} 薩2{菩~}
