字	片	区	小片	方言点	声母	韵母	调值	调类	备注
一	闽东区	侯官片		福清	0	eʔ	22	阴入	
丁	闽东区	侯官片		福清	t	iŋ	53	阴平	
七	闽东区	侯官片		福清	tsʰ	eʔ	22	阴入	
丈	閩東區	侯官片		福清	t/tʰ	yoŋ	41	陽去	一丈，丈人，單字讀，丈夫儂：男人。
三	闽东区	侯官片		福清	s	aŋ	53	阴平	
上	闽东区	侯官片		福清	s	yoŋ	41	阳去	
下	闽东区	侯官片		福清	0/h/k	a	41	阳去	下降，下底：下面，下去。
丐	闽东区	侯官片		福清	k	ai	21	阴去	
丑	闽东区	侯官片		福清	tʰ	iu	33	上声	
专	闽东区	侯官片		福清	ts	oŋ/uoŋ	53	阴平	
且	闽东区	侯官片		福清	tsʰ	ia	33	上声	
丕	闽东区	侯官片		福清	pʰ	i	33	上声	曹丕。
世	闽东区	侯官片		福清	s	ie/e	21	阴去	
丗	闽东区	侯官片		福清	s	ie/e	21	阴去	
丘	閩東區	侯官片		福清	kʰ	u/iu	53	陰平	文讀，田丘。
丙	闽东区	侯官片		福清	p	iŋ	33	上声	
业	闽东区	侯官片		福清	ŋ	ieʔ	5	阳入	
丛	闽东区	侯官片		福清	ts	uŋ	55	阳平	
东	闽东区	侯官片		福清	t	øŋ/uŋ	53	阴平	
丝	闽东区	侯官片		福清	s	i	53	阴平	
丞	闽东区	侯官片		福清	s	iŋ	55	阳平	
两	闽东区	侯官片		福清	l	aŋ/yoŋ	41/33	阳去/上声	文读，二也。
严	闽东区	侯官片		福清	ŋ	ieŋ	55	阳平	
丧	闽东区	侯官片		福清	s	oŋ	21	阴去	丧失。
丫	闽东区	侯官片		福清	0	a	53	阴平	丫头。
中	闽东区	侯官片		福清	t	oŋ/øŋ/yŋ/uŋ	53	阴平	单字读，中国，台中：中间，白读。
临	闽东区	侯官片		福清	l	iŋ	55	阳平	
丸	闽东区	侯官片		福清	0	uoŋ	55	阳平	
丹	閩東區	侯官片		福清	t	aŋ	53	陰平	
主	闽东区	侯官片		福清	ts	uo/y	33	上声	
丼	闽东区	侯官片		福清	ts	aŋ/iŋ	33	上声	
丽	闽东区	侯官片		福清	l	e	41	阳去	
举	闽东区	侯官片		福清	k	y	33	上声	
乃	闽东区	侯官片		福清	n	ai	33	上声	
久	闽东区	侯官片		福清	k	iu	33	上声	
义	闽东区	侯官片		福清	ŋ	ie	41	阳去	
之	闽东区	侯官片		福清	ts	i/y	53	阴平	文读，之乎者也。
乌	闽东区	侯官片		福清	0	u	53	阴平	
乍	闽东区	侯官片		福清	ts	ia	21	阴去	乍看。
乎	闽东区	侯官片		福清	h	u	55	阳平	
乏	闽东区	侯官片		福清	h	uaʔ	5	阳入	
乐	闽东区	侯官片		福清	ŋ	oʔ	5	阳入	音乐。
乔	闽东区	侯官片		福清	k/kʰ	ieu	55	阳平	
乖	閩東區	侯官片		福清	k	uoi	53	陰平	乖巧。
乗	闽东区	侯官片		福清	s	iŋ	55	阳平	乘风。
乘	闽东区	侯官片		福清	s	iŋ	55	阳平	乘风。
乙	闽东区	侯官片		福清	0	eʔ	22	阴入	
九	闽东区	侯官片		福清	k	au	33	上声	
乞	闽东区	侯官片		福清	kʰ	eʔ	22	阴入	乞讨。
也	闽东区	侯官片		福清	0	ia	33	上声	
习	闽东区	侯官片		福清	s	iʔ	5	阳入	
乡	闽东区	侯官片		福清	h	yoŋ	53	阴平	
书	闽东区	侯官片		福清	ts	y	53	阴平	
买	闽东区	侯官片		福清	m	e	33	上声	
乱	闽东区	侯官片		福清	l	oŋ/uaŋ	41	阳去	
乳	闽东区	侯官片		福清	0	yo/y	33	上声	文读，豆乳。
乾	闽东区	侯官片		福清	k	ieŋ	55	阳平	
亂	闽东区	侯官片		福清	l	oŋ/uaŋ	41	阳去	
了	闽东区	侯官片		福清	l	au/ieu	33	上声	了解，白读。
事	闽东区	侯官片		福清	s/t	ø/ai	41	阳去	
二	闽东区	侯官片		福清	n	e	41	阳去	
于	闽东区	侯官片		福清	0	y	53	阴平	
亏	闽东区	侯官片		福清	kʰ	uoi/ui	53	阴平	
云	闽东区	侯官片		福清	0	yŋ	55	阳平	
互	闽东区	侯官片		福清	h	o	41	阳去	互相。
五	闽东区	侯官片		福清	ŋ	o/u	41/33	阳去/上声	
井	闽东区	侯官片		福清	ts	aŋ/iŋ	33	上声	
亚	闽东区	侯官片		福清	0	a	33	上声	亚洲。
亞	闽东区	侯官片		福清	0	a	33	上声	亚洲。
亡	闽东区	侯官片		福清	0	uoŋ	55	阳平	
交	闽东区	侯官片		福清	k	au	53	阴平	
亥	闽东区	侯官片		福清	h	ai	41	阳去	
亦	閩東區	侯官片		福清	0	iʔ	5	陽入	
亨	闽东区	侯官片		福清	pʰ	eŋ	53	阴平	
享	闽东区	侯官片		福清	h	yoŋ	33	上声	
京	闽东区	侯官片		福清	k	iŋ	53	阴平	
亭	闽东区	侯官片		福清	t	iŋ	55	阳平	
亮	闽东区	侯官片		福清	l	yoŋ	41	阳去	
亲	閩東區	侯官片		福清	tsʰ	iŋ	53	陰平	
人	閩東區	侯官片		福清	0	iŋ	55	陽平	
亿	闽东区	侯官片		福清	0	e	21	阴去	
什	闽东区	侯官片		福清	s	iʔ	5	阳入	什锦。
仁	闽东区	侯官片		福清	0/n	iŋ	55	阳平	仁爱，花生仁。
仄	闽东区	侯官片		福清	ts	a	21	阴去	平仄。
仅	闽东区	侯官片		福清	k	øŋ/iŋ	21/33	阴去/上声	
今	闽东区	侯官片		福清	k	iŋ	53	阴平	
介	闽东区	侯官片		福清	k	ai	21	阴去	
仑	闽东区	侯官片		福清	l	uŋ	55	阳平	
仓	闽东区	侯官片		福清	tsʰ	oŋ	53	阴平	
仕	闽东区	侯官片		福清	s	ø	41	阳去	
他	閩東區	侯官片		福清	tʰ	a/o	53	陰平	言他，其他。
仗	闽东区	侯官片		福清	tʰ	yoŋ	41	阳去	
付	閩東區	侯官片		福清	h	o	21	陰去	
仙	闽东区	侯官片		福清	s	ieŋ	53	阴平	
代	闽东区	侯官片		福清	t	ai	41	阳去	
令	闽东区	侯官片		福清	l	eŋ	41	阳去	
以	闽东区	侯官片		福清	0	i	33	上声	
仪	閩東區	侯官片		福清	ŋ	i	55	陽平	
仰	闽东区	侯官片		福清	ŋ	yoŋ	33	上声	信仰。
仲	闽东区	侯官片		福清	t	øŋ	41	阳去	
件	闽东区	侯官片		福清	k	yoŋ	41	阳去	
任	闽东区	侯官片		福清	0	eŋ	41	阳去	
仿	闽东区	侯官片		福清	h	uoŋ	33	上声	
伊	閩東區	侯官片		福清	0	i	53	陰平	
伍	闽东区	侯官片		福清	ŋ	o/u	41/33	阳去/上声	
伏	闽东区	侯官片		福清	h/p	uʔ	5	阳入	
伐	闽东区	侯官片		福清	h/pʰ	uaʔ	5	阳入	伐木，伐过：跨。
休	闽东区	侯官片		福清	h	iu	53	阴平	
会	闽东区	侯官片		福清	h	uoi	41	阳去	
伞	闽东区	侯官片		福清	s	aŋ	33	上声	
伟	闽东区	侯官片		福清	0	ui	33	上声	
传	闽东区	侯官片		福清	t	uoŋ	41	阳去	传记。
伤	闽东区	侯官片		福清	s	yoŋ	53	阴平	
伦	闽东区	侯官片		福清	l	uŋ	55	阳平	
伪	闽东区	侯官片		福清	ŋ	ui	41	阳去	
伯	闽东区	侯官片		福清	p	a/aʔ/eʔ	22	阴入	伯夷，又读，白读。
估	闽东区	侯官片		福清	k	u	33	上声	
伴	闽东区	侯官片		福清	pʰ	uaŋ	41	阳去	
伶	闽东区	侯官片		福清	l	iŋ	55	阳平	
伸	闽东区	侯官片		福清	s	iŋ	53	阴平	
似	闽东区	侯官片		福清	s	ø	41	阳去	
佈	闽东区	侯官片		福清	p	uo	21	阴去	
位	闽东区	侯官片		福清	0	ui	41	阳去	
低	闽东区	侯官片		福清	t	e/i	53	阴平	低压，单字读。
住	闽东区	侯官片		福清	ts	ø	41	阳去	
佐	闽东区	侯官片		福清	ts	o	21	阴去	辅佐。
余	閩東區	侯官片		福清	0	y	55	陽平	
佛	闽东区	侯官片		福清	h	uʔ	5	阳入	
佞	闽东区	侯官片		福清	n	eŋ	41	阳去	
佩	闽东区	侯官片		福清	p	uoi	41	阳去	
佳	闽东区	侯官片		福清	k	a	53	阴平	佳节。
使	闽东区	侯官片		福清	s	ai/e/y	33	上声	役使，会使：可以，单字读。
侃	闽东区	侯官片		福清	kʰ	aŋ	33	上声	
來	闽东区	侯官片		福清	l	i/ai	55	阳平	
侈	闽东区	侯官片		福清	tsʰ	ie	33	上声	奢侈。
例	闽东区	侯官片		福清	l	ie	41	阳去	
侍	闽东区	侯官片		福清	s	e	41	阳去	
侏	闽东区	侯官片		福清	tʰ	y	53	阴平	侏儒。
侖	闽东区	侯官片		福清	l	uŋ	55	阳平	
供	闽东区	侯官片		福清	k	øŋ	21	阴去	
依	闽东区	侯官片		福清	0	i	53	阴平	
侠	闽东区	侯官片		福清	h	ieʔ	5	阳入	
侦	闽东区	侯官片		福清	t	iaŋ	33	上声	侦探。
侨	闽东区	侯官片		福清	k	ieu	55	阳平	
侬	闽东区	侯官片		福清	n	aŋ/øŋ	55	阳平	自称、人，侬家：我们。
侮	闽东区	侯官片		福清	0	u	33	上声	
侯	闽东区	侯官片		福清	h	eu	55	阳平	
侵	闽东区	侯官片		福清	tsʰ	iŋ	33	上声	
便	闽东区	侯官片		福清	p	eŋ/ieŋ	55	阳平	大腹便便，便宜。
促	闽东区	侯官片		福清	tsʰ	øʔ	22	阴入	
俊	闽东区	侯官片		福清	ts	oŋ	21	阴去	
俗	闽东区	侯官片		福清	s	yʔ	5	阳入	
俘	闽东区	侯官片		福清	h	u	53	阴平	
