				#調值 [1]55 [2]24 [3]53 [5]21 [7]54 [8]24
字	聲韻	調	注釋	
幕	bɔ	21		
帽	mɔ	21		
泥	ni	24		
梨	li	24		
誤	gɔ	21		
餓	ŋɔ	21		
資	tsɿ	55		
思	sɿ	55		
司	sɿ	55		
去	kʰɯ	21		
虛	hɯ	55		
女	lɯ	53		
你	lɯ	53	應為“汝”	
汝	lɯ	53	第二人稱	
顯	hian	53	表示加強形容詞程度：大~大，寒~寒，清氣~清氣	
石	tɕiəu	24	說話音，陽入轉陽平	
讀	tʰa	24	說話音，陽入轉陽平	
尺	tɕʰiəu	53	說話音，陰入轉上聲	
八	pui	53	說話音，陰入轉上聲	
鳥	niau	53	讀書音	
紐	niu	53		
鞋	uəi	24		
改	kuəi	53		
蟹	huəi	53		
提	tuəi	24		
溪	kʰuəi	55		
鳥	ȵiau	53	讀書音，有人讀	
紐	ȵiu	53	有人讀	
鞋	əi	24	有人讀	
改	kəi	53	有人讀	
蟹	həi	53	有人讀	
提	təi	24	有人讀	
溪	kʰəi	55	有人讀	
衫	sã	21	衣服	
厝	tsʰu	21	房子	
箸	tɯ	55	筷子	
