字	片	区	小片	方言点	声母	韵母	调值	调类	备注
一	莆仙区			仙游(城关话)	0	iʔ	2	阴入	
丁	莆仙区			仙游(城关话)	t	ɛŋ	54	阴平	
七	莆仙区			仙游(城关话)	tsʰ	iʔ	2	阴入	
三	莆仙区			仙游(城关话)	ɬ	ɒ̃/aŋ	54	阴平	
上	莆仙区			仙游(城关话)	ɬ	yøŋ	21	阳去	
下	莆仙区			仙游(城关话)	h	ɒ/a	21	阳去	下等，下手，下面，量词。
丐	莆仙区			仙游(城关话)	k	ai	52	阴去	
丑	莆仙区			仙游(城关话)	tʰ	iu	32	上声	
专	莆仙区			仙游(城关话)	ts	uoŋ	54	阴平	
且	莆仙区			仙游(城关话)	tsʰ	iã	32	上声	
丕	莆仙区			仙游(城关话)	pʰ	i	32	上声	
世	莆仙区			仙游(城关话)	ɬ	i/ya/e	52	阴去	文读，出世，接续。
丗	莆仙区			仙游(城关话)	ɬ	i/ya/e	52	阴去	文读，出世，接续。
丙	莆仙区			仙游(城关话)	p	iã/iŋ	32	上声	
业	莆仙区			仙游(城关话)	k	ieʔ	4	阳入	
丛	莆仙区			仙游(城关话)	ts	aŋ	24	阳平	量词。
东	莆仙区			仙游(城关话)	t	aŋ/ɒŋ	54	阴平	
丝	莆仙区			仙游(城关话)	ɬ	i	54	阴平	
丞	莆仙区			仙游(城关话)	ɬ	iŋ	24	阳平	
两	莆仙区			仙游(城关话)	l/n	ŋ/yøŋ/iũ	32	上声	文读，斤两，两斤：数词。
严	莆仙区			仙游(城关话)	ŋ	ɛŋ/ieŋ	24	阳平	单字读，手～～：手很冰。
丧	莆仙区			仙游(城关话)	ɬ	ɒŋ	52	阴去	丧气。
丫	莆仙区			仙游(城关话)	0	a	54	阴平	
中	莆仙区			仙游(城关话)	t	ɒŋ/yøŋ	54	阴平	单字读，中央：中间。
临	莆仙区			仙游(城关话)	l	ɛŋ/iŋ	24	阳平	降临，临时。
丸	莆仙区			仙游(城关话)	0	uĩ	24	阳平	
主	莆仙区			仙游(城关话)	ts	ɔu/y	32	上声	
丼	莆仙区			仙游(城关话)	ts	ã/iŋ	32	上声	
丽	莆仙区			仙游(城关话)	l	e	21/24	阳去/阳平	高丽，美丽。
举	莆仙区			仙游(城关话)	k	y	32	上声	
乃	莆仙区			仙游(城关话)	n	ai	32	上声	
久	莆仙区			仙游(城关话)	k	u/iu	32	上声	
义	莆仙区			仙游(城关话)	k	i	21	阳去	
之	莆仙区			仙游(城关话)	ts	i/o	54	阴平	
乌	莆仙区			仙游(城关话)	0	ɔu	54	阴平	
乍	莆仙区			仙游(城关话)	ts	a	52	阴去	
乎	莆仙区			仙游(城关话)	h	ɔu	24	阳平	
乏	莆仙区			仙游(城关话)	0	aʔ	4	阳入	
乐	莆仙区			仙游(城关话)	k	aʔ	4	阳入	音乐。
乔	莆仙区			仙游(城关话)	k	ieu	24	阳平	
乗	莆仙区			仙游(城关话)	ɬ	iŋ	24	阳平	
乘	莆仙区			仙游(城关话)	ɬ	iŋ	24	阳平	
乙	莆仙区			仙游(城关话)	0	iʔ	2	阴入	
九	莆仙区			仙游(城关话)	k	au/iu	32	上声	
乞	莆仙区			仙游(城关话)	kʰ	uoʔ	2	阴入	
也	莆仙区			仙游(城关话)	0	ia	32	上声	
习	莆仙区			仙游(城关话)	ɬ	iʔ	4	阳入	
乡	莆仙区			仙游(城关话)	h	iũ/yøŋ	54	阴平	
书	莆仙区			仙游(城关话)	ɬ/ts	y	54	阴平	
买	莆仙区			仙游(城关话)	m/p	ai/e	32	上声	
乱	莆仙区			仙游(城关话)	l	uoŋ	52	阴去	
乳	莆仙区			仙游(城关话)	ts	y	32	上声	
乾	莆仙区			仙游(城关话)	k	yøŋ	24	阳平	乾坤。
亂	莆仙区			仙游(城关话)	l	uoŋ	52	阴去	
了	莆仙区			仙游(城关话)	l	ieu	32	上声	
