字頭	呼	等	韻部	聲調	組	聲紐	攝	聲母	韻母	聲調	備註
八	開	二	山	入	幫	幫	山	bb	ot	8	
八	開	二	山	入	幫	幫	山	bb	et	8	又讀
巴	開	二	麻	平	幫	幫	假	bb	o	1	
巴	開	二	麻	平	幫	幫	假	b	o	4	下~
芭	開	二	麻	平	幫	幫	假	bb	o	1	
疤	開	二	麻	平	幫	幫	假	bb	o	1	
捌	開	二	山	入	幫	幫	山	bb	ot	8	
笆	開	二	麻	平	幫	幫	假	bb	o	1	
把	開	二	麻	上	幫	幫	假	bb	o	2	
把								bb	ot	8	量詞
霸	開	二	麻	去	幫	幫	假	bb	o	3	
壩	開	二	麻	去	幫	幫	假	bb	o	3	
昌	開	三	陽	平	章	昌	宕	c	aa	1	
百	開	二	庚	入	幫	幫	梗	bb	ik	7	又讀
猖	開	三	陽	平	章	昌	宕	c	aa	1	
擺	開	二	佳	上	幫	幫	蟹	bb	oi	2	
襬	開	三	支B	平	幫	幫	止	bb	oi	2	
拜	開	二	皆	去	幫	幫	蟹	bb	oi	3	
班	開	二	刪	平	幫	幫	山	bb	on	1	
斑	開	二	刪	平	幫	幫	山	bb	on	1	
搬	合	一	桓	平	幫	幫	山	bb	un	1	
頒	開	二	刪	平	幫	幫	山	bb	on	1	
阪	合	三	元	上	幫	幫	山	bb	on	2	
板	開	二	刪	上	幫	幫	山	bb	on	2	
版	開	二	刪	上	幫	幫	山	bb	on	2	
半	開	一	寒	去	幫	幫	山	bb	un	3	
扮	開	二	山	去	幫	幫	山	bb	on	3	打~
扮	開	二	山	上	幫	並	山	b	on	6	假裝，假扮：~窮|~豬喫老虎
邦	開	二	江	平	幫	幫	江	bb	ang	1	白讀
邦	開	二	江	平	幫	幫	江	bb	ong	1	文讀
幫	開	一	唐	平	幫	幫	宕	bb	ong	1	
綁	開	二	江	上	幫	幫	江	bb	ang	2	白讀
綁	開	二	江	上	幫	幫	江	bb	ong	2	文讀
包	開	二	肴	平	幫	幫	效	bb	ou	1	
苞	開	二	肴	平	幫	幫	效	bb	ou	1	
胞	開	二	肴	平	幫	幫	效	bb	ou	1	
褒	開	一	豪	平	幫	幫	效	bb	eou	1	
保	開	一	豪	上	幫	幫	效	bb	eou	2	
葆	開	一	豪	上	幫	幫	效	bb	eou	2	
堡	開	一	豪	上	幫	幫	效	bb	eou	2	
飽	開	二	肴	上	幫	幫	效	bb	ou	2	
寶	開	一	豪	上	幫	幫	效	bb	eou	2	
豹	開	二	肴	去	幫	幫	效	bb	ou	3	
報	開	一	豪	去	幫	幫	效	bb	eou	3	
爆	開	二	肴	去	幫	幫	效	bb	ou	3	~裂
推	合	一	灰	平	章	透	端	t	ui	1	
翌	開	三	蒸	入	以	以	曾	j	i	3	
杯	合	一	灰	平	幫	幫	蟹	bb	ui	1	
嘀	開	二	耕	入	知	知	梗	dd	i	1	
食	開	三	之	去	精	邪	精	d	i	6	飼
北	開	一	登	入	幫	幫	曾	bb	ak	7	
盃	合	一	灰	平	幫	幫	蟹	bb	ui	1	
