韵母	声母	平声	上声	去声
ɿ	ts	资姿兹滋之芝侄掷只	姊脂旨指止趾子执质殖职织值植直殖	滞制自致稚至志痣痔字治置秩
ɿ	tsʰ	瓷迟慈磁辞词祠痴持斥	齿耻尺	次伺
ɿ	s	私师狮司丝思诗时 湿 十拾实室食蚀石	死矢屎始使史驶涩虱失识适	市侍试事士柿寺饲似世势誓逝四肆示视祀巳式饰释
ɿ	z			日
əɻ	z			日
əɻ	ø	儿而尔	耳饵	二贰
a	p	巴疤拔	把八	耙霸坝爸把罢
a	pʰ	耙爬琶
a	m	蟆	马码抹
a	f	发罚	法乏发
a	t		答搭达	大
a	tʰ	他	踏塔塌溻沓
a	n	拿	哪纳捺
a	l	拉	腊蜡辣
a	ts	楂渣炸杂炸铡闸	眨扎	诈榨炸
a	tsʰ	茶叉杈查察	插擦	差岔
a	s	沙纱厦	洒傻撒杀	撒
a	v	洼挖	瓦袜
a	ø	阿啊
ə	p	菠玻薄驳	簸拨不剥
ə	pʰ	坡婆	泼	破
ə	m	魔磨模摹	抹末没莫膜摸沫	磨没寞默陌
ə	f	佛
ə	t		得德
ə	tʰ		特
ə	n			那
ə	k	歌哥	个鸽割葛骨各阁胳格革隔	科棵颗咳 可库磕渴窟壳客 课
ə	x	荷何合盒核	忽喝	鹤赫
ə	ts	遮招	者蔗折褶辙着酌	赵召照诏
ə	tsʰ	车超朝潮绰	彻抄测侧吃赤	撤
ə	s	奢余烧韶十勺芍石	少	少绍射
ə	z	饶	绕扰	扔弱
ə	v	倭窝屋	我握	饿卧
ə	ø			恶
ɔ	p	褒包胞臂雹	保堡宝饱剥	抱报暴刨豹爆曝
ɔ	pʰ	袍刨剖	跑	泡炮
ɔ	m	毛茅猫矛	卯	冒帽貌茂贸
ɔ	t	刀叨	祷岛倒导	到倒道稻盗
ɔ	tʰ	掏滔桃逃淘陶萄涛	讨	套
ɔ	n	熬铙挠傲	脑恼袄	鏊闹
ɔ	l	劳捞牢唠	老	涝落烙络
ɔ	k	高膏羔糕阁搁	稿	告膏
ɔ	kʰ		考烤	靠犒
ɔ	x	蒿薅豪毫壕号鹤	好郝	号浩好耗
ɔ	ts	遭糟笊招凿	早枣澡蚤找爪	皂造糙躁罩兆
ɔ	tsʰ	操曹槽抄钞巢剿	草炒吵
ɔ	s	臊梢捎稍	扫嫂索	扫潲臊
ɛ	p	百白伯	摆柏泊	拜稗败
ɛ	pʰ	排牌迫	拍	派迫魄
ɛ	m	埋	买	卖迈麦脉
ɛ	t	呆		待殆怠戴贷袋代带大
ɛ	tʰ	胎台苔抬		态太泰
ɛ	n	挨	奶矮	耐奈碍爱
ɛ	l	来		赖癞
ɛ	k	该	改	概盖溉
ɛ	kʰ	开	慨楷
ɛ	x	孩	海	亥害
ɛ	ts	灾栽蛰测泽择宅	蔗宰哲蜇浙则窄摘责	再载在债寨
ɛ	tsʰ	车扯才财猜裁豺钗差柴	彩睬拆豉策册	菜蔡
ɛ	s	赊蛇腮筛舌	舍设塞色	射麝舍社赛晒涉折
ɛ	z		惹热
ɛ	v			外
ɛ	ø	挨埃矮
ɛi	p	杯碑卑悲	笔北	贝鐾倍辈背被备
ɛi	pʰ	胚坯培陪赔披卜		沛配佩辔
ɛi	m	梅枚媒煤眉霉	每美	妹昧媚寐墨
ɛi	f	非飞妃肥	匪翡	废肺痱费
ɛi	t		得德	对队兑
ɛi	tʰ	推	腿	褪退蜕
ɛi	n			那内
ɛi	l	雷勒	儡累垒	累类泪肋
ɛi	k		给
ɛi	kʰ		刻
ɛi	x		黑
ɛi	ts	堆追锥贼	嘴	罪最缀赘醉坠
ɛi	tsʰ	催崔吹炊垂槌锤	嘴	脆翠粹
ɛi	s	隧虽谁	水	碎岁税睡髓遂隧穗
ɛi	z		蕊锐	瑞
ɛi	v	煨桅为危维惟唯微威违围	委伪尾伟苇纬猬	卫为位未味慰胃畏魏喂
æ̃	p	班斑般搬	板	扮瓣办伴拌半
æ̃	pʰ	攀襻潘盘		盼判叛
æ̃	m	蛮	满	慢
æ̃	f	凡帆翻番烦	反	范犯泛贩饭
æ̃	t	耽担丹单	胆	淡担旦但弹蛋
æ̃	tʰ	贪谭谈痰滩摊檀弹坛	毯掸坦	探炭
æ̃	n	南男庵难安鞍	揞暖	暗难岸按案
æ̃	l	蓝篮兰拦栏	渌览揽缆懒	滥烂
æ̃	k	甘柑泔干肝竿	感敢杆秆擀	干
æ̃	kʰ	勘龛	砍	看
æ̃	x	含憨鼾寒韩罕还	喊	憾旱汉汗焊
æ̃	ts	簪粘沾毡	斩盏展攒	暂錾蘸站占赞战
æ̃	tsʰ	参蚕惭馋搀残缠	惨产铲	灿颤
æ̃	s	三衫山删	陕伞	钐散疝善扇单
æ̃	v	玩顽湾弯	碗晚	万蔓
æ̃	z	蔫然燃
æ̃	v	玩顽湾弯	碗晚	万蔓
əu	m		某
əu	f		否
əu	t	都兜	斗抖陡	斗豆逗
əu	tʰ	偷头投		透
əu	n	欧		沤弄
əu	l	楼蝼	篓搂	露漏陋
əu	k	勾钩沟	狗苟	够
əu	kʰ	抠	口	叩扣寇
əu	x	侯喉猴瘊	吼	候后厚
əu	ts	邹周舟州洲纣轴	走肘帚粥	奏皱骤咒纣昼宙
əu	tsʰ	抽绸稠筹愁仇酬	瞅丑	凑臭
əu	s	搜飕馊收熟属	手首守叔	嗽瘦兽授售受漱
əu	z	柔揉		褥肉
əu	v	欧呕	藕偶殴	怄
aŋ	p	帮	榜绑	傍棒
aŋ	pʰ	旁螃胖庞		胖
aŋ	m	忙芒茫盲	莽蟒
aŋ	f	方肪芳妨	纺仿	放
aŋ	t	当	党挡	当荡
aŋ	tʰ	汤堂唐糖塘	躺	烫趟
aŋ	n	囊昂肮齉	攮
aŋ	l	郎廊狼螂	朗	浪
aŋ	k	刚纲钢缸		钢杠
aŋ	kʰ	康糠扛		抗炕
aŋ	x	行航杭
aŋ	ts	赃脏张章樟	长涨掌	葬藏脏涨丈仗帐账障胀瘴
aŋ	tsʰ	昌仓藏长肠场尚常尝裳窗	厂	畅唱倡
aŋ	s	桑丧	偿嗓搡裳晌	丧尚上
aŋ	z	瓤穰嚷	壤嚷	让
aŋ	v	汪芒王亡	网枉往	忘妄望旺
əŋ	p	奔锛崩	本	笨
əŋ	pʰ	喷盆朋彭膨棚蓬蜂	捧	喷
əŋ	m	门萌蒙	猛蠓	闷孟梦
əŋ	f	喷分芬纷棼坟风疯丰缝峰锋封冯	粉讽	愤粪奋份分风奉俸缝
əŋ	t	灯登	等	凳镫邓澄蹬
əŋ	tʰ	腾誊疼熥
əŋ	n	恩能脓		嫩
əŋ	l	棱	冷
əŋ	k	跟根更庚羹耕	耿	更
əŋ	kʰ	坑	肯啃恳
əŋ	x	夯衡恒	很	恨横
əŋ	ts	针珍真曾增征蒸争筝睁正	诊疹整	枕振震赠证正政郑
əŋ	tsʰ	沉陈尘辰晨臣曾层惩称乘承丞撑成盛诚城逞程		蹭称秤
əŋ	s	森参深神身伸僧绳升生牲笙甥	审婶沈省	甚渗肾慎剩胜圣盛
əŋ	z	壬任人仁	忍	任纫刃认
əŋ	v	温瘟文纹蚊闻	稳吻	问璺瓮
i	p	鼻	彼鄙比秕逼毕	蔽敝弊币毙陛闭算避庇痹必辟壁
i	pʰ	批皮疲脾琵匹	劈	屁辟僻
i	m	迷弥	米	泌密蜜
i	t	低堤笛	底抵的敌狄	弟帝第递地
i	tʰ	梯题提蹄啼	体踢剔	替剃屉
i	n	泥倪尼	你	腻拟匿逆
i	l	离篱璃梨厘狸犁粒	礼李里理立	例历励丽荔利痢吏力历
i	tɕ	鸡饥肌基几机讥击激	挤己几急级给集及吉疾极脊绩寂激积	祭际稷济剂计继系技妓寄冀忌记纪既季籍
i	tɕʰ	妻齐脐奇骑欺其棋期旗祈缉戚乞	启企起岂七漆	砌器弃气汽
i	ɕ	西溪牺嬉熙希稀习惜析	洗喜吸袭息熄锡	细系
i	ø	宜仪移姨疑医沂衣依遗揖 一疫役	倚椅已以乙一	艺易谊义议异意毅亿忆益玉
ia	tɕ	家加痂	假贾夹甲	假架驾嫁稼价
ia	tɕʰ		恰掐	洽
ia	ɕ	虾霞匣辖	瞎	吓下夏厦
ia	ø	牙芽衙鸦丫涯	雅哑鸭押压	亚轧
iə	p	膘标彪薄	表
iə	pʰ	飘飘嫖漂		票漂
iə	m	苗描	渺秒	庙妙
iə	t	刁貂雕		调钓吊掉
iə	tʰ	挑调	挑	跳粜
iə	n		鸟	尿
iə	l	燎聊撩辽寥寥	燎了瞭	料尥略
iə	tɕ	椒骄矫浇嚼	脚	噍轿叫
iə	tɕʰ	悄瞧乔侨桥荞	雀鹊
iə	ɕ	消宵硝销嚣萧箫削	小	笑
iə	ø	肴淆妖邀腰要摇谣窑姚尧 幺吆	舀钥跃	要鹞药约
iɔ	tɕ	交郊胶教	绞狡铰搅缴觉角饺	教校较窖觉
iɔ	tɕʰ	敲	巧确	窍
iɔ	ɕ	学		酵校效
iɔ	ø			勒乐岳
iɛ	p		别鳖憋
iɛ	pʰ		撇
iɛ	m		灭	篾
iɛ	t	爹叠碟滴	跌
iɛ	tʰ		帖贴铁
iɛ	n	苶	镊蹑捏	聂孽
iɛ	l		猎列烈裂
iɛ	tɕ	皆阶秸街劫截隔	姐解届接杰揭节结	借介界疥戒械
iɛ	tɕʰ	茄	且妾切客
iɛ	ɕ	些邪斜谐携	写蟹胁协歇蝎楔血	泻谢卸解懈泄
iɛ	ø	爷	也野孽噎叶页	夜叶液
iæ̃	p	鞭编边	扁匾	辩辨变忭便辫遍
iæ̃	pʰ	篇偏便		片劈
iæ̃	m	绵棉眠	免勉缅	面
iæ̃	t	掂颠	点典	店电殿奠佃垫
iæ̃	tʰ	添甜天田填	舔腆
iæ̃	n	粘黏鲇年	碾捻撵	念
iæ̃	l	廉镰帘连联怜莲	敛脸	殓练炼
iæ̃	tɕ	监尖歼兼艰间奸煎肩坚	减碱检俭简拣简拣剪键	监渐剑践件贱箭溅键建见健腱
iæ̃	tɕʰ	签钳锨谦迁钱乾千前前铅	浅	欠歉
iæ̃	ɕ	咸衔嫌闲仙鲜涎掀先贤	险癣显	馅陷限羡线宪献现县
iæ̃	ø	岩淹阉炎盐阎檐严颜延研 烟沿腌	掩眼演	厌艳焰验雁谚堰砚燕咽
iəu	t	丢
iəu	n		扭纽	谬
iəu	l	流刘留榴琉琉	柳	馏六溜
iəu	tɕ	揪纠臼咎究	酒九久韭灸	就舅旧柩救
iəu	tɕʰ	秋囚鞦求球仇	糗
iəu	ɕ	修羞休嗅	宿朽宿	秀绣锈袖
iəu	ø	幽忧优尤邮由油游犹悠柚 鼬釉	有友酉莠	幼诱又右佑峪
iaŋ	n	娘	仰
iaŋ	l	良凉量粮梁粱	两	亮谅辆量
iaŋ	tɕ	将浆僵疆礓缰姜江豇	蒋奖桨讲耩	强酱将匠降虹巷
iaŋ	tɕʰ	枪墙羌强腔	抢
iaŋ	ɕ	相箱厢镶祥详香乡降	想享响	象橡像相向项
iaŋ	ø	央秧殃羊洋杨阳扬疡	养痒	样
iəŋ	p	彬宾鬓冰兵	禀丙秉饼	殡柄病并
iəŋ	pʰ	贫频凭平坪评瓶屏萍	品	拼聘
iəŋ	m	民鸣明名	敏抿	命
iəŋ	t	丁钉疗	顶鼎	锭钉订定
iəŋ	tʰ	听厅亭停廷庭	挺
iəŋ	n	凝		宁
iəŋ	l	林淋临邻磷鳞凌菱零铃	檩领岭	赁令另
iəŋ	tɕ	今金禁襟锦津巾斤筋更经晶精京	紧仅谨景警井	禁妗尽进晋近劲境净静竞镜竟敬
iəŋ	tɕʰ	侵钦琴亲秦勤芹卿顷青轻晴清蜻擎	请倾	浸亲庆
iəŋ	ɕ	心寻辛新欣行星腥形型刑陉	省醒迅幸	甚信兴杏性姓
iəŋ	ø	吟音阴淫荫窨银因姻洇殷应蝇鹰莺鹦樱迎英缨盈赢营茔	引隐允尹影	饮印硬
u	p		补	部布怖步
u	pʰ	铺蒲菩脯	谱捕普赴朴扑仆	铺
u	m	谋模	亩牡母拇	暮慕墓募幕目穆木
u	f	夫肤敷扶浮阜伏	府俯腑抚腐辅负附福复腹服	父付傅妇富副
u	t	都独犊毒	堵赌肚读督	妒度渡镀杜肚
u	tʰ	徒屠途图	土突秃	吐兔
u	n	奴	努	怒
u	l	卢炉庐	鲁卤	路赂落录陆鹿禄
u	k	姑孤	古估股鼓骨谷	故固雇顾
u	kʰ	枯	苦哭	库裤
u	x	呼乎胡湖狐壶核忽	虎浒霍藿	户互护瓠
u	ts	租猪蛛珠卒	祖组阻煮拄主术足嘱族竹	著助住柱驻注蛀铸筑触做
u	tsʰ	粗除初锄厨	褚处出促	醋储处猝畜
u	s	苏酥梳疏蔬书舒枢输殊赎	暑鼠黍数秫束属俗	素嗉恕数竖树漱术述速素
u	z	儒	乳擩如辱
u	v	吴梧乌污无巫诬屋	五伍午武舞侮	误悟恶务雾戊杌物
ua	k	瓜	寡刮	挂卦
ua	kʰ	夸	垮	跨
ua	x	花华铧划	滑猾	化华画话划
