繁體	简体	吳拼	備注
之	之	tsɿ⁵³	
資	资	tsɿ⁵³	
姿	姿	tsɿ⁵³	
咨	咨	tsɿ⁵³	
諮	咨	tsɿ⁵³	
滓	滓	tsɿ⁵³	
滋	滋	tsɿ⁵³	
輜	辎	tsɿ⁵³	
支	支	tsɿ⁵³	
枝	枝	tsɿ⁵³	
肢	肢	tsɿ⁵³	
梔	栀	tsɿ⁵³	
芝	芝	tsɿ⁵³	
鼠	鼠	tsɿ⁵³	白讀
齒	齿	tsɿ⁵³	白讀
紫	紫	tsɿ³⁵	
指	指	tsɿ³⁵	
紙	纸	tsɿ³⁵	
子	子	tsɿ³⁵	
梓	梓	tsɿ³⁵	
止	止	tsɿ³⁵	
趾	趾	tsɿ³⁵	
址	址	tsɿ³⁵	
旨	旨	tsɿ³⁵	
脂	脂	tsɿ³⁵	
至	至	tsɿ³⁵	
煮	煮	tsɿ³⁵	
只	只	tsɿ³⁵	文讀 只有
志	志	tsɿ³⁵	縣志
誌	志	tsɿ³⁵	縣誌
摯	挚	tsɿ⁴⁴	
幟	帜	tsɿ⁴⁴	
痣	痣	tsɿ⁴⁴	
志	志	tsɿ⁴⁴	志向
此	此	tsʰɿ⁵³	
雌	雌	tsʰɿ⁵³	
齒	齿	tsʰɿ⁵³	文讀
翅	翅	tsʰɿ³⁵	
刺	刺	tsʰɿ⁴⁴	
次	次	tsʰɿ⁴⁴	
廁	厕	tsʰɿ⁴⁴	
差	差	tsʰɿ⁴⁴	參差
茲	兹	dzɿ²²¹	
慈	慈	dzɿ²²¹	
磁	磁	dzɿ²²¹	
辭	辞	dzɿ²²¹	
瓷	瓷	dzɿ²²¹	
詞	词	dzɿ²²¹	
嗣	嗣	dzɿ²²¹	
師	师	sɿ⁵³	
獅	狮	sɿ⁵³	
私	私	sɿ⁵³	
屍	尸	sɿ⁵³	
尸	尸	sɿ⁵³	
梳	梳	sɿ⁵³	
斯	斯	sɿ⁵³	
廝	厮	sɿ⁵³	
撕	撕	sɿ⁵³	
施	施	sɿ⁵³	
司	司	sɿ⁵³	
絲	丝	sɿ⁵³	
思	思	sɿ⁵³	
詩	诗	sɿ⁵³	
篩	筛	sɿ⁵³	
嘶	嘶	sɿ⁵³	
駛	驶	sɿ³⁵	
矢	矢	sɿ³⁵	
史	史	sɿ³⁵	
使	使	sɿ³⁵	
始	始	sɿ³⁵	
死	死	sɿ³⁵	文讀
賜	赐	sɿ⁴⁴	
四	四	sɿ⁴⁴	
肆	肆	sɿ⁴⁴	
試	试	sɿ⁴⁴	
匙	匙	zɿ²²¹	
時	时	zɿ²²¹	
祠	祠	zɿ²²¹	
耜	耜	zɿ²²¹	耜頭
飼	饲	zɿ²²¹	
似	似	zɿ¹³	
祀	祀	zɿ¹³	
巳	巳	zɿ¹³	
市	市	zɿ¹³	
士	士	zɿ¹³	
仕	仕	zɿ¹³	
柿	柿	zɿ¹³	
恃	恃	zɿ¹³	
俟	俟	zɿ¹³	
鰣	鲥	zɿ¹³	
是	是	zɿ¹³	
氏	氏	zɿ¹³	
誓	誓	zɿ¹³	
逝	逝	zɿ¹³	
字	字	zɿ¹³	
伺	伺	zɿ¹³	
寺	寺	zɿ¹³	
事	事	zɿ¹³	
侍	侍	zɿ¹³	
示	示	zɿ¹³	
視	视	zɿ¹³	
嗜	嗜	zɿ¹³	
自	自	zɿ¹³	文讀
蓖	蓖	pi⁵³	
媲	媲	pi⁵³	
比	比	pi³⁵	
鄙	鄙	pi⁴⁴	
閉	闭	pi⁴⁴	
祕	秘	pi⁴⁴	
秘	秘	pi⁴⁴	
泌	泌	pi⁴⁴	
篦	篦	pi⁴⁴	
臂	臂	pi⁴⁴	
庇	庇	pi⁴⁴	包庇
批	批	pʰi⁵³	
披	披	pʰi⁵³	
砒	砒	pʰi⁵³	
紕	纰	pʰi⁵³	紕漏
痞	痞	pʰi⁵³	地痞
否	否	pʰi⁵³	否極泰來
譬	譬	pʰi⁴⁴	
屁	屁	pʰi⁴⁴	
皮	皮	bi²²¹	
疲	疲	bi²²¹	
脾	脾	bi²²¹	
琵	琵	bi²²¹	
枇	枇	bi²²¹	
婢	婢	bi²²¹	
陛	陛	bi²²¹	
痹	痹	bi²²¹	
俾	俾	bi²²¹	
蔽	蔽	bi²²¹	
幣	币	bi²²¹	
斃	毙	bi²²¹	
肥	肥	bi²²¹	白讀
敝	敝	bi¹³	
鐾	鐾	bi¹³	鐾刀
被	被	bi¹³	被頭
弊	弊	bi¹³	
避	避	bi¹³	
靡	靡	mi²²¹	
彌	弥	mi²²¹	
糜	糜	mi²²¹	
迷	迷	mi²²¹	
眉	眉	mi²²¹	白讀
謎	谜	mi²²¹	文讀
尾	尾	mi²²¹	白讀 尾巴
米	米	mi¹³	
味	味	mi¹³	白讀
未	未	mi¹³	白讀 還早未
微	微	ʔmi⁴⁴	白讀 微微小
非	非	fi⁵³	
飛	飞	fi⁵³	
妃	妃	fi⁵³	
榧	榧	fi⁵³	
匪	匪	fi⁵³	
