汉字	注释	音标
多		tuo1
大		ta5
锣		luo2
歌		kɤ1
饿		vo5
河		xɤ2
茄	~子	tɕʰye2
破		pʰo5
婆		pʰo2
朵		tuo3
骡		luo2
坐		tsuo5
科		kʰuo1
卧		vo5
火		xuo3
靴		ɕye1
爬		pʰa2
麻		ma2
茶		tsʰa2
沙		sa1
家		tɕia1
下	~面	ɕia5
哑		ia3
借		tɕie5
写		ɕie3
谢		ɕie5
车		tsʰɤ1
蛇		sɤ2
社		sɤ5
夜		ie5
傻		sa3
瓜		kua1
瓦		va3
花		xua1
蛙		va1
布		pu5
步		pu5
墓		mu5
土		tʰu3
怒		nu5
路		lu5
粗		tsʰu1
苏		su1
古		ku3
苦		kʰu3
虎		xu3
女		ny3
吕		ly3
蛆		tɕʰy1
徐		ɕy2
猪		tsu1
除		tsʰu2
初		tsʰuo1
煮		tsu3
锄		tsʰo2
书		su1
如		zu2
居		tɕy1
去		tɕʰy5
鱼		y2
余	节~	y2
斧		fu3
父		fu5
武		u3
趣		tɕʰy5
须		ɕy1
柱		tsu5
数	~一遍	suo3
主		tsu3
竖		su5
句		tɕy5
遇		y5
雨		y3
来		lɛ2
在		tsɛ5
改		kɛ3
开		kʰɛ1
海		xɛ3
爱		ɣɛ5
贝		pei5
太		tʰɛ5
蔡		tsʰɛ5
盖		kɛ5
害		xɛ5
拜		pɛ5
排		pʰɛ2
斋		tsɛ1
街		tɕie1
界		tɕie5
牌		pʰɛ2
买		mɛ3
柴		tsʰɛ2
筛	~子	sɛ1
解	~开	tɕie3
鞋		ɕie2
矮		ɣɛ1
败		pɛ5
币		pi5
祭		tɕi5
制		tsɿ5
世		sɿ5
艺		i5
闭		pi5
米		mi3
梯		tʰi1
弟		ti5
泥		ni2
犁		li2
妻		tɕi1
洗		ɕi3
鸡		tɕi1
系	联~	ɕi5
翳	目~	i5
妹		mei5
腿		tʰei3
雷		lei2
罪		tsei5
碎		sei5
块		kʰuɛ5
灰		xuei1
会		xuei5
最		tsei5
怪		kuɛ5
坏		xuɛ5
挂		kua5
画		xua5
快		kʰuɛ5
话		xua5
肺		fei5
脆		tsʰei5
税		suei5
鳜		kua5
锐		zuei5
桂		kuei5
慧		xuei5
碑		pei1
皮		pʰi2
紫		tsɿ3
刺		tsʰɿ5
知		tsɿ1
支		tsɿ1
儿		a2
骑		tɕʰi2
牺		ɕi1
椅		i3
比		pi3
美		mei3
地		ti5
资		tsɿ1
死		sɿ3
迟		tsʰɿ2
师		sɿ1
屎		sɿ3
饥		tɕi1
姨		i2
二		a5
你		ni3
李		li3
字		tsɿ5
寺		sɿ5
治		tsɿ5
事		sɿ5
使		sɿ3
诗		sɿ1
耳		a3
基		tɕi1
喜		ɕi3
医		i1
气		tɕʰi5
稀		ɕi1
衣		i1
嘴		tsei3
吹		tsʰuei1
睡		suei5
跪		kuei5
毁		xuei3
危		vei2
泪		lei5
醉		tsei5
虽		sei1
追		tsuei1
衰		suɛ1
水		suei3
龟		kuei1
葵		kʰuei2
位		vei5
飞		fei1
肥		fei2
尾		vei3
鬼		kuei3
徽		xuei1
伟		vei3
保		pɔ3
毛		mɔ2
刀		tɔ1
道		tɔ5
脑		nɔ3
老		lɔ3
草		tsʰɔ3
嫂		sɔ3
高		kɔ1
好	~坏	xɔ3
袄		ɣɔ3
炮		pʰɔ5
跑		pʰɔ3
闹		nɔ5
抓		tsua1
巢		tsʰɔ2
敲		tɕʰiɔ1
飘		pʰiɔ1
庙		miɔ5
焦		tɕiɔ1
小		ɕiɔ3
超		tsʰɔ1
赵		tsɔ5
招		tsɔ1
烧		sɔ1
绕	围~	zɔ3
骄		tɕiɔ1
桥		tɕʰiɔ2
摇		iɔ2
钓		tiɔ5
条		tʰiɔ2
尿	名词	niɔ5
料		liɔ5
叫		tɕiɔ5
晓		ɕiɔ3
亩		mu3
贸		mɔ5
豆		tou5
漏		nou5
走		tsou3
狗		kou3
口		kʰou3
厚		xou5
富		fu5
妇		fu5
纽		niou3
柳		niou3
酒		tɕiou3
袖		ɕiou5
抽		tsʰou1
愁		tsʰou2
周		tsʰou1
寿		sou5
九		tɕiou3
休		ɕiou1
油		iou2
彪		piɔ1
幼		iou5
贪		tʰã1
南		nã2
参	~加	tsʰã1
感		kã3
坎		kʰã3
含		xã2
