音标	调值				
tsɿ	33	制製池支枝紫纸只(～有)智资瓷自致至滋慈磁辞词祠持之芝字寺			
tsɿ	42	饲			
tsɿ	35	子址			
tsɿ	21	巳痔治志誌			
tsʰɿ	33	此刺旨次			
tsʰɿ	35	耻止齿			
tsʰɿ	21	赤			
sɿ	33	斯施匙是氏豉(豆～)私师狮尸屎示视司丝思诗时厕(茅～)侍十悉实			
sɿ	35	史始			
sɿ	21	似士仕柿市思试室			
sɿ	5	湿失			
pi	33	□(铧)避分份崩冰风枫			
pi	42	贫盆朋彭棚蓬逢			
pi	35	本			
pi	5	璧			
pʰi	33	蜂			
pʰi	35	品捧			
mi	33	枚每问			
mi	42	民门蚊			
mi	21	闻			
fi	33	昏婚荤疯			
fi	42	魂			
fi	35	粉覆			
fi	21	□(睡觉)			
vi	33	温瘟翁			
vi	42	文纹			
vi	35	稳			
ti	33	蝶邓			
ti	42	藤铜桐筒			
ti	21	盾动			
tʰi	35	桶			
li	33	螺(～蛳)堆雷对队内兑梨栗登灯东冬			
li	42	□(浇)林淋临怜陵菱聋虫			
li	21	顿凳冻栋			
tsi	33	斜借谢牒蝶秦阵增席笛敌			
tsi	42	蚕沉蝉尘昨曾层澄丞澄重(～复)			
tsi	21	进重(轻～)			
tsi	5	疾积脊籍绩			
tsʰi	33	推催退侵亲亲(～家)葱			
tsʰi	35	□(玩)			
si	33	写泻庶心参(人～)辛新薪僧			
si	21	泄信送宋			
si	5	恤锡			
tɕi	33	茄(～子)鸡计继奇骑技妓寄饥(～饿)	肌祁基其棋期(时～)旗机饑(～荒)轿今执汁及直		
tɕi	42	朝(～代)潮乔侨桥荞			
tɕi	35	己纪几(～个)级			
tɕi	21	痣记忌既季照占(～领)寂			
tɕi	5	杞折(～叠)急蜇浙结质吉脚值织职菊			
tɕʰi	33	契(～约)企器弃欺			
tɕʰi	21	气汽			
tɕʰi	5	彻撤			
ȵi	33	语艺仪义议疑毅尿			
ɕi	33	世势系係(关～)牺翅戏希烧食蚀			
ɕi	35	起喜			
ɕi	5	设歇识式饰			
ki	33	跟根公工功			
hi	33	溪			
hi	42	红洪冯			
hi	21	□(岸)			
i	33	缢移倚椅谊易(难～)姨医以依腰叶刃日(～本)乙药易(交～)疫役			
i	42	窑			
i	21	已意要(重～)忆亿译			
i	5	页一			
pu	33	玻(～璃)婆菩(～萨)补部簿布佈怖步孵斧讣薄			
pu	21	抱			
pu	5	腹			
pʰu	33	簸(～箕)铺(～设)谱普铺(店～)辅仆			
pʰu	35	朴			
pʰu	21	剖瀑(～布)			
mu	33	魔磨(～刀)摩磨(石～)磨(～面)麻痲蟆马码(～子)模(～子模(～范)摹暮墓抹莫麦木目穆)模(～范)摹暮墓抹莫麦木目穆			
mu	35	母拇			
mu	21	幕			
fu	33	贺和(～气)火伙祸货呼狐乎浒户互护夫肤符扶芙(～蓉)府父腐付赋傅附复(～兴)合			
fu	42	河(～渊村)何荷(～花)佛			
fu	21	负富副幅服			
fu	5	福复			
vu	33	□(～菜，菠菜)禾□(～一～，簸一簸)乌伍悟恶(可～)无武舞雨务雾□(树)物握梧			
vu	35	□(肉)			
vu	5	屋			
tu	33	都(～城)都(～是)途涂图堵肚(猪～)杜肚(腹～)妒度渡□(窗)独读督毒□(舂)			
tu	42	榻			
tʰu	33	土吐(～痰)吐(呕～)兔蜕突			
tʰu	5	塔脱秃			
ŋu	33	奴努鲁			
lu	33	裸卢炉芦鸬赌路露庐腊蜡骆洛络			
lu	42	捞搂捋鹿			
lu	21	录			
lu	5	答搭达			
tsu	33	佐茶搽查(山～)渣查(调～)诈榨炸租祖组锄阻助挤杂宅族			
tsu	42	擦察			
tsu	21	炸(用油～)			
tsu	5	择摘责			
tsʰu	33	叉杈差(～别)□(骂)岔(～路)粗醋初础			
tsʰu	5	拆册促			
su	33	蓑沙纱灑苏酥诉塑(～像)梳疏(～远)蔬所(派出～)署(专～)数(动词)竖数(名词)漱杉速			
su	35	索			
su	21	属			
su	5	撒肃缩束			
ku	33	歌哥果馃过姑孤箍古估牯股鼓故固雇顾鸽			
ku	5	穀谷			
kʰu	33	科课苦库			
ŋu	33	牙芽衙瓦吴午误鱼			
ŋu	42	蛾鹅			
ŋu	21	戊			
hu	33	枯胡湖壶瓠(～盧)虎裤去			
hu	5	哭			
tɕy	33	举距拘主注桂			
tɕy	5	决诀			
tɕʰy	33	区驱取娶趣屈			
ɕy	33	舒虚序须需殊熙虽			
y	33	如於(～此)余餘御誉预愚娱于愉遇寓裕育			
y	42	异			
pa	33	贝蓖(～麻)碑彼婢悲枇(～杷)比秕(～子)备鼻篦办班斑颁扳			
pa	42	便(～宜)			
pa	35	板版榜			
pa	21	拔			
pa	5	扁笔毕			
pʰa	5	匹			
ma	33	迷眉美慢蜜			
ma	42	蛮			
ma	5	没(～有)			
fa	33	恢坏非飞妃挥辉范			
fa	42	肥烦			
fa	35	毁匪访			
va	33	歪卫为(～什么)位未味魏纬胃谓弯湾万威腕			
va	42	危维微横为(作～)违围			
va	35	委伟慰			
ta	33	徒地			
ta	42	弹(～琴)			
ta	21	沓			
tʰa	33	拖驮(～起来)唾			
tʰa	42	滩摊			
tʰa	21	痰炭			
tʰa	5	托			
ŋa	33	糯宜二贰揉入日(～子)			
ŋa	42	锣难(～易)难(患～)			
la	33	多脶(手～)剁虑癞厉励离(～别)篱璃知离(～开半寸)利痢厘狸累(连～)泪立笠丹单律落			
la	42	罗箩篮拦栏裂			
la	21	李里理鲤懒			
la	5	劄(用针～)粒			
tsa	33	坐座姐姊站(车～)蘸(～酱油)沾浸集习凿琢争			
tsa	42	残			
tsa	35	爪(～牙)斩盏			
tsa	21	赞溅			
tsa	5	眨捉			
tsʰa	33	搓锉错抄			
tsʰa	35	炒铲产			
tsʰa	21	衬撑牚(椅子～儿)			
tsʰa	5	七漆错(～杂)			
sa	33	死四肆森山生牲笙甥			
sa	35	伞省			
sa	21	潲散(鞋带～了)散(分～)萨			
ka	33	艰间(空～)奸庚			
ka	35	减简			
ka	21	间(～断)更(～加)			
ŋa	33	硬			
ŋa	42	岩			
ŋa	21	眼			
ha	33	馅			
ha	42	还(～有)恒行(～为)衡			
ha	35	乾(～湿)恨			
ha	21	耗喊限			
pia	33	破			
pia	42	袍泡(～在水里)浮			
pia	35	保堡宝			
pia	21	报爆			
mia	42	毛			
tia	33	萄跌			
tia	42	逃淘陶			
tia	21	道			
tʰia	35	讨			
tʰia	21	套			
lia	33	刀			
lia	42	劳牢			
lia	35	倒(打～)			
lia	21	老到倒(～水)			
tsia	33	遭糟			
tsia	42	曹			
tsia	35	早枣蚤			
tsia	21	皂躁灶罩			
tsʰia	33	操			
tsʰia	35	草			
tsʰia	21	造糙			
sia	33	骚臊膻			
sia	35	嫂			
sia	21	扫(～地)扫(～帚)			
ȵia	35	脑			
ȵia	21	恼			
kia	33	高膏(名词)篙羔糕膏(～油)竿			
kia	35	稿			
kia	21	告			
kʰia	35	考			
kʰia	21	靠犒			
ŋia	42	熬			
hia	33	蒿薅号(呼～)号(～数)			
hia	42	壕毫			
hia	35	好(～坏)			
hia	21	好(喜～)			
kua	33	规龟柜归關			
kua	35	诡轨癸鬼			
kua	21	跪贵惯			
kua	5	阁搁			
kʰua	33	亏愧匡			
tɕya	33	追锥钻			
tɕya	42	随			
tɕya	35	嘴			
tɕya	21	醉			
tɕʰya	33	吹炊			
ɕya	33	瑞术			
ɕya	42	垂			
ɕya	35	水			
ɕya	5	戌出			
tsie	33	者筝			
tsʰie	33	且			
tɕie	33	痂祭髻尖针斟金襟杰珍真巾斤筋征(～求)蒸贞侦征穷			
tɕie	42	琴陈勤芹			
tɕie	35	枕锦紧着(睡～)拯种(～类)肿			
tɕie	21	禁(～止)镇近证症郑			
tɕʰie	33	称(～呼)			
tɕʰie	21	称(相～)秤			
ȵie	33	□(一～，一个)			
ȵie	42	银浓			
ȵie	21	耳粘(～米)忍			
ɕie	33	□(怕)谁深身申升承兴(～旺)剩胜(～败)			
ɕie	42	穴神辰晨臣乘			
ɕie	35	审			
ɕie	21	甚胜(～任)			
ie	33	任(姓)音阴饮(～酒)任(责～)荫因姻□(吃)			
ie	42	壬言仁寅			
ie	21	掩引认印应(～当)应(响～)			
kue	33	家加傢(～具)假(真～)贾假(放～)架嫁稼价瓜蛙寡佳乖怪卦鳍			
kue	5	甲			
tɕye	33	遮蔗跨储(～蓄)尊遵均君军罪最			
tɕye	42	存裙松			
tɕye	35	准			
tɕye	5	涩菌			
tɕʰye	33	车(马～)扯傻村春			
tɕʰye	35	蠢			
tɕʰye	21	寸			
tɕʰye	5	尺			
ȵye	33	嫩			
ɕye	33	蛇赊佘(姓)捨社舍耍孙熏射石			
ɕye	35	损笋榫			
ɕye	21	帅□(揖)顺训			
ɕye	5	吸闩绳释腋			
ye	33	爷野夜润闰熨运晕			
ye	42	匀云			
pο	33	跛壩(堤)坝(平川)排拜牌摆稗败箅(～子)皮脾被(～子)			
pο	5	八			
pʰο	33	坡派			
mο	33	埋买□(奶)卖糜(粥)袜			
mο	21	尾末膜			
mο	5	没(沉～)			
fο	33	华(姓)怀槐罚			
fο	5	发(～财)			
vο	33	□(叫)滑猾□(鹰)			
vο	21	窄			
vο	5	挖			
tο	33	大爹胎臺抬待贷代袋			
tʰο	33	态太泰			
ŋο	33	奈			
lο	33	啰(～唆)来戴耐带赖辣			
tsο	33	灾才材财裁载(年～)在再载(～重)斋豺寨疼			
tsο	5	闸			
tsʰο	33	猜腮鳃彩採睬菜蔡钗差(出～)			
tsʰο	5	插			
sο	33	唆(啰～)筛晒筛			
sο	5	杀			
kο	33	丐阶介界届戒械街解(讲～)			
kο	5	夹钳挟			
kʰο	33	块会(～计)			
ŋο	33	呆			
hο	33	鞋盒			
hο	42	河(大～)			
hο	21	□(软)			
hο	5	掐瞎			
ο	33	矮衣			
tɕiο	33	撮			
ȵiο	5	粘(～贴)			
ɕiο	33	赛			
kuο	33	剐蛙拐挂郭			
kuο	35	涧			
kuο	5	括刮骨革			
kʰuο	33	垮快筷			
kʰuο	5	阔			
ŋuο	5	哽			
tɕyο	33	抓			
tɕyο	42	棰锤			
tɕyο	5	磕雀			
ɕyο	5	刷哄			
liu	33	猪吕旅绿			
tsiu	33	徐除厨聚柱续驻住俗续			
tsʰiu	33	蛆			
siu	33	鬚			
tɕiu	33	□(爬)株朱硃珠俱拄矩句具			
tɕyu	33	诸居车(～马炮)渠煮据锯局			
tɕyu	35	嘱			
tɕyu	21	剧			
tɕyu	5	烛			
tɕʰyu	33	处(相～)处(～所)			
tɕʰyu	5	曲			
ȵyu	33	女			
ɕyu	33	书墟暑鼠许薯输唇赎			
ŋyu	33	玉			
yu	33	也			
yu	35	又			
kɯ	33	该改盖			
kɯ	35	搞			
kɯ	5	割葛格隔			
kʰɯ	5	刻克			
ŋɯ	33	爱			
hɯ	33	蝦(鱼～)开海亥害痱			
hɯ	5	黑核			
kuɯ	5	国			
kʰuɯ	33	魁			
ŋuɯ	33	外			
pai	33	币毙被(～迫)别(区～)别(离～)			
pai	21	壁			
pai	5	鳖憋必逼			
pʰai	33	批僻			
pʰai	5	撇			
mai	33	米庙妙灭篾密			
fai	33	废肺慧			
fai	21	费			
fai	5	血			
tai	33	题提蹄啼弟□(找)			
tai	42	条调(～和)			
