字	片	区	小片	方言点	声母	韵母	调值	调类	备注
一	闽方言岛			中山(三乡)	0	iɐt/it	21	阴入	白,文;第一
七	闽方言岛			中山(三乡)	tsʰ	it	21	阴入	
三	闽方言岛			中山(三乡)	s	a	33	阴平	
上	闽方言岛			中山(三乡)	ts	iu	11	阳去	上面
下	闽方言岛			中山(三乡)	0	ai	13	阴上	底下
与	闽方言岛			中山(三乡)	0	i	13	阴上	
丑	闽方言岛			中山(三乡)	tsʰ	au	13	阴上	
专	闽方言岛			中山(三乡)	ts	in	33	阴平	
且	闽方言岛			中山(三乡)	tsʰ	ia	13	阴上	
世	闽方言岛			中山(三乡)	s	e/i	33/213	阴平/阴去	一世,世界
丗	闽方言岛			中山(三乡)	s	e/i	33/213	阴平/阴去	一世,世界
丙	闽方言岛			中山(三乡)	p	eŋ	13	阴上	
业	闽方言岛			中山(三乡)	ŋ	ip	53	阳入	
东	闽方言岛			中山(三乡)	t	aŋ	33	阴平	
两	闽方言岛			中山(三乡)	n	iu	13	阴上	几两
严	闽方言岛			中山(三乡)	ŋ	im/iam	55	阳平	白,文
並	闽方言岛			中山(三乡)	p	ieŋ	11	阳去	
中	闽方言岛			中山(三乡)	t	aŋ	33	阴平	当中
串	闽方言岛			中山(三乡)	tsʰ	iu	213	阴去	
丸	闽方言岛			中山(三乡)	0	in	55	阳平	
为	闽方言岛			中山(三乡)	0	uɐi	11	阳去	作为
主	闽方言岛			中山(三乡)	ts	u	13	阴上	
丼	闽方言岛			中山(三乡)	ts	ai	13	阴上	
丽	闽方言岛			中山(三乡)	l	ɐi	33	阴平	
举	闽方言岛			中山(三乡)	k	i	13	阴上	
久	闽方言岛			中山(三乡)	k	u	55	阳平	
义	闽方言岛			中山(三乡)	ŋ	i	11	阳去	
之	闽方言岛			中山(三乡)	ts	i	55	阳平	
乌	闽方言岛			中山(三乡)	0	ɔ	33	阴平	
乐	闽方言岛			中山(三乡)	ŋ	ok	21	阴入	音乐
乙	闽方言岛			中山(三乡)	0	it	21	阴入	
九	闽方言岛			中山(三乡)	k	ɐu	13	阴上	
乞	闽方言岛			中山(三乡)	kʰ	it	21	阴入	
习	闽方言岛			中山(三乡)	ts	ap	21	阴入	
乡	闽方言岛			中山(三乡)	h	iu	33	阴平	
书	闽方言岛			中山(三乡)	ts	u	33	阴平	
买	闽方言岛			中山(三乡)	m	e	11	阳去	
乱	闽方言岛			中山(三乡)	n	ui	11	阳去	
亂	闽方言岛			中山(三乡)	n	ui	11	阳去	
了	闽方言岛			中山(三乡)	l	iau	13	阴上	了结
事	闽方言岛			中山(三乡)	s	u	11	阳去	
于	闽方言岛			中山(三乡)	0	i	33	阴平	
亏	闽方言岛			中山(三乡)	kʰ	uɐi	55	阳平	
云	闽方言岛			中山(三乡)	0	uɐn	11	阳去	子云
五	闽方言岛			中山(三乡)	ŋ	ɔ	33	阴平	
井	闽方言岛			中山(三乡)	ts	ai	13	阴上	
亖	闽方言岛			中山(三乡)	s	i	33	阴平	
亚	闽方言岛			中山(三乡)	0	a	33	阴平	
亞	闽方言岛			中山(三乡)	0	a	33	阴平	
亡	闽方言岛			中山(三乡)	m	ɔŋ	11	阳去	
交	闽方言岛			中山(三乡)	k	au	33	阴平	
产	闽方言岛			中山(三乡)	tsʰ	an	13	阴上	
享	闽方言岛			中山(三乡)	h	iɔŋ	13	阴上	
京	闽方言岛			中山(三乡)	k	ieŋ	33	阴平	
亭	闽方言岛			中山(三乡)	tʰ	eŋ	55	阳平	
亯	闽方言岛			中山(三乡)	h	iɔŋ	13	阴上	
仁	闽方言岛			中山(三乡)	ŋ	in	55	阳平	
仅	闽方言岛			中山(三乡)	k	ɐn	13	阴上	
仇	闽方言岛			中山(三乡)	tsʰ	au	11	阳去	
介	闽方言岛			中山(三乡)	k	ai	33	阴平	
仓	闽方言岛			中山(三乡)	tsʰ	ou	33	阴平	
仙	闽方言岛			中山(三乡)	s	in	33	阴平	
令	闽方言岛			中山(三乡)	l	eŋ	11	阳去	
以	闽方言岛			中山(三乡)	0	i	13	阴上	
件	闽方言岛			中山(三乡)	k	in	11	阳去	
任	闽方言岛			中山(三乡)	ŋ	im	11	阳去	主任
企	闽方言岛			中山(三乡)	kʰ	ia	13	阴上	
伐	闽方言岛			中山(三乡)	f	at	21	阴入	
休	闽方言岛			中山(三乡)	0	iɐu	55	阳平	
会	闽方言岛			中山(三乡)	0	ui	33/11	阴平/阳去	开会,会不会
伟	闽方言岛			中山(三乡)	0	uɐi	13	阴上	
传	闽方言岛			中山(三乡)	ts	in	33	阴平	传记
伤	闽方言岛			中山(三乡)	s	iɔŋ	55	阳平	
伪	闽方言岛			中山(三乡)	ŋ	ɐi	33	阴平	
伴	闽方言岛			中山(三乡)	pʰ	ua	11	阳去	
伸	闽方言岛			中山(三乡)	tsʰ	un	33	阴平	
似	闽方言岛			中山(三乡)	tsʰ	u	13	阴上	
佀	闽方言岛			中山(三乡)	tsʰ	u	13	阴上	
位	闽方言岛			中山(三乡)	0	ui	11	阳去	
低	闽方言岛			中山(三乡)	t	e	33	阴平	
住	闽方言岛			中山(三乡)	t	iu	11	阳去	
佔	闽方言岛			中山(三乡)	s	iam	213	阴去	
佛	闽方言岛			中山(三乡)	p	ut	53	阳入	
作	闽方言岛			中山(三乡)	ts	ɐu	213	阴去	
佳	闽方言岛			中山(三乡)	k	ai	33	阴平	
使	闽方言岛			中山(三乡)	s	ɐi	13	阴上	
來	闽方言岛			中山(三乡)	l	ɐi	55	阳平	
例	闽方言岛			中山(三乡)	l	e	11	阳去	
侍	闽方言岛			中山(三乡)	s	u	11	阳去	
侧	闽方言岛			中山(三乡)	tsʰ	iek	21	阴入	
侨	闽方言岛			中山(三乡)	kʰ	iu	55	阳平	
侯	闽方言岛			中山(三乡)	h	ou	55	阳平	
侵	闽方言岛			中山(三乡)	tsʰ	ɐm	55	阳平	
便	闽方言岛			中山(三乡)	pʰ	i	33	阳平	便宜
俗	闽方言岛			中山(三乡)	s	ok	21	阴入	
保	闽方言岛			中山(三乡)	p	ɔ	13	阴上	
信	闽方言岛			中山(三乡)	s	in	213	阴去	
修	闽方言岛			中山(三乡)	s	iu	33	阴平	
俻	闽方言岛			中山(三乡)	p	i	33	阴平	
倉	闽方言岛			中山(三乡)	tsʰ	ou	33	阴平	
個	闽方言岛			中山(三乡)	k	ɐi	55	阳平	一个人
倒	闽方言岛			中山(三乡)	t	ɔ	13	阴上	打倒
倦	闽方言岛			中山(三乡)	k	in	33	阴平	
债	闽方言岛			中山(三乡)	ts	ai	33	阴平	
倾	闽方言岛			中山(三乡)	kʰ	eŋ	55	阳平	
假	闽方言岛			中山(三乡)	k	ɐi	13	阴上	真假
偉	闽方言岛			中山(三乡)	0	uɐi	13	阴上	
側	闽方言岛			中山(三乡)	tsʰ	iek	21	阴入	
偶	闽方言岛			中山(三乡)	ŋ	ɐu	13	阴上	
偷	闽方言岛			中山(三乡)	tʰ	au	33	阴平	
傑	闽方言岛			中山(三乡)	k	it	21	阴入	
備	闽方言岛			中山(三乡)	p	i	33	阴平	
傳	闽方言岛			中山(三乡)	ts	in	33	阴平	传记
債	闽方言岛			中山(三乡)	ts	ai	33	阴平	
傷	闽方言岛			中山(三乡)	s	iɔŋ	55	阳平	
傾	闽方言岛			中山(三乡)	kʰ	eŋ	55	阳平	
僅	闽方言岛			中山(三乡)	k	ɐn	13	阴上	
僊	闽方言岛			中山(三乡)	s	in	33	阴平	
僑	闽方言岛			中山(三乡)	kʰ	iu	55	阳平	
僞	闽方言岛			中山(三乡)	ŋ	ɐi	33	阴平	
僻	闽方言岛			中山(三乡)	pʰ	ek	53	阳入	
儀	闽方言岛			中山(三乡)	ŋ	i	55	阳平	
兂	闽方言岛			中山(三乡)	ts	ɐm	55	阳平	
元	闽方言岛			中山(三乡)	0/ŋ	in	11/55	阳去/阳平	元朝,一元
兄	闽方言岛			中山(三乡)	h	ia	33	阴平	
充	闽方言岛			中山(三乡)	tsʰ	oŋ	55	阳平	
先	闽方言岛			中山(三乡)	s	ai	33	阴平	
光	闽方言岛			中山(三乡)	k	ui	33	阴平	
克	闽方言岛			中山(三乡)	kʰ	ak	53	阳入	
免	闽方言岛			中山(三乡)	m	in	13	阴上	
兒	闽方言岛			中山(三乡)	ts	i	55	阳平	
入	闽方言岛			中山(三乡)	ts	ip	53	阳入	
內	闽方言岛			中山(三乡)	l	ɐi	11	阳去	
全	闽方言岛			中山(三乡)	tsʰ	in	55	阳平	
兩	闽方言岛			中山(三乡)	n	iu	13	阴上	几两
八	闽方言岛			中山(三乡)	p	aiʔ	21	阴入	
公	闽方言岛			中山(三乡)	k	oŋ	33	阴平	
六	闽方言岛			中山(三乡)	l	ak	53	阳入	
兰	闽方言岛			中山(三乡)	l	an	55	阳平	
关	闽方言岛			中山(三乡)	k	ua	33	阴平	
兴	闽方言岛			中山(三乡)	h	ɐŋ	55	阳平	兴旺
兵	闽方言岛			中山(三乡)	p	ieŋ	33	阴平	
典	闽方言岛			中山(三乡)	t	in	13	阴上	
兼	闽方言岛			中山(三乡)	k	im	33	阴平	
兽	闽方言岛			中山(三乡)	s	ɐu	33	阴平	
内	闽方言岛			中山(三乡)	l	ɐi	11	阳去	
冊	闽方言岛			中山(三乡)	tsʰ	ɐiʔ	21	阴入	
册	闽方言岛			中山(三乡)	tsʰ	ɐiʔ	21	阴入	
写	闽方言岛			中山(三乡)	s	ia	13	阴上	
军	闽方言岛			中山(三乡)	k	uɐn	55	阳平	
农	闽方言岛			中山(三乡)	n	oŋ	11	阳去	
冠	闽方言岛			中山(三乡)	k	un	55	阳平	
冤	闽方言岛			中山(三乡)	0	in	33	阴平	
冰	闽方言岛			中山(三乡)	p	ieŋ	33	阴平	
准	闽方言岛			中山(三乡)	ts	un	13	阴上	
凤	闽方言岛			中山(三乡)	h	oŋ	33	阴平	
凷	闽方言岛			中山(三乡)	k	ou	213	阴去	
函	闽方言岛			中山(三乡)	h	am	11	阳去	
刀	闽方言岛			中山(三乡)	t	ɔ	33	阴平	
刃	闽方言岛			中山(三乡)	0	iɐn	33	阴平	
分	闽方言岛			中山(三乡)	p	un	33	阴平	
