cid	character	initial	final	tone	note
222	师	s	ɿ	55	
223	指	ts	ɿ	213	
224	二	∅	ər	53	
225	饥	tɕ	i	55	
226	器	tɕh	i	53	
227	姨	∅	i	35	
228	李	l	i	213	
229	子	ts	ɿ	213	
230	字	ts	ɿ	53	
231	丝	s	ɿ	55	
232	祠	tsh	ɿ	35	
233	寺	s	ɿ	53	
234	治	ts	ɿ	53	
235	柿	s	ɿ	53	
236	事	s	ɿ	53	
237	使	s	ɿ	213	
238	试	s	ɿ	53	
239	时	s	ɿ	35	
240	市	s	ɿ	53	
241	耳	∅	ər	213	
242	记	tɕ	i	53	
243	棋	tɕh	i	35	
244	喜	ɕ	i	213	
245	意	∅	i	53	
246	几	tɕ	i	213	
247	气	tɕh	i	53	
248	希	ɕ	i	55	
249	衣	∅	i	55	
250	嘴	ts	uei	213	
251	随	s	uei	35	
252	吹	tsh	uei	55	
253	垂	tsh	uei	35	
254	规	k	uei	55	
255	亏	kh	uei	55	
256	跪	k	uei	53	
257	危	∅	uei	35	～险
257	危	∅	uei	55	
258	类	l	ei	53	
259	醉	ts	uei	53	
260	追	ts	uei	55	
261	锤	tsh	uei	35	
262	水	s	uei	213	
263	龟	k	uei	55	
264	季	tɕ	i	53	
265	柜	k	uei	53	
266	位	∅	uei	53	
267	飞	f	ei	55	
268	费	f	ei	53	
269	肥	f	ei	35	
270	尾	∅	i	213	～巴
270	尾	∅	uei	213	
271	味	∅	uei	53	
272	鬼	k	uei	213	
273	贵	k	uei	53	
274	围	∅	uei	35	
275	胃	∅	uei	53	
276	宝	p	ɑu	213	
277	抱	p	ɑu	53	
278	毛	m	ɑu	35	
279	帽	m	ɑu	53	
280	刀	t	ɑu	55	
281	讨	th	ɑu	213	
282	桃	th	ɑu	35	
283	道	t	ɑu	53	
284	脑	n	ɑu	213	
285	老	l	ɑu	213	
286	早	ts	ɑu	213	
287	灶	ts	ɑu	53	
288	草	tsh	ɑu	213	
289	糙	tsh	ɑu	55	
290	造	ts	ɑu	53	
291	嫂	s	ɑu	213	
292	高	k	ɑu	55	
293	靠	kh	ɑu	53	
294	熬	n	ɑu	35	
295	好	x	ɑu	213	
296	号	x	ɑu	53	
297	包	p	ɑu	55	
298	饱	p	ɑu	213	
299	炮	ph	ɑu	53	
300	猫	m	ɑu	55	
301	闹	n	ɑu	53	
302	罩	ts	ɑu	53	
303	抓	ts	uɑ	55	
304	找	ts	ɑu	213	
305	抄	tsh	ɑu	55	
306	交	tɕ	iɑu	55	
307	敲	tɕh	iɑu	55	
308	孝	ɕ	iɑu	53	
309	校	ɕ	iɑu	53	
310	表	p	iɑu	213	
311	票	ph	iɑu	53	
312	庙	m	iɑu	53	
313	焦	tɕ	iɑu	55	
314	小	ɕ	iɑu	213	
315	笑	ɕ	iɑu	53	
316	朝	tsh	ɑu	35	
317	照	ts	ɑu	53	
318	烧	s	ɑu	55	
319	绕	∅	iɑu	53	老
319	绕	ʐ	ɑu	53	新
320	桥	tɕh	iɑu	35	
321	轿	tɕ	iɑu	53	
322	腰	∅	iɑu	55	
323	要	∅	iɑu	53	
324	摇	∅	iɑu	35	
325	鸟	ȵ	iɑu	213	
326	钓	t	iɑu	53	
327	条	th	iɑu	35	
328	料	l	iɑu	53	
329	箫	ɕ	iɑu	55	
330	叫	tɕ	iɑu	53	
331	母	m	u	213	
332	抖	t	ou	213	
333	偷	th	ou	55	
334	头	th	ou	35	
335	豆	t	ou	53	
336	楼	l	ou	35	
337	走	ts	ou	213	
338	凑	tsh	ou	53	
339	钩	k	ou	55	
340	狗	k	ou	213	
341	够	k	ou	53	
342	口	kh	ou	213	
343	藕	∅	ou	213	
344	后	x	ou	53	
345	厚	x	ou	53	
346	富	f	u	53	
347	副	f	u	53	
348	浮	f	u	35	
349	妇	f	u	55	老
349	妇	f	u	53	新
350	流	l	iou	35	
351	酒	tɕ	iou	213	
352	修	ɕ	iou	55	
353	袖	ɕ	iou	53	
354	抽	tsh	ou	55	
355	绸	tsh	ou	35	
356	愁	tsh	ou	35	
357	瘦	s	ou	53	
358	州	ts	ou	55	
359	臭	tsh	ou	53	
360	手	s	ou	213	
361	寿	s	ou	53	
362	九	tɕ	iou	213	
363	球	tɕh	iou	35	
364	舅	tɕ	iou	53	
365	旧	tɕ	iou	53	
366	牛	ȵ	iou	35	
367	休	ɕ	iou	55	
368	优	∅	iou	55	
