聲	呼	等	韻	調	組	攝	單字	多音	罕度	檢	注释	聲母	韻母	聲調	IPA	次 聲母	次 韻母	次 聲調	新註
端	開	一	東	平	端	通	東	0	0	0		t	oŋ	52	toŋ52				
端	開	一	東	平	端	通	凍	0	0	0		t	oŋ	35	toŋ35				
端	開	一	東	平	端	通	鶇	0	3	0									
透	開	一	東	平	端	通	通	0	0	0		tʰ	oŋ	52	tʰoŋ52				
透	開	一	東	平	端	通	俑	0	2	0									
定	開	一	東	平	端	通	桐	0	0	0		t	oŋ	231	toŋ231				
定	開	一	東	平	端	通	洞	0	0	0		t	oŋ	213	toŋ213				
定	開	一	東	平	端	通	筒	0	0	0		t	oŋ	231	toŋ231				
定	開	一	東	平	端	通	銅	0	0	0		t	oŋ	231	toŋ231				
定	開	一	東	平	端	通	僮	1	2	1	書僮								
							僮	1	2	1	僮族								
定	開	一	東	平	端	通	童	0	0	0		t	oŋ	231	toŋ231				
定	開	一	東	平	端	通	同	0	0	0		t	oŋ	231	toŋ231				
定	開	一	東	平	端	通	仝	0	3	0									
來	開	一	東	平	來	通	聾	0	0	0		l	oŋ	231	loŋ231				
來	開	一	東	平	來	通	朧	0	1	0		l	oŋ	231	loŋ231				
來	開	一	東	平	來	通	嚨	0	1	0		l	oŋ	231	loŋ231				
來	開	一	東	平	來	通	瓏	0	2	0									
來	開	一	東	平	來	通	籠	0	0	0		l	oŋ	231	loŋ231				
來	開	三	東	平	來	通	隆	0	0	0		l	oŋ	231	loŋ231				
來	開	三	東	平	來	通	窿	0	1	0		l	oŋ	52	loŋ52				
清	開	一	東	平	精	通	聰	0	0	0		tʰ	oŋ	52	tʰoŋ52				
清	開	一	東	平	精	通	囪	0	1	0		tʰ	oŋ	52	tʰoŋ52				
清	開	一	東	平	精	通	蔥	0	0	0		tʰ	oŋ	52	tʰoŋ52				
從	開	一	東	平	精	通	叢	0	0	0		θ	oŋ	231	θoŋ231				
心	開	三	東	平	精	通	嵩	0	2	0		θ	oŋ	52	θoŋ52				
知	開	三	東	平	知	通	衷	0	1	0		tʃ	oŋ	52	tʃoŋ52				
知	開	三	東	平	知	通	忠	0	0	0		tʃ	oŋ	52	tʃoŋ52				
知	開	三	東	平	知	通	中	1	0	1	中間	tʃ	oŋ	52	tʃoŋ52				
知	開	三	東	去	知	通	中	1	0	1	中獎	tʃ	oŋ	35	tʃoŋ35				
徹	開	三	東	平	知	通	忡	0	2	0									
澄	開	三	東	平	知	通	蟲	0	0	0		tʃ	oŋ	231	tʃoŋ231				
澄	開	三	東	平	知	通	沖	0	0	0		tʃʰ	oŋ	52	tʃʰoŋ52				
崇	開	三	東	平	莊	通	崇	0	0	0		t	oŋ	52	toŋ52				
章	開	三	東	平	章	通	眾	0	0	0		tʃ	oŋ	35	tʃoŋ35				
章	開	三	東	平	章	通	螽	0	2	0									
章	開	三	東	平	章	通	終	0	0	0		tʃ	oŋ	52	tʃoŋ52				
昌	開	三	東	平	章	通	充	0	0	0		tʃʰ	oŋ	52	tʃʰoŋ52				
日	開	三	東	平	日	通	絨	0	0	0		j	oŋ	231	joŋ231				
見	開	一	東	平	見	通	功	0	0	0		k	oŋ	52	koŋ52				
見	開	一	東	平	見	通	工	0	0	0		k	oŋ	52	koŋ52				
見	開	一	東	平	見	通	蚣	0	1	0		k	oŋ	52	koŋ52				
見	開	一	東	平	見	通	公	0	0	0		k	oŋ	52	koŋ52				
見	開	一	東	平	見	通	攻	0	0	0		k	oŋ	52	koŋ52				
見	開	三	東	平	見	通	躬	0	0	0		k	oŋ	52	koŋ52				
見	開	三	東	平	見	通	宮	0	0	0		k	oŋ	52	koŋ52				
見	開	三	東	平	見	通	弓	0	0	0		k	oŋ	52	koŋ52				
溪	開	一	東	平	見	通	空	0	0	0		h	oŋ	52	hoŋ52				空虛
							空					h	oŋ	35	hoŋ35				空缺
溪	開	三	東	平	見	通	穹	0	2	0									
匣	開	一	東	平	影	通	訌	0	2	0									
匣	開	一	東	平	影	通	洪	0	0	0		h	oŋ	231	hoŋ231				
匣	開	一	東	平	影	通	虹	0	0	0		h	oŋ	231	hoŋ231				
