	阴平	阳平	阴上	阳上	阴去	阳去	阴入	阳入	
tʰoŋ	通熥		捅统		痛				
doŋ		同铜桐童瞳筒彤		动桶		洞			
noŋ		农脓侬浓=							
loŋ	□（镶~空：两手交叉伸在衣袖里）	笼聋龙砻隆		拢		弄陇垅			
tsoŋ	棕鬃宗中忠终踪钟锺盅综		总冢肿种（~类）		综纵种（~树）众中（射~）				
tsʰoŋ	聪匆葱囟充从（~容）冲		铳宠		舂（~米）□（跌跌~~）□（头低下）				
dzoŋ		丛虫崇戎从重（~复）□（捅，塞）		重（轻~）		仲诵颂讼			
soŋ	松嵩怂		耸（高~）		送宋				
zoŋ		㞞（精液）							
koŋ	公蚣工攻功弓=躬宫恭供（~给）		拱（~~手）巩		贡汞供（上~）				
kʰoŋ	空（~虚）		孔恐		控空（~缺）				
goŋ						共			
hoŋ	轰烘（~干）哄（~堂大笑）		嗅-（闻一闻，亲一亲）蕻（抽~）						
hɦoŋ		弘宏红洪鸿虹		哄（~来一淘，即挤 在一起）					
ʔoŋ	翁□（~爽：舒服）		䐥（~臭）		瓮齆（~鼻子）				
tɕioŋ	龚弓-（弹棉花用的弓弦）		窘迥						
dʑioŋ		琼穷穹							
ȵioŋ		绒浓-							
ɕioŋ	兄胸凶匈								
ʔioŋ	□（布科没铺平，有折皱）□（~来帐上）		永涌甬勇		泳詠拥壅				
ɦioŋ		荣熊雄融容蓉熔庸戎（又音）		涌（潮水~啊~）		用佣			
pəʔ							钵拨不迫擘（巨~，~划）		
pʰəʔ							泼		
bəʔ								钹勃脖帛薄（~刀；~交：捧交）	
məʔ							没	末沫抹墨默物（~事）	
fəʔ							佛勿弗拂		
vəʔ								佛物=	
təʔ							掇得德答□（粘）□（~头：点头）		
tʰəʔ							脱忒蜕捝（~草）		
dəʔ								叠夺突特凸	
nəʔ								纳讷	
ləʔ								捋栗肋勒	
tsəʔ							者摺褶执汁哲折浙质卒则侧职织责拙茁窒辄		
tsʰəʔ							撤辙辍彻出测恻赤=斥撮饬		
dzəʔ								杂侄秩术述秫值直殖植泽择涉蜇掷=	
səʔ							摄涩湿=撒设说瑟虱失室率（~领）蟀塞色啬识式饰适释刷		
zəʔ								蛰（又音）十什拾入舌折（打~脚）实日=贼食蚀-昨（~日）硕	
kəʔ							合（升~，~用）蛤鸽割葛胳革□（~个：那个）		
kʰəʔ							咳（~嗽）磕渴刻瞌克□（~实：诚恳）□搿		
gəʔ								搿	
ŋəʔ								兀杌扤	
həʔ							喝郝黑赫		
hɦəʔ								合核劾	
ʔəʔ							厄扼呃□（~豆芽）		
piəʔ							鳖憋瘪笔滗毕必逼碧璧壁愎辟（复~）别（辨~）		
pʰiəʔ							瞥撇匹僻劈霹		
biəʔ								枇（~杷）鼻别（离~）弼	
miəʔ								灭篾密蜜觅	
tiəʔ							跌的（目~）滴嫡摘（~葱头）□（~捶）塞（~盐齑扚掐）		
tʰiəʔ							帖贴铁踢剔惕		
diəʔ								喋碟蝶谍迭笛敌狄籴粒（一~米）凸（又音）涤迪	
liəʔ								荔力立笠粒=列烈裂劣	
tɕiəʔ							吉结洁髻接劫急级给揭节即鲫积迹脊绩击激峡颊荚稷棘		
tɕʰiəʔ							妾辑泣切七漆乞讫戚吃迄怯惬隙		
dʑiəʔ								捷集习袭及杰绝疾极籍藉寂夕席截	
ȵiəʔ								聂镊蹑业热孽蘖匿逆溺日	
ɕiəʔ							胁吸薛泄歇蝎屑雪悉膝戌恤息熄媳昔惜锡析		
ʑiəʔ								拾截（又音）席（又音）	
ʔiəʔ							揖噎乙一抑益溢		
ɦiəʔ								叶页协挟佚译翼（手~手）洽逸邑	
kuəʔ							骨国帼蝈		
kʰuəʔ							阔窟□（用水浸泡一段时间，让它涨一下）		
huəʔ							忽=□（睏一~）		
ʔuəʔ							屋（~里）		
ɦuəʔ								惑或活获核（果核）囫	
paʔ							八捌		
baʔ								拔跋	
maʔ								袜	
faʔ							法发		
vaʔ								乏伐筏罚	
taʔ							答（又音）搭		
tʰaʔ							塔榻塌蹋獭搨（涂抹）		
daʔ								达踏阘（窗~）	
naʔ							捺纳（又音）		
laʔ								腊蜡瘌辣	
tsaʔ							札扎匝咂眨		
tsʰaʔ							察擦插		
dzaʔ								杂	
saʔ							眨（眼眼~~）杀煞栅霎萨		
zaʔ								闸煠铡	
kaʔ							甲夹裌隔		
kʰaʔ							掐恰		
gaʔ								轧	
haʔ							瞎呷（~一口）		
hɦaʔ								盒狭匣呷（~住在钩子上）	
ʔaʔ							鸭阿		
kuaʔ							括刮		
guaʔ								□（隔开）	
huaʔ							豁辖		
ʔuaʔ							挖斡		
ɦuaʔ								滑猾□（~水：倒水）	
pɑʔ							百柏伯擘（~开来）		
pʰɑʔ							拍魄		
bɑʔ								白	
mɑʔ								麦脉陌	
tsɑʔ							着（~衣裳）酌摘（又音）只（量词）仄灼		
tsʰɑʔ							绰焯（拿菜放在开水里~~）拆㿭策尺赤-（~豆）册		
dzɑʔ								着（睏~）宅掷-（~骰子）	
sɑʔ							湿-栅（小~子）		
zɑʔ								芍若弱石着硕（又音）	
kɑʔ							格隔（又音）		
kʰɑʔ							客		
gɑʔ								额齾	
ŋɑʔ							吓		
ʔɑʔ							压押		
liɑʔ								略掠	
tɕiɑʔ							雀（~子斑)脚		
tɕʰiɑʔ							鹊皵（寻~剥）雀=		
ȵiɑʔ								捏虐疟	
ɕiɑʔ							削		
ʑiɑʔ								嚼	
ʔiɑʔ							约跃		
ɦiɑʔ								药钥（~匙）	
kuɑʔ							刮（~~叫）□（开裂）		
huɑʔ							豁（又音）		
ɦuɑʔ								划（计~）	
poʔ							博剥驳北卜		
pʰoʔ							泊（粱山~）朴扑仆		
boʔ								薄曝瀑（又音）箔	
moʔ								莫寞摸木沐目苜穆牧	
foʔ							复福幅蝠腹覆		
voʔ								复（恢~）服伏沃（又音）缚	
toʔ							笃督厾（扔）		
tʰoʔ							托拓秃		
doʔ								铎踱独读牍犊毒	
noʔ								诺	
loʔ								落烙骆酪洛络乐鹿禄六陆绿录戮	
tsoʔ							作桌卓啄琢捉竹筑祝粥足烛嘱斫瘃（冻~）		
tsʰoʔ							戮畜（~牲）促触撮（一小~）矗蹴蹙		
dzoʔ								浊镯族逐轴俗蜀勺（~子）濯擢	
soʔ							索朔速肃宿缩蓿叔栗束夙		
zoʔ								续凿赎属辱褥=熟肉=射（~箭）镯俗	
koʔ							各阁搁觉（~得）角谷		
kʰoʔ							壳哭酷确-		
goʔ								个-搁（受阻搁浅）	
ŋoʔ								鄂岳鳄愕噩颚	
hoʔ							霍藿忽-壑		
hɦoʔ								学-（~堂）斛镬（~子）获（收~）鹤	
ʔoʔ							恶		
kuoʔ							郭		
kʰuoʔ							扩廓窟（又音）		
ʔuoʔ							握屋=（房~）沃喔哕（打~）		
tɕyoʔ							厥决诀桔菊掬觉=		
tɕʰyoʔ							缺屈麯确=却曲阙		
dʑyoʔ								掘倔（~强）剧局	
ȵyoʔ								月-肉-玉狱浴（净~）褥-（~子：弹过的棉花）	
ɕyoʔ							血畜（~牧）蓄噱旭		
ʑyoʔ								学=	
ʔyoʔ							粤郁育		
ɦyoʔ								悦阅越穴域乐（音~）疫役欲浴（又音）狱（又音）月=聿	
