	阴平	阳平	阴上	阳上	阴去	阳去	阴入	阳入	
ȵi	泥（拘~）你=（~们）□（愚：~吼吼）	愚娱虞尼泥倪宜疑呢（~料）	拟	女你=		语遇寓芋-艺蚁义议谊腻毅耳-尾-二-□（眼不明：~乎乎）			
ɕi	西牺羲犀兮徙嬉熹熙希稀棲荠-（~~）靴虚墟嘘须需粞（麦~)□（~缝：缝隙）		喜玺髓死-许		细戏婿絮				
ʑi		徐荠=		聚（~拢来）					
ki	□（这一个）								
kʰi					去-				
gi		□（实~：这样）							
ʔi	迂衣依奚椅（~子）席-（眠~：席子）		椅以（所以）已（~经）		意憶与於予喂（~奶）				
ɦi		仪伊移夷姨鱼=肄怡贻遗围-（~巾）渔余于盂俞榆瑜愉迂（又音）圩		雨又=		系易异字御誉预豫禹羽喻裕芋=饴愈与（参~）吁（呼~）勚（器物逐渐磨损）			
pu	波菠玻跛		补谱		布佈怖簸				
pʰu	颇坡铺（~设）潽（溢）		普浦甫剖谱（又音）遍-（一~）		破铺（店~）				
bu		婆蒲菩脯（胸~）捕（~鱼）		□（坍下来）		部簿步捕（逮~）埠薄（~荷）伏-（~小鸡）□（蹲）			
mu		魔摩模摹膜磨（~刀）	母拇	□（老牛反刍时的嘴巴动作）		暮慕墓募磨（~盘）			
fu	夫肤伕敷俘麸孚衭（襟：对~）		府腑俯斧辅甫（又音）抚釜		付赋赴讣富副傅孵				
vu		符扶荚浮（牙齿~）巫诬无		武无（又音）鹉舞		父腐侮附戊妇负务雾			
tu	多（~少）都		朵躲堵赌肚（鱼~）		剁妒跺□（~~：姑母）				
tʰu	拖		妥椭土吐（~痰）		兔吐（呕~）唾（~沫）蜕（~壳）毻（~毛）				
du		驼驮陀徒屠途涂图堕（~落）		舵杜		大-惰度渡肚（~皮）镀			
nu		奴	努			糯懦怒			
lu	撸啰（~唆）	如（~皋）罗锣箩螺骡卢炉芦庐脶（手~）颅	鲁卵虏	橹卤		裸路赂露鹭乳=			
tsu	租		左=佐祖组阻诅		做				
