字	音	注
巴	pa[1]	
爸	pa[1]	
伯	pa[1]	白读
八	pa[2]	
拨	pa[2]	
钵	pa[2]	
摆	pa[3]	
把	pa[3]	
拜	pa[5]	
簸	pa[5]	
罢	pa[6]	
牌	pʰa[2]	
泼	pʰa[2]	
排	pʰa[2]	
髀	pʰa[3]	面～
派	pʰa[5]	
稗	pʰa[5]	
破	pʰa[5]	白读
怕	pʰa[5]	文读
败	pʰa[6]	
妈	ma[1]	
吗	ma[1]	
抹	ma[2]	
埋	ma[2]	
磨	ma[2]	白读，～刀
买	ma[3]	
卖	ma[4]	
迈	ma[4]	
多	ta[1]	～ky3：即“现在”
多	ta[1]	白读
打	ta[3]	文读
底	ta[3]	白读
戴	ta[5]	
带	ta[5]	
他	tʰa[1]	
它	tʰa[1]	
胎	tʰa[1]	
拖	tʰa[1]	白读
铁	tʰa[2]	
塌	tʰa[2]	糟～
抬	tʰa[2]	
台	tʰa[2]	
太	tʰa[5]	
态	tʰa[5]	
泰	tʰa[5]	
替	tʰa[5]	白读
大	tʰa[6]	
贷	tʰa[6]	
待	tʰa[6]	
怠	tʰa[6]	
代	tʰa[6]	
地	tʰa[6]	白读
拉	la[1]	
泥	la[2]	白读
来	la[2]	文读
莱	la[2]	
喇	la[2]	～嘛
乃	la[3]	
奶	la[3]	
耐	la[6]	
奈	la[6]	
赖	la[6]	
在	la[6]	白读
灾	tsa[1]	
哉	tsa[1]	
节	tsa[2]	白读
宰	tsa[3]	
载	tsa[3]	五～
再	tsa[5]	
差	tsʰa[1]	参～
猜	tsʰa[2]	
才	tsʰa[2]	
财	tsʰa[2]	
材	tsʰa[2]	
裁	tsʰa[2]	
搽	tsʰa[2]	
彩	tsʰa[3]	
採	tsʰa[3]	
睬	tsʰa[3]	
蔡	tsʰa[5]	
挤	tsʰa[5]	
在	tsʰa[6]	
寨	tsʰa[6]	
洗	sa[3]	
赛	sa[5]	
洒	sa[5]	
婿	sa[5]	白读
细	sa[5]	白读
遮	tʃa[1]	
斋	tʃa[1]	
絷	tʃa[2]	
只	tʃa[2]	
者	tʃa[3]	
这	tʃa[3]	白读
债	tʃa[5]	
车	tʃʰa[1]	
差	tʃʰa[1]	出～
柴	tʃʰa[2]	
察	tʃʰa[2]	
赤	tʃʰa[2]	
豺	tʃʰa[2]	
痄	tʃʰa[4]	麻疯
柴	tʃʰa[4]	
□	tʃʰa[4]	懒
沙	ʃa[1]	
傻	ʃa[1]	
杀	ʃa[2]	
煞	ʃa[2]	
捨	ʃa[3]	
杀	ʃa[4]	抗起、捞起
赦	ʃa[5]	
舍	ʃa[5]	
箩	ʃa[5]	
社	ʃa[6]	
射	ʃa[6]	
摄	ʃa[6]	
皆	ka[1]	
街	ka[1]	
阶	ka[1]	
该	ka[1]	
解	ka[2]	～放
盖	ka[5]	
介	ka[5]	
界	ka[5]	
芥	ka[5]	
疥	ka[5]	
戒	ka[5]	
个	ka[5]	白读
开	kʰa[1]	
楷	kʰa[1]	
渴	kʰa[2]	
卡	kʰa[4]	
概	kʰa[5]	
慨	kʰa[5]	
□	kʰa[5]	砍
鞋	xa[2]	
瞎	xa[2]	
海	xa[3]	
割	xa[4]	白读
会	xa[4]	白读
械	xa[6]	
害	xa[6]	
蟹	xa[6]	
亥	xa[6]	白读
□	ŋa[1]	鹰
我	ŋa[4]	
碍	ŋa[6]	
艾	ŋa[6]	白读
哀	∅a[1]	
挨	∅a[1]	
矮	∅a[3]	
爱	∅a[5]	
爹	tia[1]	白读
摘	tia[2]	白读
脊	tsia[2]	白读
姐	tsia[3]	
姊	tsia[3]	
借	tsia[5]	
且	tsʰia[3]	
谢	tsʰia[5]	姓～
邪	sia[2]	
削	sia[2]	白读
写	sia[3]	
泻	sia[5]	
卸	sia[5]	
谢	sia[6]	道～
□	kʰia[4]	～豆，即长豆
耶	∅ia[2]	
椰	∅ia[2]	
□	∅ia[2]	原文空白
爷	∅ia[2]	父，背称
也	∅ia[3]	
野	∅ia[4]	
冶	∅ia[4]	
夜	∅ia[6]	
抓	tʃua[1]	
耍	ʃua[3]	
乖	kua[1]	
刮	kua[2]	
括	kua[2]	
拐	kua[3]	
怪	kua[5]	
挂	kua[5]	
卦	kua[5]	
誇	kʰua[1]	
垮	kʰua[1]	
跨	kʰua[1]	
阔	kʰua[2]	
□	kʰua[4]	坏事推给人家
快	kʰua[5]	
□	kʰua[6]	靠后坐
怀	xua[2]	
槐	xua[2]	
淮	xua[2]	
发	xua[2]	
□	xua[2]	原文无注
血	xua[2]	白读
话	xua[5]	文读
坏	xua[6]	
□	xua[6]	那里
挖	∅ua[1]	
歪	∅ua[1]	
洼	∅ua[1]	
蛙	∅ua[1]	
□	∅ua[1]	原文无注
□	∅ua[4]	多
外	∅ua[6]	
北	pɛ[2]	
伯	pɛ[2]	文读
柏	pɛ[2]	
百	pɛ[2]	文读
拔	pɛ[3]	
箅	pɛ[5]	名
迫	pʰɛ[2]	
□	pʰɛ[4]	～裂
篦	pʰɛ[6]	
□	mɛ[2]	凹下
寐	mɛ[6]	
得	tɛ[2]	文读
踢	tʰɛ[2]	
弟	tʰɛ[4]	白读
剃	tʰɛ[5]	白读
戴	tʰɛ[6]	戴帽
你	lɛ[4]	
蒂	lɛ[5]	白读
腻	lɛ[6]	
栽	tsɛ[1]	
窄	tsɛ[2]	
责	tsɛ[2]	
则	tsɛ[2]	
载	tsɛ[5]	～重
侢	tsɛ[5]	
侧	tsʰɛ[2]	
厕	tsʰɛ[2]	
测	tsʰɛ[2]	
恻	tsʰɛ[2]	
策	tsʰɛ[2]	
彻	tsʰɛ[2]	
撤	tsʰɛ[2]	
脐	tsʰɛ[2]	白读
踩	tsʰɛ[3]	
睬	tsʰɛ[3]	
菜	tsʰɛ[5]	
锡	sɛ[2]	
色	sɛ[2]	
摘	tʃɛ[2]	文读
蛰	tʃɛ[2]	文读
筛	tʃʰɛ[1]	
拆	tʃʰɛ[2]	
狮	ʃɛ[1]	白读
涩	ʃɛ[2]	
瑟	ʃɛ[2]	
啬	ʃɛ[2]	
虱	ʃɛ[2]	
色	ʃɛ[2]	
使	ʃɛ[3]	白读
狸	ʃɛ[5]	白读
事	ʃɛ[6]	白读
鸡	kɛ[1]	
格	kɛ[2]	
革	kɛ[2]	
隔	kɛ[2]	文读
渠	kɛ[6]	他
溪	kʰɛ[1]	
刻	kʰɛ[2]	
克	kʰɛ[2]	
客	kʰɛ[2]	白读
剋	kʰɛ[2]	
黑	xɛ[2]	
䀫	xɛ[2]	闭眼
□	xɛ[4]	～带，按指绑
鳖	piɛ[2]	
批	pʰiɛ[1]	白读
撇	pʰiɛ[2]	
□	pʰiɛ[4]	原文无注
避	pʰiɛ[6]	文读
搣	miɛ[2]	沾
爹	tiɛ[1]	文读
帖	tʰiɛ[2]	文读
剃	tʰiɛ[5]	
地	tʰiɛ[6]	白读
节	tsiɛ[2]	文读
接	tsiɛ[2]	
切	tsʰiɛ[2]	
些	siɛ[1]	
泄	siɛ[2]	
脂	tʃiɛ[1]	
支	tʃiɛ[1]	
哲	tʃiɛ[2]	
折	tʃiɛ[2]	
浙	tʃiɛ[2]	
纸	tʃiɛ[3]	
湿	tʃʰiɛ[2]	
齿	tʃʰiɛ[3]	文读
扯	tʃʰiɛ[3]	
□	tʃʰiɛ[4]	苦～
秤	tʃʰiɛ[5]	
□	tʃʰiɛ[5]	女姘男
施	ʃiɛ[1]	
蛇	ʃiɛ[2]	
设	ʃiɛ[2]	
匙	ʃiɛ[2]	
结	kiɛ[2]	
洁	kiɛ[2]	
给	kiɛ[2]	
缺	kʰiɛ[2]	
徛	kʰiɛ[4]	
契	kʰiɛ[5]	
寄	kʰiɛ[6]	
歇	xiɛ[2]	
嘿	xiɛ[3]	夫妻间招呼用的代名词
鹅	ŋiɛ[2]	白读
□	ŋiɛ[2]	尚～办
椅	ŋiɛ[3]	
蚁	ŋiɛ[5]	
艾	ŋiɛ[6]	
杯	puɛ[1]	
不	puɛ[1]	
贝	puɛ[5]	
辈	puɛ[5]	
背	puɛ[5]	
狈	puɛ[5]	
坯	pʰuɛ[1]	
培	pʰuɛ[2]	
陪	pʰuɛ[2]	
赔	pʰuɛ[2]	
被	pʰuɛ[3]	棉～
飞	pʰuɛ[4]	
配	pʰuɛ[5]	
佩	pʰuɛ[5]	
皮	pʰuɛ[5]	白读
倍	pʰuɛ[6]	
梅	muɛ[2]	
枚	muɛ[2]	
媒	muɛ[2]	
霉	muɛ[2]	
糜	muɛ[2]	白读
尾	muɛ[3]	
妹	muɛ[6]	
昧	muɛ[6]	
堆	tuɛ[1]	
短	tuɛ[3]	
队	tuɛ[5]	
对	tuɛ[5]	
兑	tuɛ[5]	
碓	tuɛ[5]	
推	tʰuɛ[1]	
梯	tʰuɛ[1]	白读
脱	tʰuɛ[2]	
秃	tʰuɛ[2]	白读
退	tʰuɛ[5]	
袋	tʰuɛ[6]	
雷	luɛ[2]	
蕊	luɛ[3]	
贿	luɛ[3]	
垒	luɛ[3]	
内	luɛ[6]	
卒	tsuɛ[2]	
晬	tsuɛ[5]	白读
碎	tsuɛ[5]	白读，切菜
粹	tsuɛ[5]	
崔	tsʰuɛ[1]	
催	tsʰuɛ[1]	
翠	tsʰuɛ[3]	白读
坐	tsʰuɛ[4]	白读
脆	tsʰuɛ[5]	文读
罪	tsʰuɛ[6]	
碎	suɛ[5]	文读
□	kuɛ[1]	梯子
胲	kuɛ[1]	嗉囊
国	kuɛ[2]	
骨	kuɛ[2]	
裹	kuɛ[3]	
会	kuɛ[6]	～计
开	kʰuɛ[1]	白读
盔	kʰuɛ[1]	
魁	kʰuɛ[1]	
窟	kʰuɛ[2]	
刽	kʰuɛ[5]	
块	kʰuɛ[5]	
愧	kʰuɛ[5]	
灰	xuɛ[1]	文读
回	xuɛ[2]	
茴	xuɛ[2]	
蛔	xuɛ[2]	
迴	xuɛ[2]	
茴	xuɛ[2]	
火	xuɛ[3]	
悔	xuɛ[5]	
会	xuɛ[6]	～议
绘	xuɛ[6]	
禾	∅uɛ[2]	
爱	∅uɛ[5]	白读
□	tʃœ[5]	额突
衰	ʃœ[1]	𤸬
刷	ʃœ[2]	
率	ʃœ[5]	
螺	ʃœ[5]	
帅	ʃœ[5]	
拙	tsø[2]	
嘬	tsø[2]	白读，嘬𬂌：即吸乳
腮	sø[1]	
薛	sø[2]	
雪	sø[2]	
辍	tʃø[2]	
缀	tʃø[2]	
吹	tʃʰø[1]	
炊	tʃʰø[1]	
啜	tʃʰø[2]	～水
脆	tʃʰø[5]	白读
税	ʃø[5]	
决	kø[2]	
缺	kʰø[2]	
厥	kʰø[2]	
阙	kʰø[2]	
鳜	kʰø[2]	
饥	kʰø[4]	白读
气	kʰø[5]	
□	kʰø[5]	目～，即睡
揉	ŋø[2]	
蕨	ŋø[4]	
□	ŋø[5]	草
耳	∅ø[2]	文读
儿	∅ø[2]	文读
疤	pɔ[1]	
擘	pɔ[2]	
百	pɔ[2]	
巴	pʰɔ[2]	下～
粑	pʰɔ[2]	
杷	pʰɔ[2]	
琶	pʰɔ[2]	
怕	pʰɔ[5]	白读
帕	pʰɔ[5]	
吗	mɔ[1]	
麻	mɔ[2]	
嘛	mɔ[2]	
蟆	mɔ[2]	
马	mɔ[3]	
□	mɔ[3]	～荠
码	mɔ[3]	
骂	mɔ[5]	
答	tɔ[2]	
搭	tɔ[2]	
褡	tɔ[2]	
打	tɔ[4]	
塔	tʰɔ[2]	
贴	tʰɔ[2]	
帖	tʰɔ[2]	白读
舔	lɔ[4]	白读
拿	lɔ[4]	
嚷	lɔ[5]	白读，热闹
扎	tsɔ[2]	白读
渣	tʃɔ[1]	
札	tʃɔ[2]	
轧	tʃɔ[2]	
诈	tʃɔ[5]	
炸	tʃɔ[5]	
榨	tʃɔ[5]	
乍	tʃɔ[5]	
轧	tʃɔ[5]	压～
插	tʃʰɔ[2]	
茶	tʃʰɔ[2]	
查	tʃʰɔ[2]	调～
册	tʃʰɔ[2]	
昨	tʃʰɔ[2]	白读
䖳	tʃʰɔ[2]	
差	tʃʰɔ[5]	～别
叉	tʃʰɔ[5]	
岔	tʃʰɔ[5]	
痧	ʃɔ[1]	
纱	ʃɔ[1]	
沙	ʃɔ[1]	白读
䅴	ʃɔ[2]	
啥	ʃɔ[2]	什么～
家	kɔ[1]	
加	kɔ[1]	
嘉	kɔ[1]	
佳	kɔ[1]	
夹	kɔ[2]	
闸	kɔ[2]	
裌	kɔ[2]	
甲	kɔ[2]	
假	kɔ[3]	真～
架	kɔ[5]	
假	kɔ[5]	放～
嫁	kɔ[5]	
驾	kɔ[5]	
价	kɔ[5]	
家	kɔ[5]	
贾	kɔ[6]	
抓	kʰɔ[1]	白读
客	kʰɔ[2]	
下	xɔ[4]	白读，～山
虾	xɔ[5]	
霞	xɔ[5]	
夏	xɔ[6]	
厦	xɔ[6]	
牙	ŋɔ[2]	
芽	ŋɔ[2]	
雅	ŋɔ[2]	
我	ŋɔ[4]	文读
鸦	∅ɔ[1]	乌～
压	∅ɔ[2]	
鸭	∅ɔ[2]	
押	∅ɔ[2]	
鸦	∅ɔ[2]	～片
亚	∅ɔ[5]	
奥	∅ɔ[5]	
澳	∅ɔ[5]	
波	po[1]	
玻	po[1]	
坡	po[1]	
褒	po[1]	
驳	po[2]	
剥	po[2]	
搏	po[2]	
保	po[3]	
宝	po[3]	
堡	po[3]	
布	po[5]	
播	po[5]	
报	po[5]	
爆	po[5]	
婆	pʰo[2]	
袍	pʰo[2]	
拍	pʰo[2]	
浮	pʰo[2]	文读
仆	pʰo[2]	～倒
颇	pʰo[3]	
抱	pʰo[4]	
破	pʰo[5]	文读
颇	pʰo[6]	用口喂
摸	mo[1]	
模	mo[1]	
毛	mo[2]	
魔	mo[2]	
摩	mo[2]	
磨	mo[2]	～刀
模	mo[2]	
毛	mo[5]	
磨	mo[6]	石～
无	mo[6]	
帽	mo[6]	
刀	to[1]	
多	to[1]	文读
鎝	to[2]	
剳	to[2]	
褡	to[2]	
朵	to[3]	
祷	to[3]	
岛	to[3]	
倒	to[3]	打～
捣	to[3]	
到	to[5]	
倒	to[5]	～水
拖	tʰo[1]	
滔	tʰo[1]	
桃	tʰo[2]	
託	tʰo[2]	
托	tʰo[2]	文读
驼	tʰo[2]	
驮	tʰo[2]	
逃	tʰo[2]	
陶	tʰo[2]	
掏	tʰo[2]	
陀	tʰo[2]	
妥	tʰo[3]	
讨	tʰo[3]	
导	tʰo[5]	
套	tʰo[5]	
稻	tʰo[6]	
盗	tʰo[6]	
道	tʰo[6]	
惰	tʰo[6]	
过	tʰo[6]	白读
流	lo[2]	
骡	lo[2]	
罗	lo[2]	
锣	lo[2]	
箩	lo[2]	
捞	lo[2]	
牢	lo[2]	
涝	lo[2]	
挪	lo[2]	～动
瘌	lo[2]	
脑	lo[3]	
恼	lo[3]	
惹	lo[3]	
老	lo[4]	
糯	lo[6]	
左	tso[3]	
枣	tso[3]	
做	tso[5]	
槎	tsʰo[1]	
操	tsʰo[1]	体～
臊	tsʰo[1]	
曹	tsʰo[2]	
槽	tsʰo[2]	
草	tsʰo[3]	
早	tsʰo[4]	
错	tsʰo[5]	
操	tsʰo[5]	节～
糙	tsʰo[5]	
造	tsʰo[5]	
坐	tsʰo[6]	
座	tsʰo[6]	
措	tsʰo[6]	
簑	so[1]	
梭	so[1]	
唆	so[1]	
搔	so[1]	
骚	so[1]	
索	so[2]	
锁	so[3]	
琐	so[3]	
嫂	so[3]	
桌	tʃo[2]	
着	tʃo[2]	
酌	tʃo[2]	
昨	tʃo[2]	文读
尺	tʃʰo[2]	
芍	tʃʰo[2]	
杓	tʃʰo[2]	
灼	tʃʰo[2]	
酌	tʃʰo[2]	
厝	tʃʰo[5]	
瓜	ko[1]	
歌	ko[1]	
锅	ko[1]	
