cʰaracter	initian	finan	tone	note								
多	t	o	44									
拖	tʰ	o	44									
驼	tʰ	o	21									
妥	tʰ	o	45									
大	t	a	13									
锣	n	o	21									
左	ts	o	45									
歌	k	o	44									
个	k	o	13									
可	kʰ	o	45									
鹅	∅	o	21									
饿	∅	o	13									
河	x	o	21									
茄	tɕʰ	yɛ	21									
波	p	o	44									
钵	p	o	21									
簸	p	o	45									
播	p	o	13									
破	pʰ	o	13									
婆	pʰ	o	21									
坡	pʰ	o	44									
颇	pʰ	o	45									
磨	m	o	21									
磨	m	o	13									
抹	m	o	45									
躲	t	o	45									
跺	t	o	13									
螺	n	o	21									
裸	n	o	45									
糯	n	o	13									
坐	ts	o	13									
梭	s	o	44									
说	s	o	21									
锁	s	o	45									
果	k	o	45									
过	k	o	13									
嗑	kʰ	o	21									
课	kʰ	o	13									
喝	x	o	44									
火	x	o	45									
贺	x	o	13									
祸	x	o	13									
货	x	o	13									
靴	ɕ	yɛ	44									
巴	p	a	44									
把	p	a	45									
坝	p	a	13									
爬	p	a	44	白								
爬	pʰ	a	21									
怕	pʰ	a	13									
妈	m	a	44									
麻	m	a	21									
马	m	a	45									
骂	m	a	13									
差	tsʰ	a	44									
茶	tsʰ	a	21									
查	tsʰ	a	21									
□	tsʰ	a	45	~口~嘴：指说话不算数；或指把话岔开，打断别人说话。								
叉	tsʰ	a	13									
沙	s	a	44									
洒	s	a	45									
哈	x	a	44									
朒	k	a	45	肉								
旮	kʰ	a	44									
啊	∅	a	44									
假	tɕ	ia	45									
嫁	tɕ	ia	13									
牙	∅	ia	21									
虾	ɕ	ia	44									
下	ɕ	ia	13									
下	x	a	13	白，一∽								
夏	ɕ	ia	13									
哑	∅	ia	45									
姐	tɕ	iɛ	45									
者	tɕ	iɛ	45									
借	tɕ	iɛ	13									
蔗	tɕ	iɛ	13									
写	ɕ	iɛ	45									
斜	ɕ	iɛ	21									
谢	ɕ	iɛ	13									
车	tɕʰ	iɛ	44									
扯	tɕʰ	iɛ	45									
蛇	ɕ	iɛ	21									
射	ɕ	iɛ	13									
社	ɕ	iɛ	13									
爷	∅	iɛ	21									
野	∅	iɛ	45									
惹	∅	iɛ	45									
夜	∅	iɛ	13									
瓜	k	ua	44									
瓦	∅	ua	45									
花	x	ua	44									
化	x	ua	13									
华	x	ua	21									
谱	pʰ	uᶹ	45									
布	p	uᶹ	13									
铺	pʰ	uᶹ	44									
簿	p	uᶹ	13									
步	p	uᶹ	13									
赌	t	uᶹ	45									
土	tʰ	uᶹ	45									
图	tʰ	uᶹ	21									
杜	t	uᶹ	13									
奴	n	uᶹ	21									
路	n	uᶹ	13									
租	ts	uᶹ	44									
做	ts	uᶹ	13									
搓	tsʰ	o	44									
戳	tsʰ	o	21									
错	tsʰ	o	13									
箍	kʰ	uᶹ	44									
古	k	uᶹ	45									
估	k	uᶹ	45									
苦	kʰ	uᶹ	45									
裤	kʰ	uᶹ	13									
吴	v	uᶹ	21									
五	v	uᶹ	45									
虎	f	uᶹ	45									
壶	f	uᶹ	21									
户	f	uᶹ	13									
乌	v	uᶹ	44									
女	n	y	45									
吕	n	uei	45									
屡	n	uei	45									
累	n	uei	13									
徐	ɕ	y	21									
猪	ts	uᶹ	44									
除	tsʰ	uᶹ	21									
初	tsʰ	uᶹ	44									
锄	tsʰ	uᶹ	21									
所	s	o	45									
书	s	uᶹ	44									
鼠	tsʰ	uᶹ	45	白								
鼠	s	uᶹ	45									
如	z	uᶹ	21									
举	tɕ	y	45									
锯	tɕ	y	13									
去	kʰ	i	13	白1								
去	kʰ	iɛ	13	白2								
去	tɕʰ	y	13									
渠	tɕʰ	yu	21									
鱼	∅	y	21									
许	ɕ	y	45									
余	∅	y	21									
府	f	uᶹ	45									
付	f	uᶹ	13									
父	f	uᶹ	13									
武	v	uᶹ	45									
雾	v	uᶹ	13									
取	tɕʰ	y	45									
柱	ts	uᶹ	13									
住	ts	uᶹ	13									
数	s	uᶹ	45									
数	s	uᶹ	13									
主	ts	uᶹ	45									
输	s	uᶹ	44									
竖	s	uᶹ	13									
树	s	uᶹ	13									
句	tɕ	y	13									
区	tɕʰ	y	44									
遇	∅	y	13									
雨	∅	y	45									
芋	∅	y	13									
裕	∅	y	13									
胎	tʰ	ai	44									
台	tʰ	ai	21									
太	tʰ	ai	13									
袋	t	ai	13									
赖	n	ai	13									
来	n	ai	21									
奶	n	ai	44									
奶	n	ai	45									
乃	n	ai	45									
栽	ts	ai	44									
崽	ts	ai	45									
在	ts	ai	13									
猜	tsʰ	ai	44									
才	tsʰ	ai	21									
踩	tsʰ	ai	45									
菜	tsʰ	ai	13									
财	tsʰ	ai	21									
该	k	ai	44									
改	k	ai	45									
开	kʰ	ai	44									
凯	kʰ	ai	45									
概	kʰ	ai	13									
奒	x	ai	44	大，∽得很								
海	x	ai	45									
爱	ŋ	ai	13									
贝	p	ei	13									
带	t	ai	13									
歹	t	ai	45									
呆	t	ai	44									
盖	k	ai	13									
害	x	ai	13									
跛	p	ai	44									
拜	p	ai	13									
排	pʰ	ai	21									
败	p	ai	13									
埋	m	ai	21									
戒	k	ai	13									
跛	p	ai	44	∽子								
摆	p	ai	45									
派	pʰ	ai	13									
牌	pʰ	ai	21									
㧳	pʰ	ai	45	两手伸直所得长度为一~：这根竹竿有三~长								
买	m	ai	45									
卖	m	ai	13									
柴	tsʰ	ai	21									
腮	s	ai	44									
赛	s	ai	13									
晒	s	ai	13									
街	k	ai	44									
解	k	ai	45									
鞋	x	ai	21									
蟹	x	ai	45									
矮	ŋ	ai	45									
败	p	ai	13									
币	p	i	13									
制	ts	ɿ	13									
世	s	ɿ	13									
艺	∅	i	13									
艺	∅	ʑ̩	13									
米	m	i	45									
低	t	i	44									
梯	tʰ	i	44									
剃	tʰ	i	13									
弟	t	i	13									
递	t	i	13									
泥	n	i	21									
犁	n	i	21									
西	ɕ	i	44									
西	ɕ	ʑ̩	44									
洗	ɕ	i	45									
洗	ɕ	ʑ̩	45									
鸡	tɕ	i	44									
鸡	tɕ	ʑ̩	44									
溪	tɕʰ	i	44									
溪	tɕʰ	ʑ̩	44									
契	tɕʰ	i	13									
系	ɕ	i	13									
杯	p	ei	44									
披	pʰ	ei	44									
配	pʰ	ei	13									
佩	pʰ	ei	13									
赔	pʰ	ei	21									
培	pʰ	ei	21									
背	p	ei	13									
煤	m	ei	21									
每	m	ei	45									
妹	m	ei	13									
对	t	uei	13									
雷	n	uei	21									
罪	ts	uei	13									
碎	s	uei	13									
灰	x	uei	44									
回	x	uei	21									
外	∅	uai	13									
会	x	uei	13									
怪	k	uai	13									
块	kʰ	uai	45									
怀	x	uai	21									
坏	x	uai	13									
拐	k	uai	45									
挂	k	ua	13									
歪	∅	uai	44									
画	x	ua	13									
快	kʰ	uai	13									
话	x	ua	13									
岁	s	uei	13									
卫	∅	uei	13									
肺	f	ei	13									
桂	k	uei	13									
碑	p	ei	44									
皮	pʰ	i	21									
被	p	ei	13									
紫	ts	ɿ	45									
刺	tsʰ	ɿ	13									
知	ts	ɿ	44									
痴	tsʰ	ɿ	44									
耻	tsʰ	ɿ	45									
池	tsʰ	ɿ	21									
刺	tsʰ	ɿ	13									
纸	ts	ɿ	45									
儿	∅	ər	21									
儿	∅	æ	21									
寄	tɕ	i	13									
骑	tɕʰ	i	21									
骑	tɕʰ	ʑ̩	21									
蚁	∅	iɛ	45									
义	∅	i	13									
义	∅	ʑ̩	13									
戏	ɕ	i	13									
戏	ɕ	ʑ̩	13									
移	∅	i	21									
移	∅	ʑ̩	21									
比	p	i	45									
屁	pʰ	i	13									
鼻	p	i	21									
眉	m	i	21									
地	t	i	13									
梨	n	i	21									
资	ts	ɿ	44									
死	s	ɿ	45									
四	s	ɿ	13									
迟	tsʰ	ɿ	21									
师	s	ɿ	44									
指	ts	ɿ	45									
二	∅	ər	13									
二	∅	æ	13									
饥	tɕ	i	44									
饥	tɕ	ʑ̩	44									
器	tɕʰ	i	13									
姨	∅	i	21									
姨	∅	ʑ̩	21									
李	n	i	45									
你	n	i	45									
子	ts	ɿ	45									
字	ts	ɿ	13									
丝	s	ɿ	44									
祠	tsʰ	ɿ	21									
寺	s	ɿ	13									
治	ts	ɿ	13									
柿	s	ɿ	13									
事	s	ɿ	13									
使	s	ɿ	45									
试	s	ɿ	13									
时	s	ɿ	21									
市	s	ɿ	13									
耳	∅	ər	45									
耳	∅	æ	45									
记	tɕ	i	13									
记	tɕ	ʑ̩	13									
棋	tɕʰ	i	21									
棋	tɕʰ	ʑ̩	21									
喜	ɕ	i	45									
喜	ɕ	ʑ̩	45									
意	∅	i	13									
意	∅	ʑ̩	13									
几	tɕ	i	45									
几	tɕ	ʑ̩	45									
气	tɕʰ	i	13									
气	tɕʰ	ʑ̩	13									
希	ɕ	i	44									
希	ɕ	ʑ̩	44									
衣	∅	i	44									
衣	∅	ʑ̩	44									
嘴	ts	uei	45									
随	s	uei	21									
吹	tsʰ	uei	44									
垂	tsʰ	uei	21									
规	k	uei	44									
亏	kʰ	uei	44									
跪	k	uei	13									
危	∅	uei	21									
类	n	uei	13									
醉	ts	uei	13									
追	n	uei	44	白								
追	ts	uei	44									
锤	tsʰ	uei	21									
水	s	uei	45									
龟	k	uei	44									
季	tɕ	i	13									
季	tɕ	ʑ	13									
柜	k	uei	13									
位	∅	uei	13									
飞	f	ei	44									
匪	f	ei	45									
费	f	ei	13									
肥	f	ei	21									
尾	∅	uei	45									
味	∅	uei	13									
鬼	k	uei	45									
贵	k	uei	13									
围	∅	uei	21									
胃	∅	uei	13									
宝	p	au	45									
抱	p	au	13									
毛	m	au	21									
帽	m	au	13									
刀	t	au	44									
捣	t	au	45									
到	t	au	13									
掏	tʰ	au	44									
淘	tʰ	au	21									
讨	tʰ	au	45									
桃	tʰ	au	21									
套	tʰ	au	13									
道	t	au	13									
脑	n	au	45									
老	n	au	45									
