字	音	注
碑	pi[1]	
卑	pi[1]	
蓖	pi[5]	
痹	pi[5]	
秘	pi[5]	～書
泌	pi[5]	
陛	pi[6]	
比	pi[6]	
□	pi[6]	用手指指
婢	pi[12]	～女
琵	pi[13]	～琶
枇	pi[13]	～杷
篦	pi[16]	～梳：篦子
□	pi[11]	～□lik1樹：榕樹
□	pi[11]	～□□βɔ11βit5：蝙蝠
□	pi[11]	十～隻：十來個
悲	pʰi[1]	
非	pʰi[1]	
飛	pʰi[1]	2～機
鼻	pʰi[5]	鼻子
疕	pʰi[6]	痂
鄙	pʰi[6]	
匪	pʰi[6]	
眯	mi[5]	
米	mi[6]	
美	mi[6]	
耳	mi[6]	2木～
□	mi[12]	□nam11～：貓
糜	mi[16]	～粥：粥
□	mi[11]	□nam11～□ei35：螢火蟲
知	ti[1]	
蒂	ti[5]	
智	ti[5]	
致	ti[5]	
置	ti[5]	
抵	ti[6]	2
□	ti[6]	～著底…：正在…
底	ti[16]	2～隻：哪個
耻	tʰi[6]	
餌	ni[5]	魚餌。有時還可以指「小蚯蚓」
□	ni[5]	貓～：貓
爾	ni[6]	
擬	ni[6]	
呢	ni[0]	
□	ni[0]	□tʃin41～：這麼，如，□tʃin41～做：這麼做
□	ni[15]	稈～頭：稻茬
若	ni[12]	1～夥：多少。常讀作[niu35]
利	li[5]	1～息
李	li[6]	～囝：李子；姓
里	li[6]	距離單位
理	li[6]	
鯉	li[6]	
□	li[6]	□la23～：穿山甲
□	li[15]	□tʃʰen11～花：杜鵑花
□	li[10]	□kʰa11～蟲：孑孓
螄	θi[1]	螺～釘
絲	θi[1]	
司	θi[1]	
詩	θi[1]	2唐～
四	θi[5]	1
試	θi[5]	
死	θi[6]	
始	θi[6]	
蜀	θi[12]	2～囝：一些，一點兒。本書中寫作「蜀」
芝	tʃi[1]	
之	tʃi[1]	
至	tʃi[5]	夏～
志	tʃi[5]	
誌	tʃi[5]	
痣	tʃi[5]	
姊	tʃi[6]	
旨	tʃi[6]	聖～
指	tʃi[6]	3手～：戒指
子	tʃi[6]	1日～
籽	tʃi[6]	
止	tʃi[6]	
趾	tʃi[6]	
址	tʃi[6]	
