音標	調類	
ʦɿ	1	資姿咨滋輜
ʦɿ	3	紫姊子梓滓仔₁籽
ʦɿ	5	自(文)字(文)塒祀巳
ʦɿ	7	□₁（塞）
ʦʰɿ	1	差(參～)疵玼
ʦʰɿ	2	茲辭糍詞祠雌慈磁瓷
ʦʰɿ	3	此
ʦʰɿ	4	□(擦、蹭)寺(白1，地名，～橋壩，在今金井鎮王梓園村)
ʦʰɿ	5	次刺賜伺
ʦʰɿ	6	字(白)自(白)寺(白2)侍(白，服～)
sɿ	1	師獅螄斯撕廝私思₁絲蘇₁(紫～)
sɿ	3	死
sɿ	5	四肆似嗣飼侍(文)士(文)仕思₂俟汜
sɿ	6	事士(白)寺(文)
tʂʅ	1	知支枝₁肢梔脂芝之
tʂʅ	3	紙旨指脂止趾址殖值(文)置₁
tʂʅ	5	制智至致治志痣炙(文)置₂窒蟄（驚～）
tʂʅ	7	蜘只(～有)織執汁質職直(文)汁殖(白)蛭隻(文)櫛
tʂʰʅ	1	癡瞝（看）摛蚩鴟雉
tʂʰʅ	2	遲馳池弛持
tʂʰʅ	3	齒恥侈秩
tʂʰʅ	4	□（滑倒）
tʂʰʅ	5	翅滯痔稚
tʂʰʅ	7	直（白）值（白）斥侄₂齒（文）
ʂʅ	1	詩施屍豉
ʂʅ	2	時鰣
ʂʅ	3	使（白）使史屎駛始
ʂʅ	4	是
ʂʅ	5	試式嗜氏示視勢世誓
ʂʅ	6	市柿
ʂʅ	7	十什拾失（文）室實食蝕識飾釋石（文）使（文）
pi	3	彼比碧（文）壁（文1）璧（文）
pi	5	潷
pi	7	筆必碧（白）逼壁（文2）璧（白）
pʰi	1	批㓟披
pʰi	2	皮琵疲枇郫
pʰi	3	鄙庇弼（文）否痞
pʰi	5	屁
pʰi	7	匹僻辟霹弼（白）
mi	1	䊳
mi	4	米
mi	5	尾（白）
mi	7	密蜜覓泌篾㩢
ti	1	爹（文）低
ti	3	底抵滴（文）
ti	5	地（文）弟（文）第（文）帝締蒂
ti	7	敵嫡狄的笛
tʰi	1	梯
tʰi	2	隄題啼蹄
tʰi	3	體（白）□（剔除）
tʰi	5	替剃涕屜悌隸逮棣
tʰi	6	地（白）弟（白）第（白）裏₂
tʰi	7	剔粒（白）踢（文）
li	2	黎犁梨籬離璃驢₁擂（白）
li	4	裏₁鯉李履旅理禮里
li	5	麗厲勵痢粒（文）吏荔利（文）痢（文）淚（白）哩栗裏₂（地名用，如：橋～，在高橋鎮；寨～，在雙江社區）
li	6	利（白）痢（白）裏₃
li	7	力律𢯰（去掉渣汁：把米湯～出來）率₁曆立
tɕi	1	雞幾幾₁稽饑肌機姬基屐羈箕枝₂□（用尖子戳）
tɕi	3	己紀₁幾₂擠嘴
tɕi	5	記聚（文）濟臍祭唧₁忌既寄計繼系醉
tɕi	7	積疾脊籍藉₂績（文）緝集即鯽棘擊激吉極急及吸
tɕʰi	1	妻棲淒趨趨蛆溪（白，九溪源，地名，在今金井鎮沙田村）
tɕʰi	2	期鰭奇騎祁祈旗棋吱岐芪齊臍薺徐₁橋（地名，寺～壩，在王梓園村）
tɕʰi	3	啟起豈取
tɕʰi	4	聚（白）徛
tɕʰi	5	器砌氣技支棄汽契企趣
tɕʰi	6	罪（白2）
tɕʰi	7	七漆戚乞訖迄績（白）
ȵi	2	泥伲妮尼呢倪儀疑宜誼霓
ȵi	4	擬你（僅書面，極少用）
ȵi	5	藝（白）囈義議蟻毅詣昵膩（文）
ȵi	6	藝（白）膩（白:~子粉）
ȵi	7	日（白）逆溺匿暱熱（白）孽（白）捏₁（～白：撒謊 聽～：胡說）
ɕi	1	希稀奚溪犧熙嘻西犀荽（芫～：香菜）須鬚胥些（文）
ɕi	2	徐₂兮攜髓
ɕi	3	喜嬉禧洗徙璽
ɕi	5	戲系細絮緒序敘歲（白）碎（白）
ɕi	7	襲隙惜習席析悉息昔
i	1	衣伊依醫
i	2	移夷姨怡飴貽
i	3	椅倚（白：近指，儘部分人説）
i	4	以（白）倚（文）已矣
i	5	易₁（文）翳翼肄異憶億意
i	6	易（1白）佾
i	7	一益溢亦譯抑逸液易₂以（所～，可～）
pu	3	補
pu	5	布怖步（文）
pu	7	不
pʰu	1	鋪₁
pʰu	2	蒲菩荸鬻
pʰu	3	樸（文）普輔脯僕甫
pʰu	4	噗
pʰu	5	鋪₂捕
pʰu	6	部步（白）簿
pʰu	7	撲蔔僕璞曝勃□（～辣椒）
fu	1	夫₁膚敷
fu	2	夫₂扶芙俘符胡湖蝴瑚乎呼狐弧瓠壺蒲₂（～塘：村名。在今金井鎮觀佳片，［光緒］《平江縣誌》作“湖塘”，［同治］《長沙縣誌》作“蒲塘”，錄此備考。）
fu	3	府腑俯撫虎滸（水～）腐斧釜
fu	5	戶護（文）庫幅服（一～藥）互付（文）傅赴訃婦（文）父（文）洑附負
fu	6	戶（白）護（白）父（白）付（白）婦（白）
fu	7	腹複覆拂弗佛福蝠服伏忽笏
ku	1	孤姑辜菇估（文）箍
ku	3	估（白）古牯咕鼓
ku	5	固錮雇故顧
ku	7	骨谷穀
kʰu	1	枯骷
kʰu	2	跍₁
kʰu	3	苦
kʰu	4	□（撅嘴）
kʰu	5	庫褲
kʰu	6	跍₂□（耽～）
kʰu	7	哭窟酷
u	1	烏汙誣巫塢淤（～泥塅:地名，在今平江縣瓮江鎮）
u	2	無吳梧蕪毋（文）
u	3	物（文）
u	4	午武五伍鵡侮舞
u	5	誤（文）悟戊務（文）霧
u	6	霧（白）務（白）
u	7	屋勿物（白）
ɕy	1	書輸舒噓虛墟
ɕy	2	殊姝茱（～桐嶺:山名，水桐嶺的又稱，今作薯藤嶺，在長沙縣、平江縣界，即今拔薯公路终点。参见[同治]《長沙縣誌》）
ɕy	3	薯（文）暑（白）黍許（文）鼠₁水
ɕy	5	恕庶墅署戍樹（文）豎鼠₂
ɕy	6	樹（白₁）睡（白）
ɕy	7	術沭述
ȵy	4	女語（白）
ʨy	1	豬居車₁株蛛朱拘駒硃珠
ʨy	3	煮褚舉諸主矩局（文）
ʨy	5	劇據鋸句巨拒距注柱駐具懼鑄箸遽
ʨy	7	局菊橘
ʨʰy	1	區驅樞吹（白）
ʨʰy	2	廚除渠儲瞿錘捶槌
ʨʰy	3	處₁褚杵
ʨʰy	4	苧（～麻）柱（白）
ʨʰy	5	處₂去（文）
ʨʰy	6	住處₃
ʨʰy	7	出屈
y	1	淤₂
y	2	於迂於餘餘俞榆愉魚漁儒輿愚娛虞如儒
y	3	役（文）疫（文）日（文）
y	4	雨宇汝禹羽乳與語（文）
y	5	愈寓遇預譽喻豫玉裕籲
y	6	芋樹（白₂，花～塅、杉～塝：地名，均在今雙江社區）
y	7	入役（白）疫（白）域尉
pa	1	巴笆粑芭疤
pa	3	畀把靶
pa	5	霸欛壩罷（文）
pa	7	八陌（白）
pʰa	1	趴₁
pʰa	2	爬杷扒琶耙
pʰa	3	趴₂
pʰa	4	啪
pʰa	5	怕帕
pʰa	6	罷（白）稗
pʰa	7	拔跋白
ma	1	媽□（瞎）
ma	2	麻
ma	3	摸（白）
ma	4	馬碼瑪螞
ma	6	罵
ma	7	抹脈（白）
fa	1	花
fa	2	華鏵樺（柏～:亦作“白華”，水庫名，亦组名，在今龍華山村）劃₁
fa	4	劃₂（白₁）
fa	5	劃₂（文）畫（文）化
fa	6	劃₂（白₂）
fa	7	法發罰伐乏閥髮筏
ta	3	打
ta	5	大
ta	6	著₂（動態助詞，常弱讀）
ta	7	搭答達跌（白）
tʰa	1	他
tʰa	7	塔塌榻遝拓趿獺鰨踏撻
la	1	拿拉
la	2	拉
la	3	拿
la	4	哪
la	5	那娜
la	7	辣蠟臘剌邋捺納鈉
ʦa	1	抓（白）渣
ʦa	3	鲊
ʦa	5	炸
ʦa	7	雜眨劄紮軋鍘蚱閘摘（白）
ʦʰa	1	差₁杈叉
ʦʰa	2	茶搽查槎
ʦʰa	4	□（ʨi˦˥ mɑu˦˥～：一種植物）
ʦʰa	5	岔
ʦʰa	7	擦察擇（白）拆（白）
sa	1	沙紗挱痧砂杉
sa	3	傻灑撒耍（白）
sa	7	殺煞靸薩刷（白）
tʂa	1	遮
tʂa	7	炙隻
tʂʰa	1	車
tʂʰa	3	扯
tʂʰa	4	□（笑得一～起）
tʂʰa	7	赤尺（白）
ʂa	1	賒畬（路口～：地名，今長沙縣路口鎮）□（解開衣服）
ʂa	2	蛇
ʂa	3	舍₁
ʂa	4	射（白1）社（白，～沖：地名，在雙江社區）
ʂa	5	射（白2）
ʂa	7	石（白）
ka	1	家₁（白）痂
ka	5	駕架（皆白）
ka	7	夾（白）甲（白）胛隔（白）
kʰa	1	拁
kʰa	2	卡₁
kʰa	3	卡₂
kʰa	4	□(跨)
kʰa	5	胯
kʰa	7	客掐恰（白）
ŋa	1	丫
ŋa	2	伢牙芽(白)
ŋa	3	啞
ŋa	4	砑
ŋa	5	龁(～筋：不講理，固執己見)
ŋa	6	□(拖延)
ŋa	7	額（白）壓(白）鴨（白）齧（白）
xa	1	蝦哈₁
xa	3	哈₂
xa	4	下₁（白）
xa	5	哈₃
xa	6	下₂（白）
xa	7	嚇瞎
a	1	啊1
a	3	啊2
a	5	呵（～也）
pia	7	壁（白）
pʰia	6	□（～瀉個）
pʰia	7	劈（白）
mia	5	墨₁（～黑個）
tia	1	爹（白）
tia	5	滴（白1，量詞）
tia	7	滴（白2，動詞）
tʰia	2	提
tʰia	7	靮踢（白）
lia	2	□（爬）
lia	7	累（訓）櫟瀝
tɕia	1	家₁（文）加佳嘉葭
tɕia	3	假姐₁（老～）賈
tɕia	5	姐₂借（白）架（文）駕（文）價稼
tɕia	7	嗟夾（2又～生）甲（文）蛤（花～）
tɕʰia	1	□（躲藏）
tɕʰia	2	邪（白）斜（白1）
tɕʰia	5	笡
tɕʰia	7	喫恰（文）洽
ȵia	1	□（撒嬌，粘人）
ȵia	2	黏
ȵia	5	䏧
ȵia	7	入（詈語）
ɕia	1	些（白）
ɕia	2	斜（白2）霞瑕暇遐
ɕia	3	寫
ɕia	4	下₁（文）
ɕia	5	夏（文）瀉
ɕia	6	下₂（文）
ɕia	7	狹峽匣俠挾轄狎
ia	1	鴉
ia	2	爺（白）牙芽
ia	4	也雅野
ia	5	亞訝
ia	6	夜
ia	7	押壓（文）
kua	1	瓜
kua	3	寡剮括（文）
kua	5	掛卦褂
kua	7	刮括（白）
kʰua	1	誇
kʰua	3	垮
kʰua	5	跨
ua	1	蛙窪窊
ua	2	娃
ua	3	搲
ua	4	瓦
ua	5	哇凹
ua	6	話（白）
ua	7	挖襪
ɕya	3	耍（文）
ɕya	7	刷（文）
ʨya	1	抓（文）
ʨya	5	□（大叫）
ʨʰya	2	瘸
ya	5	曰（白）
ya	7	噦
po	1	波菠玻
po	3	簸
po	5	播□（打～：親嘴）
po	7	博駁剝
pʰo	1	坡
pʰo	2	婆
pʰo	3	頗
pʰo	5	破
pʰo	6	薄₁（～荷）
pʰo	7	薄₂
mo	1	摸（文）
mo	2	模膜魔磨1摩麼1
mo	4	拇母麼₂
mo	5	暮幕募墓（文）
mo	6	墓（白）
mo	7	莫末茉穆牧目木沐幕
to	1	多
to	3	躲
to	5	墮剁舵惰
to	7	奪咄□（扔掉）
tʰo	1	拖
tʰo	2	陀馱駝它₂
tʰo	3	妥
tʰo	4	摞
tʰo	5	唾
tʰo	6	舵（白）
tʰo	7	托鐸拓脫₁（～甲：原鄉名）
lo	1	啰
lo	2	羅籮蘿鑼螺腡
lo	4	裸䌱玀
lo	5	烙懦
lo	6	糯
lo	7	落洛駱絡樂₁賂諾酪
ʦo	3	左（白）卓（文）濁（文）
ʦo	5	佐左₂座（文）坐（文）
ʦo	7	桌作捉卓（白）涿啄鐲琢
ʦʰo	1	搓（文）
ʦʰo	2	昨
ʦʰo	4	座（白）坐（白）在₁
ʦʰo	5	錯措挫₁鑿
