字	注释	南宁老口	南宁万秀	武鸣府城	
多		to55	to42	to55	
拖		tʰo55	tʰo42	tʰo55	
他		tʰa55	tʰa42	tʰa55	
駝		to31	to21	to31	
馱	馱起来	to31	to21	to31	
舵		to31	to21	to31	
大		tai223	tai21	tai22	
馱	馱子	to31	to21	to31	
挪		no31	no21	no31	
哪	哪個	na33	na33	na33	
那		na33	na33	na33	
羅		la31	la21	la31	
羅		lo31	lo21	lo31	
鑼		la31	la21	la31	
鑼		lo31	lo21		
籮		la31	la21	la31	
籮		lo31	lo21	lo31	
左		tʃa33	tsa33	tsa33	
左		tʃo33			
佐		tʃo33	tso33	tso22	
搓		tʃʰa55	tsʰa42	tsʰo55	
歌		ko55	ko42	ko55	
歌				ka55	
哥		ko55	ko42	ko55	
個	個人	ki24	ko55	ki35	
個	個人			kə35	
可		kʰo24	kʰo55	kʰo35	
蛾		ŋo31	ŋo21	ŋo31	
鵝		ŋo31	ŋo21	ŋo31	
鵝		ŋa31		ŋa31	
俄		ŋo31	ŋo21	ŋo31	
我		ŋa21	ŋa33	ŋa21	
餓		ŋo223	ŋo21	ŋo22	
餓		ŋa223		ŋa22	
荷	薄荷	ho24	ho21	ʔo55	
何		ho31	ho21	ho31	
河		ho31	ho21	ho31	
荷	荷花	ho31	ho21	ʔo55	
賀		ho223	hu21	ho22	
阿	阿謬，阿哥	ʔa55	ʔa55	ʔa55	
茄	茄子	kua31	ki21	ki31	
波		po55	po42	po55	
菠	菠菜	po55	po42	po55	
跛	跛足	pɐi55	pɐi42	pai33	
簸	簸一簸	pʰu24	pu55	pʰu35	
簸	簸箕	pʰu24	pu55	pʰu35	
頗		pʰo33	pʰo42	pʰo55	
坡		po55	pʰo42	po55	
玻	玻璃	po55	pʰo42	po55	
破		pʰu24	pʰo55	pʰu35	
婆		pu31	pu21	pu31	
薄	薄荷	po223	puk22	pok22	
魔		mo55	mo42	mo55	
磨	磨刀	mu31	mu21	mu31	
摩		mo55	mo42	mo55	
饃		mo55	mo42	mo31	
磨	石磨	mu223	mu21	mu22	
朵		tu33	tu33	tu33	
躲		to33	to33	to33	
剁		tu24	tu55	to35	
妥		tʰo33	tʰo33	tʰo33	
橢	橢圓	tʰo33	tʰo33	tʰo33	
唾	唾液	ʃuəi31	tʰu55	tʰu35	
惰		tu223	tu21	to22	
糯	糯米	nou223	nu21	nu22	
騾		lu31	lu21	lo31	
螺	螺螄	lu31	lu21	lu31	
腡	手指紋	lu31	lu21	lu31	
囉	囉唆	lo55	lo21	lo55	
裸	裸體	lo24	lo33	lo22	
瘰	瘰癧				
摞	摞起來				
銼		tʃʰo24	tsʰu55	tsu21	
莝	莝草				
矬	矮				
坐		tʃu21	tsu33	tsu21	
座		tʃu223	tso21	tsu21	
蓑		ɬo55	ɬo42	ɬo55	
梭	織布梭	ɬo55	ɬo42	ɬo55	
唆	囉唆	ɬo55	so42		
莎	莎草	ʃa55	sa42	sa55	
鎖		ɬu33	ɬo33	ɬu55	
瑣	瑣碎	ɬo33	ɬo33	ɬo55	
過					
鍋		ku55	ko42	ko55	
戈		ku55	ko42	ko55	
果		ku33	ko33	ku33	
裹		ku33	ku33	ku33	
餜					
過		ku24	ko55	ku35	
科		hu55	ho42	hu55	
窠					
棵		kʰo33	pʰo42		
顆	一顆珠	kʰo33	ko33	kʰo33	
課		kʰo24	kʰo55	kʰo35	
訛		we55	ho21	ŋo31	
卧		ŋo223	ŋo21	ŋo22	
火		hu33	hu33	hu33	
夥		hu33	hu33	hu33	
貨		hu24	hu55	ho35	
和	和氣	hu31	ho21	hu31	
禾		hu31	ʔu21	ʔu31	
禍		hu223	ʔu21	ho22	
和	和麵	hu31	ho21	hu31	
倭		ʔou55	ʔo42	ʔo55	
踒	踒了腳				
窩		ʔu55	ʔuɤ42	ʔo55	
涴	弄髒				
瘸	瘸腿	pɐi55			
靴		we55	hɛ42	hɛ55	
巴		pa55	pa42	pa55	
芭		pa55	pa42	pa55	
疤		pa55	pa42	pa55	
把	把守	pa33	pa33	pa33	
霸		pa24	pa55	pa35	
欛	柄	pa24	pa55	pa35	
壩	堤	pa24	pa55	pa35	
壩	平川	pa24	pa55	pa35	
爸		pa55	pa55	pa55	
怕		pʰa24	pʰ55	pʰa35	
帕		pʰet22		pɛk33	
爬		pa31	pa21	pa31	
琶	琵琶	pa31	pa21	pa31	
杷	枇杷	pa31	pa21	pa31	
鈀	鈀子	pa31	pa21	pa31	
耙	犁耙	pa31	pa21	pa31	
麻		ma31	ma21	ma31	
痲		ma31	ma21	ma31	
蟆	虾蟆	mu31			
媽		ma55	ma55	ma55	
馬		ma21	ma33	ma21	
碼	碼子	ma21	ma33	ma21	
駡		ma223	ma21	ma22	
拿		na31	na21	nɐu55	
茶		tʃa31	tsa21	tsa31	
搽		tʃa31	tsa21	tsa31	
䖳	水母				
楂	山楂	tʃa55	tsa42	tsa55	
渣		tʃa55	tsa42	tsa55	
詐		tʃa24	tsa55	tsa35	
榨	榨油	tʃa24	tsa55	tsa35	
炸	炸彈	tʃa24	tsa55	tsa35	
叉		tʃʰa55	tsʰa42	tsʰa55	
杈	枝杈	tʃʰa55	tsʰa42	tsʰa55	
差	差別	tʃʰa55	tsʰa42	tsʰa55	
岔	三岔路	tʃʰa55	tsʰa42	tsʰa55	
茬		tʃai223	tsa21		
查	調查	tʃa31	tsa21	tsa31	
乍		tʃa24			
沙		ʃa55	sa42	sa55	
紗		ʃa55	sa42	sa55	
灑		ʃa33	sa33	sa33	
廈	偏廈	ja223	ja21	ja22	
家		ka55	ka42	ka55	
加		ka55	ka42	ka55	
痂		ka55	ka42	ka55	
嘉		ka55	ka42	ka55	
傢	傢具	ka55	ka42	ka55	
假	真假	ka33	ka33	ka33	
賈	姓	ka33	ka33	ka33	
假	放假	ka33	kʰ55	kʰa35	
架		kʰa24	kʰ55	kʰa35	
駕		kʰa24	kʰ55	ka35	
嫁		ka24	ka55	ka35	
稼		ka33	ka55	ka35	
價		ka24	ka55	ka35	
揢	捕，拿住				
牙		ɲia31	ŋa21	ȵia31	
芽		ɲia31	ŋa21	ȵia31	
衙		ɲia31	ŋa21	ȵia31	
伢	小孩子	ɲia31	ŋa21	ȵia31	
雅		ɲia21	ja33	ȵia21	
砑	砑平				
蝦	鱼蝦	ha55	ha42	ha55	
哈	哈腰	ha55	ha42	ha55	
嚇	嚇一跳	hak22	hɛk33	hɐk33	
霞		ʔa31	ha21	ȵia31	
瑕		ʔa31			
遐		ʔa31		ka55	
蝦	蝦蟆	ha55		ha55	
下	底下	ja223	ja21	ja22	
夏	姓	ja223	ja21	ja22	
厦		ja223	ja21	ja22	
下	底下	ja223	ja21	ja22	
夏	春夏	ja223	ja21	ja22	
暇		ha31	ja21		
鴉		ʔa55	ja42	ʔa55	
丫	丫頭	ja55	ja42	ʔa55	
椏	椏杈	ŋa55	ŋa42	ŋa55	
啞		ʔa33	ʔa33	ʔa33	
亞		ʔa24	ʔa55	ʔa35	
姐		tʃe33	tsɛ33	tsɛ33	
借		tʃe24	tsi55	tsɛ35	
且		tʃʰe33	tsʰɛ33	tsʰɛ33	
笡	斜				
藉	藉故	tʃe24		tsɛ35	
褯	褯子				
些		ɬe55	ɬɛ42	ɬɛ55	
寫		ɬe33	ɬɛ33	ɬɛ33	
瀉		ɬe24	ɬɛ55	ɬɛ35	
卸		ɬe24	ɬɛ55	ɬɛ35	
邪		tʃʰe31	tsʰɛ21	ɬɛ31	
斜		tʃʰe31	tsʰɛ21	ɬɛ31	
謝		tʃe223	tsɛ21	tsi22	
爹		te55	tɛ42	tɛ55	
遮		tʃi55		tsi55	
者		tʃe33	tsɛ33	tsɛ33	
蔗		tʃi24	tsi55	tsi35	
車		tʃʰe55	tsʰɛ42	tsʰi55	
扯		tʃʰe33	tsʰɛ33	tsʰi33	
蛇		ʃi31		si31	
射		ʃe223	sɛ21	sɛ22	
麝	麝香	ʃe223	sɛ21	sɛ22	
奢		tʃʰe55		tsʰɛ55	
賒		ʃi55	sɛ42	si55	
捨		ʃe33	sɛ33	sɛ33	
赦		ɬe24	sɛ55		
舍		ɬe24	sɛ55	sɛ35	
騇	母的牛馬				
佘	姓	ʃi55		si31	
社		ʃe24	sɛ33	sɛ22	
惹		ɲe21	jɛ13	jɛ21	
耶		je31	jɛ21	jɛ31	
爺		je31	jɛ21	jɛ31	
也	也是	je21	jɛ21	jɛ31	
野		je21	jɛ13	jɛ21	
夜		ja223	ja21	ja22	
夜		je223	jɛ21	jɛ22	
髽	髽髻				
傻		ɬo31	ɬo21		
耍		ʃa33	sa33	sa33	
瓜		kua55	kua42	kua55	
蝸		ʔu55	ʔuɤ42	ko55	
寡		kua33	kua33	kua33	
剮		kua33	kua33	kuɐt33	
誇		kʰua55	kʰua42	kʰua55	
侉		kʰua55	kʰua42	kʰua55	
垮		kʰua55	kʰua42	kʰua55	
跨		kʰua55	kʰua42	kʰua55	
瓦		wa21	wa33	wa21	
瓦	動詞	wa21	wa33	wa21	
花		wa55	wa42	wa55	
化		wa24	wa55	wa35	
華	中華	wa31	wa21	wa31	
鏵		wa31	wa21	wa31	
