地点：浙江丽水景宁鹤溪 字表来源：《处州方言历史比较》《吴语处州方言的地理比较》 说明：部分字音补充自语保													
汉字	IPA	声调	备注								声调	调类	调值
多	təu	1									1	阴平	324
大	dəu	6									2	阳平	31
拖	tʰəu	1	～鞋								3	上声	33
驼	dəu	2									5	阴去	35
驮	dəu	2	拿								6	阳去	13
罗	ləu	2									7	阴入	5
箩	ləu	2									8	阳入	23
左	tsəu	3									0	轻声	0
搓	tsʰəu	1									1a	变调甲	55
歌	kəu	1									1b	变调乙	32
哥	kəu	1									1c	变调丙	21
个	kəu	5	～体户								7a	阴入变调	3
个	ki	5	一～								8a	阳入变调	2
可	kʰəu	3											
鹅	ŋəu	2											
我	ŋəu	3											
饿	uæi	6	文										
何	əu	2											
河	əu	2											
荷	əu	2											
茄	dʒiəu	2	绿～：茄子										
波	pəu	1											
菠	pəu	1											
跛	pa	3											
簸	pa	5											
坡	pəu	1											
玻	pəu	1											
破	pʰa	5											
婆	bəu	2											
磨	məu	2	动词										
磨	məu	6	名词										
朵	təu	3											
躲	təu	1											
剁	tɐɯʔ	7											
椭	tʰy	3											
糯	nəu	6											
螺	ləu	2											
脶	læi	2											
啰	ləu	2											
锉	tsʰəu	5											
坐	zəu	3											
座	zəu	6											
蓑	səu	1											
锁	səu	3											
锅	kəu	1											
戈	kuaʔ	7											
果	kəu	3											
过	kəu	5											
科	kʰəu	1											
窠	kʰəu	1											
课	kʰəu	5											
卧	ŋəu	6											
火	xəu	3											
伙	xəu	3											
货	xəu	5											
禾	əu	2											
和	əu	2											
祸	əu	3											
涴	u	5	大便										
靴	ʃiəu	1											
巴	pəu	1											
疤	pəu	1											
芭	pəu	1											
把	pəu	3											
坝	pəu	5											
怕	pʰa	5											
帕	pʰaʔ	7											
爬	bəu	2											
杷	bəu	2											
钯	bəu	2											
耙	bəu	2											
麻	məu	2											
痳	məu	2											
蟆	məu	2											
马	məu	3											
骂	məu	6	文										
拿	nəu	2	文										
茶	dzəu	2											
搽	dzəu	2											
楂	tsəu	1											
渣	tsəu	1											
榨	tsəu	5											
炸	tsɔuʔ	7											
叉	tsʰəu	1											
差	tsʰəu	1	～别										
查	dzəu	2											
沙	səu	1											
纱	səu	1											
家	kəu	1											
加	kəu	1											
假	kəu	3	真～、放～										
价	kəu	5											
架	kəu	5											
驾	kəu	5											
嫁	kəu	5											
揢	kʰəu	5	抓、捉										
牙	ŋəu	2											
芽	ŋəu	2											
虾	xəu	1											
下	iəu	3											
夏	əu	6											
厦	əu	6											
鸦	əu	1											
哑	əu	3											
亚	əu	5											
借	tʃiəu	5											
笡	tʃʰiəu	5	歪										
写	ʃiəu	3											
邪	ʒiəu	2											
斜	ʒiəu	2											
谢	ʒiəu	6											
爹	ta	1	爸爸										
遮	tʃiəu	1											
蔗	tʃiəu	5											
车	tʃʰiəu	1											
蛇	ʒiəu	2											
射	ʒiəu	6											
赊	ʃiəu	1											
捨	ʃiəu	3	～得										
舍	ʃiəu	5	宿～										
社	ʒiəu	3											
爷	iəu	2											
野	iəu	3											
夜	iəu	6											
傻	sa	1											
瓜	kəu	1											
寡	kəu	3											
跨	kʰua	5											
瓦	ŋəu	3											
花	xəu	1											
化	xəu	5											
华	əu	2	中～										
华	əu	6	姓										
蛙	əu	1											
划	əu	2	～船										
搲	uɑʔ	7	爬										
补	pu	3											
谱	pʰu	3											
布	pu	5											
铺	pʰu	1	动词										
普	pʰu	3											
浦	pʰu	3											
铺	pʰu	5	名词										
菩	bu	2											
蒲	bu	2											
脯	bu	2											
部	bu	3											
簿	bu	3											
步	bu	6											
模	m	2											
墓	m	6											
都	ty	1	首～										
都	təu	1	～是										
赌	ty	3											
肚	ty	3	猪～										
妒	ty	5											
土	tʰy	3											
吐	tʰy	3	～痰										
吐	tʰy	5	呕～										
兔	tʰy	5											
途	dy	2											
涂	dy	2											
图	dy	2											
徒	dy	2											
肚	dy	3	文，～子										
杜	ty	3											
度	dy	6											
渡	dy	6											
镀	dy	6											
奴	nəu	2											
努	nəu	3											
怒	nəu	6											
卢	ly	2											
炉	ly	2											
芦	ləu	2											
鲁	ly	3											
虏	ly	3											
卤	ly	3											
露	ly	6											
路	ly	6											
租	tsɿ	1											
祖	tsɿ	3											
组	tsɿ	3											
做	tsəu	5											
粗	tsʰɿ	1											
醋	tsʰɿ	5											
错	tsʰəu	5											
苏	sɿ	1	～联										
素	sɿ	5											
塑	sɿ	5											
箍	kʰu	1											
姑	ku	1											
估	ku	3											
古	ku	3											
股	ku	3											
鼓	ku	3											
故	ku	5											
固	ku	5											
雇	ku	5											
顾	ku	5											
苦	kʰu	3											
库	kʰu	5											
裤	kʰu	5											
吴	ŋ	2											
蜈	ɲy	2											
五	ŋ	3											
午	ŋ	3											
伍	ŋ	3											
悟	ŋ	6											
误	ŋ	6											
虎	xu	3											
浒	xu	3											
戽	xu	5	～田：耘田										
壶	u	2											
瓠	u	2	葫										
胡	u	2	姓										
狐	u	2											
湖	u	2											
鬍	u	2	胡须										
糊	u	2											
户	u	3											
互	u	6											
护	u	6											
乌	u	1											
污	u	1											
女	ɲy	3											
庐	ly	2											
吕	ly	3											
旅	ly	3											
虑	ly	6											
徐	ʒy	2											
序	ʒy	3											
绪	ʒy	3											
猪	ti	1											
𣥼	ti	5	盛，盛饭										
除	dʒy	2											
苎	dʒy	3											
着	dæi	3	～火										
箸	dʒi	6											
阻	tʃy	3											
初	tsʰɐɯ	1											
楚	tsʰɐɯ	3											
础	tsʰɐɯ	3											
锄	zəu	2											
助	zɐɯ	6											
疏	sɿ	1											
蔬	səu	1											
梳	sɿ	1											
所	sɐɯ	3											
诸	tʃy	1											
煮	tʃi	3											
处	tʃʰy	5	家、房子										
书	ʃy	1											
舒	ʃy	1											
鼠	tʃʰi	3											
暑	ʃy	3											
薯	dʒi	6											
如	ʒy	2											
车	tʃy	1	象棋										
举	tʃy	3											
锯	tʃy	5											
据	tʃy	5											
踞	tʃiɯ	1	蹲										
去	kʰi	5											
渠	gi	2	他										
距	dʒy	3											
鱼	ɲy	2											
语	ɲy	3											
□	y	3	～牛：放牛。本字疑为“守”										
虚	ʃy	1											
许	ʃy	3											
余	y	2											
与	y	3											
誉	y	6											
预	y	6											
夫	fu	1											
肤	fu	1											
斧	xu	3											
府	fu	3											
傅	fu	5											
付	fu	5											
俘	fu	1											
麸	fu	1											
符	vu	2											
扶	vu	2											
芙	vu	2											
泭	vɑʔ	8	泡沫										
腐	vu	3											
父	vu	3											
巫	u	2											
诬	u	2											
无	m	2											
舞	m	3											
武	m	3											
务	m	6											
雾	m	6											
取	tʃʰy	3											
娶	tʃʰy	3											
趣	tʃʰy	5											
聚	ʒy	3											
需	ʃy	1											
须	ʃy	1											
鬚	ʃy	1											
蛛	ty	1											
拄	ty	5											
厨	dʒy	2											
柱	dʒy	3											
住	dʒy	6											
数	ʃy	3	动词										
数	sɿ	5	名词										
珠	tʃy	1											
朱	tʃy	1											
主	tʃy	3											
注	tʃy	5											
蛀	tʃy	5											
输	ʃy	1											
殊	ʒy	2											
竖	ʒy	3											
树	ʒy	6											
儒	ʒy	2											
拘	tʃy	1											
句	tʃy	5											
区	tʃʰy	1											
具	dʒy	6											
寓	ɲy	6											
于	y	2											
雨	y	3											
芋	y	6											
愉	y	2											
裕	y	6											
啡	pʰi	3	吐痰										
戴	ta	5											
胎	tʰæi	1											
台	tʰæi	1	～州										
态	tʰæi	5											
贷	dæi	6											
臺	dæi	2	～湾										
代	dæi	6											
袋	dæi	6											
埭	da	6	一～字：一行字										
耐	na	6											
来	li	2											
灾	tsæi	1											
再	tsæi	5											
猜	tsʰæi	1											
彩	tsʰæi	3											
菜	tsʰæi	5											
材	zæi	2											
才	zæi	2											
裁	zæi	2											
财	zæi	2											
在	zæi	3											
赛	sæi	5											
该	kæi	1											
改	kæi	3											
概	kæi	5											
概	kʰæi	5											
开	kʰæi	1											
咳	kʰəʔ	7											
呆	ŋæi	2											
海	xæi	3											
爱	æi	5											
贝	pæi	5											
带	ta	5											
泰	tʰa	5											
太	tʰa	5											
赖	la	6											
癞	lɑʔ	8											
蔡	tsʰa	5											
盖	kæi	5											
艾	a	6											
害	æi	6											
拜	pa	5											
排	ba	2											
埋	ma	2											
介	ka	5											
阶	ka	1											
戒	ka	5											
芥	ka	5											
界	ka	5											
届	ka	5											
械	a	6											
摆	pa	3											
派	pʰa	5											
牌	ba	2											
买	ma	3											
卖	ma	6											
奶	na	3											
斋	tsa	1											
债	tsa	5											
钗	tsʰa	1											
差	tsʰa	1	出～										
柴	za	2											
洒	sa	3											
晒	sa	5											
街	ka	1											
解	ka	3											
鞋	a	2											
蟹	xa	3											
矮	a	3											
败	ba	6											
寨	za	6											
蔽	pi	5											
毙	bi	6											
币	bi	6											
弊	bi	6											
厉	li	6											
例	li	6											
祭	tʃi	5											
际	tʃi	5											
制	tʃi	5											
势	ʃi	5											
世	ʃi	5											
誓	ʒi	6											
艺	ɲi	6											
闭	pi	5											
批	pʰi	1											
米	mi	3											
谜	mi	2											
堤	di	2											
低	ti	1											
底	ti	3											
抵	ti	3											
帝	ti	5											
梯	tʰæi	1											
体	tʰi	3											
替	tʰi	5											
涕	tʰi	5											
剃	tʰi	5											
提	di	2											
題	di	2											
蹄	di	2											
屉	tʰi	5											
弟	di	3											
第	di	6											
递	di	6											
泥	ɲi	2											
犁	li	2											
礼	li	3											
丽	li	6											
隶	di	6											
砌	tʃʰi	5											
齐	ʒi	2											
脐	ʒi	2											
荠	ʒi	2											
西	ʃi	1											
洗	ʃi	3											
细	ʃi	5											
婿	ʃi	5											
鸡	tʃi	1											
稽	tʃi	1											
计	tʃi	5	会～										
繫	tʃi	5	～头发										
溪	kʰæi	1											
启	tʃʰi	3											
系	i	5	关～										
杯	pæi	1											
辈	pæi	5											
背	pæi	1	动词										
背	pæi	5	名词										
配	pʰæi	5											
培	bæi	2											
陪	bæi	2											
赔	bæi	2											
倍	bæi	3											
媒	mæi	2											
煤	mæi	2											
枚	mæi	2											
梅	mæi	2											
每	mæi	3											
妹	mæi	6											
堆	tæi	1											
碓	tæi	5											
对	tæi	5											
推	tʰæi	1											
腿	tʰæi	3											
退	tʰæi	5											
队	dæi	6											
内	næi	6											
雷	læi	2											
㔣	læi	6	滚动、丢失										
催	tsʰæi	1											
崔	tsʰæi	1											
罪	zæi	3											
碎	sæi	5											
盔	kʰuæi	1											
恢	xuæi	1											
块	kʰuæi	5											
灰	xuæi	1											
悔	xuæi	3											
茴	uæi	2											
回	uæi	2											
汇	uæi	6											
煨	uæi	1											
最	tsæi	5											
会	kuæi	5	～计										
会	uæi	6	开～、不～										
外	uɑ	6	～公、～面										
绘	kuæi	5											
怪	kuɑ	5											
怀	guɑ	2	～里										
怀	uɑ	2	～表										
坏	ga	3											
拐	kuɑ	3											
挂	gəu	6											
卦	kəu	5											
歪	uɑ	1											
画	əu	6											
快	kʰuɑ	5											
话	əu	6											
脆	tʃʰy	5											
岁	ʃy	5											
税	ʃy	5											
卫	uæi	6											
废	pʰi	5											
肺	pʰi	5											
吠	bi	6	狗叫										
桂	tʃy	5											
慧	uæi	6											
惠	y	6											
碑	pæi	1											
臂	pæi	5											
披	pʰi	1											
皮	bi	2											
脾	bi	2											
被	bi	3											
避	bi	6											
篱	li	2											
离	li	2											
璃	li	2											
荔	li	6											
紫	tsɿ	3											
雌	tsʰɿ	1											
此	tsʰɿ	3											
刺	tʃʰi	5											
斯	sɿ	1											
知	tsɿ	1											
蜘	ti	1											
筛	sɿ	1											
支	tsɿ	1											
枝	tʃi	1											
栀	tʃi	1											
纸	tʃi	3											
施	sɿ	1											
匙	zɿ	2											
是	dzɿ	3											
儿	ɲi	2											
寄	tʃi	5											
企	tʃʰi	3											
奇	dʒi	2											
骑	dʒi	2											
徛	gæi	3	站立										
技	dʒi	6											
宜	ɲi	6											
蚁	ŋa	3											
义	ɲi	6											
仪	ɲi	6											
牺	ʃi	1											
戏	ʃi	5											
椅	y	3											
移	i	2											
易	i	6											
悲	pæi	1											
比	pi	3											
庇	pi	5											
痹	pi	5											
屁	pʰi	5											
枇	bi	2											
备	bi	6											
鼻	bəʔ	8											
篦	bi	6											
眉	mi	2											
美	mi	3											
地	di	6											
尼	ɲi	2											
腻	ɲi	6											
梨	li	2											
利	li	6											
资	tsɿ	1											
姊	tsɿ	3	姐										
次	tsʰɿ	5											
瓷	zɿ	2											
自	zɿ	6											
私	sɿ	1											
死	sɿ	3											
四	sɿ	5											
迟	dzɿ	2											
师	sɿ	1											
狮	sɿ	1											
脂	tsɿ	1											
指	tsɿ	3											
旨	tsɿ	3											
至	tsɿ	5											
示	zɿ	6											
尸	sɿ	1											
视	zɿ	6											
二	ɲi	6											
肌	tʃi	1											
飢	tʃi	1	饿										
几	tʃi	1	茶～										
器	tʃʰi	5											
姨	i	3											
肄	i	2											
你	ɲi	3											
李	li	3											
理	li	3											
里	li	3	一～										
裏	li	3	～外										
鲤	li	3											
子	tsɿ	3											
磁	zɿ	2											
字	zɿ	6											
司	sɿ	1											
丝	sɿ	1											
思	sɿ	1											
词	zɿ	2											
祠	zɿ	2											
寺	zɿ	6											
痴	tsʰɿ	1											
持	dzɿ	2											
