IPA	调值	调类	Hanzi
fan	213	3	反返
fan	24	2	凡烦樊繁
fan	311	1	帆番蕃幡藩翻
fan	53	5	犯饭泛范贩梵
fei	213	3	匪诽悱斐翡
fei	24	2	肥淝
fei	311	1	飞妃非菲啡绯扉蜚霏
fei	53	5	吠肺狒废沸费痱
fu	213	3	脯抚甫斧府俯辅福腹幅覆腐
fu	24	2	弗伏扶芙服俘浮
fu	311	1	夫肤孵敷
fu	53	5	父副付负妇附富
fɑŋ	213	3	坊仿访纺
fɑŋ	24	2	防妨房
fɑŋ	311	1	方芳
fɑŋ	53	5	放
fɯɤ	24	2	佛
fən	213	3	粉
fən	24	2	坟汾焚
fən	311	1	分芬纷氛酚
fən	53	5	份奋忿粪愤
fəu	213	3	缶否
fɤŋ	213	3	讽
fɤŋ	24	2	冯逢缝
fɤŋ	311	1	丰风枫封疯峰烽锋蜂
fɤŋ	53	5	凤奉俸缝（~隙）
fᴀ	213	3	法发（白）
fᴀ	24	2	乏伐罚阀笩
fᴀ	311	1	发（文）
fᴀ	53	5	珐
i	213	3	一乙已以蚁倚椅
i	24	2	仪夷迤饴怡宜贻姨胰移痍遗颐疑彝
i	311	1	伊衣医依咿揖噫
i	53	5	亿义艺忆益议屹亦异抑呓役译易驿奕疫意翌溢翼日
in	213	3	尹引饮蚓隐瘾
in	24	2	吟垠银淫寅
in	311	1	因阴茵荫音姻氤殷
in	53	5	印饮荫胤
iŋ	24	2	仍迎萤荧盈莹营萦楹蝇潆嬴瀛
iŋ	311	1	应英莺婴罂缨樱鹦膺鹰
iŋ	53	5	应映硬
iɑŋ	213	3	壤嚷
iɑŋ	24	2	瓤扬羊阳杨飏徉洋
iɑŋ	311	1	央泱殃鸯秧
iɑŋ	53	5	让怏样漾恙烊
iɑɔ	213	3	扰杳咬舀窈
iɑɔ	24	2	饶娆尧肴轺姚窑谣摇徭遥瑶
iɑɔ	311	1	幺夭吆妖要腰邀
iɑɔ	53	5	绕药要钥（新）曜耀
iɛ	213	3	惹
iɛ	53	5	热
iən	24	2	人（新）壬仁任（姓）
iən	53	5	人（老）刃认任韧妊
iəu	213	3	友有酉黝
iəu	24	2	柔揉糅蹂尤由邮犹油柚疣莜鱿游
iəu	311	1	优攸忧幽呦悠
iəu	53	5	肉又右幼柚囿诱釉鼬
iɛ	213	3	也冶野
iɛ	24	2	爷邪
iɛ	311	1	耶掖椰噎
iɛ	53	5	业叶页曳夜液谒腋靥
iɛn	213	3	冉染奄俨衍掩眼演偃魇
iɛn	24	2	然髯燃延严言妍岩炎沿盐研阎蜒筵颜檐
iɛn	311	1	咽恹胭烟焉阉淹腌湮嫣燕
iɛn	53	5	厌砚咽艳宴验谚堰雁焰燕赝
iᴀ	213	3	亚哑雅鸭（～绿江）
iᴀ	24	2	牙芽蚜崖涯睚衙鸭（～子）
iᴀ	311	1	丫压呀押鸦
iᴀ	53	5	轧亚压讶氩揠
ɛe̞	213	3	矮蔼
ɛe̞	24	2	癌捱皑
ɛe̞	311	1	挨埃
ɛe̞	53	5	爱艾哎碍隘
ɑŋ	24	2	昂
ɑŋ	53	5	盎
ɯɤ	213	3	恶
ɯɤ	24	2	额鹅娥俄
ɯɤ	53	5	饿鳄鄂恶
ɑɔ	213	3	袄
ɑɔ	24	2	熬
ɑɔ	311	1	凹
ɑɔ	53	5	奥澳傲
ən	311	1	恩
ən	53	5	摁嗯
əu	213	3	藕呕偶
əu	311	1	殴鸥瓯
əu	53	5	怄
kan	213	3	扞杆赶敢感橄擀
kan	311	1	干甘杆肝泔柑竿尴
kan	53	5	干赣
ku	213	3	古谷汩股骨贾蛊鼓
ku	311	1	估咕沽孤姑骨（~朵儿）辜
ku	53	5	固故顾雇锢
kuan	213	3	莞馆管
kuan	311	1	关观纶官冠棺鳏
kuan	53	5	贯冠惯盥灌罐
kuei	213	3	轨诡鬼
kuei	311	1	归圭龟规闺硅瑰
kuei	53	5	贵桂柜跪鳜
kuɛe̞	213	3	拐
kuɛe̞	311	1	乖
kuɛe̞	53	5	怪
kʊŋ	213	3	巩汞拱
kʊŋ	311	1	工弓公功攻供宫恭躬
kʊŋ	53	5	共贡供
kuɑŋ	213	3	广犷
kuɑŋ	311	1	光胱
kuɑŋ	53	5	逛
kuɤ	213	3	果裹国（白）
kuɤ	24	2	虢国（文）
kuɤ	311	1	过郭聒锅
kuɤ	53	5	过
kuən	213	3	衮滚磙
kuən	53	5	棍
kuᴀ	213	3	剐寡刮
kuᴀ	311	1	瓜呱
kuᴀ	53	5	卦挂褂
kɛe̞	213	3	改
kɛe̞	311	1	该垓
kɛe̞	53	5	丐钙盖溉概
kɑŋ	213	3	岗港
kɑŋ	311	1	冈刚肛纲钢缸罡
kɑŋ	53	5	杠
kɑɔ	213	3	搞缟槁镐稿
kɑɔ	311	1	皋高羔膏篙糕
kɑɔ	53	5	告诰
kɯɤ	213	3	葛胳搁隔
kɯɤ	311	1	戈疙咯哥鸽
kɯɤ	53	5	个各
kɑ	213	3	割
