cid	character	initial	final	tone	note
232	祠	tsh	ɿ	52	
233	寺	s	ɿ	212	
234	治	tʂ	ʅ	212	
235	柿	s	ɿ	212	
236	事	s	ɿ	212	
237	使	s	ɿ	212	
238	试	ʂ	ʅ	212	
239	时	s	ɿ	52	
240	市	s	ɿ	212	
241	耳	∅	ər	52	
242	记	tɕ	i	212	
243	棋	tɕh	i	52	
244	喜	ɕ	i	52	
245	意	∅	i	212	
246	几	tɕ	i	52	
247	气	tɕh	i	212	
248	希	ɕ	i	44	
249	衣	∅	i	44	
250	嘴	ts	uei	52	
251	随	s	uei	52	
252	吹	tʂh	uei	44	
253	垂	tʂh	uei	52	
254	规	k	uei	44	
255	亏	kh	uei	44	
256	跪	k	uei	212	
257	危	v	ei	52	
258	类	l	uei	212	
259	醉	ts	uei	212	
260	追	tʂ	uei	44	
261	锤	tʂh	uei	52	
262	水	f	ei	52	
263	龟	k	uei	44	
264	季	tɕ	i	212	
265	柜	k	uei	212	
266	位	v	ei	212	
267	飞	f	ei	44	
268	费	f	ei	212	
269	肥	f	ei	52	
270	尾	v	ei	52	
271	味	v	ei	212	
272	鬼	k	uei	52	
273	贵	k	uei	212	
274	围	v	ei	52	
275	胃	v	ei	212	
276	宝	p	ɔ	52	
277	抱	p	ɔ	212	
278	毛	m	ɔ	52	
279	帽	m	ɔ	212	
280	刀	t	ɔ	44	
281	讨	th	ɔ	52	
282	桃	th	ɔ	52	
283	道	t	ɔ	212	
284	脑	n	ɔ	52	
285	老	l	ɔ	52	
286	早	ts	ɔ	52	
287	灶	ts	ɔ	212	
288	草	tsh	ɔ	52	
289	糙	tsh	ɔ	44	
290	造	ts	ɔ	212	
291	嫂	s	ɔ	52	
292	高	k	ɔ	44	
293	靠	kh	ɔ	212	
294	熬	∅	ɔ	52	
295	好	x	ɔ	52	
296	号	x	ɔ	212	
297	包	p	ɔ	44	
298	饱	p	ɔ	52	
299	炮	ph	ɔ	212	
300	猫	m	ɔ	44	
301	闹	n	ɔ	212	
302	罩	ts	ɔ	212	
303	抓	tʂ	ua	44	
304	找	ts	ɔ	52	
305	抄	tsh	ɔ	44	
306	交	tɕ	iɔ	44	
307	敲	tɕh	iɔ	44	
308	孝	ɕ	iɔ	212	
309	校	ɕ	iɔ	212	
310	表	p	iɔ	52	
311	票	ph	iɔ	212	
312	庙	m	iɔ	212	
313	焦	tɕ	iɔ	44	
314	小	ɕ	iɔ	52	
315	笑	ɕ	iɔ	212	
316	朝	tʂh	ɔ	52	
317	照	tʂ	ɔ	212	
318	烧	ʂ	ɔ	44	
319	绕	ʐ	ɔ	212	
320	桥	tɕh	iɔ	52	
321	轿	tɕ	iɔ	212	
322	腰	∅	iɔ	44	
323	要	∅	iɔ	212	
324	摇	∅	iɔ	52	
325	鸟	ȵ	iɔ	212	
326	钓	t	iɔ	212	
327	条	th	iɔ	52	
328	料	l	iɔ	212	
329	箫	ɕ	iɔ	44	
330	叫	tɕ	iɔ	212	
331	母	m	u	52	
332	抖	t	əu	52	
333	偷	th	əu	44	
334	头	th	əu	52	
335	豆	t	əu	212	
336	楼	l	əu	52	
337	走	ts	əu	52	
338	凑	tsh	əu	212	
339	钩	k	əu	44	
340	狗	k	əu	52	
341	够	k	əu	212	
342	口	kh	əu	52	
343	藕	∅	əu	52	
344	后	x	əu	212	
345	厚	x	əu	212	
346	富	f	u	212	
347	副	f	u	212	
348	浮	f	u	52	
349	妇	f	u	212	
350	流	l	iəu	52	
351	酒	tɕ	iəu	52	
352	修	ɕ	iəu	44	
353	袖	ɕ	iəu	212	
354	抽	tʂh	əu	44	
355	绸	tʂh	əu	52	
356	愁	tsh	əu	52	
357	瘦	s	əu	44	
358	州	tʂ	əu	44	
359	臭	tʂh	əu	212	
360	手	ʂ	əu	52	
361	寿	ʂ	əu	212	
362	九	tɕ	iəu	52	
363	球	tɕh	iəu	44	
364	舅	tɕ	iəu	212	
365	旧	tɕ	iəu	212	
366	牛	ȵ	iəu	52	
367	休	ɕ	iəu	44	
368	优	∅	iəu	44	
369	有	∅	iəu	52	
370	右	∅	iəu	212	
371	油	∅	iəu	52	
372	丢	t	iəu	44	
373	幼	∅	iəu	52	
374	贪	th	an	44	
375	潭	th	an	52	
376	南	n	an	52	
377	蚕	tsh	an	52	
378	感	k	an	52	
379	含	x	an	52	
380	暗	∅	an	212	
381	搭	t	a	212	
382	踏	th	a	52	
383	拉	l	a	44	
384	杂	ts	a	52	
385	鸽	k	ɤ	212	
386	盒	x	ɤ	52	
387	胆	t	an	52	
388	毯	th	an	52	
389	淡	t	an	212	
