cid	cʰaracter	initian	finan	tone	note								
1	多	t	o	44-33									
2	拖	tʰ	o	44-33									
2	驼	tʰ	o	21									
2	妥	tʰ	o	45									
3	大	t	a	13									
4	锣	n	o	21									
5	左	ts	o	45									
6	歌	k	o	44-33									
7	个	k	o	13									
8	可	kʰ	o	45									
9	鹅	∅	o	21									
10	饿	∅	o	13									
11	河	x	o	21									
12	茄	tɕʰ	yɛ	21									
13	波	p	o	44-33									
13	钵	p	o	21									
13	簸	p	o	45									
13	播	p	o	13									
13	破	pʰ	o	13									
14	婆	pʰ	o	21									
13	坡	pʰ	o	44-33									
14	颇	pʰ	o	45									
15	磨	m	o	21									
16	磨	m	o	13									
	抹	m	o	45									
17	躲	t	o	45									
17	跺	t	o	13									
18	螺	n	o	21									
18	裸	n	o	45									
18	糯	n	o	13									
19	坐	ts	o	13									
	梭	s	o	44-33									
	说	s	o	21									
20	锁	s	o	45									
21	果	k	o	45									
22	过	k	o	13									
	嗑	kʰ	o	21									
23	课	kʰ	o	13									
24	喝	x	o	44-33									
24	火	x	o	45									
25	贺	x	o	13									
26	祸	x	o	13									
26	货	x	o	13									
27	靴	ɕ	yɛ	44-33									
28	把	p	a	45									
29	爬	p	a	44-33	白								
29	爬	pʰ	a	21									
30	马	m	a	45									
31	骂	m	a	13									
32	茶	tsʰ	a	21									
	沙	s	a	44-33									
34	假	tɕ	ia	45									
35	嫁	tɕ	ia	13									
36	牙	∅	ia	21									
37	虾	ɕ	ia	44-33									
38	下	ɕ	ia	13									
38	下	x	a	13	白，一∽								
39	夏	ɕ	ia	13									
40	哑	∅	ia	45									
41	姐	tɕ	iɛ	45									
41	者	tɕ	iɛ	45									
42	借	tɕ	iɛ	13									
42	蔗	tɕ	iɛ	13									
43	写	ɕ	iɛ	45									
	斜	ɕ	iɛ	21									
45	谢	ɕ	iɛ	13									
46	车	tɕʰ	iɛ	44-33									
46	扯	tɕʰ	iɛ	45									
47	蛇	ɕ	iɛ	21									
48	射	ɕ	iɛ	13									
48	社	ɕ	iɛ	13									
49	爷	∅	iɛ	21									
50	野	∅	iɛ	45									
50	惹	∅	iɛ	45									
51	夜	∅	iɛ	13									
52	瓜	k	ua	44-33									
53	瓦	∅	ua	45									
54	花	x	ua	44-33									
55	化	x	ua	13									
56	华	x	ua	21									
57	谱	pʰ	uᶹ	45									
58	布	p	uᶹ	13									
59	铺	pʰ	uᶹ	44-33									
60	簿	p	uᶹ	13									
61	步	p	uᶹ	13									
62	赌	t	uᶹ	45									
63	土	tʰ	uᶹ	45									
64	图	tʰ	uᶹ	21									
65	杜	t	uᶹ	13									
66	奴	n	uᶹ	21									
67	路	n	uᶹ	13									
68	租	ts	uᶹ	44-33									
69	做	ts	uᶹ	13									
70	搓	tsʰ	o	44-33									
	戳	tsʰ	o	21									
70	错	tsʰ	o	13									
71	箍	kʰ	uᶹ	44-33									
72	古	k	uᶹ	45									
73	估	k	uᶹ	45									
73	苦	kʰ	uᶹ	45									
74	裤	kʰ	uᶹ	13									
75	吴	v	uᶹ	21									
76	五	v	uᶹ	45									
77	虎	f	uᶹ	45									
78	壶	f	uᶹ	21									
79	户	f	uᶹ	13									
80	乌	v	uᶹ	44-33									
81	女	n	y	45									
82	吕	n	uei	45									
82	屡	n	uei	45									
82	累	n	uei	13									
83	徐	ɕ	y	21									
84	猪	ts	uᶹ	44-33									
85	除	tsʰ	uᶹ	21									
86	初	tsʰ	uᶹ	44-33									
87	锄	tsʰ	uᶹ	21									
88	所	s	o	45									
89	书	s	uᶹ	44-33									
90	鼠	tsʰ	uᶹ	45	白								
90	鼠	s	uᶹ	45									
91	如	z	uᶹ	21									
92	举	tɕ	y	45									
93	锯	tɕ	y	13									
94	去	kʰ	i	13	白1								
94	去	kʰ	iɛ	13	白2								
94	去	tɕʰ	y	13									
95	渠	tɕʰ	yu	21									
96	鱼	∅	y	21									
97	许	ɕ	y	45									
98	余	∅	y	21									
99	府	f	uᶹ	45									
100	付	f	uᶹ	13									
101	父	f	uᶹ	13									
102	武	v	uᶹ	45									
103	雾	v	uᶹ	13									
104	取	tɕʰ	y	45									
105	柱	ts	uᶹ	13									
106	住	ts	uᶹ	13									
107	数	s	uᶹ	45									
108	数	s	uᶹ	13									
109	主	ts	uᶹ	45									
110	输	s	uᶹ	44-33									
111	竖	s	uᶹ	13									
112	树	s	uᶹ	13									
113	句	tɕ	y	13									
114	区	tɕʰ	y	44-33									
115	遇	∅	y	13									
116	雨	∅	y	45									
117	芋	∅	y	13									
118	裕	∅	y	13									
119	胎	tʰ	ai	44-33									
120	台	tʰ	ai	21									
121	袋	t	ai	13									
122	来	n	ai	21									
123	栽	ts	ai	44-33									
123	崽	ts	ai	45									
123	在	ts	ai	13									
123	猜	tsʰ	ai	44-33									
123	才	tsʰ	ai	21									
123	踩	tsʰ	ai	13									
123	菜	tsʰ	ai	13									
124	财	tsʰ	ai	21									
125	该	k	ai	44-33									
126	改	k	ai	45									
127	开	kʰ	ai	44-33									
127	凯	kʰ	ai	45									
127	概	kʰ	ai	13									
128	奒	x	ai	44-33	大，∽得很								
128	海	x	ai	45									
129	爱	ŋ	ai	13									
130	贝	p	ei	13									
131	带	t	ai	13									
131	歹	t	ai	45									
132	盖	k	ai	13									
	害	x	ai	13									
134	跛	p	ai	44-33									
134	拜	p	ai	13									
135	排	pʰ	ai	21									
136	埋	m	ai	21									
137	戒	k	ai	13									
138	摆	p	ai	45									
139	派	pʰ	ai	13									
140	牌	pʰ	ai	21									
141	买	m	ai	45									
142	卖	m	ai	13									
143	柴	tsʰ	ai	21									
	腮	s	ai	44-33									
	赛	s	ai	13									
	晒	s	ai	13									
145	街	k	ai	44-33									
146	解	k	ai	45									
147	鞋	x	ai	21									
148	蟹	x	ai	45									
149	矮	ŋ	ai	45									
150	败	p	ai	13									
151	币	p	i	13									
152	制	ts	ɿ	13									
153	世	s	ɿ	13									
154	艺	∅	i	13									
154	艺	∅	ʑ̩	13									
155	米	m	i	45									
156	低	t	i	44-33									
157	梯	tʰ	i	44-33									
158	剃	tʰ	i	13									
159	弟	t	i	13									
160	递	t	i	13									
161	泥	n	i	21									
162	犁	n	i	21									
163	西	ɕ	i	44-33									
163	西	ɕ	ʑ̩	44-33									
164	洗	ɕ	i	45									
164	洗	ɕ	ʑ̩	45									
165	鸡	tɕ	i	44-33									
165	鸡	tɕ	ʑ̩	44-33									
166	溪	tɕʰ	i	44-33									
166	溪	tɕʰ	ʑ̩	44-33									
167	契	tɕʰ	i	13									
168	系	ɕ	i	13									
169	杯	p	ei	44-33									
170	披	pʰ	ei	44-33									
170	配	pʰ	ei	13									
170	佩	pʰ	ei	13									
171	赔	pʰ	ei	21									
172	背	p	ei	13									
173	煤	m	ei	21									
173	每	m	ei	45									
174	妹	m	ei	13									
175	对	t	uei	13									
176	雷	n	uei	21									
177	罪	ts	uei	13									
178	碎	s	uei	13									
179	灰	x	uei	44-33									
180	回	x	uei	21									
181	外	∅	uai	13									
182	会	x	uei	13									
183	怪	k	uai	13									
184	块	kʰ	uai	45									
185	怀	x	uai	21									
186	坏	x	uai	13									
187	拐	k	uai	45									
188	挂	k	ua	13									
189	歪	∅	uai	44-33									
190	画	x	ua	13									
191	快	kʰ	uai	13									
192	话	x	ua	13									
193	岁	s	uei	13									
194	卫	∅	uei	13									
195	肺	f	ei	13									
196	桂	k	uei	13									
197	碑	p	ei	44-33									
198	皮	pʰ	i	21									
199	被	p	ei	13									
200	紫	ts	ɿ	45									
201	刺	tsʰ	ɿ	13									
202	知	ts	ɿ	44-33									
203	痴	tsʰ	ɿ	44-33									
	耻	tsʰ	ɿ	45									
203	池	tsʰ	ɿ	21									
203	刺	tsʰ	ɿ	13									
204	纸	ts	ɿ	45									
205	儿	∅	ər	21									
205	儿	∅	æ	21									
206	寄	tɕ	i	13									
207	骑	tɕʰ	i	21									
207	骑	tɕʰ	ʑ̩	21									
208	蚁	∅	iɛ	45									
209	义	∅	i	13									
209	义	∅	ʑ̩	13									
210	戏	ɕ	i	13									
210	戏	ɕ	ʑ̩	13									
211	移	∅	i	21									
211	移	∅	ʑ̩	21									
212	比	p	i	45									
213	屁	pʰ	i	13									
214	鼻	p	i	21									
215	眉	m	i	21									
216	地	t	i	13									
217	梨	n	i	21									
218	资	ts	ɿ	44-33									
219	死	s	ɿ	45									
220	四	s	ɿ	13									
221	迟	tsʰ	ɿ	21									
222	师	s	ɿ	44-33									
223	指	ts	ɿ	45									
224	二	∅	ər	13									
224	二	∅	æ	13									
225	饥	tɕ	i	44-33									
225	饥	tɕ	ʑ̩	44-33									
226	器	tɕʰ	i	13									
227	姨	∅	i	21									
227	姨	∅	ʑ̩	21									
228	李	n	i	45									
228	你	n	i	45									
229	子	ts	ɿ	45									
230	字	ts	ɿ	13									
231	丝	s	ɿ	44-33									
232	祠	tsʰ	ɿ	21									
	寺	s	ɿ	13									
234	治	ts	ɿ	13									
235	柿	s	ɿ	13									
236	事	s	ɿ	13									
