字	片	区	小片	方言点	声母	韵母	调值	调类	备注
丘	閩南區	泉漳片		晉江(青陽鎮)	kʰ	iu	33	陰平	
丹	閩南區	泉漳片		晉江(青陽鎮)	t	an	33	陰平	
乖	閩南區	泉漳片		晉江(青陽鎮)	k	uai	33	陰平	
他	閩南區	泉漳片		晉江(青陽鎮)	tʰ	a	33	陰平	
付	閩南區	泉漳片		晉江(青陽鎮)	h	u	41	去聲	
仪	閩南區	泉漳片		晉江(青陽鎮)	g	i	24	陽平	
伊	閩南區	泉漳片		晉江(青陽鎮)	0	i	33	陰平	
余	閩南區	泉漳片		晉江(青陽鎮)	0	i	24	陽平	
倍	閩南區	泉漳片		晉江(青陽鎮)	p	e	33	陰平	
候	閩南區	泉漳片		晉江(青陽鎮)	h	io	41	去聲	
傅	閩南區	泉漳片		晉江(青陽鎮)	h	u	41	去聲	
傻	閩南區	泉漳片		晉江(青陽鎮)	s	a	24	陽平	新讀。
儒	閩南區	泉漳片		晉江(青陽鎮)	l	u	24	陽平	
兆	閩南區	泉漳片		晉江(青陽鎮)	t	iau	33	陰平	
冒	閩南區	泉漳片		晉江(青陽鎮)	m	ɔ̃	31	去聲	
利	閩南區	泉漳片		晉江(青陽鎮)	l	ai/i	31	去聲	文讀，白讀。
制	閩南區	泉漳片		晉江(青陽鎮)	ts	e	31	去聲	
刺	閩南區	泉漳片		晉江(青陽鎮)	tsʰ	ɪ̃/i	31	去聲	單字讀，刺目。
勘	閩南區	泉漳片		晉江(青陽鎮)	kʰ	am	31	去聲	
匣	閩南區	泉漳片		晉江(青陽鎮)	0	aʔ	34	陽入	
千	閩南區	泉漳片		晉江(青陽鎮)	tsʰ	uɪ̃/ian	33	陰平	文讀，白讀。
单	閩南區	泉漳片		晉江(青陽鎮)	t	uã/an	33	陰平	文讀，白讀。
叉	閩南區	泉漳片		晉江(青陽鎮)	tsʰ	e/a	33	陰平	文讀，白讀。
古	閩南區	泉漳片		晉江(青陽鎮)	k	ɔ	55	上聲	
召	閩南區	泉漳片		晉江(青陽鎮)	t	iau	31	去聲	
后	閩南區	泉漳片		晉江(青陽鎮)	h	au/io	33	陰平	文讀，白讀。
吳	閩南區	泉漳片		晉江(青陽鎮)	g/ŋ	ɔ/ɔ̃	24	陽平	
吼	閩南區	泉漳片		晉江(青陽鎮)	h	au/io	55	上聲	文讀，哭。
善	閩南區	泉漳片		晉江(青陽鎮)	s	ian	33	陰平	
喬	閩南區	泉漳片		晉江(青陽鎮)	k	iau	24	陽平	
嗟	閩南區	泉漳片		晉江(青陽鎮)	ts	ia	33	陰平	
围	閩南區	泉漳片		晉江(青陽鎮)	0	ui	24	陽平	
圓	閩南區	泉漳片		晉江(青陽鎮)	0	ɪ̃/uan	24	陽平	文讀，白讀。
地	閩南區	泉漳片		晉江(青陽鎮)	t	e/ue/i	31	去聲	旱地，文讀，白讀。
坠	閩南區	泉漳片		晉江(青陽鎮)	t	ui	41	去聲	
堵	閩南區	泉漳片		晉江(青陽鎮)	t	ɔ	55	上聲	
天	閩南區	泉漳片		晉江(青陽鎮)	tʰ	ɪ̃/ian	33	陰平	
夫	閩南區	泉漳片		晉江(青陽鎮)	h/p	u/ɔ	33	陰平	文讀，姐夫。
奈	閩南區	泉漳片		晉江(青陽鎮)	l/n	ai/aĩ	31	去聲	
妍	閩南區	泉漳片		晉江(青陽鎮)	g	ian	33	陰平	
姑	閩南區	泉漳片		晉江(青陽鎮)	k	ɔ	33	陰平	
姥	閩南區	泉漳片		晉江(青陽鎮)	0	m	55	上聲	伯母。原書作「姆」。
威	閩南區	泉漳片		晉江(青陽鎮)	0	ui	33	陰平	
婆	閩南區	泉漳片		晉江(青陽鎮)	p	o	24	陽平	
宜	閩南區	泉漳片		晉江(青陽鎮)	g	i	24	陽平	
寄	閩南區	泉漳片		晉江(青陽鎮)	k	ia/i	31	去聲	文讀，白讀。
