註：
1.“今音”一欄的音值來自《淮安市誌·方言編》。
2.調號：1=陰平42	2=陽平24
3=上聲212/11	4=去聲44
5=入聲4。	古今音差異總結：
1.*iʔ與*iɪʔ合流爲iɪʔ。
2.*uʔ>ɔʔ。
3.*ɑʔ>ʌʔ。
4.*ʊʔ>oʔ。
5.沒*məʔ>moʔ。
6.迫*ʊʔ>ɔʔ。
7.恩*ɻən>ən。
8.埋獃苔奶腮*iɛ>ɛ；皆*ʨiɛ>ʨiɛ／ʦɛ。
9.*iuʔ／*yʔ>iɔʔ
10.屈*yʔ>yɪʔ
11.衰*ɕyei>suɛ，摔上聲變去聲。
12.*ei>ɛi（存疑）。
今音	*擬音	調	字
i	i	1	衣依醫
i	i	2	宜姨胰移疑爺
i	i	3	以已惹椅倚野
i	i	4	義議蟻夜易（容易、交易）意瞖
iɪʔ	iʔ	5	一壹乙亦益逆疫揖
iɪ̃	iɪ̃	1	煙烟醃
iɪ̃	iɪ̃	2	言然沿鹽簷閻嚴
iɪ̃	iɪ̃	3	染掩演魘
iɪ̃	iɪ̃	4	硯咽燕驗厭宴堰
iɪʔ	iɪʔ	5	熱葉業頁
in	in	1	因姻音英陰鷹櫻纓蠅
in	in	2	銀迎寅螢塋營嬴贏
in	in	3	影引飮隱癮
in	in	4	印應映窨
u	u	1	烏污
u	u	2	吾梧吳無
u	u	3	五伍午武舞
u	u	4	務霧惡（不喜歡）誤悟
uŋ	uŋ	1	翁
uŋ	uŋ	4	甕
ɔʔ	uʔ	5	屋握
y	y	1	迂淤瘀
y	y	2	魚漁愚於于余餘楡盂
y	y	3	雨語予與
y	y	4	芋遇寓玉諭譽預豫
a	a	1	ㄚ（注音符號）啊
a	a	3	啞
ʊ	ʊ	1	窩窠萵
ʊ	ʊ	2	蛾鵝訛
ʊ	ʊ	3	我
ʊ	ʊ	4	臥餓
ɛ	ɛ	1	哀唉挨（靠）
ɛ	ɛ	2	捱挨（挨打）
ɛ	ɛ	3	矮也
ɛ	ɛ	4	愛艾礙碍
未錄	eɪ	1	ㄟ（注音符號）
ɔ	ɔ	1	鏖
ɔ	ɔ	2	鼇熬
ɔ	ɔ	3	襖懊咬
ɔ	ɔ	4	傲拗奧
ɤɯ	(ɻ)ɤɯ	1	歐嘔毆漚
ɤɯ	(ɻ)ɤɯ	3	偶藕耦
ɤɯ	(ɻ)ɤɯ	4	漚
æ̃	æ̃	1	安鞍庵
æ̃	æ̃	2	顏
æ̃	æ̃	3	眼
æ̃	æ̃	4	案岸暗雁
æʔ	æʔ	5	鴨壓押
ən	ən	1	ㄣ（注音符號）
əʔ	əʔ	5	呃（飯吃急了打～）額兀
ɑŋ	ɑŋ	1	骯
ɑŋ	ɑŋ	2	昂
ʌʔ	ɑʔ	5	惡
ʊ̃	ʊ̃	1	豌剜
ʊ̃	ʊ̃	2	丸完
ʊ̃	ʊ̃	3	碗
ʊ̃	ʊ̃	4	玩
未錄	ʊʔ	5	斡
ʦɿ	ʦɿ	1	知之芝支枝資滋脂吱
ʦɿ	ʦɿ	3	子仔（仔細）紙旨指止只紫
ʦɿ	ʦɿ	4	字自至治制志痣這（～個 ～裏）置痔智
ʦʰɿ	ʦʰɿ	1	雌癡痴眵
ʦʰɿ	ʦʰɿ	2	池慈瓷遲祠匙豉
ʦʰɿ	ʦʰɿ	3	此齒恥
ʦʰɿ	ʦʰɿ	4	次伺翅刺賜
sɿ	sɿ	1	司絲私詩思師獅施撕廝屍尸
sɿ	sɿ	2	時
sɿ	sɿ	3	始使屎死
sɿ	sɿ	4	四肆是市柿世士視試勢嗣誓祀
ʦu	ʦu	1	朱珠蛛硃諸猪租
ʦu	ʦu	3	主拄祖阻煑（煮）
ʦu	ʦu	4	柱住註蛀助箸苧
ʦuŋ	ʦuŋ	1	中忠宗終鐘鍾鬉（鬃）椶
ʦuŋ	ʦuŋ	3	種腫總
ʦuŋ	ʦuŋ	4	重種衆粽
ʦɔʔ	ʦuʔ	5	足竹妯軸逐祝燭粥劚
ʦa	ʦa	1	渣
ʦa	ʦa	4	乍昨詐炸榨
ʦʊ	ʦʊ	3	左
ʦʊ	ʦʊ	4	坐座做
ʦɛi	ʦei	3	嘴
ʦɛi	ʦei	4	醉最罪
ʦɔ	ʦɔ	1	招遭糟
ʦɔ	ʦɔ	3	早澡爪找棗
ʦɔ	ʦɔ	4	兆造趙照竈灶罩皂笊
ʦɤɯ	ʦɤɯ	1	周週州
ʦɤɯ	ʦɤɯ	3	走帚肘
ʦɤɯ	ʦɤɯ	4	奏晝咒驟縐皺
ʦæ̃	ʦæ̃	1	簪
ʦæ̃	ʦæ̃	2	咱
ʦæ̃	ʦæ̃	3	盞斬嶄
ʦæ̃	ʦæ̃	4	站暫贊棧綻蘸濺
ʦæʔ	ʦæʔ	5	雜炸鍘紮閘
ʦən	ʦən	1	眞爭睜尊遵蒸征徵斟針珍
ʦən	ʦən	3	枕整怎疹
ʦən	ʦən	4	正政症鄭陣賑鎭證掙
ʦəʔ	ʦəʔ	5	直値宅姪隻只（量詞）炙質責賊摘汁窄織仄擇澤執
ʦɑŋ	ʦɑŋ	1	張章贓髒
ʦɑŋ	ʦɑŋ	3	掌長
ʦɑŋ	ʦɑŋ	4	丈仗杖帳漲賬脹臟葬
ʦʌʔ	ʦɑʔ	5	作酌斫鑿
ʦʊ̃	ʦʊ̃	1	專磚鑽（鑽出）
ʦʊ̃	ʦʊ̃	3	轉
ʦʊ̃	ʦʊ̃	4	篆鑽（鑽頭）
ʦoʔ	ʦʊʔ	5	拙
ʦʰu	ʦʰu	1	粗
ʦʰu	ʦʰu	2	除廚鋤
ʦʰu	ʦʰu	3	鼠暑處
ʦʰu	ʦʰu	4	醋處
ʦʰuŋ	ʦʰuŋ	1	葱匆聰囪沖舂衝
ʦʰuŋ	ʦʰuŋ	2	蟲虫重從
ʦʰuŋ	ʦʰuŋ	3	寵
ʦʰuŋ	ʦʰuŋ	4	銃
ʦʰɔʔ	ʦʰuʔ	5	族（簇）促畜獨猝
ʦʰa	ʦʰa	1	叉差
ʦʰa	ʦʰa	2	茶査搽
ʦʰa	ʦʰa	4	岔汊差
ʦʰʊ	ʦʰʊ	1	初搓
ʦʰʊ	ʦʰʊ	4	銼剉錯
ʦʰɛi	ʦʰei	1	崔催車（又音期）
ʦʰɛi	ʦʰei	4	脆翠悴
ʦʰɔ	ʦʰɔ	1	抄操
ʦʰɔ	ʦʰɔ	2	曹漕槽嘲潮巢
ʦʰɔ	ʦʰɔ	3	草炒吵
ʦʰɔ	ʦʰɔ	4	鈔（錢票子）糙
ʦʰɤɯ	ʦʰɤɯ	1	抽
ʦʰɤɯ	ʦʰɤɯ	2	愁紬綢稠籌躊酬讎仇
ʦʰɤɯ	ʦʰɤɯ	3	醜丑
ʦʰɤɯ	ʦʰɤɯ	4	臭湊
ʦʰæ̃	ʦʰæ̃	1	參餐攙
ʦʰæ̃	ʦʰæ̃	2	蠶殘慚饞
ʦʰæ̃	ʦʰæ̃	3	產鏟剷慘糝（米裏～子）
ʦʰæ̃	ʦʰæ̃	4	懺
ʦʰæʔ	ʦʰæʔ	5	插察擦
ʦʰən	ʦʰən	1	村稱撐
ʦʰən	ʦʰən	2	成城誠陳層存呈程塵臣承沉盛辰晨橙
ʦʰən	ʦʰən	3	蜃（大蛤蜊 又念甚）
ʦʰən	ʦʰən	4	寸秤剩趁襯
ʦʰəʔ	ʦʰəʔ	5	尺拆赤測冊
ʦʰɑŋ	ʦʰɑŋ	1	昌娼菖倉艙
ʦʰɑŋ	ʦʰɑŋ	2	長常嘗藏腸場
ʦʰɑŋ	ʦʰɑŋ	3	廠敞
ʦʰɑŋ	ʦʰɑŋ	4	唱暢
ʦʰʌʔ	ʦʰɑʔ	5	綽扱（抬舉：八抬八～）
ʦʰʊ̃	ʦʰʊ̃	1	川穿
ʦʰʊ̃	ʦʰʊ̃	2	船傳
ʦʰʊ̃	ʦʰʊ̃	3	喘舛
ʦʰʊ̃	ʦʰʊ̃	4	串釧（鐲）
ʦʰoʔ	ʦʰʊʔ	5	掇（～撥、把散碎的東西～起來）撮
su	su	1	書蘇舒疏酥輸
su	su	3	數
su	su	4	樹素嗉數塑漱訴豎
suŋ	suŋ	1	松鬆
suŋ	suŋ	3	聳
suŋ	suŋ	4	送宋誦訟頌
sɔʔ	suʔ	5	速束叔宿縮熟俗贖
sa	sa	1	沙紗痧
sa	sa	3	灑
sʊ	sʊ	1	梳梭唆蓑
sʊ	sʊ	3	所鎖瑣
sɛi	sei	1	雖尿
sɛi	sei	2	隨
sɛi	sei	3	髓（俗名稱骨笋）
sɛi	sei	4	歲碎遂穗祟
sɔ	sɔ	1	燒稍梢臊
sɔ	sɔ	2	韶
sɔ	sɔ	3	掃嫂少
sɔ	sɔ	4	邵少燥（乾極了沒有潮氣 心裏又焦又急）
sɤɯ	sɤɯ	1	收餿
sɤɯ	sɤɯ	3	手首守
sɤɯ	sɤɯ	4	受授嗽壽獸
sæ̃	sæ̃	1	三叄山衫
sæ̃	sæ̃	3	傘散饊
sæ̃	sæ̃	4	散
sæʔ	sæʔ	5	殺薩撒
sən	sən	1	生笙牲深甥升昇申伸身聲孫參（人～）
sən	sən	2	神繩
sən	sən	3	筍笋省沈損審嬸榫
sən	sən	4	聖盛勝甚愼（小心謹～）
səʔ	səʔ	5	失石什拾十飾實溼濕塞室色食虱蝨式射（～箭 又音謝 意同）識
sɑŋ	sɑŋ	1	桑商裳傷喪
sɑŋ	sɑŋ	3	賞上（上聲）嗓
sɑŋ	sɑŋ	4	上尙
sʌʔ	sɑʔ	5	勺索芍
sʊ̃	sʊ̃	1	酸痠（身上～疼）
sʊ̃	sʊ̃	3	倏（很快的時候）
sʊ̃	sʊ̃	4	蒜算
soʔ	sʊʔ	5	說
pu	pu	3	譜（曲～ 家～）補捕
pu	pu	4	布步部簿
puŋ	puŋ	1	崩繃（硬～～的 ～子（紮小孩子的布））
puŋ	puŋ	4	迸蚌
未錄	puʔ	5	擘（把東西～開來）
pa	pa	1	巴笆芭疤
pa	pa	3	把靶
pa	pa	4	罷霸壩垻
pʊ	pʊ	1	波玻菠
pʊ	pʊ	3	播簸
pɛ	pɛ	3	擺
pɛ	pɛ	4	拜敗
pɛi	pei	1	杯碑卑悲
pɛi	pei	4	被背備貝倍焙輩
pɔ	pɔ	1	包
pɔ	pɔ	3	寶保飽
pɔ	pɔ	4	抱鉋（～子）鮑報暴曝
pæ̃	pæ̃	1	斑班瘢扳爿（一～店，又上声）
pæ̃	pæ̃	3	板版爿（一～店，又陰平）
pæ̃	pæ̃	4	扮瓣辦
pæʔ	pæʔ	5	八捌拔
pən	pən	1	奔
pən	pən	3	本
pən	pən	4	笨
pəʔ	pəʔ	5	不
pɑŋ	pɑŋ	1	幫梆
pɑŋ	pɑŋ	3	榜膀綁
pɑŋ	pɑŋ	4	棒
pʌʔ	pɑʔ	5	薄剝雹箔
pʊ̃	pʊ̃	1	搬
pʊ̃	pʊ̃	2	半伴拌
pɔʔ	pʊʔ	5	北卜百佰柏鉢撥
pʰu	pʰu	1	鋪
pʰu	pʰu	2	蒲葡菩
pʰu	pʰu	3	普浦
pʰu	pʰu	4	鋪埠
pʰuŋ	pʰuŋ	1	烹
pʰuŋ	pʰuŋ	2	朋棚蓬
pʰuŋ	pʰuŋ	3	捧
pʰuŋ	pʰuŋ	4	碰
pʰɔʔ	pʰuʔ	5	僕撲
pʰa	pʰa	1	跁（～下來）
pʰa	pʰa	2	爬耙扒
pʰa	pʰa	4	怕
pʰʊ	pʰʊ	1	坡
pʰʊ	pʰʊ	2	婆
pʰʊ	pʰʊ	3	頗
pʰʊ	pʰʊ	4	破
pʰɛ	pʰɛ	2	排牌
pʰɛ	pʰɛ	4	派
pʰɛi	pʰei	2	陪賠
pʰɛi	pʰei	4	配譬（比～）
pʰɔ	pʰɔ	1	泡（燈泡）
pʰɔ	pʰɔ	2	袍
pʰɔ	pʰɔ	3	跑
pʰɔ	pʰɔ	4	泡（泡水）砲
pʰæ̃	pʰæ̃	1	攀
pʰæ̃	pʰæ̃	4	絆（～住了 ～倒了）
pʰən	pʰən	1	噴
pʰən	pʰən	2	盆
未錄	pʰəʔ	5	ㄆ（注音符號）
pʰɑŋ	pʰɑŋ	2	旁螃
pʰɑŋ	pʰɑŋ	4	胖
pʰʌʔ	pʰɑʔ	5	帕珀朴
pʰʊ̃	pʰʊ̃	1	潘
pʰʊ̃	pʰʊ̃	2	盤
pʰʊ̃	pʰʊ̃	4	判叛
pʰɔʔ／pʰoʔ	pʰʊʔ	5	迫（逼～）潑
muŋ	muŋ	2	蒙濛
muŋ	muŋ	3	猛
muŋ	muŋ	4	夢孟
mɔʔ	muʔ	5	木麥睦
ma	ma	1	媽
ma	ma	2	麻
ma	ma	3	馬碼
ma	ma	4	罵
mʊ	mʊ	2	謀模摩磨麼（甚～）
mʊ	mʊ	3	母某畝
mʊ	mʊ	4	慕募茂磨
mɛi	mei	2	眉迷梅霉媒
mɛi	mei	3	每美
mɛi	mei	4	妹謎
mɔ	mɔ	2	毛貓錨
mɔ	mɔ	3	卯
mɔ	mɔ	4	帽
mæ̃	mæ̃	1	漫（～～（又長又遠））
mæ̃	mæ̃	2	蠻
mæ̃	mæ̃	4	慢
mæʔ	mæʔ	5	抹
mən	mən	1	燜
mən	mən	2	門
mən	mən	4	悶
moʔ	məʔ	5	沒
mɑŋ	mɑŋ	2	忙
mɑŋ	mɑŋ	3	莽蟒
