汉字	注释	大槐树	赵城	辛村	山头	堤村	淹底
多		tuo21	tuo21	tuo21	to21	to21	to21
拖		tʰuo21	tʰuo21	tʰuo21	tʰuo21	tʰo21	tʰo21
他		tʰa21	tʰa21	tʰa21	tʰa21	tʰa21	tʰa21
大	～小	tʰo53	tʰo53	tʰo53	tʰuo53	tʰo53	tʰuo53
哪		na24	na24	na24	na24	na24	na24
那		na53	na53	na53	na53	na53	na53
罗		luo24	luo24	luo24	luo24	lo24	lo24
锣		luo24	luo24	luo24	luo24	lo24	lo24
左		ʦuo24	ʦuo24	ʦuo42	ʦuo24	ʦuo24	ʦo44
歌		ko21	ko21	kuo21	ko21	ko21	ko21
哥		ko24	ko24	kɤ24	ko24	ko24	ko24
个	～人；一～	ko33	kɤ24	kɤ44	kɤ24	kɤ24	ko44
鹅		ŋo24	ŋo24	ŋuo24	ŋo24	ŋo24	ŋo24
我		ŋo33	ŋɤ24	ŋɤ44	ŋɤ24	ŋɤ24	ŋo44
饿		ŋo53	ŋo53	ŋuo53	ŋo53	ŋo53	ŋo53
河		xo24	xo24	xuo24	xo24	xo24	xo24
何		xo24	xɤ24	xuo24	xɤ24	xɤ24	xo24
茄	～子	ʨʰia24	ʨʰia24	ʨʰia24	ʨʰia24	ʨʰia24	ʨʰia24
波		po21	pʰo21	pʰo21	pʰo21	pʰo21	pʰo21
坡		pʰo21	pʰo21	pʰo21	pʰo21	pʰo21	pʰo21
破		pʰo33	pʰo24	pʰo44	pʰo24	pʰo24	pʰo44
婆		pʰo24	pʰo24	pʰo24	pʰo24	pʰo24	pʰo24
馍		mo24	mo24	mo24	mo24	mo24	mo24
躲		tuo42	tuo42	tuo42	tuo42	tuo42	to42
剁		tuo44	tuo24	tuo44	tuo24	tuo24	to44
妥		tʰuo42	tʰuo42	tʰuo42	tʰuo42	tʰuo42	tʰo24
惰		tuo53	tuo53	tuo44	tuo53	tuo53	to44
糯	～米	nuo33	nuo53	nuo44	nuo53	nuo53	no44
骡		luo24	luo24	luo24	luo24	lo24	lo24
坐		ʦʰuo53	ʦʰuo53	ʦʰuo53	ʦʰuo53	ʦʰuo53	ʦʰo53
座		ʦʰuo53	ʦʰuo53	ʦʰuo53	ʦʰuo53	ʦʰuo53	ʦʰo53
锁		suo42	suo42	suo24	suo42	suo42	suo24
过		kuo33	kuo24	kuo44	kuo24	kuo24	kuo44
锅		kuo21	kuo21	kuo21	kuo21	kuo21	kuo21
果		kuo42	kuo42	kuo21	kuo42	kuo24	kuo42
科		kʰo21	kʰɤ21	kʰuo21	kʰo21	kʰuo21	kʰuo21
棵		kʰuo21	kʰɤ21	kʰuo21	kʰuo24	kʰuo24	kʰuo44
颗	一～珠子	kʰuo42	kʰɤ42	kʰuo42	kʰuo42	kʰuo24	kʰuo42
课		kʰo33	kʰɤ24	kʰuo44	kʰuo24	kʰuo24	kʰuo44
火		xuo42	xuo42	xuo42	xuo42	xuo42	xuo42
货		xuo33	xuo24	xuo44	xuo24	xuo24	xuo44
和	～气	xo24	xɤ24	xuo24	xo24	xuo24	xo24
祸		xuo33	xuo53	xuo44	xuo53	xuo53	xuo44
窝		uo21	uo21	uo21	uo21	uo21	uo21
巴		pa21	pa21	pa21	pa21	pa21	pa21
疤		pa21	pa21	pa21	pa21	pa21	pa21
把	～握、～守；	pa42	pa42	pa42	pa42	pa42	pa42
霸		pa33	pa24	pa44	pa24	pa24	pa44
坝	平川	pa33	pa24	pa44	pa24	pa24	pa44
爸		pa21	pa21	pa21	pa21	pa21	pa21
怕		pʰa33	pʰa24	pʰa44	pʰa24	pʰa24	pʰa44
帕		pʰa53	pʰa53	pʰa53	pʰa53	pʰa53	pʰa53
爬		pʰa24	pʰa24	pʰa24	pʰa24	pʰa24	pʰa24
钯	～子	pʰa24	pʰa24	pʰa24	pʰa24	pʰa24	pʰa24
耙		pʰa24	pʰa24	pʰa24	pʰa24	pʰa24	pʰa24
麻		ma24	ma24	ma24	ma24	ma24	ma24
妈		ma24	me24	me24	me24	me24	me44
马		ma42	ma42	ma42	ma42	ma42	ma42
骂		ma33	ma53	ma44	ma53	ma53	ma44
拿		na24	na24	na24	na24	na24	na24
茶		ʦʰa24	ʦʰa24	ʦʰa24	ʦʰa24	ʦʰa24	ʦʰa24
渣		ʦa21	ʦa21	ʦa21	ʦa21	ʦa21	ʦa21
榨	～油	ʦa33	ʦa24	ʦa44	ʦa24	ʦa24	ʦa24
炸	～弹	ʦa24	ʦa24	ʦa24	ʦa24	ʦa24	ʦa44
杈	枝～	ʦʰa42	ʦʰa21	ʦʰa42	ʦʰa21	ʦʰa42	ʦʰa21
差	～别；～不多	ʦʰa21	ʦʰa21	ʦʰa21	ʦʰa21	ʦʰa21	ʦʰa21
岔	三～路	ʦʰa33	ʦʰa53	ʦʰa44	ʦʰa24	ʦʰa24	ʦʰa44
查	调～	ʦʰa21	ʦʰa24	ʦʰa21	ʦʰa24	ʦʰa24	ʦʰa24
沙		sa21	sa21	sa21	sa21	sa21	sa21
纱		sa21	sa21	sa21	sa21	sa21	sa21
洒		sa42	sa21	sa42	sa42	sa42	sa21
家		ʨia21	ʨia21	ʨia21	ʨia21	ʨia21	ʨia21
加		ʨia21	ʨia21	ʨia21	ʨia21	ʨia21	ʨia21
假	真～	ʨia42	ʨia42	ʨia42	ʨia42	ʨia42	ʨia42
贾	姓	tia42	tia42	tia42	tia42	tia42	tia42
架		tia33	ʨia24	tia44	tia24	ʨia24	ʨia44
驾		ʨia33	ʨia24	ʨia44	ʨia24	ʨia24	ʨia44
嫁		ʨia33	ʨia24	ʨia44	ʨia24	ʨia24	ʨia44
价		ʨia33	ʨia24	ʨia44	ʨia24	ʨia24	ʨia44
牙		ȵia24	ȵia24	ȵia24	ȵia24	ȵia24	ȵia24
芽		ȵia24	ȵia24	ȵia24	ȵia24	ȵia24	ia24
衙		ia24	ia24	ia24	ia24	ia24	ia24
虾	鱼～	ɕia21	ɕia21	ɕia21	ɕia21	ɕia21	ɕia21
