衢州大洲		
#汉字	解释	音标
#来源		宋六旬《吴语金衢片方言语音比较研究》
#声调		1阴平33 2阳平213 3阴上35 5阴去53 6阳去231 7阴入ʔ5 8阳入ʔ12
多		tu1
拖	拖车	tʰa1
拖	拖鞋	tʰu1
大	大小	du6
大	大家	dɑ6
锣		lu2
左	读字	tsu5
歌		ku1
个	一个	kəʔ7
个	个人	ku5
可		kʰu5
鹅		ŋu2
河		u2
茄		kɑ5
破	打	pʰɑ5
破	看破	pʰu5
婆		bu2
磨	磨豆腐	mu2
磨	麦磨	mu6
朵		tu3
螺		lu2
坐		zu2
锁		su3
果		kuɑ3
过		kuɑ5
课		kʰu5
火		huɑ3
货		huɑ5
祸		u6
靴		ɕie1
把		pɑ3
把		pu3
爬		bɑ2
马		mu2
骂		mu6
茶		dzɑ2
沙		sɑ2
假		kɑ3
嫁		kɑ5
牙		ŋɑ2
虾		hɑ1
下		u6
夏		ɑ6
哑		u3
借		tʃiɑ5
笡	斜	tɕʰiɑ5
写		ɕiɑ3
斜		ʑiɑ2
谢		ʑiɑ6
车	马车	tsʰɑ1
蛇		zɑ2
射		zɑ6
□	解大小便，排泄	dzɑ6
爷	老爷	iɑ2
爷	祖父	iɑ5
野		iɑ6
夜		iɑ6
瓜		kuɑ1
瓦		ŋɑ2
花		xuɑ1
化		xuɑ5
华	金华	uɑ2
谱	家谱	pʰu3
布		pu5
铺	动词	pʰu1
簿		bu2
步		bu6
赌		tu3
土		tʰu3
图		du2
杜		du2
奴		nu2
路		lu6
租		tsu1
做		tsu5
错		tsʰu5
箍		kʰu1
古		ku3
苦		kʰu3
裤		kʰu5
吴		ŋu2
五	数字	ŋu2
五	五更早	n2
虎		hu3
壶		u2
户		u2
乌		u1
女	男女	ŋ2
吕		li2
徐		ʑi2
猪		tɑ1
除		dzɿ2
初		tsʰu1
锄		zɑ2
所		su3
书		sɿ1
鼠		tsʰɿ3
如		ʑy2
□	居住	gei2
举		tɕy3
锯		kie5
去		kʰie5
渠	水渠	dzɿ2
鱼		ŋ2
许	读字	ɕy3
余		y2
府		fu3
付		fu5
父		vu2
武		vu2
雾		vu6
取	读字	tsʰɿ3
柱		dzɿ2
数	动词	su3
数	名词	su5
主		tsɿ3
输	输赢	sɿ1
竖		zɿ2
树		dʑy6
句		tɕy5
区		tɕʰy1
遇		y6
雨		y2
芋		y6
裕		y6
胎		tʰe1
台	戏台	de2
袋		de6
来		le2
菜		tsʰe5
财		dze2
该		ke1
改		ke3
开		kʰe1
海		xe3
爱		e5
贝		pe5
带		te5
带	带动	tɑ5
盖		ke5
害		e6
拜		pɑ5
排		bɑ2
埋		mɑ2
戒		kɑ5
摆		pɑ3
派		pʰɑ5
牌		bɑ2
买		mɑ2
卖		mɑ6
柴		zɑ2
晒		sɑ5
街		kɑ1
解		kɑ3
解	押解	kɑ5
鞋		ɑ2
蟹		hɑ3
矮		ɑ3
败		bɑ6
币		bi6
制		tsɿ5
世		sɿ5
艺		ȵi6
米	白米	mi2
低		ti1
梯		tʰe1
剃		tʰiɑ5
弟		diɑ6
递		di6
泥		ȵiɑ2
犁		li2
西		ɕi1
洗		ɕi3
鸡		i1
溪		tsʰɿ1
契		tɕʰiəʔ7
系		zɿ6
杯		pe1
配		pʰe5
赔		be2
背	背书	be6
煤		me2
妹		me6
对		te5
雷		le2
罪		ze2
碎		se3
灰		xue1
回		ue2
外		ŋɑ6
会	开会	ue6
怪		kuɑ5
块		kʰue5
怀		ue2
坏		ue6
拐		kue3
挂		kuɑ5
歪		uɑ1
画		uɑ6
快		kʰuɑ5
活		uɑ6
岁		ɕye5
卫		ue6
肺		fi5
桂		kue5
碑		pe1
皮		bi2
被		bi2
紫		tsɿ3
刺		tsʰɿ5
知		tsɿ1
池		dzɿ2
纸		tsɿ3
儿		ŋ2
寄		tʃi5
骑		dʒi2
蚁		i1
义		ȵi6
戏		ʃi5
移		i2
比		pi3
屁		pʰi5
鼻		bəʔ8
眉		mi2
地		di6
梨		li2
资		tsɿ1
死	读字	sɿ3
四		ʃi5
迟		dzɿ2
师		sɿ1
指		tsɿ3
二		ŋ6
饥		ke1
器		tʃʰi5
姨		i2
李		li5
子		tsɿ3
字		zɿ6
丝		sɿ1
祠		zɿ2
寺		zɿ6
治		dzɿ6
柿		zɿ2
事		zɿ6
使		sɿ3
试		sɿ5
时		zɿ2
市		zɿ6
耳		ŋ2
记		tʃi5
棋		dʒi2
喜		ʃi3
意		i5
几	几个	tʃi3
气		tʃʰi5
希		ʃi1
衣		i1
嘴		tse3
随		ze2
吹		tʃʰy1
垂		dze2
规		kue1
亏		kʰue1
跪		tsɿ3
危		ue2
类		le6
醉		tse5
追	读字	tse1
锤		dze2
水		sɿ3
龟		kue1
季		tsɿ5
柜		dzɿ6
位		ue6
飞		fi1
费		fi5
肥	肥料	vi2
肥	洋肥皂	bi2
尾	尾巴	mi5
尾	扫尾	ve6
味	味道	mi6
味	味精	vi6
鬼		kue3
贵		tʃy5
围	围裙	y2
围		ue2
胃		ue6
宝		pɔ3
袍		bɔ2
毛		mɔ2
帽		mɔ6
刀		tɔ1
讨		tʰu3
桃		dɔ2
道		dɔ2
脑		nɔ5
老		lɔ2
早		tsɔ3
灶		tsɔ5
草		tsʰu3
糙		tsʰɔ5
造		zɔ2
嫂		sɔ3
高		kɔ1
靠		kʰɔ5
熬		ŋɔ2
好	好坏	hɔ3
号		ɔ6
包		pɔ1
饱		pɔ3
炮		pʰɔ5
猫		mɔ3
闹		nɔ6
罩		tsɔ5
抓	抓牌	tsuɑ1
找	找钱	tsɔ3
抄		tsʰɔ1
交		kɔ1
敲		kʰɔ1
孝		ʃiɔ5
校		ʒiɔ6
表		piɔ3
票		pʰiɔ3
庙		miɔ6
焦		tʃiɔ1
小	小心	ʃiɔ3
笑		ʃiɔ5
朝	朝代	dzɔ2
照		tsɔ5
烧		sɔ1
绕		ɲiɔ6
桥		dʑiɔ2
轿		dʑiɔ6
腰		iɔ1
要	重要	iɔ5
摇		iɔ2
鸟		tiɔ3
钓		tiɔ5
条		diɔ2
料		liɔ6
箫		ɕiɔ1
叫	动物叫	iɔ5
母		m6
抖		tɯ3
偷		tʰɯ1
头		dɯ2
豆		dɯ6
楼		lɯ2
