o
t[1]多[2]夺[5]舵剁惰堕[3]朵躲
tʰ[1]拖[2]驼驮脱托拓铎[5]唾[3]妥椭
l[1]啰[2]罗锣箩萝骡螺脶骆乐络略[5]糯摞诺[3]裸虏
ts[2]佐酌作昨着桌啄[5]坐座[3]左
tsʰ[1]搓[2]矬撮绰[5]锉措错
s[1]蓑梭唆索[2]说蟀缩叔淑熟蜀[3]锁琐所
k[1]歌哥锅戈郭搁[2]合鸽割葛胳各阁骼[5]个过[3]果裹棵
kʰ[1]馃科窠[2]渴括阔廓壳[5]课磕[3]可颗
ŋ[2]蛾鹅俄讹恶鄂鳄腭愕恶[5]饿[3]我
x[1]喝豁[2]荷何河和禾合盒喝活霍藿鹤[5]贺货[3]火伙 
Ǿ[1]窝莴蜗[2]握[5]卧
p[1]波菠玻[2]薄簿钵拨钹脖博泊薄剥帛[5]播驳[3]簸跛 
pʰ[1]颇坡[2]婆泼勃[5]破剖
m[1]摩摸[2]魔蟆模摹末沫抹没莫膜寞陌[5]磨幕[3]抹
tʂʰ[2]戳
tʂ[2]拙浊捉镯卓琢
ʂ[2]勺芍硕属
ʐ[2]若弱箬
v[2]沃

ᴀ
t[2]搭答达[5]大[3]打
tʰ[1]他佢[2]踏搨沓塔榻遢溻塌
l[1]拉垃[2]挪拿纳腊蜡镴捺辣[3]哪那
ts[2]杂眨闸煠札扎轧铡
tsʰ[2]插擦
s[1]娑杉萨[3]洒厦洒撒
k[2]擖
x[5]吓
Ǿ[1]阿
p[1]巴芭疤吧笆琶杷[2]爸八拔[5]坝罢[3]把
pʰ[2]爬钯[5]怕帕
m[1]妈[2]麻[5]骂[3]马码
tʂʰ[1]叉杈岔差[2]茶搽茬查[5]栅
tʂ[1]渣[2]乍札[5]诈榨炸
ʂ[1]沙纱痧砂[2]杀[3]傻
f[2]法乏发伐筏罚

ie
t[1]爹[2]跌碟牒蝶谍迭
tʰ[2]帖贴铁迫
l[2]猎列烈裂劣
Ǿ[1]耶椰噎[2]爷靥叶页[5]夜液腋[3]也野
tɕʰ[2]茄妾劫怯切窃截[3]且
p[1]憋[2]别鳖别[3]秕瘪蹩
pʰ[2]撇魄[3]擘
m[2]灭
ɕ[1]靴些蝎[2]邪斜胁协歇楔血穴[5]卸谢泄[3]写泻
tɕ[2]接捷杰揭竭节疖结洁[5]借[3]姐
ȵ[2]聂镊业孽捏

ai
t[1]呆[5]戴贷待怠殆代袋带[3]逮
tʰ[1]胎[2]台苔抬[5]态太泰
l[2]来瘌{～瘌痢头}[5]耐奈赖[3]乃奶
ts[1]灾栽斋[5]载再在载债寨[3]宰
tsʰ[1]猜钗差[2]才材财裁豺柴[5]菜蔡[3]彩采踩睬
s[1]腮鳃筛[5]赛
k[1]该街阶[5]盖丐介[3]改
kʰ[1]开揩[5]概溉慨[3]凯楷
ŋ[1]哀唉挨[2]埃捱岩[5]碍爱艾蔼隘[3]矮
x[2]孩鞋还[5]亥害[3]海
p[5]拜稗败[3]摆
pʰ[1]徘[2]排牌[5]派
m[2]埋[5]卖迈[3]买
ʂ[5]晒

uan
t[1]端
tʰ[2]团
l[2]鸾[3]暖
ts[1]钻[5]撰
tsʰ[1]汆[5]篡纂蹿窜
s[1]酸拴[5]算蒜闩涮
k[1]官棺观冠鳏关[5]贯灌罐观冠惯[3]管馆
kʰ[1]宽[3]款
x[1]欢[2]还环[5]唤焕换幻患宦[3]缓
Ǿ[1]豌剜弯湾[2]玩完丸纨顽[5]万[3]涴娩皖碗腕晚挽宛 
tʂʰ[1]川穿[2]传椽船[5]串[3]喘
tʂ[1]专砖[5]赚篆传[3]转舂
ʂ[1]珊
ʐ[3]软阮

ye
l[2]虐掠
Ǿ[1]曰[2]悦阅月疟越粤
tɕʰ[2]瘸倔掘确缺
ɕ[1]屑[2]薛雪削
tɕ[2]鳜絶厥蕨掘橛决诀爵[5]憠

iᴀ
Ǿ[1]鸦丫桠[2]牙芽衙伢蚜砑涯崖鸭押[5]亚压[3]雅哑
tɕʰ[2]掐恰洽
m[2]麦
ɕ[1]虾𨉣[2]霞瑕遐暇狭峡匣侠瞎辖[5]下夏厦吓
tɕ[1]家加嘉家稼佳[2]痂夹甲胛挟荚[5]架驾嫁价[3]假贾假

e
t[2]得德
tʰ[2]特
l[2]勒肋
ts[2]褶哲蜇辙则贼仄择泽窄摘
tsʰ[2]厕撤澈恻测拆宅册策[3]笡
s[2]涩设塞色啬
k[2]格革隔嗝
kʰ[2]咳克刻客
ŋ[2]额厄扼轭
x[2]骇黑郝赫核
p[2]北百柏伯白
pʰ[2]拍
m[2]墨默脉麦
tʂʰ[1]车[2]彻[3]扯
tʂ[1]遮[2]责[3]者
ʂ[1]赊奢[2]蛇畲涉舌折[5]射麝赦社射[3]舍
ʐ[2]热[3]惹

i
t[1]低羁[2]的滴嫡狄笛敌涤[5]帝蒂弟第递隶地[3]底抵 
tʰ[1]梯[2]堤涕屉题提蹄啼踢[5]替剃剔[3]体
l[2]犂黎离篱璃荔梨厘狸立笠粒匿力栗溺历[5]例厉励丽莉腻利痢吏[3]礼李里理鲤拟
Ǿ[1]缢瞖徛倚伊医衣依揖邑[2]诣谊移姨夷饴怡贻遗抑乙一壹逸役疫益亦译[5]艺刈宜仪蚁义议易肄意异毅忆亿翼易[3]椅矣以已
tɕʰ[1]妻凄栖奇欺期[2]齐荠奇骑岐祁棋旗其祈七漆膝乞戚[5]砌契企器弃气汽泣讫[3]启起岂
p[1]蓖屄琵[2]鼻逼笔滗毕必碧壁[5]蔽敝弊币毙闭陛被婢被避备篦[3]彼譬比
pʰ[1]批[2]皮疲脾痹枇匹弼僻辟劈霹[5]屁[3]鄙庇痞
m[2]迷谜糜弥靡秘泌眉篾蔑密蜜觅[3]米
ɕ[1]西犀溪奚兮携畦牺熙希稀[2]褯婿玺徙习袭吸息熄媳悉蟋隙昔惜夕席析锡[5]细系系系戏[3]洗嬉嘻禧喜蟢
tɕ[1]鸡稽饥肌基箕姬机讥饥[2]藉髻缉集辑急级及即鲫棘极疾吉戟脊迹积籍绩寂激击[5]祭际穄济脐剂计继系寄技妓冀记忌既季给[3]挤几己纪杞几几虮
ȵ[2]泥倪尼呢疑蹑[3]你

ei
l[5]类[3]馁累
ts[2]折折侧
s[2]瑟
p[1]杯碑卑俾悲[5]贝狈辈背倍佩背臂
pʰ[1]披[2]培陪赔裴焙[5]沛配[3]胚坯丕
m[2]梅枚媒煤玫莓楣霉媚[5]妹昧寐[3]每美
tʂ[2]浙
ʂ[2]畲摄
f[1]飞非妃[2]肥[5]废肺疿费[3]吠水匪菲翡

uᴀ
k[1]瓜[2]聒刮[5]挂卦[3]寡剐
kʰ[1]夸[5]跨褂[3]垮
x[1]花[2]华铧划华桦滑猾[5]化画话划
Ǿ[1]蛙洼挖[2]娃袜[3]瓦
tʂ[1]抓笊[3]爪
ʂ[2]刷[3]耍

u
t[1]都[2]独读牍犊督毒[5]肚妒杜度渡镀踱笃[3]堵赌
tʰ[2]途屠徒涂图突凸秃[5]兔[3]土吐
l[2]奴卢炉芦鸬庐鹿禄六陆禄绿[5]怒路露鹭[3]努鲁橹卤
ts[1]租猪褚诸诛蛛株朱[2]卒竹筑逐足[5]做着箸助住[3]祖组阻煮
tsʰ[1]粗初[2]锄雏猝族畜促[5]醋[3]楚础处杵处拄
s[1]苏酥梳蔬疏书舒枢输[2]黍速宿肃束[5]素诉塑嗉庶恕漱述术朔[3]鼠暑墅署薯
k[1]姑孤辜跔[2]骨谷[5]故固雇顾[3]古估牯股鼓贾
kʰ[1]箍枯[2]窟哭酷[5]库裤[3]苦
x[1]呼乎忽[2]胡湖糊狐壶葫蝴瓠[5]戽户沪互护斛[3]虎浒
p[1]讣[2]不不[5]布布怖脯部步卜[3]补
pʰ[1]铺[2]蒲菩葡赴朴扑醭瀑仆[5]铺捕[3]谱普浦甫脯
m[2]木沐[5]暮慕墓募[3]牡母拇
tʂʰ[2]除储厨橱出
tʂ[1]朱珠[2]轴祝烛嘱触[5]苎驻柱注蛀铸
ʂ[1]输殊[2]赎[5]竖树
ʐ[2]如儒入[3]汝乳擩辱褥
v[1]乌污坞巫诬[2]吴蜈吾梧无物屋[5]误悟务雾戊勿[3]五伍午武舞侮鹉
f[1]夫肤敷扶[2]俘孵符芙沸浮弗佛佛缚幅福腹复辐覆伏服袱[5]跗付赋傅咐父附富副负妇[3]府腑俯斧抚殕釜腐辅蝠

əu
t[1]都兜[5]斗{～斗争}豆痘逗[3]斗{～十升为一斗}陡
tʰ[1]偷[2]头投[5]透[3]抖㪗
l[1]搂篓[2]楼[5]漏陋
ts[1]邹舟州洲周帚[5]奏昼纣宙掫皱绉咒[3]走肘
tsʰ[2]绸筹愁仇[5]凑[3]偢
s[1]叟搜馊搜[5]嗽瘦[3]手首
k[1]勾钩沟[5]垢够彀构购[3]狗苟
kʰ[1]抠眍[5]叩扣寇[3]口
ŋ[1]欧[5]沤怄[3]偶呕殴
x[2]侯喉猴[5]后厚候[3]吼
tʂʰ[1]抽[2]稠酬[5]臭[3]丑
tʂ[1]粥
ʂ[1]收[5]兽受寿授售[3]守
ʐ[2]柔揉[5]肉

y
l[2]驴律率[5]虑滤[3]吕旅缕履捋
s[2]粟俗
Ǿ[1]淤迂[2]鱼渔于余愚虞娱于盂榆裕域育浴欲[5]御予誉预豫遇寓芋逾愉愈喻郁玉[3]屿语与雨宇禹羽
tɕʰ[1]蛆趋区驱躯[2]渠瞿衢屈掬曲[5]去趣[3]取娶
ɕ[1]墟虚嘘须需吁[2]徐戍宿戌恤蓄畜[5]絮序叙绪续[3]胥许
tɕ[1]居车拘驹[2]橘菊鞠局[5]据锯拒距苣聚俱句具惧剧[3]举矩
ȵ[3]女

uei
t[1]堆[5]对碓队兑
tʰ[1]推[2]颓[5]退蜕褪[3]腿
l[2]雷擂[5]内泪[3]屡儡垒
ts[1]追锥[5]罪最缀赘醉坠[3]嘴
tsʰ[1]催崔[2]锤槌[5]脆翠悴粹
s[1]虽[2]随绥谁[5]碎岁税秽睡遂隧穗[3]髓
k[1]圭闺规龟归[5]瑰桂跪癸柜贵[3]诡轨鬼
kʰ[1]盔亏窥[2]魁奎逵葵[5]溃会愧[3]傀
x[1]恢诙灰辉徽麾挥[2]回[5]贿晦汇桧会绘惠慧讳卉汇[3]悔毁
Ǿ[1]煨威萎巍[2]桅围违苇危为帷维惟唯微薇[5]卫畏慰胃谓猬伪喂为位未味魏[3]伟纬委尾
tʂʰ[1]吹炊[2]垂
ʂ[3]水
ʐ[5]芮鋭瑞蕊

iɛn
t[1]掂踮颠癫[2]臀[5]店簟电殿奠佃垫淀[3]点典腆
tʰ[1]添天[2]甜田填[3]舔
l[2]廉镰帘连联怜莲[5]敛殓练炼链楝炼恋链[3]脸
ts[1]尖
tsʰ[1]谦
Ǿ[1]淹炎腌腌蔫研烟胭咽[2]盐檐盐严俨颜谚筵蜒言[5]验厌艳焰雁堰砚燕宴燕[3]掩魇眼演衍
tɕʰ[1]嵌歼签扦纤迁笺千牵[2]潜钳钱干虔前[5]欠歉[3]浅遣
p[1]鞭编边[5]变辩辨便辫[3]贬蝙扁匾
pʰ[1]篇偏[2]便[5]骗遍片
m[2]绵棉眠[5]面[3]免勉缅
ɕ[1]仙鲜掀先筅[2]咸衔嫌闲涎贤[5]陷馅限线羡宪献现县[3]险显
tɕ[1]监兼艰间奸涧锏煎掮肩坚铅[2]搛践[5]鉴渐剑间箭贱犍件建毽键健腱荐笕见[3]减碱舰检俭襉简柬拣谏剪茧趼
ȵ[1]拈[2]阎鲇苋年[5]黏酽念廿苋[3]碾捻

iai
ɕ[2]偕懈蟹 [3]谐
tɕ[1]皆阶[5]界芥疥届戒械 [3]解

ɿ
ts[1]知蜘支枝肢栀资姿咨兹滋置淄滓之芝蛰[2]滞执汁直值质掷[5]制刺智翅自致雉致稚至字牸痔治痣志[3]紫纸只姊脂指旨子梓止址趾
