	單字	合水(調類)	合水(調值)	注释
1	圍	wɐi4	wɐi³¹	
2	違	wɐi4	wɐi³¹	
3	韋	wɐi5	wɐi³¹²	
4	偉	wɐi5	wɐi³¹²	
5	瑋	wɐi5	wɐi³¹²	
6	葦	wɐi5	wɐi³¹²	
7	煒	wɐi5	wɐi³¹²	
8	胃	wɐi6	wɐi⁵²	
9	渭	wɐi6	wɐi⁵²	
10	謂	wɐi6	wɐi⁵²	
11	彙	wui6	wui⁵²	
12	蝟	wɐi6	wɐi⁵²	
13	緯	wɐi5	wɐi³¹²	
14	依	ji1	ji⁴⁵	
15	衣	ji1	ji⁴⁵	衣服
16	威	wɐi1	wɐi⁴⁵	
17	蔚	wɐi3	wɐi³³	
18	慰	wɐi3	wɐi³³	
19	熨	tʰuɔŋ3	tʰuɔŋ³³	熨斗。訓讀「燙」
20	尉	wɐi3	wɐi³³	太尉
21	畏	wɐi3	wɐi³³	
22	衣			衣錦還鄉
23	巍	ŋɐi4	ŋɐi³¹	
24	魏	ŋɐi6	ŋɐi⁵²	
25	毅	ŋɐi6	ŋɐi⁵²	
26	沂			
27	揮	fɐi1	fɐi⁴⁵	
28	輝	fɐi1	fɐi⁴⁵	
29	希	hei1	hei⁴⁵	
30	徽	fɐi1	fɐi⁴⁵	
31	暉	fɐi1	fɐi⁴⁵	
32	稀	hei1	hei⁴⁵	
33	卉	wɐi3	wɐi³³	
34	諱	wɐi5	wɐi³¹²	
35	愾			
36	豈	hei2	hei³²³	
37	氣	hei3	hei³³	
38	崎	kʰei4	kʰei³¹	長崎
39	祈	kʰei4	kʰei³¹	
40	幾	kei2	kei³²³	幾個
41	妃	fei1	fei⁴⁵	
42	菲	fei1	fei⁴⁵	芳菲
43	菲	fei2	fei³²³	菲薄
44	悱	fei2	fei³²³	
45	斐	fei2	fei³²³	
46	霏	fei1	fei⁴⁵	
47	微	mei4	mei³¹	
48	尾	mei5	mei³¹²	
49	娓	mei5	mei³¹²	
50	未	mei6	mei⁵²	
51	味	mei6	mei⁵²	
52	歸	kɐi1	kɐi⁴⁵	
53	嘰	kei1	kei⁴⁵	
54	饑	kei1	kei⁴⁵	
55	譏	kei1	kei⁴⁵	
56	機	kei1	kei⁴⁵	
57	磯	kei1	kei⁴⁵	
58	幾	kei1	kei⁴⁵	幾乎
59	鬼	kɐi2	kɐi³²³	又读kvɐi³²³
60	溉	kʰuɔi3	kʰuɔi³³	
61	既	kei3	kei³³	
62	貴	kɐi3	kɐi³³	
63	皈			
64	肥	fei4	fei³¹	
65	翡	fei2	fei³²³	
66	狒	fɐi3	fɐi³³	又读fɐt⁵²
67	飛	fei1	fei⁴⁵	
68	非	fei1	fei⁴⁵	
69	扉	fei1	fei⁴⁵	
70	匪	fei2	fei³²³	
71	芾			蔽芾
72	沸	fɐi3	fɐi³³	俗读fɐt⁵²
73	榧			
74	痱	pui6	pui⁵²	
75	緋	fei2	fei³²³	
76	誹	fei2	fei³²³	
77	輜	ʦei1	ʦei⁴⁵	
78	甾			
79	事	si6	si⁵²	
80	置	ʦi3	ʦi³³	
81	徵			古代五音之一
82	芝	ʦi1	ʦi⁴⁵	
83	之	ʦi1	ʦi⁴⁵	
84	止	ʦi2	ʦi³²³	
85	趾	ʦi2	ʦi³²³	
86	址	ʦi2	ʦi³²³	
87	織	ʦɪk7	ʦɪk⁴⁵	
88	誌	ʦi3	ʦi³³	
89	識			默而識之
90	志	ʦi3	ʦi³³	
91	痣	ʦi3	ʦi³³	
92	芷	ʦi2	ʦi³²³	
93	矣	ji5	ji³¹²	
94	醫	ji1	ji⁴⁵	
95	意	ji3	ji³³	
96	怡	ji4	ji³¹	
97	台			古代第一人稱
98	貽	ji4	ji³¹	
99	飴	ji4	ji³¹	
100	頤	ji4	ji³¹	
101	已	ji5	ji³¹²	
102	以	ji5	ji³¹²	
103	異	ji6	ji⁵²	
104	姬	kei1	kei⁴⁵	又读kʰei⁴⁵
105	食	sɪk9	sɪk⁵²	
106	疑	ji4	ji³¹	又读ȵi³¹
107	擬	ji5	ji³¹²	
108	伺			窺伺
109	思	ɬei1	ɬei⁴⁵	思想
110	思	ɬei1	ɬei⁴⁵	意思
111	絲	ɬei1	ɬei⁴⁵	
112	伺	ʦei6	ʦei⁵²	伺候
113	司	ɬei1	ɬei⁴⁵	
114	詞	ʦʰei4	ʦʰei³¹	
115	辭	ʦʰei4	ʦʰei³¹	
116	祠	ʦʰei4	ʦʰei³¹	
117	巳	ʦei6	ʦei⁵²	
118	似	ʦʰei5	ʦʰei³¹²	又读ʦʰei³³
119	祀	ʦei6	ʦei⁵²	
120	耜			
121	姒	ʦʰei5	ʦʰei³¹²	
122	嗣	ʦei6	ʦei⁵²	
123	寺	ʦei6	ʦei⁵²	
124	飼	ʦei6	ʦei⁵²	
125	熙	hei1	hei⁴⁵	
126	熹	hei1	hei⁴⁵	
127	嘻	hei1	hei⁴⁵	
128	嬉	hei1	hei⁴⁵	
129	禧	hei1	hei⁴⁵	
130	喜	hei2	hei³²³	
131	欺	hei1	hei⁴⁵	
132	杞	kei2	kei³²³	
133	起	hei2	hei³²³	
134	亟	kɪk7	kɪk⁴⁵	亟請
135	詩	si1	si⁴⁵	
136	試	si3	si³³	
137	始	ʦʰi2	ʦʰi³²³	
138	幟	ʦɪk7	ʦɪk⁴⁵	又读ʦʰi³³
139	弒			
140	史	si2	si³²³	
141	使	si2	si³²³	使用
142	使	si3	si³³	使者
143	駛	sɐi2	sɐi³²³	
144	而	ȵi4	ȵi³¹	
145	耳	ȵi5	ȵi³¹²	
146	餌	ȵi5	ȵi³¹²	又读nei³¹²
147	期	kʰei4	kʰei³¹	日期
148	期			期年
149	淇	kʰei4	kʰei³¹	
150	琪	kʰei4	kʰei³¹	
151	其	kʰei4	kʰei³¹	
152	旗	kʰei4	kʰei³¹	
153	忌	kei6	kei⁵²	
154	麒	kʰei4	kʰei³¹	
155	釐	lei4	lei³¹	釐定
156	狸	lei4	lei³¹	
157	里	lei5	lei³¹²	
158	李	lei5	lei³¹²	
159	理	lei5	lei³¹²	
160	鯉	lei5	lei³¹²	
161	吏	lei6	lei⁵²	
162	裏	lei5	lei³¹²	
163	仔	ʦɐi2	ʦɐi³²³	仔細
164	滋	ʦei1	ʦei⁴⁵	
165	孜	ʦei1	ʦei⁴⁵	
166	子	ʦei2	ʦei³²³	
167	梓	ʦei2	ʦei³²³	
168	居	kei1	kei⁴⁵	
