字	片	区	小片	方言点	声母	韵母	调值	调类	备注
一	闽南区	泉漳片		漳浦	0	it	32	阴入	
丁	闽南区	泉漳片		漳浦	t	ɛŋ	55	阴平	
七	闽南区	泉漳片		漳浦	s/tsʰ	it	32	阴入	
丈	閩南區	泉漳片		漳浦	t	iũ/ŋ/iaŋ	33	陽去	文讀，丈人，白讀。
三	闽南区	泉漳片		漳浦	s	ã/am	55	阴平	
上	闽南区	泉漳片		漳浦	s/tsʰ	iaŋ/iũ	33	阳去	文读，上头。
下	闽南区	泉漳片		漳浦	0/h/k	ɛ	33	阳去	文读，下层，低。
丐	闽南区	泉漳片		漳浦	k	ai	11	阴去	
丑	闽南区	泉漳片		漳浦	s/tʰ	iu/iũ	53	上声	
专	闽南区	泉漳片		漳浦	ts	uan	55	阴平	
且	闽南区	泉漳片		漳浦	tsʰ	iã	53	上声	
丕	闽南区	泉漳片		漳浦	pʰ	i	55	阴平	
世	闽南区	泉漳片		漳浦	s	i	11	阴去	
丗	闽南区	泉漳片		漳浦	s	i	11	阴去	
丘	閩南區	泉漳片		漳浦	kʰ	u/iu	55	陰平	
丙	闽南区	泉漳片		漳浦	p	iã/ɛŋ	53	上声	
业	闽南区	泉漳片		漳浦	g	iap	14	阳入	
丛	闽南区	泉漳片		漳浦	ts	aŋ/ɔŋ	213	阳平	
东	闽南区	泉漳片		漳浦	t	aŋ/ɔŋ	213	阳平	
丝	闽南区	泉漳片		漳浦	s	i	55	阴平	
丞	闽南区	泉漳片		漳浦	s	in	213	阳平	
两	闽南区	泉漳片		漳浦	l	iũ/iaŋ	53	上声	
严	闽南区	泉漳片		漳浦	g	iam	213	阳平	
丧	闽南区	泉漳片		漳浦	s	ɔŋ	11	阴去	
中	闽南区	泉漳片		漳浦	t	aŋ/iɔŋ	55	阴平	文读，中间。
丰	闽南区	泉漳片		漳浦	h	ɔŋ	55	阴平	
临	闽南区	泉漳片		漳浦	l	im	213	阳平	
丸	闽南区	泉漳片		漳浦	0	uan	213	阳平	
丹	閩南區	泉漳片		漳浦	t	an	55	陰平	
主	闽南区	泉漳片		漳浦	ts	u	53	上声	
丼	闽南区	泉漳片		漳浦	ts	ɛ̃/ɛŋ	53	上声	
丽	闽南区	泉漳片		漳浦	l	iei	33	阳去	
举	闽南区	泉漳片		漳浦	k	i	53	上声	
乃	闽南区	泉漳片		漳浦	l	aĩ	53	上声	
久	闽南区	泉漳片		漳浦	k	u/iu	53	上声	
义	闽南区	泉漳片		漳浦	g	i	33	阳去	
之	闽南区	泉漳片		漳浦	ts	i	55	阴平	
乌	闽南区	泉漳片		漳浦	0	ɔu	55	阴平	
乎	闽南区	泉漳片		漳浦	h	ɔu	33	阳去	
乏	闽南区	泉漳片		漳浦	h	uat	14	阳入	
乐	闽南区	泉漳片		漳浦	g	ak	14	阳入	
乔	闽南区	泉漳片		漳浦	k	iau	213	阳平	
乖	閩南區	泉漳片		漳浦	k	uai	55	陰平	
乙	闽南区	泉漳片		漳浦	0	it	32	阴入	
九	闽南区	泉漳片		漳浦	k	au/iu	53	上声	
乞	闽南区	泉漳片		漳浦	kʰ	it	32	阴入	
也	闽南区	泉漳片		漳浦	0	ia	33	阳去	
习	闽南区	泉漳片		漳浦	s	ip	14	阳入	
乡	闽南区	泉漳片		漳浦	h	iũ/iaŋ	55	阴平	文读，乡里。
书	闽南区	泉漳片		漳浦	s	i	55	阴平	
买	闽南区	泉漳片		漳浦	b	iei/aĩ	53	上声	买办，白读。
乱	闽南区	泉漳片		漳浦	l	uan	33	阳去	
乳	闽南区	泉漳片		漳浦	dz	i	53	上声	
乾	闽南区	泉漳片		漳浦	kʰ	ian	213	阳平	
亂	闽南区	泉漳片		漳浦	l	uan	33	阳去	
了	闽南区	泉漳片		漳浦	l	iau	53	上声	
事	闽南区	泉漳片		漳浦	s	u	33	阳去	
二	闽南区	泉漳片		漳浦	dz	i	33	阳去	
于	闽南区	泉漳片		漳浦	0	i	55	阴平	
亏	闽南区	泉漳片		漳浦	kʰ	ui	55	阴平	
云	闽南区	泉漳片		漳浦	0	in	213	阳平	
互	闽南区	泉漳片		漳浦	h	ɔu	33	阳去	
五	闽南区	泉漳片		漳浦	g	ɔu/ɔũ	33/53	阳去/上声	
井	闽南区	泉漳片		漳浦	ts	ɛ̃/ɛŋ	53	上声	
亚	闽南区	泉漳片		漳浦	0	a	55/11	阴平/阴去	单字读，亚军。
亞	闽南区	泉漳片		漳浦	0	a	55/11	阴平/阴去	单字读，亚军。
亡	闽南区	泉漳片		漳浦	b	ɔŋ	213	阳平	
交	闽南区	泉漳片		漳浦	k	au	55	阴平	
亥	闽南区	泉漳片		漳浦	h	ai	33	阳去	
亦	閩南區	泉漳片		漳浦	0	iaʔ/ɛk	14	陽入	
产	闽南区	泉漳片		漳浦	s	an	53	上声	
亨	闽南区	泉漳片		漳浦	pʰ	ɛŋ	55	阴平	文读，撑船，撑上去，支撑。
享	闽南区	泉漳片		漳浦	h	iaŋ	53	上声	
京	闽南区	泉漳片		漳浦	k	iã/ɛŋ	55	阴平	
亭	闽南区	泉漳片		漳浦	t	ɛŋ	213	阳平	
亮	闽南区	泉漳片		漳浦	l	iaŋ	33	阳去	
亲	閩南區	泉漳片		漳浦	s/tsʰ	in	55	陰平	
亵	闽南区	泉漳片		漳浦	s	iat	32	阴入	
人	閩南區	泉漳片		漳浦	dz	in	213	陽平	
亿	闽南区	泉漳片		漳浦	0	ɛk	32	阴入	
什	闽南区	泉漳片		漳浦	s/ts	ip/ap	14	阳入	
仁	闽南区	泉漳片		漳浦	dz	in	213	阳平	
仃	闽南区	泉漳片		漳浦	t	ɛŋ	55	阴平	
今	闽南区	泉漳片		漳浦	k	im	55	阴平	
介	闽南区	泉漳片		漳浦	k	ai	11	阴去	
仑	闽南区	泉漳片		漳浦	l	un	213	阳平	
仓	闽南区	泉漳片		漳浦	tsʰ	ŋ	55	阴平	
仕	闽南区	泉漳片		漳浦	s	u	33	阳平	
他	閩南區	泉漳片		漳浦	tʰ	ã	55	陰平	
仗	闽南区	泉漳片		漳浦	t	iaŋ	33	阳去	
付	閩南區	泉漳片		漳浦	h	u	33/11	陰去	
仙	闽南区	泉漳片		漳浦	s	ian	55	阴平	
仞	闽南区	泉漳片		漳浦	dz	im	33	阳去	
代	闽南区	泉漳片		漳浦	t	ɛ/ai	33	阳去	
令	闽南区	泉漳片		漳浦	l	ɛŋ	33	阳去	
以	闽南区	泉漳片		漳浦	0	i	53	上声	
仪	閩南區	泉漳片		漳浦	g	i	213	陽平	
仰	闽南区	泉漳片		漳浦	g	iaŋ	53	上声	
仲	闽南区	泉漳片		漳浦	t	iɔŋ	33	阳去	
件	闽南区	泉漳片		漳浦	k	iã	33	阳去	
任	闽南区	泉漳片		漳浦	dz	im	33	阳去	
仿	闽南区	泉漳片		漳浦	h	ɔŋ	53	上声	
伊	閩南區	泉漳片		漳浦	0	i	55	陰平	
伍	闽南区	泉漳片		漳浦	g	ɔu/ɔũ	33/53	阳去/上声	
伏	闽南区	泉漳片		漳浦	h	ɔk	14	阳入	
伐	闽南区	泉漳片		漳浦	h	uaʔ/uat	14	阳入	文读，跨越。
休	闽南区	泉漳片		漳浦	h	iu	55	阴平	
会	闽南区	泉漳片		漳浦	h	uɛ	33	阳去	
伞	闽南区	泉漳片		漳浦	s	uã/an	11	阴去	
伟	闽南区	泉漳片		漳浦	0	ui	53	上声	
传	闽南区	泉漳片		漳浦	t	uan	33	阳去	传记。
伤	闽南区	泉漳片		漳浦	s	iaŋ	55	阴平	
伦	闽南区	泉漳片		漳浦	l	un	213	阳平	
伪	闽南区	泉漳片		漳浦	g	ui	33	阳去	
伯	闽南区	泉漳片		漳浦	p	ɛʔ/ɛk	32	阴入	
估	闽南区	泉漳片		漳浦	k	ɔu	53	上声	
伱	闽南区	泉漳片		漳浦	l	i/ĩ	53	上声	文读，白读。
伴	闽南区	泉漳片		漳浦	pʰ	uã/uan	33	阳去	
伶	闽南区	泉漳片		漳浦	l	ɛŋ	213	阳平	
伸	闽南区	泉漳片		漳浦	s/tsʰ	in/un	55	阴平	文读，剩，剩。
似	闽南区	泉漳片		漳浦	s	ai/i/u	33	阳去	文读，白读，熟似。
佇	闽南区	泉漳片		漳浦	t/tʰ	u/i	53	上声	
位	闽南区	泉漳片		漳浦	0	ui	33	阳去	
低	闽南区	泉漳片		漳浦	t	i	55	阴平	
住	闽南区	泉漳片		漳浦	ts	u	33	阳去	
佐	闽南区	泉漳片		漳浦	ts	o	11	阴去	
佑	闽南区	泉漳片		漳浦	0	iu	33	阳去	
余	閩南區	泉漳片		漳浦	0	i	213	陽平	
佚	闽南区	泉漳片		漳浦	0	it	14	阳入	
佛	闽南区	泉漳片		漳浦	h	ut	14	阳入	
你	闽南区	泉漳片		漳浦	l	i/ĩ	53	上声	文读，白读。
佩	闽南区	泉漳片		漳浦	p	uɛ	33	阳去	
使	闽南区	泉漳片		漳浦	s	ai/u	53	上声	
侃	闽南区	泉漳片		漳浦	kʰ	an	53	上声	
來	闽南区	泉漳片		漳浦	l	ai	213	阳平	
侈	闽南区	泉漳片		漳浦	s/tsʰ	i	53	上声	
例	闽南区	泉漳片		漳浦	l	i	33	阳去	
侍	闽南区	泉漳片		漳浦	s	ai/i	33	阳去	单字读，服侍。
侏	闽南区	泉漳片		漳浦	ts	u	55	阴平	
侖	闽南区	泉漳片		漳浦	l	un	213	阳平	
供	闽南区	泉漳片		漳浦	k	ɛŋ/iɔŋ	11	阴去	文读，供神明。
依	闽南区	泉漳片		漳浦	0	i	55	阴平	
侠	闽南区	泉漳片		漳浦	h	iap	14	阳入	
侥	闽南区	泉漳片		漳浦	h	iau	55	阴平	
侦	闽南区	泉漳片		漳浦	ts	ɛŋ	55	阴平	
侧	闽南区	泉漳片		漳浦	s/tsʰ	ɛk	32	阴入	
侨	闽南区	泉漳片		漳浦	k	iau	213	阳平	
侬	闽南区	泉漳片		漳浦	l	aŋ	213	阳平	人。
侮	闽南区	泉漳片		漳浦	b	u	53	上声	
侯	闽南区	泉漳片		漳浦	h/k	ɔu/au	213	阳平	文读，姓。
侵	闽南区	泉漳片		漳浦	s/tsʰ	im	55	阴平	
便	闽南区	泉漳片		漳浦	p	an	55	阴平	便宜。
促	闽南区	泉漳片		漳浦	tsʰ	iɔk	32	阴入	
俄	闽南区	泉漳片		漳浦	g	o	213	阳平	
俊	闽南区	泉漳片		漳浦	ts	un	11	阴去	
俏	闽南区	泉漳片		漳浦	s	iau	11	阴去	
俗	闽南区	泉漳片		漳浦	s	iɔk	14	阳入	
保	闽南区	泉漳片		漳浦	p	o	53	上声	
俞	闽南区	泉漳片		漳浦	dz	i	213	阳平	
俠	闽南区	泉漳片		漳浦	h	iap	14	阳入	
信	闽南区	泉漳片		漳浦	s	in	11	阴去	
俨	闽南区	泉漳片		漳浦	g	iam	53	上声	
俭	闽南区	泉漳片		漳浦	kʰ	iam	33	阳去	
修	闽南区	泉漳片		漳浦	s	iu	55	阴平	
俯	闽南区	泉漳片		漳浦	h	u	53	上声	
俸	闽南区	泉漳片		漳浦	h	ɔŋ	33	阳去	
倉	闽南区	泉漳片		漳浦	tsʰ	ŋ	55	阴平	
個	闽南区	泉漳片		漳浦	k	o	11	阴去	
倍	閩南區	泉漳片		漳浦	p	uɛ	33	陽去	
倏	闽南区	泉漳片		漳浦	s	iɔk	32	阴入	
倐	闽南区	泉漳片		漳浦	s	iɔk	32	阴入	
倒	闽南区	泉漳片		漳浦	t	o	53	上声	打倒。
倔	闽南区	泉漳片		漳浦	k	ut	14	阳入	
候	閩南區	泉漳片		漳浦	h	au/ɔu	33	陽去	
倚	闽南区	泉漳片		漳浦	0	ua/i	53	上声	文读，倚靠。
倦	闽南区	泉漳片		漳浦	k	uan	11	阴去	
倩	闽南区	泉漳片		漳浦	s/tsʰ	ian	11	阴去	
倪	闽南区	泉漳片		漳浦	g	iei	53	上声	
倫	闽南区	泉漳片		漳浦	l	un	213	阳平	
债	闽南区	泉漳片		漳浦	ts	ɛ	11	阴去	
倾	闽南区	泉漳片		漳浦	kʰ	ɛŋ	55	阴平	
假	闽南区	泉漳片		漳浦	k	ɛ	53	上声	
偉	闽南区	泉漳片		漳浦	0	ui	53	上声	
偏	闽南区	泉漳片		漳浦	pʰ	ian	55	阴平	
偕	闽南区	泉漳片		漳浦	k	ai	55	阴平	
停	闽南区	泉漳片		漳浦	tʰ	ɛŋ	213	阳平	
健	闽南区	泉漳片		漳浦	k	iã/ian	33	阳去	
側	闽南区	泉漳片		漳浦	s/tsʰ	ɛk	32	阴入	
偵	闽南区	泉漳片		漳浦	ts	ɛŋ	55	阴平	
偶	闽南区	泉漳片		漳浦	g	aũ/ɔũ	53	上声	文读，一偶鲎。
偷	闽南区	泉漳片		漳浦	tʰ	au	55	阴平	
偿	闽南区	泉漳片		漳浦	s	iaŋ	213	阳平	
傅	閩南區	泉漳片		漳浦	h/p	u/ɔu	33/11	陽去/陰去	文讀，姓。
傑	闽南区	泉漳片		漳浦	k	iat	14	阳入	
傘	闽南区	泉漳片		漳浦	s	uã/an	11	阴去	
備	闽南区	泉漳片		漳浦	p	i	33	阳去	
储	闽南区	泉漳片		漳浦	tʰ	i	55	阴平	
催	闽南区	泉漳片		漳浦	s/tsʰ	ui	55	阴平	
傲	闽南区	泉漳片		漳浦	g	o	33	阳去	
傳	闽南区	泉漳片		漳浦	t	uan	33	阳去	传记。
