#调值[1]55[1b]35[2]11[3]323[3b]13[4]31[5]53[5b]453[6]33[7]55[7b]35[9]24[9b]13[8]21[10]31
              
伏 pəp[8]
剥 pok[9]
缝 paŋ[1] {缝补}
麸 pa[6] {糠} 
豆 to[6]
度 tət[7] {~马路(tət55 ma31 lu55)：过马路}
捅 muŋ[5]
潭 tɐm[1] {池塘，潭水} 
弩 na[3b] {箭} 
流 lu[6]
岚 ləm[2] {风} 
蜡 lap[9]
谷 kok[9] /qɐu[4] {车江话“稻谷”读作qɐu31 qok24，后说的“稻子”“米”均读作qɐu31，“谷”很少出现在侗语里，故 qok24也不单独使用}
菰 la[2] {蘑菇、菌子} 
灌 kon[1]
隔 qek[9]
绀 qɐm[5] {绀：微带红的黑色，侗语里指深色} 
芥 qat[9] {芥菜} 
割 qat[9]
喉 qu[2]
魂 kwɐn[1]
节 sik[9] {节日或节气} 
轿 ȶeu[6]
筋 ən[1]
近 ȶɐn[4]
鸡 qai[5] /ʔai[5]
裙 wən[3b]
鹊 ɕak[9b]  
寻 səm[6]
喜 ɕok[7b]
淆 mjau[1]
争 ɕeŋ[1]
值 ȶək[8]
执 jit[8] {牵，与“执子之手”牵引之意相同} 
侧 ɕək[7]
受 ɕu[4]
诵 suŋ[1b] /soŋ[1b] {侗语借为“话”的意思} 
阳 kʰaŋ[1b] {阳光} 
养 saŋ[4]
腋 sak[9b]
雁 ŋan[6]
燕 qin[5] /ʔin[5]
溢 tik[9] {《广雅》“溢，满也”，这里侗语借为“满”的意思} 
圆 ton[2]
鹜 mok[8] {鸟} 
温 tun[1] {温暖}
