ᴀ
p[1]巴芭疤[2]拔雹-[3]把八[5]霸爸耙坝罢{犁〜，〜地}[0]笆{篱〜}
pʰ[2]爬[3]怕帕[0]琶{琵〜}
m[1]妈[2]麻麻蟆{蛤〜}[3]马码抹{〜布}[5]骂
f[2]乏罚伐筏阀[3]法发
v[1]洼挖[2]蛙[3]瓦{名词，砖〜}[5]袜瓦{动词}
t[2]达沓{一〜纸}[3]打答搭[5]大
tʰ[3]他它塔溻{汗〜湿了}塌獭[5]榻
n[2]拿[3]哪{〜个}[5]那纳捺
l[3]拉[5]腊蜡辣
tθ[2]杂砸
tθʰ[3]擦
θ[2]□{〜嘛（到处看看）}[3]洒撒[5]卅萨
s[2]蛇{（老）}
tʂ[1]渣查{山〜}蹅{踩踏}[2]闸榨{油〜}铡栅{〜栏}炸{~油条}[3]眨扎札劄[5]榨炸{〜蛋}乍诈
tʂʰ[1]叉{〜子}差{〜别，〜错}[2]茶搽查{调〜}察[3]插[5]差{~和对}岔{三〜路}杈{枝〜}
ʂ[1]沙纱莎[3]杀煞{〜住}[5]厦{偏〜，前廊后~}
k[2]鸽-[3]割-胳-葛{姓，老}
kʰ[3]磕-渴-
x[1]哈{〜气}[2]蛤{〜蟆}[3]喝-
Ǿ[1]阿

iᴀ
ʨ[1]家加佳嘉[3]假{真〜，放〜}贾夹甲峡胛{肩〜}[5]架驾嫁价[0]稼{庄〜}
ʨʰ[1]掐[5]恰洽
ɕ[1]虾[2]霞瑕遐狭匣辖侠[3]瞎[5]吓厦{〜门}下夏{春〜，姓}
Ǿ[1]鸦丫{〜头}[2]牙芽伢{小孩子}衙{〜门}[3]雅哑鸭押□{〜水（倒水）}[5]亚压砑{〜平}轧{〜棉花}

uᴀ
tʂ[1]抓[3]爪
ʂ[3]耍刷
k[1]瓜[3]寡剐刮{〜风}[5]挂卦.
kʰ[1]夸[3]垮刮{〜胡子}[5]跨胯
x[1]花[2]华{中〜}滑划{〜船}猾{狡〜}[5]化华{〜山}画话划桦{〜树}

ə
p[1]波玻{〜璃}菠{〜菜}[2]博薄鈸勃驳帛伯[3]簸{~一〜，〜箕}播拨剥[5]饽{〜~}
pʰ[1]坡[2]婆[3]泼[5]破魄
m[2]魔磨{〜刀}模{〜范}摩馍膜[3]摸抹[5]磨{石〜}沫末没{沉〜}莫寞默陌漠
f[2]佛
v[1]窝踒蜗[2]蛾鹅俄[3]我恶[5]饿卧
tʰ[5]特
tʂ[0]着{歇〜}
ɭ[2]儿[3]耳尔[5]二贰
ʧ[2]蛰{惊〜}哲折{〜断}辙[3]遮者蔗蜇{蝎了〜人}褶[5]浙
ʧʰ[1]车[3]扯[5]彻撤
ʃ[1]赊[2]舌折{〜本}[3]奢舍佘{姓}[5]射赦社摄涉设麝{〜香}
k[1]歌哥[2]革阁[3]搁[5]个
kʰ[1]苛科[2]壳[3]可[5]克
ŋ[1]阿{〜胶}[2]额[5]扼{〜杀}鄂
x[2]和{〜气}[0]荷{薄〜}

iə
p[2]别[3]憋鳖瘪
pʰ[3]撇
m[5]灭篾
t[1]爹[2]叠碟牒蝶谍[3]跌
tʰ[3]帖贴铁
n[5]镊捏聂
l[5]猎裂劣列烈
ʦ[2]劫截捷[3]姐□{〜溜（知了）}接节疥{火〜子}[5]借褯{〜子}
ʦʰ[3]且切[5]妾怯窃
s[1]些[2]邪斜[3]写[5]泻卸谢泄屑
ʨ[2]杰竭洁[3]揭结解{~开}
ʨʰ[2]茄{〜子}
ɕ[2]谐胁协挟携{（新）}[3]歇蝎血
Ǿ[2]爷[3]惹野液{〜体}噎椰{〜子}掖{〜被子}也{〜是}[5]夜叶魇业热孽{（老）}腋页掖{~县}

uə
t[1]多[2]夺铎[3]朵躲[5]舵剁惰堕垛{柴~}[0]掇{拾〜}
tʰ[1]拖[2]驮[3]妥脱托唾{〜液}椭{〜圆}[0]驼{骆〜}
n[2]挪[5]糯诺
l[2]罗锣骡摞{〜起来}裸籮螺[3]烙啰{〜嗦}[5]骆络落乐洛
tθ[2]昨凿-[3]左作佐[5]做{〜作业}坐座
tθʰ[1]搓[2]矬{矮}[3]撮{一〜米}[5]銼措错挫
θ[1]蓑梭{织布〜}[3]锁琐索嗽-{咳〜}[0]唆{啰〜}
tʂ[2]浊鐲卓酌琢[3]桌捉啄
tʂʰ[2]戳
ʂ[3]所缩[5]朔
ʧ[3]拙
ʃ[2]勺[3]说
k[1]戈锅[3]果裹郭各[5]过
kʰ[1]棵-颗-[3]括{包〜}咳{〜嗽}[5]课阔扩廓
x[2]何河荷{〜花}禾和{〜面}合盒活鹤或核{〜桃}[3]火伙豁[5]贺获祸货霍惑[0]喝-{吆〜}

yə
l[5]略掠
ʦ[2]绝-嚼
ʦʰ[3]鹊雀
s[3]薛雪削
ʨ[2]决撅{〜子}倔掘厥爵[3]诀{口〜}脚角觉{感〜}
ʨʰ[2]搦[3]缺[5]确却
ɕ[1]靴[2]穴学
Ǿ[3]约曰[5]悦阅月越弱虐{（老）}药-疟{（老）}岳粤跃钥{〜匙}乐{音〜}

ɿ
tθ[1]滋资姿咨[3]紫姊子梓□{〜拉（胃酸）}[5]字自
tθʰ[1]疵[2]雌磁慈词祠瓷辞[3]此[5]刺赐次厕伺
θ[1]撕丝思私斯司{〜法}[3]死[5]司{〜令}饲巳{辰〜}四肆似祀{祭〜}寺嗣
ʧ[1]知汁[2]植直执侄值职殖[3]织[5]智滞制致置治痔质秩
ʧʰ[1]痴[2]池迟持驰[3]耻尺{~寸}吃[5]赤斥
ʃ[2]十拾食石实[3]湿失识释[5]饰室世势誓逝适式

ʅ
tʂ[1]支枝之脂肢桅{〜子花}只{三〜鸡}芝[3]纸止址旨指趾只{〜有}[5]志痣至
tʂʰ[1]嗤眵{眼〜}[3]齿[5]翅[0]匙
ʂ[1]诗尸师狮[2]时[3]施使史始屎虱驶[5]是氏市侍士柿事试视示嗜仕恃

i
p[2]鼻逼[3]比鄙蓖笔彼秕{〜子}[5]蔽币斃闭箅{〜子}避庇痹备{（老）}毕必璧壁臂陛敝弊碧篦{〜子}
pʰ[1]批披[2]皮脾琵疲[3]劈霹痞匹[5]屁僻
m[2]迷糜谜[3]米[5]密蜜觅
t[1]低堤[2]嫡笛敌狄的{〜确}涤[3]底抵滴的{目〜}[5]帝弟第递地
tʰ[1]梯[2]题提蹄啼踢[3]体剔[5]替涕剃[0]屉{抽〜}
n[2]泥倪尼[3]拟你[5]腻溺
l[2]犁离篱梨厘黎[3]礼李里理鲤[5]例厉丽隶利立粒笠栗{〜子}力历吏励荔[0]璃{玻~}
ʦ[2]集[3]挤济脊绩籍积剂缉辑鲫{〜鱼}[5]祭际迹系{〜鞋带}穄{〜子}
ʦʰ[1]妻[2]齐畦{（老）}[3]砌七戚漆[0]脐
s[1]西膝夕[2]习席畦{（又）}[3]洗媳息锡惜析熄栖悉[5]细
ʨ[1]鸡级击激讥基机饥稽肌奇{〜数}[2]急及吉极疾[3]几{〜个}己[5]计继寄技妓季记纪忌冀既[0]几{茶〜}
ʨʰ[1]欺期[2]其奇骑棋旗岐祁麒歧[3]启企岂起杞祈乞[5]契泣气器弃汽
ɕ[1]溪牺吸希稀溪兮奚嬉熙[2]携{（老）}[3]喜蟋{〜蟀}[5]系{关〜}戏夕
Ǿ[1]揖衣依医[2]宜移沂疑姨仪夷伊饴遗[3]蚁椅尾-乙一以倚已[5]艺缢义议易日逸亿忆翼益疫逆-{（老）}意异谊毅役译亦抑肄

u
p[3]补捕不卜{占〜}[5]布部簿步怖
pʰ[1]铺{〜设}[2]蒲菩葡{〜萄}[3]谱普仆{奴~}脯{胸〜}浦朴圃[5]铺{店〜}瀑{〜布}
m[2]谋没-{〜有}模{〜子}[3]亩牡母某拇[5]慕墓木目牧暮募穆幕睦
f[1]夫肤敷跗{〜面}麩{〜子}孵[2]辐扶浮芙{〜蓉}服伏俘{〜虏}佛{仿〜}[3]复府腑俯斧抚符福蝠覆甫腐辅幅釜腹[5]付傅赴父附富副妇赋负驸[0]咐{吩~}
t[1]都{〜城}督[2]独毒犊涂{糊〜}牍{牛〜子}[3]堵赌肚{猪〜}笃[5]妒杜肚{〜子}度渡读{（老）}镀
tʰ[1]秃[2]徒屠途涂{~抹}图[3]土突吐{〜痰}[5]吐呕{〜兔}
n[2]奴[5]努怒
l[2]卢炉庐鸕芦{〜苇}[3]鲁櫓卤虏[5]路露{雾〜}鹿陆录赂鹭禄
tθ[1]租组[2]卒族[3]祖阻
tθʰ[1]粗[5]醋促猝
θ[1]苏酥[5]素诉塑速嗉{鸟〜子}
tʂ[2]逐[3]竹嘱烛筑[5]助祝
tʂʰ[1]初[2]锄雏[3]楚褚{姓}础[5]畜{〜生}触
ʂ[1]梳疏蔬[2]赎塾[3]数{动}属[5]数{名}束漱{~口}
ʧ[1]猪诸株朱珠[2]轴-[3]煮主帚拄{~拐杖}[5]著驻注柱住
ʧʰ[2]除储殊厨橱[3]出储[5]处{和〜，〜所}
ʃ[1]书舒输枢[2]熟秫[3]暑{（老）}鼠黍{〜子}叔署薯[5]恕戍竖树术述
k[1]姑孤[3]箍古估股鼓骨谷辜[5]故固顾雇
kʰ[1]枯窟[3]苦哭[5]裤库酷
x[1]呼乎忽[2]胡湖蝴糊狐壶核-{果〜}[3]虎浒{水〜}[5]户互护沪
Ǿ[1]乌污沃{（老）}诬巫[2]吴梧无蜈{〜蚣}[3]五伍午武握{（老）}屋舞侮鹉[5]误悟恶{可〜}务戊物雾勿

y
n[3]女
l[2]驴[3]吕旅缕屡履捋{~袖}[5]虑律率{速〜}绿滤
ʦ[3]足{（老）}[5]聚{（老）}铸{（老）}
ʦʰ[1]蛆[3]取娶[5]趣
s[1]须需[2]徐俗-[3]戌{戊〜变法}粟宿{〜舍，一~}[5]絮序绪续肃-续叙恤[0]婿{女~}
ʨ[1]居车{〜马炮}拘驹[2]局[3]举菊鞠橘桔{〜子}鋦{〜锅}[5]据锯巨拒距聚{（新）}俱句具剧惧矩{规〜}
ʨ[1]渠区驱瞿[3]屈曲[5]去
ɕ[1]虚嘘{吹〜}[3]许蓄{储〜}[5]旭畜{〜牧}
Ǿ[2]如鱼渔于余愚娱於榆愉儒迂逾淤盂虞[3]语雨羽乳域宇禹熨{〜作（舒服）}[5]御与誉预遇芋愈喻裕入郁狱玉欲浴褥育豫寓

ɛ
p[3]摆[5]拜败
pʰ[2]排牌[3]□{〜癞：髒，邋遢}[5]派
m[2]埋[3]买[5]卖
v[1]歪踒{〜脚}[5]外
t[1]呆{痴〜}[5]戴贷待代袋带大{〜夫}怠殆
tʰ[1]胎苔{舌〜，青〜}[2]台抬[5]态太泰
n[3]乃奶[5]耐奈
l[2]来[5]赖癞
tθ[1]灾栽[3]载{三年五〜}宰崽[5]再在载{满〜}
tθʰ[1]猜[2]才财裁材[3]彩采[5]菜蔡
θ[1]腮鰓[5]赛
tʂ[1]斋[5]债寨
tʂʰ[1]钗差{出~}[2]豺柴[3] 踩{用脚~}
ʂ[1]筛[5]晒
k[1]该[3]改[5]盖概溉丐
kʰ[1]开[3]凯慨{慷〜}楷揩
ŋ[1]哀埃{尘~}[2]癌[5]碍爱艾隘
x[2]孩核-{〜心}[3]海[5]亥害

iɛ
ʨ[1]皆阶秸{秫〜}街[3]解{了~}疥{〜蛤蟆}[5]介界芥届戒
