#ɿ
ʦ[1]资姿滋孜[3]紫子籽姊滓[5]自字渍
ʦʰ[1]眦[3]此跐瓷慈磁词祠□{~实：实在}□{懒：~住不喝。}[5]刺赐次伺饲
s[1]斯厮撕思丝私司[3]死[5]四肆巳祀寺

#ʅ
tȿ[1]支枝肢之芝知蜘汁[3]纸址指侄直值{~钱}[5]这制织治值{~日}植执质只{一~鸡}痣职志炙至致置稚痔帜窒秩
tȿʰ[1]嗤[3]齿池持耻痴翅迟赤斥驰[5]吃尺匙
ȿ[1]施师狮尸诗[3]屎始使史驶十什石实食誓时蚀拾[5]是势湿识式试世失适士市事氏室示柿视誓饰
ʐ[3]扔{丢掉：把书~的屋里了}[5]日入{性交}

#i
p[1]屄[3]鼻秕比[5]鄙必壁备被闭笔毕箅币被{~子，~打}逼篦滗{~汤}楅{两头夹以加固}逼
pʰ[1]批披砒[3]匹避皮疲啤脾僻痞辟[5]庇屁痹{麻~}劈
m[1]眯[3]米女糜眉媚迷谜篾{竹~子}[5]密蜜秘縻{栓：驴~的地里}咪{~~子：唢呐哨}
l[3]离{~别}梨犁粒黎鲤李里理礼劙{割开}[5]利痢立例厉丽璃力历哩{日~}
ȶ[1]嘀低羝{公羊}[3]底抵笛敌帝递狄嫡[5]地的{~确}弟第滴
ȶʰ[1]梯[3]体题蹄提堤[5]踢剔替剃屉嚏涕
ȵ[3]尼泥倪{又}你[5]逆腻
ʨ[1]几{茶~}机讥饥肌鸡基[3]技及极级急几挤芨[5]寄即吉集绩己记纪继击剂济激圾疾脊计系{~鞋带}季积迹{事~}
ʨʰ[1]欺乞栖[3]妻奇骑祁齐脐膝契其棋期旗祈起畦麒启耆[5]七弃气戚漆器缉{~鞋口}
ɕ[1]西牺夕溪稀希昔悉嘻嬉[3]席{~子、主~}喜洗[5]戏吸息析隙锡熄媳习系{关~}袭细惜
ʑ[1]衣医[3]乙亿忆艺宜移议蚁仪译易姨胰饴毅异依疑异疫椅尾{~巴}[5]以义意揖谊一瞖{目~}益壹

#u
p[3]补簿哺捕卜怖{恐~}[5]不布部步
pʰ[1]铺{~设}潽{水等从容器溢出：锅~了}[3]朴菩普谱葡脯仆{~人}[5]铺{店~}赴扑堡
m[1]哞[3]馍亩某谋模母拇[5]木暮幕慕睦苜没{~有，~人}
f[1]夫肤麸梳蔬书舒殊束输{~赢}[3]敷俘孵符扶府腑负妇付俯斧抚腐附浮署熟赎覆{~盖}伏数{~钱}[5]父讣副富傅福幅复{~杂、~原}腹服否数{~字}竖树术叔属输{运~}
v[1]巫诬侮乌污[3]吴蜈梧戊儒乳辱武舞鹉五午捂擩[5]无雾务屋恶{憎~}悟误茹入褥物焐
t[1]笃□{~~子：肚兜}[3]独读毒堵赌肚{猪~子}犊都{~城}[5]杜肚{~子}妬度
tʰ[1]□{象声词}突[3]图屠途塗土吐{~痰}[5]唾{~沫}兔秃
l[3]鲁虏澜卢芦炉{锅~}鹿戮掳录[5]噜路露禄陆绿六
ʦ[1]租[3]组阻卒祖足[5]做足{~够}
ʦʰ[1]粗[3]觑[5]醋族簇促猝
s[1]苏酥□{拉、赶}[5]素嗦诉塑速俗
pf[1]猪诸朱蛛株珠硃姑孤箍估[3]轴妯煮拄主古故鼓古轱{(~辘)}□{(~住：坚持不做某事)}[5]股著助柱住术{(白~)}竹筑逐祝烛触嘱固锢{(~露)}雇顾骨谷帚
pfʰ[1]初枯窟[3]处{(~理)}除楚锄除储褚暑鼠厨苦酷[5]处{(~所)}畜出库裤哭
x[1]呼乎忽□{(涂抹沾染)}[3]胡葫湖壶狐核{(杏~)}虎[5]户护□{(~上：苫上)}

#y
l[1]驴[3]吕铝滤缕率虑律捋{(满手拽取：~红果子)}□{(ʨy53~:山羊)}
ʦ[1]居车{(~马炮)}驹[3]据锯{(~木头)}局巨举□{(~ly31:山羊)}[5]锯{(~子)}剧{(~烈)}具句距聚剧{(戏~)}菊
ʦʰ[1]驱蛆趋曲{(~折)}黢{(黑~~)}屈[3]渠区{(~域)}取娶[5]趣曲{(歌~)}
s[1]虚须徐[3]许婿{(女~)}[5]叙绪絮需续戌畜{(~牧)}蓄{(储~)}
ʑ[1]淤愚鬻{(溢出：锅~了)}[3]余馀鱼语于{(姓)}榆裕雨禹[5]预遇欲育玉狱愉喻燠{(使凉的变热)}

#ᴀ
p[1]巴疤扒[3]爸{(~~,父亲的弟弟)}拔把{(~守)}□{(~屎：拉屎)}[5]耙{(~地)}把{(~子)}霸坝八罢
pʰ[1]帊{(织物稀疏)}[3]爬帕{(手~)}耙{(~子)}[5]怕
m[1]妈[3]麻蟆马码{(摞：～起来)}[5]骂抹{(~布)}
f[3]伐罚乏耍砝{(~麻：阵势大)}[5]发{(头～,~展)}法刷
v[1]蛙搲{(用手乱抓)}[3]挼{(皱，揉)}□{(难受：心里~的很)}娃瓦□{(~饭：盛饭)}[5]袜挖
t[1]褡耷[3]打达鞑{(~子)}[5]大答搭瘩
tʰ[1]他[3]踏沓{(一~纸)}□{(~调和)}[5]拓{(~本)}塔塌溻獭
n[3]拿哪[5]那纳
l[1]拉垃[3]喇[5]腊蜡辣邋落
ʦ[3]杂怎[5]睫咂{(吮吸)}
ʦʰ[1]镲[3]□{(干啥呢)}[5]擦
s[3]□{(看)}洒撒{(~种)}[5]□{(大针脚缝)}撒{(~手)}萨{(菩~)}
tȿ[1]查{(碎木)}楂{(山~)}渣[3]诈拃{(量词)}眨闸炸{(油~)}铡{(~刀)}栅{(~栏)}[5]咋{(~呼)}榨{(~油)}炸{(~弹)}扎{(捆~)}奓{(举)}
tȿʰ[1]叉杈{(枝~)}差{(~别)}[3]茬查碴馇{(调~)}茶察{(~看)}[5]岔{(~路)}插搽衩{(~裤：开裆裤)}
ȿ[1]沙纱砂[3]傻[5]厦{(~房)}杀煞啥霎耖{(~地)}□{(裁小：~裤脚)}
k[3]尬{(尴~)}尕嘎
kʰ[1]喀{(~痰)}[3]卡[5]□{(“给下”的合音)}
x[1]哈{(~数：规矩、计划)}[5]下{(~来)}瞎
x[1]阿[5]阿{(~伯子)}

#ə
p[1]波菠玻驳[3]博帛钵薄脖簸{(~一~,~箕)}跛[5]膊拨薄{(~荷)}剥{(~削)}饽{(面~)}
pʰ[1]颇坡迫泼{(~辣)}[3]婆[5]魄破拍泼{(~水)}剖{(~开)}
m[1]摸摹{(~仿)}[3]模{(~范)}魔磨{(~刀)}膜抹[5]磨{(石~)}末沫没{(沉~)}陌{(~生)}
f[3]勺所{(派出~)}[5]说
v[1]窝[3]踒我握[5]卧饿恶{(~心)}若弱□{(~ʑiə31:合适)}
n[3]挪
tȿ[1]遮[3]泽择蛰{惊~}[5]窄摘责蜇折褶{皱纹}摺{~叠}则宅
tȿʰ[1]车[3]扯[5]彻撤测侧拆册厕册策
ȿ[1]奢佘赊[3]捨社蛇舌折{断了}[5]舍射麝设啬涩虱色摄涉塞
ʐ[1]□{小：～萝卜}[3]惹[5]热
k[1]哥歌戈咯{笑声}疙纥{~逗：触摸使人发痒}[3]胳{~膊}革隔格割个□{~ʑiə̃31,使人心里难受}鸽各阁搁角{牛~}
kʰ[1]苛蝌{~蚪}[3]可壳[5]刻{时~,~划}克客渴瞌磕嗑
x[3]合盒河何荷褐核{审~}[5]贺喝
ɣ[1]阿{~胶}[3]鹅蛾娥[5]恶{善~、～索(垃圾)}

#ɯ
k[3]给[5]胳
kʰ[1]剋[3]壳{~髅子：空~}[5]咳{~嗽}去-
x[3]蛤{癞~蟆}核{~桃}[5]黑
ʁ[3]儿尔耳额[5]二贰{~心}而

#ɛ
p[3]摆[5]拜稗败
pʰ[3]牌排[5]派
m[3]埋买[5]卖迈
f[1]衰摔[3]率{~领}甩[5]帅蟀
v[1]歪□{厉害}[5]外
t[1]呆[3]歹逮啖{吃}□{~高高：看笑话}[5]待戴贷代袋黛带大{~夫}
tʰ[1]胎苔{舌~}[3]台臺苔{青~}抬[5]态太泰汰
n[3]乃奶[5]耐奈柰{~子：一种水果}
l[3]来[5]赖癞
ts[1]街皆阶灾栽[3]解{~放}宰崽载{年~}[5]在再载{~重}介芥界戒届械诫
tsʰ[1]猜[3]才材财裁蔡採彩睬踩[5]菜
s[5]赛
tȿ[1]斋□{咬：~了一口}[5]债寨
tȿʰ[1]钗差{出~}[3]柴□{不好、难看}[5]拆{~开}□{~鞋：单鞋}
ȿ[1]筛[5]晒
k[1]该街[3]改解{～开}[5]溉概盖丐芥戒{~指}丐钙
kʰ[1]开揩[3]凯楷[5]慨{感~}
x[1]咳[3]海亥孩骇骸鞋还{~有}[5]害
ɣ[1]哀唉埃挨[3]矮捱{～打}癌崖[5]碍艾爱蔼隘

#ɔ
p[1]褒包胞[3]保宝饱[5]报抱菢{~小鸡}雹{冰~}刨豹暴爆
pʰ[1]□{松软}泡{量词}剖{~析}跑袍抛刨{以手或足挖土等}[3]炮泡{~茶}
m[1]□{看}[3]卯铆毛牦矛茅猫□{~掉，忽略掉}[5]冒帽貌茂贸
t[1]刀叨㧅{用筷子等挑}[3]倒岛捣□{狭小的通道}[5]祷道稻到倒{~水}盗导
tʰ[1]掏[3]涛逃桃淘萄陶讨[5]套
n[3]恼挠脑[5]闹
l[1]捞{~了一把}唠啰{~~:猪}[3]劳捞{打~}牢老醪痨[5]涝□{牵扯：～上走}
ʦ[1]遭糟糙{~米}[3]早枣澡蚤[5]皂造灶
ʦʰ[1]嘈操{~作}[3]曹槽草[5]躁{燥烦}肏{~他妈：詈语}
s[1]臊骚[3]摷{去除：把她～掉}扫{~地}嫂[5]扫{~帚}
tȿ[1]朝{~气}召招沼{~气}[3]找爪{鸡~风}□{碰上，遭遇}[5]赵兆照罩笊{~篱}
tȿʰ[1]超抄{~写}钞{～票}巢[3]炒吵朝{~代}嘲潮□{恶心：心里~的很}
ȿ[1]烧梢捎{～带}稍鞘[3]绍□{傻}少{多~}[5]哨少{~年}邵□{天上出现红霞}
ʐ[3]饶扰绕{围~}[5]绕{~线}
k[1]高膏糕羔[3]搞稿告{哄}[5]告睾膏{~油}
kʰ[1]敲{击打}[3]考烤[5]铐靠犒□{动词，使饿}
x[1]蒿薅{~草}[3]豪壕毫号{~哭}耗郝好{~坏}[5]浩好{喜~}号{~码}
ɣ[1]嗷[3]熬袄[5]傲鏊懊{~悔}奥

#ei
p[1]杯碑俾婢背{动词}[5]辈背{脊~,~诵}焙{~干}贝
pʰ[1]呸胚坯[3]培陪赔裴[5]配佩沛
m[1]每[3]梅煤媒美霉莓[5]妹枚昧魅
f[1]非飞[3]谁水肥匪翡{~翠}[5]肺废痱费税睡
n[3]馁[5]内
v[1]危威围{~脖}微[3]卫伪为{作~}唯违围纬帏□{挪动}煨委畏伟苇尾[5]为{~啥}位魏尉慰胃谓喂未味锐瑞猬
ʦ[3]贼

#əu
t[1]兜笼[3]□{(动词：~了三大碗)}斗{(升~)}抖陡蚪[5]斗{(战~)}豆逗痘窦
tʰ[1]偷[3]头投㪗{(漂洗：～衣服)}[5]透□{(捅：~炉子)}
n[3]奴□{(难看)}努怒
l[1]喽{(~罗)}搂{(~取)}[3]髅楼耧篓炉搂{(~抱)}[5]漏陋露{(~出来)}
ʦ[1]邹[3]走[5]奏揍
ʦʰ[1]凑
s[1]叟搜飕馊飕{(风声)}[3]擞□{(蛀：虫子把木头~掉了)}[5]嗽
tȿ[1]周舟州粥邹诌□{(叫鸡声)}[3]肘搊{(拿举：～上旗子)}[5]皱骤纣昼咒
tȿʰ[1]抽筹掫{(从下往上推：～起来)}[3]绸稠绸仇酬愁瞅丑[5]臭倜{(脾气大：～耿耿)}
ȿ[1]收[3]手首守[5]受兽寿授售瘦
ʐ[3]柔揉□{(性子慢)}[5]肉
k[1]勾钩沟尻{(~子：屁股)}[3]狗苟[5]垢够彀{(往上~)}构购
kʰ[1]抠眍[3]寇口扣{(器皿朝下放置)}[5]扣叩□{(计划)}
x[1]吼[3]候喉猴瘊[5]侯后厚候
ɣ[1]殴鸥[3]偶藕[5]沤呕怄

#iᴀ
p[1]□{(扔，甩：把泥巴～的墙上)}□{(摔倒：~了个跟头)}□{(贴：墙上~上一张报纸)}
pʰ[1]□{(瘫倒)}[3]□{(两腿叉开伸直)}谝{(~子：能说会道的人)}
m[1]咩{(羊叫声)}
ʨ[1]家加佳[3]假{(真~)}贾[5]假{(放~)}架驾嫁价甲胛{(肩~)}夹裌挟痂枷
ʨʰ[1]揢{(抱住)}[3]卡{(~腰)}[5]掐洽恰□{(跨越)}
ɕ[3]虾{(鱼~)}霞匣狭峡辖侠[5]夏吓{(~一跳)}下{(~降)}瞎
Ǿ[1]呀鸦丫桠[3]牙芽蚜衙□{(他)}雅亚哑砑{(碾：东西~坏了)}[5]鸭押压轧{(~花)}

#iə
p[3]白别{(区~,离~)}[5]掰蹩憋瘪□{(挤兑：~出去)}百佰北柏伯{(大~子)}
pʰ[3]□{(弄断：~折)}撇{(~嘴)}[5]骗{(欺~)}撇{(~撩)}骗{(~马)}□{(从上面舀)}拍
m[5]灭{(消~)}蔑{(~视)}麦脉{(血~)}墨默
ȶ[1]爹嗲[3]蝶碟叠咥{(猛吃)}[5]跌得德
ȶʰ[5]铁帖贴特
ȵ[1]□{(一~~:一点点)}[3]苶{(弱小)}[5]孽捏业聂镊蹑虐疟灭{(火~了)}
l[3]□{(胆怯而不敢进步)}[5]列咧烈裂猎肋劣勒
ʨ[1]结{(~巴)}[3]杰截捷劫□{(近，直)}姐[5]借揭节结洁接桔褯
