#ɿ				
ts	[223]兹滋资姿咨孜淄[55]紫子仔梓滓姊[51]自字渍			
tsʰ	[223]呲疵差{参~}[42]瓷磁辞词祠慈雌[55]此[51]刺次伺{~候}赐			
s	[223]斯撕厮嘶丝司私饲思厕-{茅~}[55]死[51]四泗肆似祀巳寺嗣伺{~机而动}			
#ʅ				
ʈʂ	[223]支枝肢之芝汁织只{一~}职支蜘质执[42]质职植殖直值侄{~子}[55]纸脂止趾址旨指{~望}只{~有}[51]至制智致稚痔置治志痣秩掷			
ʈʂʰ	[223]吃尺痴眵{~麻糊}[42]匙迟持池驰弛[55]耻齿侈{奢~}豉[51]赤翅斥炽饬			
ʂ	[223]施尸诗狮湿虱失师识[42]食蚀石时实拾十[55]使始屎史驶室[51]世势誓逝是氏示视嗜士仕柿事市试侍识式饰适释			
ʐ	[51]日			
#i				
p	[223]逼{~迫}[42]鼻[55]彼=俾=婢=鄙比{~赛}秕譬{~喻}匕[51]蔽敝弊毖毙蓖篦陛闭箅臂=避毕必弼碧璧壁=庇=痹=辟币			
pʰ	[223]批纰坯={土~}丕={曹~}劈披={~风}匹霹[42]皮疲脾{~气}啤琵枇纰譬[55]脾{~虚}痞[51]庇-{~护}屁僻辟癖痹-{麻~}譬{~如}			
m	[223]眯[42]弥谜靡糜[55]米[51]秘泌蜜密觅义{~堂 地名}			
t	[223]低滴[42]涤嫡笛迪敌狄堤籴[55]底抵邸坻砥诋[51]弟帝蒂第地递的{目~}棣缔			
tʰ	[223]堤梯踢剔[42]提啼题蹄[55]体{身~}[51]替涕剃屉			
ȵ	[42]尼泥霓倪宜-{~安}呢{~绒}[55]你拟[51]腻溺匿逆			
l	[42]犁黎藜离篱璃梨厘狸[55]理李鲤里[51]例厉励丽隶荔利莉痢吏笠粒栗力历雳戾砾蛎			
ts	[223]鲫{~鱼}积迹脊缉[42]疾蒺辑绩籍藉即集[55]挤{~压}济{~南}[51]济{经~}剂祭际寂迹即绩			
tsʰ	[223]膝-{~盖}妻凄七柒漆戚沏[42]齐脐栖[51]荠砌			
s	[223]悉息熄惜昔锡徙西夕汐膝=犀[42]袭习席媳[55]洗{~衣}玺[51]细			
tɕ	[223]饥鸡基稽肌{~肉}挟-{~菜}激级击奇{~数}畸几{茶~}[42]急给{供~}极吉机及[55]戟肌已几{~乎}[42]稽计继系技妓寄冀蓟纪记忌既季			
tɕʰ	[223]期欺[42]骑{~马}歧{~义}祁其期棋旗奇{~怪}[55]启企起祈岂乞[51]契{~约}器弃气汽这弃去-{~哪}			
ɕ	[223]吸析晰蜥溪奚牺熙希稀[42]畦{菜~}[55]嬉{~戏}喜蟢[51]系戏			
Ø	[223]医依一衣揖{作~}伊[42]移夷姨疑宜仪饴怡沂[55]蚁椅倚已以乙尾-{~巴}[51]艺义议谊易肄意异毅忆亿抑翼益亦译易逸邑癔			
#u				
p	[223]不醭[55]补卜捕哺[51]簿部布怖步			
pʰ	[223]铺脯埠朴[42]仆{~人}蒲菩[55]谱普浦捕-{逮~}扑醭堡[51]铺{店~}仆{~倒}瀑			
m	[42]模{~子}[55]亩牡母拇某-{参~}[51]暮慕墓募木目穆牧			
f	[223]夫{~人}孵麸辅福肤跗敷[42]幅蝠复服伏芙俘扶浮符福[55]府腑俯甫脯斧腐辅腹复[51]父付赋傅赴让附妇负富副复{~关}缚			
t	[223]都-{~是}督[42]毒独读犊牍渎[55]堵赌睹肚{牛~}笃[51]杜肚{~子}妒度渡镀			
tʰ	[223]秃突凸[42]徒屠途涂图[55]土吐{吞~}[51]吐{呕~}兔			
n	[42]奴呶{~嘴}[55]努弩[51]怒			
l	[42]卢庐炉芦鸬颅泸[55]鲁橹虏掳卤[51]路赂露鹭鹿辘禄陆录绿{鸭~江}碌麓戮			
ts	[223]租[42]足={~球}卒族[55]祖组阻[51]做-{~饭}			
tsʰ	[223]粗[51]促醋猝蹴={~鞠}			
s	[223]苏酥宿={~舍}[42]俗={习~}[51]素嗉{~囊}诉塑嗦漱速肃={甘~}粟={~米}夙			
ʈʂ	[223]猪竹诸诛蛛株烛[42]逐[55]拄{~拐}主煮嘱{~咐}[51]著箸助柱驻注住蛀铸筑			
ʈʂʰ	[223]出初[42]除锄厨刍蜍[55]楚础雏储杵褚楮[51]处畜触黜怵矗			
ʂ	[223]梳疏蔬书舒数{~数}输殊束[42]赎秫熟={~悉}[55]暑鼠黍署薯蜀属[51]庶恕数{~学}束竖戍树术述淑			
ʐ	[42]如儒[55]汝乳擩{~进去}辱[51]入褥			
k	[223]孤箍姑菇估沽跍{~蹲}轱{~辘}辜[55]古股鼓骨榖谷贾{商~}蛊牯[51]故固雇顾锢			
kʰ	[223]枯哭窟[55]苦[51]库裤酷			
x	[223]忽惚呼乎糊{~嘴}[42]胡葫湖糊{~了}狐弧壶核滹{~沱河}[55]虎琥唬浒[51]户沪互护瓠糊{~弄}			
Ø	[223]乌坞钨污诬巫屋[42]吴蜈吾梧无芜{~湖}[55]捂伍五午舞侮鹉[51]戊误悟恶务雾兀杌物勿			
#y				
ȵ	[55]女			
l	[223]捋{~袖子}[42]驴榈闾[55]吕旅缕偻屡履铝侣[51]滤虑绿律率{概~}			
ts	[223]狙足-{知~}疽雎[55]沮{~丧}[51]聚			
tsʰ	[223]蛆趋[55]取娶[51]趣蹴-{圪~}			
s	[223]需须鬚戌宿-{一~}肃-{~宁}[42]徐俗-{~气}[55]栩诩[51]旭序叙绪絮续婿粟-{~姓}			
tɕ	[223]居{居~}车{~象棋}拘驹桔菊掬鞠锔[42]居{邻~}局[55]举矩苣莒[51]巨拒距炬据锯踞倨俱句具惧飓剧			
tɕʰ	[223]驱躯区岖屈曲[42]龋渠瞿衢[51]去={过~}			
ɕ	[223]虚嘘墟戌蓄[55]许[51]旭恤畜{~牧}			
Ø	[223]迂淤{~泥}[42]鱼渔于淤{~血}愚余盂俞瑜渝榆愉娱虞[55]雨羽语与屿宇吁迂禹[51]御誉预豫遇寓愈芋喻裕域郁育玉狱欲浴			
#a				
p	[223]巴芭疤笆八扒{~拉}[42]拔[55]靶把{~守}[51]霸爸罢坝鲅把{刀~}			
pʰ	[223]趴啪葩[42]爬耙琶杷葩扒{~鸡}[51]怕帕			
m	[223]妈抹{~布}[42]麻痳蟆[55]马码蚂{~蚁}[51]骂蚂{~蚱}			
f	[223]法发{~财}[42]筏阀罚乏伐垡[55]砝[51]发{理~}			
v	[223]蛙洼挖娲[42]娃[55]瓦[51]袜			
t	[223]搭沓[42]答达妲[55]打[51]大			
tʰ	[223]塌遢他=她=它=沓{一~子}[55]塔獭[51]踏蹋榻拓{~印}			
n	[42]拿[55]哪[51]那纳钠衲捺娜			
l	[223]拉邋{~遢}[42]剌[55]喇{~叭}[51]腊蜡辣落-{~下}			
ts	[223]扎{~辫子}咂[55]咋{~了}[42]杂砸			
tsʰ	[223]擦			
s	[223]撒{~手}仨[55]洒=撒{~种}[51]萨飒卅			
ʈʂ	[223]渣扎{~针}栅咋{~呼}[42]闸炸{油~}铡榨[55]眨拃[51]榨诈炸{爆~}乍			
ʈʂʰ	[223]叉插[42]茶搽查察茬[51]差{~劲}岔杈			
ʂ	[223]沙纱杀刹砂鲨[55]洒-{~水}傻[51]霎煞厦{大~}			
k	[223]旮{~旯}[55]嘎			
kʰ	[223]喀{~什}[55]卡{~车}			
x	[223]哈			
Ø	[223]阿腌{~臜}喝[51]啊			
#ia				
#ia				
pʰ	[223]啪-{~叽}			
l	[55]俩			
tɕ	[223]家加痂嘉佳甲夹荚挟={~菜}[55]假{真~}贾{姓~}胛[51]假{请~}架驾嫁稼价			
tɕʰ	[223]掐[55]卡{~子}[51]洽恰			
ɕ	[223]虾瞎[42]霞瑕遐虾{~蟆}暇侠狭峡匣辖[51]下夏厦{~门}吓			
Ø	[223]鸦丫桠鸭压押[42]牙芽衙伢崖涯[55]雅哑[51]亚轧			
#ua				
ʈʂ	[223]抓[55]爪			
ʂ	[223]刷[55]耍			
ʐ	[42]挼			
k	[223]瓜呱剐刮鸹[55]寡[51]挂卦褂			
kʰ	[223]夸[55]垮侉[51]跨胯			
x	[223]花[42]划{~船}华{中~}骅滑猾[51]化华{~山}桦画话划{计~}			
#ə				
p	[223]拨钵勃剥=驳{斑~}伯=波玻菠搏播饽薄=[42]驳{反~}勃渤博搏簿泊{停~}舶箔帛亳{~州}[55]簸{颠~}跛[51]簸{~箕}薄{~荷}			
pʰ	[223]坡泼颇泊{湖~}[42]婆鄱[51]破魄迫粕珀			
m	[223]抹摸没[42]魔蘑={口~}磨{~刀}模摩馍摹膜[51]磨{~子}末沫茉抹{~墙}没{淹~}莫幕寞默陌			
f	[42]佛			
t	[223]德={道~}[42]得={~到}			
