tsɿ	①支肢枝资姿吱兹滋咨之芝知蜘（~蛛）	③指止址仔子翅（~膀）纸脂紫旨趾	⑤志痣制至智治致自=
tsʰɿ	①痴雌疵字痔	②瓷池词辞慈糍饲（~料）驰磁持治（~鱼）	③此齿耻	⑤次刺
sɿ	①是柿事丝斯撕私司思施狮似尸市诗自-	②时	③死屎史使始驶矢	⑤四试氏祀嗜视士世示势
piᶨ	①屄	③比彼鄙庇	⑤弊避泌闭痹币毙
pʰiᶨ	①批披胚丕焙（干）被-	②皮疲脾啤琵赔陪	③痞蓖篦（~田）	⑤屁配-佩-
miᶨ	①妹-	②迷弥谜媒眉霉	③米眯美-□（~花生）
liᶨ	①例厉励利吏	②泥尼狸移犁漓	③礼李里理鲤	⑤隶丽
tɕiᶨ	①基机讥鸡叽饥肌低嘀	③几挤	⑤计继纪既祭济系（~鞋带）妓
tɕʰiᶨ	①欺妻凄期技地涕企溪（营~：海安地名）	②堤提奇骑歧其旗祈题啼蹄	③启起岂体	⑤汽弃器气砌替剃嚏□（馒头不~：不舒松）
ɕiᶨ	①稀熙嘻牺西	③喜洗蟢（~~儿：蜘蛛）	⑤细系戏
iᶨ	①衣医伊	②仪姨夷疑遗	③椅倚已拟泪-（眼~）	⑤意艺义亿忆议易异□（植物凋谢）
puᵝ	①□（大~儿：大婶）	③补	⑤布
pʰuᵝ	①步铺（~开）簿孵（鸟类用体温使卵化为雏）潽（~粥：粥从锅里溢出）	②菩	③谱普圃捕哺	⑤铺（床~）
fuᵝ	①父夫户敷	②浮扶湖胡壶弧狐糊蝴符芙煳葫	③腐虎斧辅俯腑府抚浒甫釜□（撒）⑤附富负赋付赴副护沪□（鱼~子：鱼篓子，鱼篓）□（~水：水溅到身上）
vuᵝ	①污呜乌巫诬	②吴吾梧无	③武午舞侮五捂	⑤悟□（将东西藏于身上，不肯示人）
tuᵝ	①都	③赌睹堵肚（~子）	⑤度渡杜□（~~：轮船哨声）
tʰuᵝ	①肚（~的：里面，地方）渡（~船）杜	②涂途屠图徒	③吐土	⑤兔
luᵝ	①路露（~出）	②卢芦炉护（用手聚物）庐颅	③鲁卤	⑤赂（贿~）露（暴~）
tsuᵝ	①租珠朱猪	③主组阻煮	⑤注驻柱铸助著住=□（~纽子：钉纽扣）
