#ɿ
s [33]沙紗奢砂痧賒[21]蛇[31]灑{潇～，～水}灑{～水}捨{～唔得：舍不得}[52]社赦麝射{～箭，发～}舍{宿～}
k [33]家{1 }加瓜=佳嘉痂茄{雪～}呱咖{替，山～老鼠：松鼠}[31]寡=賈剮假{真～丨放～ }[52]架價稼駕嫁
kʰ [33]跨家{2 屋～ }[31]垮桍{树～：树枝}
ŋ [33]□{见于第一人称复数形式，～兜：我们丨“我个”合音}[21]牙芽衙伢{孲～：婴儿}[31]瓦雅[52]□{动词，跨}
h [33]蝦{1 鱼～}下-{～背，底～ }[21]霞蝦{2～蟆}[52]下={～降，～流}夏{姓氏丨春～秋冬}廈{～门，大～}
∅ [33]亞鴉丫椏阿{～爸}[31]啞{～佬：哑巴}

#ia
m [33]摸-{～来～去}
t [31]嗲{发～}
ts [31]姐{小～}□{～公（婆）：外公（婆） }[52]借藉{～口}
tsʰ [21]邪斜-{不正}[31]且[52]謝
s [33]些[21]瑕斜={倾～ }[31]寫[52]瀉卸
k [33]□{见于第三人称复数形式，～兜：他们丨“佢个”合音}
kʰ [21]蠷{蝓～：蜘蛛}□{骑}□{～水：提水}
ŋ [33]惹□{见于第二人称复数形式，～兜：你们丨“你个”合音}[31]□{～□[haŋ⁵²]：这边}[52]那-{～只人：～个人}
∅ [33]野也[21]爺耶椰[31]搲{动词，抓（痒）}[52]夜

#ua
k [33]瓜-[31]寡-[52]掛卦
kʰ [33]誇

#ɔ
p [33]波玻播坡菠簸
pʰ [33]頗樖{【粤】量词，（一）棵（树） }[21]婆[52]破
m [33]摸={偷偷～～ }[21]模摩魔摹磨{1 动词，～刀}[52]磨{2 名词，石～}
f [31]夥火[52]貨禍
w [33]窩倭[21]禾和-{～尚}
t [33]多[31]朶躱[52]刴
tʰ [33]拖[21]駝□{～衰家：败家子}[31]妥椭[52]惰舵唾
n [21]挪[52]糯
l [33]囉[21]羅鑼螺箩攞腡騾[31]裸[52]□{～□[sɔ⁵²]：肮脏}□{□[mak³²]～：打哈欠}
ts [31]左佐□{吵，打扰}[52]做
tsʰ [33]初坐[21]鋤[52]座措錯{～误}
s [33]蔬梳梭唆簑[31]所鎖傻瑣[52]□{□[lɔ⁵²]～：肮脏}
k [33]歌哥戈[31]果-[52]過個{～别}
kʰ [33]科顆棵[31]可[52]課
ŋ [33]我{自～ }[21]鵝俄蛾[52]餓
h [21]河何和={～平丨～气}荷{～花丨薄～ }[52]賀
∅ [33]屙阿{～弥陀佛}孲{～伢：婴儿}

#iɔ
kʰ [21]瘸茄{灯～：西红柿}
ŋ [33]挼{揉（面）}
h [33]靴

#uɔ
k [33]蝸[31]果-裹

#e
p [33]批-{螺丝～ }[31]鄙-{差劲}
m [33]㜷{叔～：婶婶}
t [33]嗲{替，沙～：烤肉串}
l [33]□{动词，舔}
ts [52]劑
tsʰ [21]齊{放～ }[52]迣{传染}
s [21]柿[31]洗[52]細婿世{出～}
k [52]計繼个{我～}
kʰ [52]契
h [21]攜[52]係{2 是}繫{1 联～}

#ie
∅ [21]□{（成绩）差}[31]□{～□[se³¹]：磨蹭}

#ai
p [33]跛[31]擺[52]拜敗稗
pʰ [33]𠜱{动词，削，～铅笔}[21]排{～队}㵺{竹排}牌[52]派
m [33]買[21]埋[52]賣邁
f [21]懷槐淮[52]壞
w [33]歪
t [33]低獃={书～子丨发～}呆{～板}[31]底抵{用手挡}抵{～押}[52]帶戴
tʰ [33]弟-{老～ }[21]蹄啼-{鸡～ }[52]太態泰剃逮{～捕}大{～细}
n [21]泥[31]奶[52]奈哪{3 疑问指示代词，～□[haŋ⁵²]：哪边}
l [33]荔□{发□[lɔŋ⁵²]～：发脾气}拉{2 动词，～车}[21]黎犁□{～尿：尿床}[52]賴癩{～蛤蟆丨～哥：癞疮}孻{～子：儿子}
ts [33]災栽齋[31]宰載{1 一年半～ }[52]寨債載{2 满～而归}
tsʰ [33]猜釵差{出～ }[21]柴裁[31]採[52]蔡在={实～}
s [33]篩{米～丨～选}[52]嗮{【粤】助词，表完成（有穷尽义）}
k [33]階雞皆街繫{2～鞋带}乖=[31]稽解{～开丨理～}偈{【粤】倾～：聊天}[52]介界屆戒芥尬疥個{我～：我的}
kʰ [33]荷-{挑，～担丨～东西}[31]楷揩{爱捉弄人，刁钻}[52]快=
ŋ [21]崖涯捱我-{第一人称}[31]□{那～□[sat³²]：表示斥责某人}
h [21]孩鞋諧[31]蟹[52]械駭閪{傻～：愚蠢的人}
∅ [33]挨[31]矮藹[52]艾={姓；～滋病}□{相当于指示代词“那”，～只人：那个人}

#uai
k [33]乖=[31]拐{～卖}[52]怪
kʰ [52]快-塊筷

#ɔi
p [52]背{1 后～}□{～箕（仔）：筛子}□{～谷：谷穗}
pʰ [21]賠[52]吠焙背{2～书}
m [21]梅-煤-枚-黴媒-玫莓脢[52]妹□{“不要”合音词}
f [33]灰-
w [33]煨[52]會{～来}
t [33]堆[52]碓
tʰ [33]梯胎[21]臺颱抬苔[52]代待袋貸怠殆
n [31]乃{康～馨}
l [21]來
ts [33]朘{～仔：男阴}[52]再載{～重}嘴{嘴巴}
tsʰ [33]在-{还～ }[21]材財豺才{人～}纔{刚～ }[31]彩睬[52]菜脆-{易断}
s [33]摔腮鰓衰{运气不好丨～弱}[52]帥稅睡賽歲-{十～}率{～领}
k [33]該[31]改[52]蓋丐
kʰ [31]凱慨[52]概溉癐
ŋ [21]獃-{发～ }[52]外
h [33]開□{助词，表完成，相当于普通话的“了1” }[21]□{痒}[31]海[52]害亥
∅ [33]哀埃[52]愛礙要{訓，净～：只要}

#iɔi
ŋ [52]艾{～草}

#au
p [33]包苞胞鮑煲[31]保飽寶堡褒[52]抱報爆暴={～力}曝龅
pʰ [33]泡{1 量词，一～尿}抛剖暴-{～风雪}[21]袍刨[31]跑[52]炮豹泡{2 灯～丨～茶}
m [33]毛[21]無-{～钱：没有钱}矛茅錨[31]卯[52]帽冒貌貿□{“不要”合音，～理佢}
t [33]刀叨[31]島禱倒{～水丨颠～}到{能性补语，拿得～ }[52]到盜導
tʰ [33]濤滔[21]桃逃萄陶淘[31]討[52]道套
n [31]腦惱[52]鬧
l [33]撈{～起来}摎{汤～饭：汤泡饭丨我～佢：我和他}[21]勞牢嘮[31]老[52]澇𡬘{形容词，间距大、稀疏}
ts [33]招糟遭沼昭朝{～晨丨三～ }[31]早找爪棗蚤笊[52]造照召趙罩竈皂糙詔
tsʰ [33]操超抄鈔[21]曹潮巢槽朝{～代}[31]草炒吵[52]躁兆潲{～水：泔水}
s [33]燒騷捎梢臊筲{～箕：淘米洗菜用的竹器}[21]韶[31]嫂掃{1～地}少{～数}[52]掃{2～把}紹哨邵潲少{～爷}
k [33]高交{1～通}澆郊搞膠糕篙膏攪羔教{1～书}[21]䊆{【粤】量词，一～砖}[31]較稿交{2 吵～，打～：吵架，打架}狡餃絞鉸校{1 学～ }[52]告窖覺{睡～}教{2～师}校{2～对}
kʰ [33]敲蒿[31]考烤[52]靠犒
ŋ [33]咬[21]熬敖{替，歪}[52]傲
h [21]豪毫壕蠔號{～叫}[31]好[52]號效浩耗哮孝好{爱～}校{3～长}
∅ [33]凹[31]襖拗{掰（直、弯） }[52]奥澳坳懊

#iau
p [33]標彪臕猋錶{手～ }[31]表{图～丨～扬}
pʰ [33]飄薸{浮萍}漂{～亮丨～流}[21]瓢嫖[52]票鰾瘭{烫伤起的包}
m [33]渺[21]苗描[31]秒[52]妙貓廟謬藐
t [33]雕刁貂鳥-{～笼}[31]鳥-{骂人话，交合}[52]掉吊釣調{1～动丨～走}
tʰ [33]挑[21]條跳{1～上跌落}調{2～整}[52]跳{2～高}調{3 音～}
l [33]撩[21]遼聊療燎竂寥[31]了[52]料瞭嫽廖
ts [33]焦椒蕉繳[31]僥剿[52]酵
