音標	調類	調值	
pɐɛ	2	13	排牌
pɐɛ	3	43	擺
pɐɛ	5	45	拜敗
pã	3	43	板
pã	6	21	辦
pəi	1	33	杯碑
pəi	2	13	賠
pəi	5	45	貝幣
pəi	6	21	背被
pi	2	13	皮
pi	3	43	比
pi	6	21	被
pi	7	24	鼻筆匹逼
piã	1	33	冰（~雹）兵
piã	2	13	平瓶
piã	3	43	餅
piã	6	21	病
pin	1	33	冰兵
pin	2	13	貧
pin	3	43	柄
piæ	1	33	憋
piæ	7	24	壁
piɐɔ	3	43	表
piɪ̃	3	43	扁
piɪ̃	5	45	變
piɪ̃	6	21	便
po	2	13	婆
po	7	24	簿剝
poŋ	1	33	幫
poŋ	3	43	綁
poŋ	5	45	棒
pu	5	45	布
pu	6	21	步
pæ	7	24	北百白
pɑ	2	13	爬
pɑ	3	43	把
pɑ	7	24	八撥
pɐɔ	1	33	包
pɐɔ	2	13	浮
pɐɔ	3	43	寶飽
pɐɔ	6	21	抱
pən	2	13	盆朋棚
pən	3	43	本
pɵ̃	1	33	班搬
pɵ̃	2	13	盤螃
pɵ̃	5	45	扮半
pɵ̃	6	21	瓣
pʰɐɛ	5	45	派
pʰəi	5	45	配
pʰi	5	45	屁
pʰiã	3	43	片
pʰin	3	43	品
pʰiu	5	45	票
pʰiæ	7	24	劈
pʰiɛ	5	45	別
pʰiɪ̃	5	45	騙片
pʰo	5	45	破薄
pʰo	7	24	潑
pʰoŋ	5	45	胖
pʰu	1	33	鋪
pʰu	3	43	譜
pʰæ	7	24	拍
pʰɐɔ	5	45	炮雹
pʰɑŋ	1	33	蓬
pʰɵ̃	5	45	判
mɐɛ	2	13	埋
mɐɛ	3	43	買賣
mã	6	21	慢
məi	2	13	煤眉
məi	6	21	妹
mi	3	43	米
mi	7	24	密
miã	2	13	明名
miã	6	21	命
min	2	13	民明
min	6	21	命
miu	6	21	廟
miæ	7	24	滅篾
miɪ̃	2	13	棉
miɪ̃	6	21	面
mo	1	33	摸
mo	2	13	磨
mo	3	43	母
mo	6	21	磨
mo	7	24	末木目
moŋ	2	13	忙
mæ	7	24	墨麥
mɑ	3	43	馬
mɑ	6	21	罵
mɐɔ	1	33	貓
mɐɔ	2	13	毛
mɐɔ	6	21	帽
mən	1	33	蚊
mən	2	13	門
mən	3	43	猛
mən	6	21	夢
mɵ̃	3	43	滿
fɐɛ	2	13	懷
fɐɛ	6	21	壞
fã	3	43	反
fã	6	21	犯飯
fəi	1	33	灰飛
fəi	2	13	回肥
fəi	5	45	肺費
fəi	6	21	會
fu	2	13	壺
fu	3	43	虎府
fu	5	45	付父富副
fu	6	21	戶婦縛
fu	7	24	佛福服
fɑ	1	33	花
fɑ	2	13	華
fɑ	5	45	化
fɑ	6	21	花畫話劃
fɑ	7	24	法發罰
fɑŋ	2	13	橫
fən	1	33	婚分風豐封蜂
fən	2	13	魂墳橫紅
fən	3	43	粉
fən	5	45	糞鳳
fən	6	21	縫
tɐɛ	2	13	台
tɐɛ	5	45	帶
tɐɛ	6	21	大
tã	1	33	單
tã	2	13	彈
tã	6	21	淡
təi	5	45	對
ti	1	33	低
ti	5	45	遞
ti	6	21	弟遞地
ti	7	24	笛
tiã	1	33	釘
tin	2	13	停
tin	3	43	頂
tin	6	21	定
tiæ	7	24	碟
tiɐɔ	2	13	條
tiɐɔ	5	45	釣
tiəɯ	1	33	丟
tiɪ̃	1	33	燈
tiɪ̃	2	13	甜田
tiɪ̃	3	43	點典等
tiɪ̃	5	45	店凳
tiɪ̃	6	21	墊
to	1	33	多
to	3	43	躲
to	7	24	奪
toŋ	2	13	潭譚（姓）糖
toŋ	3	43	黨
tæ	7	24	得
tɑ	3	43	打
tɑ	7	24	搭達
tɐɔ	1	33	刀
tɐɔ	2	13	桃
tɐɔ	6	21	道
tən	1	33	墩燈東冬
tən	2	13	藤銅
tən	3	43	懂
tən	5	45	凍
tən	6	21	動洞
təɯ	2	13	圖
təɯ	3	43	賭
təɯ	5	45	杜
təɯ	7	24	毒
tɛ	2	13	頭
tɛ	3	43	抖
tɛ	6	21	袋豆
tɵ̃	1	33	單端
tɵ̃	3	43	膽短
tɵ̃	6	21	斷
tʰɐɛ	1	33	胎
tʰã	1	33	貪
tʰã	3	43	毯
tʰã	5	45	炭
tʰi	1	33	梯
tʰi	5	45	剃
tʰi	7	24	踢
tʰiã	5	45	聽
tʰin	1	33	廳
tʰin	3	43	挺
tʰiæ	7	24	鐵
tʰiɛ	7	24	跌貼鐵
tʰiɪ̃	1	33	添天
tʰo	1	33	拖
tʰo	7	24	脫托
tʰoŋ	1	33	湯
tʰoŋ	5	45	探（存疑）
tʰæ	7	24	特
tʰɑ	7	24	踏塔
tʰɐɔ	3	43	討
tʰɑŋ	1	33	吞
tʰən	1	33	通統
tʰən	3	43	桶統
tʰən	5	45	痛
tʰəɯ	3	43	土
tʰəɯ	5	45	讀
tʰɛ	1	33	偷
lɐɛ	2	13	來
