字頭	聲紐	韻部	小韻	調類	字義	擬音(聲母)	擬音(韻母)	擬音(聲調)	粵拼(聲母)	粵拼(韻母)	粵拼(聲調)
先	心	先	先	陰平	前進又始也早也	s	in	53	s	in	1
𥑻	心	先	先	陰平	玉次石	s	in	53	s	in	1
仙	心	先	先	陰平	神仙	s	in	53	s	in	1
僊	心	先	先	陰平	同上(神仙)	s	in	53	s	in	1
褼	心	先	先	陰平	褊褼衣貌	s	in	53	s	in	1
鮮	心	先	先	陰平	新鮮	s	in	53	s	in	1
天	透	先	天	陰平	積陽氣而上浮者也	tʰ	in	53	t	in	1
䒶	透	先	天	陰平	古文天字	tʰ	in	53	t	in	1
靝	透	先	天	陰平	古文天字	tʰ	in	53	t	in	1
千	淸	先	千	陰平	十百曰千	tsʰ	in	53	c	in	1
躚	淸	先	千	陰平	蹁躚	tsʰ	in	53	c	in	1
芊	淸	先	千	陰平	草盛貌	tsʰ	in	53	c	in	1
阡	淸	先	千	陰平	田箕也南北曰阡東西曰陌	tsʰ	in	53	c	in	1
韆	淸	先	千	陰平	鞦韆	tsʰ	in	53	c	in	1
遷	淸	先	千	陰平	移徙	tsʰ	in	53	c	in	1
迁	淸	先	千	陰平	同上(移徙)	tsʰ	in	53	c	in	1
邊	幫	先	邊	陰平	旁邊	p	in	53	b	in	1
蝙	幫	先	邊	陰平	蝙蝠	p	in	53	b	in	1
籩	幫	先	邊	陰平	籩豆盛黍稷之器	p	in	53	b	in	1
𩽲	幫	先	邊	陰平	魚名	p	in	53	b	in	1
鞭	幫	先	邊	陰平	馬鞭	p	in	53	b	in	1
編	幫	先	邊	陰平	簡編	p	in	53	b	in	1
緶	幫	先	邊	陰平	縫衣曰緶又網巾緶	p	in	53	b	in	1
箯	幫	先	邊	陰平	竹輿曰箯	p	in	53	b	in	1
辮	幫	先	邊	陰平	辮髮	p	in	53	b	in	1
篇	滂	先	篇	陰平	書篇	pʰ	in	53	p	in	1
偏	滂	先	篇	陰平	不正也	pʰ	in	53	p	in	1
翩	滂	先	篇	陰平	翩翻又疾飛也	pʰ	in	53	p	in	1
扁	滂	先	篇	陰平	小舟也	pʰ	in	53	p	in	1
艑	滂	先	篇	陰平	艑艖舟名也	pʰ	in	53	p	in	1
堅	見	先	堅	陰平	實也	k	in	53	g	in	1
肩	見	先	堅	陰平	膊肩	k	in	53	g	in	1
鵳	見	先	堅	陰平	雁也	k	in	53	g	in	1
鈃	見	先	堅	陰平	似鐘而頸長	k	in	53	g	in	1
豣	見	先	堅	陰平	三歳豕	k	in	53	g	in	1
犍	見	先	堅	陰平	犍牛	k	in	53	g	in	1
枅	見	先	堅	陰平	木名	k	in	53	g	in	1
幵	見	先	堅	陰平	姓	k	in	53	g	in	1
汧	見	先	堅	陰平	汧渭秦地也	k	in	53	g	in	1
煙	以	先	煙	陰平	煙霧火煙	j	in	53	j	in	1
烟	以	先	煙	陰平	同上(煙霧火煙)	j	in	53	j	in	1
胭	以	先	煙	陰平	胭脂	j	in	53	j	in	1
臙	以	先	煙	陰平	同上(胭脂)	j	in	53	j	in	1
燕	以	先	煙	陰平	國名	j	in	53	j	in	1
鄢	以	先	煙	陰平	姓	j	in	53	j	in	1
嫣	以	先	煙	陰平	笑貌	j	in	53	j	in	1
蔫	以	先	煙	陰平	物不鮮也	j	in	53	j	in	1
歅	以	先	煙	陰平	九方歅善相馬者即九方臯也	j	in	53	j	in	1
焉	以	先	煙	陰平	何也	j	in	53	j	in	1
旃	照	先	旃	陰平	通白之器又解曰之	tʃ	in	53	zh	in	1
氊	照	先	旃	陰平	以毛爲物曰氊	tʃ	in	53	zh	in	1
毡	照	先	旃	陰平	同上(以毛爲物曰氊)	tʃ	in	53	zh	in	1
饘	照	先	旃	陰平	粥也	tʃ	in	53	zh	in	1
飦	照	先	旃	陰平	同上(粥也)	tʃ	in	53	zh	in	1
鸇	照	先	旃	陰平	食雀之鳥	tʃ	in	53	zh	in	1
鱣	照	先	旃	陰平	魚名	tʃ	in	53	zh	in	1
羶	照	先	旃	陰平	腥羶羊脂也	tʃ	in	53	zh	in	1
驙	照	先	旃	陰平	馬載貌	tʃ	in	53	zh	in	1
儃	照	先	旃	陰平	態也又回不進也	tʃ	in	53	zh	in	1
邅	照	先	旃	陰平	迍邅	tʃ	in	53	zh	in	1
顫	照	先	旃	陰平	四肢奏掉曰顫	tʃ	in	53	zh	in	1
愆	曉	先	愆	陰平	過失也	h	in	53	h	in	1
諐	曉	先	愆	陰平	同上(過失也)	h	in	53	h	in	1
牽	曉	先	愆	陰平	連也引也	h	in	53	h	in	1
騫	曉	先	愆	陰平	姓	h	in	53	h	in	1
搴	曉	先	愆	陰平	拔取也	h	in	53	h	in	1
褰	曉	先	愆	陰平	揭衣曰褰	h	in	53	h	in	1
軒	曉	先	愆	陰平	廂也窓也又車之前後也	h	in	53	h	in	1
掀	曉	先	愆	陰平	以手髙舉	h	in	53	h	in	1
箋	精	先	箋	陰平	簡牒	ts	in	53	z	in	1
戔	精	先	箋	陰平	戔戔淺少之貌	ts	in	53	z	in	1
籛	精	先	箋	陰平	彭祖姓	ts	in	53	z	in	1
綫	精	先	箋	陰平	一綫言微也	ts	in	53	z	in	1
煎	精	先	箋	陰平	熬煎	ts	in	53	z	in	1
諓	精	先	箋	陰平	巧言也	ts	in	53	z	in	1
湔	精	先	箋	陰平	湔洗	ts	in	53	z	in	1
顛	端	先	顛	陰平	顛狂顛仆	t	in	53	d	in	1
巔	端	先	顛	陰平	巓山頂也	t	in	53	d	in	1
𩥄	端	先	顛	陰平	馬白額	t	in	53	d	in	1
蹎	端	先	顛	陰平	跋也	t	in	53	d	in	1
填	端	先	顛	陰平	病也詩哀我填寡音臣詩孔填不寧	t	in	53	d	in	1
瘨	端	先	顛	陰平	疾也	t	in	53	d	in	1
滇	端	先	顛	陰平	地名又姓	t	in	53	d	in	1
言	日	先	言	陽平	說話也	ȵ	in	21	nj	in	4
然	日	先	言	陽平	是也又轉語詞	ȵ	in	21	nj	in	4
燃	日	先	言	陽平	火燒物曰燃	ȵ	in	21	nj	in	4
姸	日	先	言	陽平	美貌曰姸	ȵ	in	21	nj	in	4
硏	日	先	言	陽平	究也磨也	ȵ	in	21	nj	in	4
趼	日	先	言	陽平	平也	ȵ	in	21	nj	in	4
焉	日	先	言	陽平	語助詞	ȵ	in	21	nj	in	4
撚	日	先	言	陽平	以手析物	ȵ	in	21	nj	in	4
眠	明	先	眠	陽平	睡也	m	in	21	m	in	4
綿	明	先	眠	陽平	作布者精曰綿粗曰絮	m	in	21	m	in	4
