繁体	简体	IPA	注释	来源		#說明：	
幈	幈	biɛ̃4	同“屏”	墳派			
卞	卞	biɛ̃6	姓	蘇州同音字彙1892			
便	便	biɛ̃6	搨~宜：佔便宜，貪便宜	蘇州同音字彙1892			
弁	弁	biɛ̃6	馬~	蘇州同音字彙1892			
忭	忭	biɛ̃6	喜樂	蘇州同音字彙1892			
抃	抃	biɛ̃6	拍手，鼓掌	蘇州同音字彙1892			
汴	汴	biɛ̃6	河南省開封市的別稱	墳派			
汳	汳	biɛ̃6	古河名，又稱汴水	墳派			
辨	辨	biɛ̃6	~~味道	蘇州同音字彙1892			
辮	辫	biɛ̃6	~子；~線：結扎辮子的線繩	蘇州同音字彙1892			
辯	辩	biɛ̃6	~論	蘇州同音字彙1892			
平	平	biɪn2	~場~地：平坦的場地	墳派			
枰	枰	biɪn2	棋盤	墳派			
蘋	苹	biɪn2	~果	墳派			
屏	屏	biɪn2	~風	墳派			
瓶	瓶	biɪn2	油~	墳派			
貧	贫	biɪn2	~民窠	墳派			
萍	萍	biɪn2	浮~	墳派			
評	评	biɪn2	批~	墳派			
憑	凭	biɪn2	~據	墳派			
頻	频	biɪn2	~繁	墳派			
顰	颦	biɪn2	皺眉	墳派			
伻	伻	biɪn2	①出使；②使者	墳派			
牝	牝	biɪn4	雌性動物，與“牡”相對	墳派			
病	病	biɪn6	~從脚跟起	墳派			
彈	弹	dæ̃2	~眼落睛：引人注目，非常醒目；發怒，怒目圓睜	墳派			
痰	痰	dæ̃2	~盂	墳派			
談	谈	dæ̃2	~天：閒聊	墳派			
壇	坛	dæ̃2	花~	墳派			
檀	檀	dæ̃2	~香	墳派			
澹	澹	dæ̃2	~臺	墳派			
坛	坛	dæ̃2	簡體字	墳派			
郯	郯	dæ̃2	~城	墳派			
惔	惔	dæ̃2	火燒	墳派			
譚	谭	dæ̃2	文讀	墳派			
淡	淡	dæ̃4	~刮刮：形容味淡如水	墳派			
澹	澹	dæ̃4	~泊	墳派			
憺	憺	dæ̃4	恬靜	墳派			
啖	啖	dæ̃4	吃	墳派			
啗	啗	dæ̃4	同“啖”，吃	墳派			
噉	噉	dæ̃4	同“啖”	墳派			
嚪	嚪	dæ̃4	同“啖”	墳派			
但	但	dæ̃6	~不過：但是，不過	墳派			
蛋	蛋	dæ̃6	雞~	墳派			
彈	弹	dæ̃6	~皮弓：彈弓	墳派			
憚	惮	dæ̃6	肆無忌~	墳派			
田	田	diɛ̃2	租~	墳派			
鈿	钿	diɛ̃2	銅~：中間有小孔的製錢；泛指錢財。|零用~：零用錢。|壓歲~：壓歲錢	墳派			
畋	畋	diɛ̃2	打獵	墳派			
沺	沺	diɛ̃2	~~：（水勢）廣闊無邊	墳派			
甜	甜	diɛ̃2	~津津：有甜味	墳派			
填	填	diɛ̃2	~空檔：頂替，填補空缺	墳派			
滇	滇	diɛ̃2	雲南省的簡稱	墳派			
蹎	蹎	diɛ̃2	跌倒	墳派			
闐	阗	diɛ̃2	~~：①形容鼓聲、車聲；②形容場景盛大壯闊	墳派			
磌	磌	diɛ̃2	石落聲	墳派			
佃	佃	diɛ̃2	耕種	墳派			
鋋	鋋	diɛ̃2	小矛	墳派			
湉	湉	diɛ̃2	~~：形容水面平靜	墳派			
恬	恬	diɛ̃2	~靜	墳派			
殄	殄	diɛ̃4	①盡、滅絕；②浪費，糟蹋	墳派			
簟	簟	diɛ̃4	竹席	墳派			
佃	佃	diɛ̃6	~戶	墳派			
殿	殿	diɛ̃6	宮~	墳派			
澱	淀	diɛ̃6	~粉	墳派			
墊	垫	diɛ̃6	~子	墳派			
電	电	diɛ̃6	~報	墳派			
甸	甸	diɛ̃6	郊外	墳派			
奠	奠	diɛ̃6	~定	墳派			
靛	靛	diɛ̃6	~青	墳派			
錠	锭	diɪn6	銀~	墳派			
碇	碇	diɪn6	繫船的石墩。聲調類推	蘇州同音常用字彙			
㾃	㾃	du2	駝背	墳派			
酡	酡	du2	飲酒後臉色變紅	墳派			
砣	砣	du2	壓書~子：文具，鎭紙	墳派			
跎	跎	du2	蹉~	墳派			
