繁体	简体	IPA	注释	来源		#說明：	
廿	廿	ȵiɛ̃6	曲終過盡松陵路，回首煙波~四橋	蘇州同音常用字彙			
廿	廿	ȵiɑ6	~五	蘇州同音常用字彙			
叢	丛	dzoŋ2	草木~生	蘇州同音字彙1892			
咊	和	ɦu2	同“和”	墳派			
唸	念	ȵiɛ̃6	吟誦，誦讀	墳派			
嘆	叹	tʰæ̃5	~苦經：訴說困苦	墳派			
嘑	呼	hu1	同“呼”，大聲叫喚	墳派			
呼	呼	hu1	~香菸：吸菸	蘇州同音常用字彙			
嚥	咽	iɛ̃5	~弗落：嚥不下去；妒忌	墳派			
嚵	馋	dzæ̃2	嘗	墳派			
囌	苏	su1	噜噜~~	墳派			
囏	艰	tɕiɛ̃1	同“艱”	墳派			
塐	塑	su5	同“塑”，用泥土等做成人或物的形象	墳派			
塑	塑	su5	泥~木雕	蘇州同音常用字彙			
塗	涂	du2	~脫：抹掉	墳派			
夥	伙	hu3	~計	墳派			
伙	伙	hu3	傢~	蘇州同音常用字彙			
妬	妒	tu5	~忌	墳派			
姦	奸	kæ̃1	白讀	墳派			
姦	奸	tɕiɛ̃1	文讀	墳派			
奸	奸	tɕiɛ̃1	文讀：~细	蘇州同音常用字彙			
尟	鲜	siɛ̃3	不~，不少	墳派			
崋	华	ɦuo6	~山	墳派			
從	从	dzoŋ2	服~	蘇州同音字彙1892			
從	从	zoŋ2	又音	蘇州同音常用字彙			
悞	悮	ŋu6	同“誤”	蘇州同音字彙1892			
慇	殷	iən1	①傷痛。②情意周到：~懃	墳派			
懃	勤	dʑiən2	①努力。②待人誠懇周到：慇~。③姓	墳派			
勤	勤	dʑiən2	~儉	蘇州同音常用字彙			
扡	拖	tʰu1	同“拖”	墳派			
拕	拖	tʰu1	同“拖”	墳派			
挱	挲	su1	同“挲”	墳派			
挲	挲	su1	以手撫摸：摩~	蘇州同音常用字彙			
掛	挂	kuo5	~燈籠：調侃語，指流淚、哭；成績不及格	墳派			
揿	搇	tɕʰiən5	~牢俚	墳派			
擔	担	tæ̃1	~任	鄉音字類			
擔	担	tæ̃3	同“撣”	蘇州同音字彙1892			
担	担	tæ̃3	同“撣”	蘇州同音字彙1892			
擔	担	tæ̃5	挑~	鄉音字類			
擥	揽	læ̃4	同“攬”	墳派			
攟	捃	dʑyən4	~摭：採集	墳派			
攽	颁	pæ̃1	~發	墳派			
斒	斒	pæ̃1	~斕	墳派			
旛	幡	fæ̃1	同“幡”。①狹長而下垂的旗幟。②泛指旌旗	墳派			
旤	祸	ɦu4	同“祸”	墳派			
杇	圬	u1	①泥鏝，俗稱瓦刀，泥工塗牆壁的工具。②塗飾；粉刷	墳派			
槨	椁	kuoʔ7	棺~	鄉音字類			
椁	椁	kuoʔ7	同“槨”	鄉音字類			
歎	叹	tʰæ̃5	~苦經：訴說困苦	墳派			
汙	污	u1	同“汚”	墳派			
泝	溯	su5	逆水而上	墳派			
溯	溯	su5	①逆流而上。②往上或往前推求、回想	蘇州同音常用字彙			
洊	荐	tsiɛ̃5	再、屢次	墳派			
淨	净	dziɪn6	乾~	墳派			
滷	卤	lu4	咸菜~	墳派			
瀐	瀸	tsiɛ̃1	同“瀸”，浸漬，弄濕	墳派			
灎	滟	ɦiɛ̃6	水波蕩動：瀲~	墳派			
煙	烟	iɛ̃1	炊~	墳派			
燅	燖	ziɛ̃2	①將冷卻的熟食溫熱。②將肉沉於湯中。③以熱水燙後去毛：揚湯~毛	墳派			
燻	熏	ɕyən1	~魚	墳派			
熏	熏	ɕyən1	~風：和煦的南風	蘇州同音常用字彙			
爓	燖	ziɛ̃2	同“燖”，古時在熱湯裏煮至半熟用於祭祀的肉	墳派			
牁	柯	kʰu1	同“柯”，繫船的木樁	墳派			
牋	笺	tsiɛ̃1	①文體名，爲上書奏記文章。②書信，信札	墳派			
琖	盏	tsɛ̃3	用玉做成的酒杯	墳派			
璿	璇	ziɛ̃2	美玉	墳派			
甦	苏	su1	復~	墳派			
疎	疏	su1	同“疏”	墳派			
疏	疏	su1	~通	蘇州同音常用字彙			
礬	矾	væ̃2	明~	墳派			
秈	籼	siɛ̃1	~米	墳派			
穫	获	ɦuoʔ8	收~	墳派			
窪	洼	uo1	低~葛場化	墳派			
洼	洼	uo1		鄉音字類			
竝	并	biɪn6	同“倂”“並”	墳派			
笵	范	væ̃4	①竹製的模型。②法則，規範	墳派			
箝	钳	dʑiɛ̃2	火~	墳派			
範	范	væ̃4	模~	墳派			
蓑	蓑	su1	~衣	蘇州同音常用字彙			
簑	蓑	su1	~衣	墳派			
簷	檐	ɦiɛ̃2	屋~	墳派			
簾	帘	liɛ̃2	蘆~	墳派			
籖	签	tsʰiɛ̃1	同“簽”	墳派			
籢	奁	liɛ̃2	妝~	墳派			
籤	签	tsʰiɛ̃1	同“簽”：抽~	墳派			
絃	弦	ɦiɛ̃2	~線	墳派			
綫	线	siɛ̃5	~衫	墳派			
線	线	siɛ̃5	同“綫”	墳派			
緜	绵	miɛ̃2	同“綿”	墳派			
縴	纤	tɕʰiɛ̃5	揹~	墳派			
繖	伞	sæ̃3	①同“傘”，遮蔽雨水或陽光的用具。②絲綾	墳派			
纖	纤	siɛ̃1	~維	墳派			
罣	挂	kuo5	①牽絆，阻礙。②懸掛	墳派			
羣	群	dʑyən2	同“群”	墳派			
群	群	dʑyən2	~衆	蘇州同音常用字彙			
翦	剪	tsiɛ̃3	①削減。②消滅，剷除	墳派			
聽	听	tʰiɪn1	~壁脚：偷聽人家講話	墳派			
脧	朘	tsiɛ̃1	①剝削。②削減，縮減	墳派			
膽	胆	tæ̃3	~子	蘇州同音字彙1892			
臌	鼓	ku3	~脹	墳派			
臟	脏	dzɔŋ2	理論應讀[dzɔŋ³¹²]：~湯	墳派			
菓	果	ku3	同“果”，果實	墳派			
菸	烟	iɛ̃1	香~	墳派			
裠	裙	dʑyən2	同“裙”	墳派			
覩	睹	tu3	親眼目~	墳派			
觕	粗	tsʰu1	同“粗”	墳派			
粗	粗	tsʰu1	~布	蘇州同音常用字彙			
譌	譌	ŋu2	同“訛”	鄉音字類			
讃	赞	tsæ̃5	稱~	墳派			
讌	宴	iæ̃5	宴飲	墳派			
贊	赞	tsæ̃5	稱~	墳派			
踈	疏	su1	同“疏”	墳派			
躭	耽	tæ̃1	~擱	墳派			
醃	腌	iɛ̃1	~肉	墳派			
醆	盏	tsæ̃3	①酒器，酒杯。②微清的濁酒。③量詞	墳派			
醼	宴	iɛ̃5	同“宴”，宴飲；宴席	墳派			
鑑	鉴	kæ̃5	白讀	墳派			
鑑	鉴	tɕiɛ̃5	文讀	墳派			
鑒	鉴	tɕiɛ̃5	同“鑑”	墳派			
镟	旋	ziɛ̃6	溫酒器	墳派			
镮	环	ɡuæ̃2	圓形有孔可貫繫東西的物品	墳派			
閑	闲	ɦæ̃2	白讀	墳派			
閑	闲	ɦiɛ̃2	文讀	墳派			
閒	闲	ɦæ̃2	~空	墳派			
閒	闲	ɦiɛ̃2	~空	墳派			
闗	关	kuæ̃1	同“關”	墳派			
關	关	kuæ̃1	姓	墳派			
阪	坂	pæ̃3	①山坡。②山腰小路	墳派			
雲	云	ɦyən2	火燒~：紅霞	墳派			
云	云	ɦyən2	①說。②文言助詞	蘇州同音常用字彙			
韆	千	tsʰiɛ̃1	蕩鞦~	墳派			
千	千	tsʰiɛ̃1	~人石	蘇州同音常用字彙			
餬	糊	ɦu2	~口	墳派			
饞	谗	zæ̃2	~唾	墳派			
騐	騐	ȵiɛ̃6	同“驗”	蘇州同音字彙1892			
鱻	鲜	siɛ̃3	少。《集韻》：息淺切	墳派			
鴈	雁	iɛ̃5	文讀	墳派			
鵞	鹅	ŋu2	同“鵝”	鄉音字類			
鹹	咸	ɦiɛ̃2	文讀	墳派			
麕	麇	tɕyən1	同“麇”	墳派			
麤	粗	tsʰu1	①超遠，遙遠。②同“粗”	墳派			
面	面	miɛ̃6	~孔	墳派			
麵	面	miɛ̃6	肉~	墳派			
麪	面	miɛ̃6	肉~	墳派			
鼃	蛙	uo1	同“蛙”	墳派			
蛙	蛙	uo1	青~	鄉音字類			
𠑘	颠	tiɛ̃1	①被東西絆倒：躓~。②事情不順利、受挫折	墳派			
𡍩	坼	su5	疑爲錯讀	墳派			
𡹮	崦	iɛ̃1	~嵫	墳派			
𥑻	珗	siɛ̃1	同“珗”	墳派			
𥛜	诅	tsu3	同“詛”	墳派			
真	真	tʃən1	~假	鄉音字類			
眞	真	tʃən1	“真”的舊字形	蘇州同音字彙1892			
甄	甄	tʃən1	~別	鄉音字類			
禛	禛	tʃən1	以至誠感動神靈而得福佑	鄉音字類			
籈	籈	tʃən1	古代敲敔用的木板	鄉音字類			
瞋	瞋	tʃən1	①張大眼睛。②同“嗔”，發怒，生氣。理論應讀[tʃʰən⁴⁴]	鄉音字類			
貞	贞	tʃən1	~節	鄉音字類			
楨	桢	tʃən1	①古代築墻時立在兩端的木柱。②支柱，主幹。③植物名	鄉音字類			
偵	侦	tʃən1	~探	蘇州同音常用字彙			
肫	肫	tʃən1	~肝：鳥類的胃	鄉音字類			
屯	屯	tʃən1	困難，危難	鄉音字類			
迍	迍	tʃən1	~邅：處境艱難，前進困難	鄉音字類			
窀	窀	tʃən1	~穸：墓穴；埋葬	鄉音字類			
諄	谆	tʃən1	~~	鄉音字類			
斟	斟	tʃən1	~酌	鄉音字類			
針	针	tʃən1	~線	鄉音字類			
鍼	针	tʃən1	同“針”。①縫佈帛的工具。②古代以砭石爲材質的醫療用具。③刺	鄉音字類			
砧	砧	tʃən1	~墩板	鄉音字類			
烝	烝	tʃən1	①火氣上升。②同“蒸”，用熱水氣蒸東西。③上淫。④衆多。⑤古代冬天祭祀。⑥句首發語詞	鄉音字類			
蒸	蒸	tʃən1	~籠	鄉音字類			
怔	怔	tʃən1	~忪：驚懼	鄉音字類			
鉦	钲	tʃən1	樂器名	鄉音字類			
珍	珍	tʃən1	~貴	鄉音字類			
𢌛	𢌛	tʃən1	同“征”，行也	鄉音字類			
鯖	鲭	tʃən1	《洪武正韻》：諸成切	鄉音字類			
癥	症	tʃən1	~結	鄉音字類			
碪	砧	tʃən1	同“砧”	鄉音字類			
椹	椹	tʃən1	同“砧”：~質；~板	鄉音字類			
準	准	tʃən3	~備	鄉音字類			
准	准	tʃən3	同“準”	鄉音字類			
拯	拯	tʃən3	~救	蘇州同音字彙1892			
整	整	tʃən3	~齊	鄉音字類			
枕	枕	tʃən3	席~衣：夏天鋪在枕頭上的席片	鄉音字類			
軫	轸	tʃən3	①古代指車箱底部四周的橫木，借指車，引申爲方形。②傷痛：~懷。③星名，二十八宿之一	鄉音字類			
紾	紾	tʃən3	①扭轉。②糾纏，糾結	鄉音字類			
袗	袗	tʃən3	~衣：繡有花紋的華貴衣服	鄉音字類			
診	诊	tʃən3	門~	鄉音字類			
胗	胗	tʃən3	鳥類的胃	鄉音字類			
疹	疹	tʃən3	出~子	鄉音字類			
眕	眕	tʃən3	自安自重，自抑	鄉音字類			
畛	畛	tʃən3	①田間分界的道路。②界限：~域、~畦。③祝告	鄉音字類			
稹	稹	tʃən3	①（草木）叢生。②同“縝”	鄉音字類			
縝	缜	tʃən3	~密	鄉音字類			
鬒	鬒	tʃən3	頭髮稠密而黑：~髮	鄉音字類			
晸	晸	tʃən3	日出	鄉音字類			
正	正	tʃən5	~好	鄉音字類			
政	政	tʃən5	~治	鄉音字類			
症	症	tʃən5	時~	蘇州同音字彙1892			
振	振	tʃən5	~作	鄉音字類			
震	震	tʃən5	地~	鄉音字類			
賑	赈	tʃən5	急~	鄉音字類			
鎭	镇	tʃən5	~紙	鄉音字類			
挋	挋	tʃən5	擦拭，拂拭	鄉音字類			
證	证	tʃən5	~書	鄉音字類			
証	证	tʃən5	①諫正：~諫。②同“證”	蘇州同音字彙1892			
㡧	㡧	tʃən5	同“幀”	鄉音字類			
幀	帧	tʃən5	量詞。計算照片、字畵等的單位	鄉音字類			
春	春	tʃʰən1	~寒凍煞老黃牛	鄉音字類			
椿	椿	tʃʰən1	香~頭	鄉音字類			
杶	杶	tʃʰən1	同“椿”，香椿頭	鄉音字類			
偁	偁	tʃʰən1	同“稱”	鄉音字類			
赬	赪	tʃʰən1	淺紅	鄉音字類			
蟶	蛏	tʃʰən1	~子	鄉音字類			
偵	侦	tʃʰən1	暗中察看，伺探。《廣韻》：丑貞切	鄉音字類			
檉	柽	tʃʰən1	~柳	鄉音字類			
竀	竀	tʃʰən1	①正視。②同“赬”	鄉音字類			
瞫	瞫	tʃʰən1		鄉音字類			
稱	称	tʃʰən1	~~分量	鄉音字類			
蠢	蠢	tʃʰən3	粗~	鄉音字類			
惷	惷	tʃʰən3	①騷動：~~。②愚蠢。③厚	鄉音字類			
逞	逞	tʃʰən3	~仔心浪：依著性子	蘇州同音字彙1892			
逞	逞	tʃʰən5	~意	鄉音字類			
趁	趁	tʃʰən5	~船	鄉音字類			
趂	趁	tʃʰən5	同“趁”	蘇州同音字彙1892			
疢	疢	tʃʰən5	熱病，泛指病：~疾	鄉音字類			
騁	骋	tʃʰən5	應讀陰上	鄉音字類			
稱	称	tʃʰən5	~心	製錶者補充			
秤	秤	tʃʰən5	大~	蘇州同音常用字彙			
聲	声	ʃən1	文讀：~音	鄉音字類			
深	深	ʃən1	進~：指房屋前後深淺	鄉音字類			
身	身	ʃən1	~向裏：身體的健康狀況	鄉音字類			
娠	娠	ʃən1	妊~：懷孕	鄉音字類			
申	申	ʃən1	姓	鄉音字類			
呻	呻	ʃən1	~吟	鄉音字類			
紳	绅	ʃən1	鄉~	鄉音字類			
伸	伸	ʃən1	~冤	鄉音字類			
柛	柛	ʃən1	樹木自死而倒下	鄉音字類			
審	审	ʃən3	~問	鄉音字類			
嬸	婶	ʃən3	~~	鄉音字類			
稔	稔	ʃən3	理論應讀[ʒən³¹]：①稻麥等農作物成熟。②收成。③年。③了解，熟悉	鄉音字類			
淰	淰	ʃən3	魚因驚駭而四處游散。《集韻》：式荏切	鄉音字類			
諗	谂	ʃən3	~熟：十分熟悉。《集韻》：式荏切	鄉音字類			
瞫	瞫	ʃən3	深視	鄉音字類			
瀋	沈	ʃən3	①汁。②沈陽的簡稱	鄉音字類			
哂	哂	ʃən3	①微笑。②譏諷，嘲笑	鄉音字類			
矧	矧	ʃən3	①況且。②亦。③齒根	鄉音字類			
簨	簨	ʃən3	古代用來懸掛鐘磬的架子上的橫木	鄉音字類			
𥯗	𥯗	ʃən3	同“簨”	鄉音字類			
沈	沈	ʃən1		蘇州同音字彙1892			
沈	沈	ʃən3	姓	蘇州同音常用字彙			
榫	榫	ʃən3	鑲~头	蘇州同音常用字彙			
聖	圣	ʃən5	~人也有三分錯	鄉音字類			
勝	胜	ʃən1	①能承擔，能承受：~任。②盡：不~感激	蘇州同音字彙1892			
勝	胜	ʃən5	好~	鄉音字類			
舜	舜	ʃən5	虞~：上古帝王舜的稱號。姓姚，名重華。因建國於虞，故稱	鄉音字類			
蕣	蕣	ʃən5	卽木槿	鄉音字類			
瞬	瞬	ʃən5	①眨眼，眼珠轉動。②比喩短暫的時間	鄉音字類			
眴	眴	ʃən5	①同“瞚”或“瞬”。②受驚的樣子	鄉音字類			
𥆧	𥆧	ʃən5	同“瞤”，眨眼	鄉音字類			
人	人	ʒən2	文讀	鄉音字類			
仁	仁	ʒən2	文讀	鄉音字類			
仁	仁	ȵiən2	白讀：杏~	蘇州同音常用字彙			
神	神	ʒən2	~之乎之：糊里糊塗	鄉音字類			
辰	辰	ʒən2	~光	鄉音字類			
晨	晨	ʒən2	朝~	鄉音字類			
宸	宸	ʒən2	①屋宇，深邃的房屋。②北極星所在，後借指帝王所居，又引申爲王位、帝王的代稱	鄉音字類			
唇	唇	ʒən2	嘴~膏	鄉音字類			
漘	漘	ʒən2	①水邊。②臨水的山崖	鄉音字類			
純	纯	ʒən2	又音	鄉音字類			
純	纯	dʒən2	~光：僅僅；簡直	蘇州同音字彙1892			
紉	纫	ʒən2	縫~機	鄉音字類			
壬	壬	ʒən2	文讀	鄉音字類			
任	任	ʒən2	文讀	鄉音字類			
任	任	ʒən6	文讀：~務	蘇州同音字彙1892			
紝	纴	ʒən2	①織佈帛的絲縷。②紡織	鄉音字類			
鵀	鵀	ʒən2	戴勝鳥	鄉音字類			
妊	妊	ʒən2	懷孕：~娠	鄉音字類			
衽	衽	ʒən2	理論應讀陽去：①衣襟。②衣袖。③古代睡覺時用的席子	鄉音字類			
飪	饪	ʒən2	理論應讀陽上：煮熟，如“烹~”	鄉音字類			
繩	绳	ʒən2	絨頭~：毛線	鄉音字類			
澠	渑	ʒən2	古水名	鄉音字類			
憴	憴	ʒən2	~~：戒備警惕；謹慎	鄉音字類			
忍	忍	ʒən4	文讀	鄉音字類			
荏	荏	ʒən4	①植物名，俗稱“白蘇”。②柔弱，怯懦：色厲內~	鄉音字類			
吮	吮	ʒən4	辣嘴裏~一~。聲母可能存疑	蘇州同音常用字彙			
腎	肾	ʒən4	腰子。聲母或爲[dʒ]	蘇州同音常用字彙			
葚	葚	ʒən4	桑~。聲母或爲[dʒ]	蘇州同音常用字彙			
閏	闰	ʒən6	文讀	鄉音字類			
潤	润	ʒən6	~肺	鄉音字類			
慎	慎	ʒən6	謹~小心	鄉音字類			
昚	昚	ʒən6	古同“愼”	鄉音字類			
蜃	蜃	ʒən6	蛤蜊：~景	鄉音字類			
認	认	ʒən6	文讀	鄉音字類			
仞	仞	ʒən6	①古代計量單位。②測量深度。③同“韌”，堅韌	鄉音字類			
訒	讱	ʒən6	出言緩慢謹慎	鄉音字類			
韌	韧	ʒən6	文讀：~帶	鄉音字類			
韌	韧	ȵiən6	白讀：堅~	蘇州同音常用字彙			
軔	轫	ʒən6	①阻止車輪滑轉的橫木。②古達計算長度單位，八呎爲一軔。③阻止	鄉音字類			
刃	刃	ʒən6	刀~	鄉音字類			
順	顺	ʒən6	~（帶）便：方便	鄉音字類			
甚	甚	ʒən6	~（超）至於：甚至	鄉音字類			
盛	盛	ʒən6	文讀：茂~	鄉音字類			
賃	赁	ʒən6	讀書音	鄉音字類			
賃	赁	ȵiɪn6	出~	蘇州同音常用字彙			
成	成	dʒən2	~功	鄉音字類			
誠	诚	dʒən2	~實	鄉音字類			
城	城	dʒən2	~頭	鄉音字類			
宬	宬	dʒən2	①古代的藏書室。②容納	鄉音字類			
晟	晟	dʒən2	①光明熾盛。②興盛	鄉音字類			
呈	呈	dʒən2	~報	鄉音字類			
程	程	dʒən2	工~	鄉音字類			
裎	裎	dʒən2	①光著身子不穿衣服。②佩戴	鄉音字類			
酲	酲	dʒən2	①飲酒後身體不舒服，或酒後神志不清的樣子。②大醉，失去知覺	鄉音字類			
仍	仍	dʒən2	~舊	鄉音字類			
礽	礽	dʒən2	福祉	鄉音字類			
陾	陾	dʒən2	~~：衆多	鄉音字類			
乘	乘	dʒən2	~風涼：納涼	鄉音字類			
塍	塍	dʒən2	文讀	鄉音字類			
塵	尘	dʒən2	灰~	鄉音字類			
陳	陈	dʒən2	姓	鄉音字類			
臣	臣	dʒən2	~服	鄉音字類			
諶	谌	dʒən2	①相信。②誠然，的確。③姓	鄉音字類			
忱	忱	dʒən2	熱~	鄉音字類			
煁	煁	dʒən2	古代一種可以移動的火爐	鄉音字類			
椹	椹	dʒən2		鄉音字類			
湛	湛	dʒən2	深：~恩	鄉音字類			
丞	丞	dʒən2	~相	鄉音字類			
承	承	dʒən2	~前啟後	鄉音字類			
懲	惩	dʒən2	~罰	鄉音字類			
澂	澂	dʒən2	同“澄”，澄清	鄉音字類			
澄	澄	dʒən2	~清	鄉音字類			
沉	沉	dʒən2	~下去	蘇州同音常用字彙			
朕	朕	dʒən4	①自稱。②秦始皇後，皇帝專屬的自稱。③徵兆，預兆	鄉音字類			
眹	眹	dʒən4	①瞳仁，黑眼珠。②同“朕”，預兆，跡象	鄉音字類			
鄭	郑	dʒən6	姓；~重其事	鄉音字類			
盛	盛	dʒən6	又音	蘇州同音字彙1892			
陣	阵	dʒən2	同“陳”	蘇州同音字彙1892			
陣	阵	dʒən6	戰~	鄉音字類			
嵊	嵊	dʒən6	~縣	鄉音字類			
塍	塍	dʒən6	①田間的土埂子。②小堤	鄉音字類			
酖	酖	dʒən6	毒酒	鄉音字類			
剩	剩	dʒən6	文讀	蘇州同音字彙1892			
霑	霑	tʃœ̃1	①同“沾”，浸濕，沾濕。②比喩受人恩惠	鄉音字類			
沾	沾	tʃœ̃1	~光	鄉音字類			
覘	觇	tʃœ̃1	窺視，觀察	鄉音字類			
苫	苫	tʃœ̃1		鄉音字類			
怗	怗	tʃœ̃1	~懘：樂音不和諧	鄉音字類			
毡	毡	tʃœ̃1	~帽	蘇州同音常用字彙			
氈	毡	tʃœ̃1	用獸毛加膠汁壓製成的織物，可做墊褥或鞋帽等	鄉音字類			
鹯	鹯	tʃœ̃1	鷂類猛禽	鄉音字類			
饘	饘	tʃœ̃1	濃稠的粥	鄉音字類			
旃	旃	tʃœ̃1	①古代一種赤色曲柄的旗。②同“氈”。③文言助詞	鄉音字類			
旜	旃	tʃœ̃1	同“旃”	鄉音字類			
專	专	tʃœ̃1	~心致志學會一種本事	鄉音字類			
磚	砖	tʃœ̃1	靑~：蓋房子的磚，呈靑色	鄉音字類			
顓	颛	tʃœ̃1	①謹慎的樣子。②蒙昧，膽怯。③專，擅。④姓	鄉音字類			
飦	飦	tʃœ̃1	同“饘”	鄉音字類			
甎	砖	tʃœ̃1	同“磚”	鄉音字類			
詹	詹	tʃœ̃1	①說話繁瑣、喋喋不休的樣子。②至。③~事：古代官名。④姓	鄉音字類			
瞻	瞻	tʃœ̃1	~仰	鄉音字類			
贍	赡	tʃœ̃1		蘇州同音常用字彙			
鱣	鳣	tʃœ̃1	卽鱘鰉魚	鄉音字類			
邅	邅	tʃœ̃1	①艱行不進。②艱險。③轉，改變方向	鄉音字類			
展	展	tʃœ̃3	~覽	鄉音字類			
碾	碾	tʃœ̃3		蘇州同音字彙1892			
輾	辗	tʃœ̃3	~轉	鄉音字類			
皽	皽	tʃœ̃3	死皮	鄉音字類			
轉	转	tʃœ̃3	梗~：回過來，換一種一角度	鄉音字類			
剸	剸	tʃœ̃3	切肉貌	蘇州同音字彙1892			
玷	玷	tʃœ̃5		蘇州同音字彙1892			
囀	啭	tʃœ̃5	鳥宛轉地鳴叫	鄉音字類			
戰	战	tʃœ̃5	~~兢兢	鄉音字類			
轉	转	tʃœ̃5	團團~	蘇州同音常用字彙			
襜	襜	tʃʰœ̃1	①工作時圍在身前的衣物，卽蔽膝。②車上的帷幕。③整齊	鄉音字類			
幨	幨	tʃʰœ̃1	①車上的帷幔。②泛指床帳或帳幕。③皺起，突起	鄉音字類			
穿	穿	tʃʰœ̃1	拆~西洋鏡	鄉音字類			
川	川	tʃʰœ̃1	四~	鄉音字類			
舛	舛	tʃʰœ̃3	①錯誤，錯亂。②違背	鄉音字類			
荈	荈	tʃʰœ̃3	茶的老葉，卽粗茶	鄉音字類			
喘	喘	tʃʰœ̃3	氣~	鄉音字類			
諂	谄	tʃʰœ̃3	奉承，獻媚	鄉音字類			
謟	謟	tʃʰœ̃5	疑爲“諂”	蘇州同音字彙1892			
闡	阐	tʃʰœ̃3	①說明，表明：~名。②開，開闢	鄉音字類			
灛	灛	tʃʰœ̃3	古河名，汾水支流，在山東省寧陽縣	鄉音字類			
燀	燀	tʃʰœ̃3	炊，燃燒	鄉音字類			
蕆	蕆	tʃʰœ̃3	①完成，解決。②去貨	鄉音字類			
囅	冁	tʃʰœ̃3	~然：開懷大笑的樣子	鄉音字類			
辴	辴	tʃʰœ̃3	同“囅”	鄉音字類			
釧	钏	tʃʰœ̃5	帶在臂上或手腕上的環形飾物，俗稱“手鐲”	鄉音字類			
串	串	tʃʰœ̃5	~通	蘇州同音常用字彙			
賗	賗	tʃʰœ̃5	粮~	蘇州同音常用字彙			
竄	窜	tʃʰœ̃5	逃~	蘇州同音常用字彙			
閂	闩	ʃœ̃1	門~	蘇州同音常用字彙			
羶	羶	ʃœ̃1	羊身上的臊味	鄉音字類			
扇	扇	ʃœ̃1	~風	蘇州同音常用字彙			
搧	搧	ʃœ̃1	①用手摑臉。②搖動扇子使生風。③同“煽”	蘇州同音常用字彙			
陝	陕	ʃœ̃3	~西	鄉音字類			
扇	扇	ʃœ̃3	一~窗	蘇州同音常用字彙			
閃	闪	ʃœ̃3	~腰	鄉音字類			
掞	掞	ʃœ̃5	舒展，舒發	鄉音字類			
扇	扇	ʃœ̃5	~子	鄉音字類			
煽	煽	ʃœ̃1	~惑人心	蘇州同音字彙1892			
燃	燃	ʒœ̃2	~燒	蘇州同音常用字彙			
船	船	ʒœ̃2	疰~：暈船	鄉音字類			
髯	髯	ʒœ̃2	①兩頰上的鬍鬚。②多鬚的人	鄉音字類			
堧	堧	ʒœ̃2	①江河或城郭邊的土地。②宮殿的外牆	鄉音字類			
壖	壖	ʒœ̃2	同“堧”	鄉音字類			
撋	撋	ʒœ̃2	兩手相互搓揉	鄉音字類			
㨎	㨎	ʒœ̃2	同“撋”	鄉音字類			
擩	擩	ʒœ̃2	同“撋”	鄉音字類			
瓀	瓀	ʒœ̃2	像玉的美石	鄉音字類			
冉	冉	ʒœ̃4	①~~：緩慢行進的樣子；柔弱下垂的樣子；濃密迷漫的樣子。②龜甲的邊緣。③姓	鄉音字類			
苒	苒	ʒœ̃4	~~：草茂盛的樣子；輕柔的樣子；漸漸的樣子	鄉音字類			
染	染	ʒœ̃4	文讀：~指|傳~	鄉音字類			
軟	软	ʒœ̃4	讀書音	鄉音字類			
輭	輭	ʒœ̃4	同“軟”	鄉音字類			
愞	愞	ʒœ̃4	弱	鄉音字類			
善	善	ʒœ̃6	~堂，舊時指育嬰堂、養老院等慈善機構	鄉音字類			
膳	膳	ʒœ̃6	①飯食：~食。②進食	鄉音字類			
繕	缮	ʒœ̃6	①修補：修~。②整治。③謄寫	鄉音字類			
鱔	鳝	ʒœ̃6	黃~	蘇州同音常用字彙			
墡	墡	ʒœ̃6	白~	蘇州同音常用字彙			
蟮	蟮	ʒœ̃6	蛐~	蘇州同音常用字彙			
墠	墠	ʒœ̃6	祭祀的場地	鄉音字類			
擅	擅	ʒœ̃6	~專	鄉音字類			
嬗	嬗	ʒœ̃6	更替，演變	鄉音字類			
椫	椫	ʒœ̃6	一種有白紋的樹可製成梳子、勺子等器物	鄉音字類			
贍	赡	ʒœ̃6	~養	鄉音字類			
傳	传	dʒœ̃2	~票	鄉音字類			
椽	椽	dʒœ̃2	~子	鄉音字類			
遄	遄	dʒœ̃2	疾速	鄉音字類			
歂	歂	dʒœ̃2	①喘氣。②姓	鄉音字類			
廛	廛	dʒœ̃2	①古代城市中可供平民居住的宅地。②店鋪	鄉音字類			
纏	缠	dʒœ̃2	~弗清	鄉音字類			
躔	躔	dʒœ̃2	①獸走過的足跡。②天體的運行	鄉音字類			
瀍	瀍	dʒœ̃2	~河：水名，在河南省	鄉音字類			
纒	缠	dʒœ̃2	同“纏”	蘇州同音字彙1892			
嬋	婵	dʒœ̃2	~娟：姿態美好；指美女；指月亮	鄉音字類			
禪	禅	dʒœ̃2	參~	鄉音字類			
蟬	蝉	ʒœ̃2	~聯	蘇州同音字彙1892			
蟬	蝉	dʒœ̃2	又音	鄉音字類			
澶	澶	dʒœ̃2	水靜止不動	鄉音字類			
蟾	蟾	dʒœ̃2	~宮客：科舉考中進士的人	鄉音字類			
篆	篆	dʒœ̃6	~書	鄉音字類			
瑑	瑑	dʒœ̃6	①玉器上所雕刻的花紋。②在玉器上雕刻花紋	鄉音字類			
縳	䌸	dʒœ̃6	①白色細絹。②縛、綁	鄉音字類			
朱	朱	tʃʯ1	姓	鄉音字類			
珠	珠	tʃʯ1	~子	鄉音字類			
