"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	1	"支枝[(文)]肢梔資姿咨茲滋輜[～重]之芝"
"z"	"tsɿ"	3	"紫紙姊脂旨指子梓止趾址"
"z"	"tsɿ"	5	"制刺智只[～有]翅至置志誌痣蟄執質隻[(文)]炙[(文)]職枳[～木]"
"c"	"tsʰɿ"	1	"雌疵癡攡[伸：～手～腳(動手動腳)]"
"c"	"tsʰɿ"	3	"此侈恥齒蚩嗤[～笑]"
"c"	"tsʰɿ"	5	"次稚秩"
"s"	"sɿ"	1	"斯廝撕施私師獅尸司絲思詩嘶鷥[鷺～子]"
"s"	"sɿ"	2	"池馳匙瓷糍遲慈磁辭詞祠飼持時鰣遲蒔[～竹]"
"s"	"sɿ"	3	"豕死矢屎使史駛始"
"s"	"sɿ"	5	"世勢賜四肆試式適"
"s"	"sɿ"	6	"誓逝是氏豉[豆～]自視嗜示似祀巳字寺嗣痔治士仕柿俟事市侍"
"bi"	"pi"	1	"蓖鞭邊辮鯿屄"
"bi"	"pi"	2	"皮疲脾琵枇便[～宜]"
"bi"	"pi"	3	"彼鄙比秕貶蝙扁匾"
"bi"	"pi"	5	"閉臂庇痹泌變鱉斃畢必碧壁[(文)]璧鮍[鰟～屎：鰟～]潷[～米湯]"
"bi"	"pi"	6	"辨辯便[方～]敝弊幣陛蔽被婢篦箅"
"bi"	"pi"	7	"憋筆逼"
"pi"	"pʰi"	1	"批披編偏篇"
"pi"	"pʰi"	3	"痞"
"pi"	"pʰi"	5	"譬屁鼻騙別[區～，離～]遍片弼避僻辟撇䏘[麻～：屄]"
"pi"	"pʰi"	7	"劈[(文)]匹"
"mi"	"mi"	1	"瞇"
"mi"	"mi"	2	"迷謎[(文)～語]糜彌靡眉楣綿棉眠"
"mi"	"mi"	3	"米美免勉緬澠"
"mi"	"mi"	5	"密蜜覓篾秘媚滅"
"mi"	"mi"	6	"面謎[(白)～子：謎語]沕[射～子：潛水]"
"mi"	"mi"	7	"搣[剝，掰]"
"di"	"ti"	1	"爹[(文)]低掂顛癲"
"di"	"ti"	2	"題提[(文)]蹄啼堤甜田填"
"di"	"ti"	3	"底抵點典"
"di"	"ti"	5	"帝店的[目～]柢[碗～公：碗底]踮滴[(文)水～]"
"di"	"ti"	6	"弟第墊遞簟電殿奠靛[脫～：褪色]"
"di"	"ti"	7	"敵嫡"
"ti"	"tʰi"	1	"梯添天"
"ti"	"tʰi"	3	"體舔腆"
"ti"	"tʰi"	5	"替涕剃屜疊蝶諜牒碟剔笛狄"
"ti"	"tʰi"	7	"帖貼鐵踢"
"li"	"li"	2	"黎犁離籬璃釐廉鐮簾"
"li"	"li"	3	"禮履李里理鯉狸楝[苦～子樹]"
"li"	"li"	5	"殮獵立笠粒例厲勵麗隸斂栗[板～子]捩[歪；扭傷]"
"li"	"li"	6	"荔痢吏濾[(又)]類[(又)]慮[(又)]淚"
"li"	"li"	0	"哩[助詞，既可用於句中動詞或動詞短語後表完成，又可用於句末肯定事態出現了變化或即將出現變化，與「了」基本相當]"
"zi"	"tsi"	1	"尖煎箋櫼[楔子]"
"zi"	"tsi"	2	"錢前齊臍潛"
"zi"	"tsi"	3	"剪擠姐[(文)]"
"zi"	"tsi"	5	"箭薦績祭際穄濟劑跡脊[(文)(又)]濺[水花四～]"
"zi"	"tsi"	6	"踐餞漸"
"zi"	"tsi"	7	"即鯽[(又)]積接節癤"
"ci"	"tsʰi"	1	"妻簽籤殲遷千鉛[(文)]扦"
"ci"	"tsʰi"	3	"且"
"ci"	"tsʰi"	5	"緝集輯砌藉妾捷截切[一～]疾籍戚寂"
"ci"	"tsʰi"	7	"切[～開]七漆膝"
"si"	"si"	1	"西仙先㮇"
"si"	"si"	3	"洗"
"si"	"si"	5	"襲屑[(文)不～一顧]瀉[(文)]卸[(文)]謝[(文)]細鏾惜昔夕錫[(文)]析線羨悉穗"
"si"	"si"	7	"息熄媳洩習屑[(白)木～]席"
"zhi"	"tɕi"	1	"幾[～乎]機譏雞稽知飢饑肌基屐[(文)]枝[(白)]"
"zhi"	"tɕi"	2	"畦奇騎歧祁鰭祈期旗其棋"
"zhi"	"tɕi"	3	"幾[～個]己紀麂"
"zhi"	"tɕi"	5	"既冀季吸給[團～]級計繼繫[～鞋帶]髻寄記擊脊[(文)(又)]激"
"zhi"	"tɕi"	6	"技妓忌企系[～統]繫[桶子等器物上供：手提的部分：箢箕～]徛[站]"
"zhi"	"tɕi"	7	"急結[～合]蜘[～蛛]汁織吉即[(又)]膱[油或油質食物變質]"
"zhi"	"tɕi"	0	"唧[伢～：男孩兒]"
"chi"	"tɕʰi"	1	"溪欺"
"chi"	"tɕʰi"	3	"起啟杞豈"
"chi"	"tɕʰi"	5	"去[(白)]契器棄氣汽及泣殖植極斥乞直值侄"
"chi"	"tɕʰi"	7	"赤[(文)]尺[(文)]吃"
"shi"	"ɕi"	1	"犧嬉熙希稀兮奚"
"shi"	"ɕi"	3	"喜"
"shi"	"ɕi"	5	"實失室食蝕識適釋石[(文)]戲十什拾飾"
"shi"	"ɕi"	7	"濕"
"gi"	"ki"	1	"沾粳[～米]瞻更[～換]庚兼氈肩堅跟根耕"
"gi"	"ki"	2	"鉗纏乾[～坤]虔"
