"t0序"	"t0用字"	"记音"	"备注"
"1"	"多"	"to1"	""
"2"	"拖"	"tʰo1"	""
"3"	"他"	"tʰa1"	""
"4"	"駝"	"tʰo2"	""
"5"	"馱"	"tʰo2"	""
"6"	"陀"	"tʰo2"	""
"7"	"沱"	"tʰo2"	""
"8"	"鸵"	"tʰo2"	""
"9"	"舵"	"to5"	""
"10"	"大"	"ta5"	""
"12"	"馱"	"tʰo2"	""
"13"	"挪"	"lo2"	""
"14"	"哪"	"la2"	""
"15"	"那"	"la5"	""
"16"	"羅"	"lo2"	""
"17"	"鑼"	"lo2"	""
"18"	"籮"	"lo2"	""
"19"	"萝"	"lo2"	""
"20"	"逻"	"lo2"	""
"21"	"左"	"ʦo3"	""
"22"	"佐"	"ʦo3"	""
"23"	"搓"	"ʦʰo1"	""
"25"	"娑"	"so1"	""
"26"	"歌"	"ko1"	""
"27"	"哥"	"ko1"	""
"28"	"柯"	"kʰo1"	""
"29"	"個"	"ko5"	""
"30"	"可"	"kʰo3"	""
"31"	"蛾"	"ŋo2"	""
"32"	"鵝"	"ŋo2"	""
"33"	"俄"	"ŋo2"	""
"34"	"娥"	"ŋo2"	""
"35"	"我"	"ŋo3"	""
"36"	"餓"	"uo5"	""
"37"	"荷"	"xo2"	""
"38"	"河"	"xo2"	""
"39"	"何"	"xo2"	""
"40"	"荷"	"xo2"	""
"41"	"賀"	"xo4"	""
"43"	"阿"	"ŋa1"	""
"44"	"阿"	"ŋo1"	""
"45"	"茄"	"ʨʰye2"	""
"46"	"波"	"po1"	""
"47"	"菠"	"po1"	""
"48"	"跛"	"pai1"	""
"48"	"跛"	"po3"	""
"49"	"簸"	"po3"	""
"51"	"頗"	"pʰo2"	""
"52"	"坡"	"pʰo1"	""
"53"	"玻"	"po1"	""
"54"	"破"	"pʰo5"	""
"55"	"婆"	"pʰo2"	""
"56"	"薄"	"po2"	""
"57"	"魔"	"mo2"	""
"58"	"磨"	"mo2"	""
"59"	"摩"	"mo1"	""
"60"	"饃"	"mo2"	""
"61"	"蘑"	"mo2"	""
"62"	"磨"	"mo2"	""
"63"	"朵"	"to3"	""
"64"	"躲"	"to3"	""
"65"	"剁"	"to4"	""
"66"	"妥"	"tʰo3"	""
"67"	"椭"	"tʰo3"	""
"68"	"唾"	"tʰo5"	""
"69"	"惰"	"to5"	""
"70"	"堕"	"to5"	""
"71"	"挼"	"zua2"	""
"72"	"糯"	"lo5"	""
"73"	"懦"	"lo5"	""
"74"	"騾"	"lo2"	""
"75"	"螺"	"lo2"	""
"76"	"腡"	"lo2"	""
"77"	"囉"	"lo2"	""
"78"	"裸"	"lo3"	""
"79"	"瘰"	"lo3"	""
"80"	"摞"	"lo5"	""
"81"	"銼"	"ʦʰo5"	""
"82"	"莝"	"ʦʰo5"	""
"83"	"矬"	"ʦʰo2"	""
"84"	"坐"	"ʦo5"	""
"85"	"座"	"ʦo5"	""
"86"	"蓑"	"so1"	""
"87"	"梭"	"so1"	""
"88"	"唆"	"so1"	""
"89"	"莎"	"sa1"	""
"90"	"鎖"	"so3"	""
"91"	"瑣"	"so3"	""
"92"	"唢"	"so3"	""
"94"	"鍋"	"kuo1"	""
"95"	"戈"	"ko2"	""
"96"	"果"	"kuo3"	""
"97"	"裹"	"kuo3"	""
"98"	"馃"	"kuo3"	""
"99"	"過"	"kuo5"	""
"100"	"科"	"kʰo1"	""
"101"	"窠"	"kʰua1"	""
"102"	"棵"	"kʰo1"	""
"103"	"顆"	"kʰo3"	""
"104"	"課"	"kʰo5"	""
"105"	"訛"	"ŋo2"	""
"106"	"臥"	"uo5"	""
"107"	"火"	"xuo3"	""
"108"	"夥"	"xuo3"	""
"109"	"貨"	"xuo5"	""
"110"	"和"	"xuo2"	""
"111"	"禾"	"xuo2"	""
"112"	"禍"	"xuo5"	""
"113"	"和"	"xuo2"	""
"114"	"倭"	"uo1"	""
"115"	"踒"	"uo1"	""
"116"	"窝"	"uo1"	""
"117"	"涡"	"uo1"	""
