	0	ɑ	ɑʔ	aʔ	ɔ	ã	ɑ̃	o	oʔ	ø	oŋ	ɛ	əʔ	ᴇ	ən	ər	ɿ	ʮ	i	iɑ	iɑʔ	iaʔ	iɔ	iã	iɑ̃	io	ioʔ	ʏø	ioŋ	iɛ	iəʔ	in	u	əu	uɑ	uaʔ	uã	uɑ̃	uo	uoʔ	uø	uɛ	uəʔ	uᴇ	uən	y	ʏ	øʏ	yəʔ
p		[1]爸叭鲃疤芭笆[3]摆把巴[5]拜靶	[7a]百伯柏八掰䌟(~辫子)		[1]包疱苞鲍胞褒煲鸨[3]宝保褓葆堡报(2)饱[5]报豹爆	[1]浜捠(~开)绷	[1]帮邦[3]绑磅榜膀谤	[1]芭-疤-笆-鲃-[3]把-巴-䌟-[5]坝霸靶-	[7a]剥拨博搏膊八-捌钵卜北驳	[1]搬般[5]半	[1]崩[5]蹦	[1]班班癍颁扳[3]板版舨坂[5]扮	[7a]不鹁给-被-	[1]杯背卑碑彼贝悲蓖[3]狈[5]辈	[1]奔畚犇[3]本苯				[1]臂屄[3]比庇妣毖陛闭泌秘-匕婢[5]敝蔽鄙				[1]标彪表镖膘骠飙[3]表(2)裱[5]婊							[1]边编鞭煸匾[3]扁笾[5]变遍鳊蝙贬	[7a]笔逼滗憋鳖瘪必壁璧毕碧弼	[1]兵宾滨槟鬓殡缤丙炳彬斌冰[3]饼并秉迸[5]柄鈵(用力憋住)禀	[1]波菠簸播[3]补怖佈[5]布玻																
b		[2]排徘牌稗爬[4]罢吧[5]败	[8]白铂	[8]拔	[2]跑袍咆雹[4]抱[5]暴瀑爆(2)曝刨	[2]朋-棚-鹏-彭膨[4]碰[5]甏蚌	[2]庞膀(2~胱)鳑螃防-[4]棒[5]旁傍谤彷	[2]琶爬-耙趴扒[4]罢-[5]杷钯	[8]薄博-帛箔	[2]盘瀊槃磐[4]伴拌畔绊[5]叛蟠□（藏起来）	[2]蓬篷[5]塳嘣	[2]爿爬-(2)[4]办瓣	[8]勃浡渤悖脖鼻-(2)（~相）别(2)（~人）□（反复说）	[2]赔陪裴[4]备被蓓焙[5]倍培背(2)（~书）珮佩	[2]盆朋棚鹏[5]笨畚				[2]皮疲啤脾肥(2)（~皂）[4]避币弊毖毙鐾被(2)（~头）[5]琵鲏				[2]嫖瓢朴(2)（姓）							[4]辫辨辩卞[5]便	[8]别蹩枇鼻	[2]平苹萍频瓶凭贫[4]评[5]病屏并(2)	[2]婆蒲匍(2)卜(2)（萝~）[4]部篰簿阜埠[5]步孵-菩匍葡脯捕哺																
pʰ		[1]派(2)（~头）[5]派怕	[7b]拍迫泊粕珀舶啪		[1]抛[5]炮泡	[1]乓閛□（~雨）[5]碰（~麻将）	[4]膀3(腿)髈[5]胖	[5]怕-	[7a]扑仆朴泼魄蹼璞奤	[1]潘[5]判剖	[4]捧怦	[1]攀[5]盼襻		[1]胚丕坯沛[3]呸[5]配	[1]喷烹				[1]批砒披痞譬□(横削)[3]癖[5]屁				[1]漂缥飘瞟[5]票殍							[1]偏篇翩[5]骗片	[7b]劈辟霹噼僻撇匹	[1]乒拼[4]品砰聘[5]姘(~头)	[1]坡颇铺(动词)潽[4]普谱浦埔莆[5]破铺2(名词)圃																
m	[1]姆[2]磨-沫2(~~头)[4]亩-[5]呒	[1]妈吗[2]埋-麻嘛[4]马码玛蚂买-卖-[5]骂	[8]麦脉陌	[8]袜	[2]毛旄牦髦耄猫锚帽瑁矛茅貌卯茆[4]冒[5]铆懋牡	[4]孟2(姓)蜢□(密)[5]猛2(~将)	[2]忙盲芒氓茫莽蟒惘魍[4]网忘-[5]望-亡-往-	[1]母拇[2]模麻-嘛-磨[4]幕墓慕暮募马-蚂-码-玛-嬷[5]骂-蘑魔摩牟馍	[8]木沐摸末2(慢)抹茉目苜睦牧穆莫漠膜寞蟆么	[1]襔(棉袍)[2]瞒螨蹒幔嫚[4]满[5]馒鳗	[1]懵[5]梦朦蒙濛檬	[1]蛮1[2]埋蛮咩[5]慢曼漫买卖迈晚2万2(麻将语)	[7a]没殁[8]墨末沫默物2(~事)	[1]每姆媚[2]妹煤媒嵋梅霉酶[4]寐玫莓媚眉2(画~)[5]美镁枚昧魅	[1]闷焖扪[2]门们盟萌闻-蚊-[3]猛孟[5]问-明2(~朝)				[1]咪眯醚渳[2]迷谜沵[3]秘泌[4]米[5]弥猕味-糜眉				[1]藐喵[2]苗描瞄缪淼[3]秒妙渺缈[5]庙							[1]勉冕腼[2]棉眠绵娩缅[3]面(量词)[4]免[5]面	[8]灭蔑篾觅幂密蜜	[1]鸣茗铭闽敏皿酩冥暝螟[3]抿脗(无间隙)[4]名明民岷珉闵悯[5]命																[4]茂某谋眸贸谬亩	
f				[7a]发法珐砝			[1]方芳妨坊舫[3]访纺[5]放仿		[7a]福幅复腹馥蝠覆		[1]风丰峰蜂烽锋讽疯枫封葑[3]俸	[1]翻番幡[3]反返贩[5]泛㽹(恶心欲吐)	[7a]勿弗拂彿		[1]分吩纷芬[3]粉奋[5]粪				[1]飞非诽痱扉绯菲霏翡蜚啡妃[5]肺费沸废匪吠				[1]覅										[1]夫扶伕麸肤敷甫孚俘孵讣葑2[3]府咐俯腑傅2(姓)赋副2(量词)[5]付副富匐辅芙麸斧釜赴抚															[1]否	
v				[8]罚伐阀筏乏			[2]房防[5]亡忘望		[8]服伏袱茯缚		[2]缝2(动词)[5]冯凤奉逢缝(名词)	[2]烦繁樊梵矾[4]犯[5]范万凡帆饭	[8]佛物		[2]文汶蚊纹坟玟雯紊闻吻刎焚氛[5]份愤问忿				[2]肥微薇[4]未味费2(姓)尾[5]维唯惟潍														[2]符附驸抚负浮腐巫诬-雾毋戊[4]父武鹉妇怃芜务侮傅[5]舞妩无																
t		[1]带2(~子)[5]带-戴-		[7a]搭褡嗒鎝瘩溚答耷□(~肥皂)	[1]刀叨[5]到岛[3]倒捣	[3]打	[1]当裆[3]挡[5] 党档铛当2(上~)		[7a]笃督铎拓厾啄-	[1]端单3(褥~)[3]短锻掸断2(决断)	[1]东冬咚[3]董懂栋[5]冻	[1]丹单箪诞耽担[3]旦胆疸[5]担2(量词)歹带郸	[7a]得德掇□(粘)	[1]堆戴呆[5]对	[1]灯登蹬凳瞪磴敦礅墩镦蹲[3]等吨顿遁趸礅[5]炖盹戰				[1]低[3]底抵诋邸[5]帝蒂谛缔啼	[1]爹[3]嗲			[1]刁叼貂凋碉雕[3]鸟-[5]吊钓掉							[1]颠癫巅掂惦踮玷[3]点典碘腆[5]店	[7a]的滴嫡嘀摘2跌	[1]丁疔盯仃钉(名词)酊叮[3]顶鼎[5]订钉2(动词)		[1]多都嘟哆[3]朵躲赌堵睹妒剁垛跺肚2(胃)														[1]丢兜[3]抖斗2(名词)斗3(量词)蚪枓逗窦陡[5]斗(动词)	
d		[4]大笪[5]汰趟2(一~路)		[8]达闼挞踏	[2]逃桃盗道导悼祷陶萄[4]稻蹈[5]掏淘		[2]糖唐搪塘堂漟棠螳嘡镗膛[4]荡宕砀凼		[8]读毒渎独犊牍踱-	[2]潭谭2(姓)缎团[4]断[5]段蛋-	[2]同铜侗桐挏胴童瞳憧潼[4]动恸桶筒[5]洞烔	[2]谈痰但檀谭弹2(动词)[4]淡氮[5]蛋弹	[8]特夺叠突凸□(丢失)	[2]台抬苔怠坛埭澹昙[4]贷黛岱玳待[5]队代袋逮兑	[2]腾藤疼盾遁誊屯囤饨臀豚鲀[5]钝邓(姓)邓2(形容词，触 霉头)邓3(动词，数落)				[2]提堤醍题递啼蹄[4]弟娣隶棣[5]地第				[2]条迢苕窕[4]掉2(摇动、互换、转向)调2[5]调							[2]甜田沺佃钿甸滇阗[4]电垫殿淀奠[5]填	[8]敌迪笛狄荻迭凸2碟谍蝶涤 籴叠2	[2]停亭婷庭霆廷蜓[4]锭[5]定		[2]图途涂屠坨砣驼陀驮堕惰[4]杜肚[5]舵度渡镀踱徒大-														[2]头骰痘[4]投[5]豆	
tʰ		[1]他她它泰太-[5]酞钛		[7b]塔沓遢溻塌搨榻蹋獭	[1]涛滔韬焘[4]讨[5]套(动词)套2(量词)	[1]□(~~啼)[5]铴 (~锣)	[1]汤挡2(挡住)[4]淌倘躺耥傥[5]烫趟		[7b]托讬秃颓拓庹	[1]贪瘫-滩-摊-煓[5]探撢湍	[1]通彤[4]捅[5]痛统	[1]滩瘫摊坍太[4]毯态叹忐[5]碳炭太2坦	[7b]脱蜕忒忑	[1]胎苔2推[4]腿[5]退褪	[1]吞熥[4]氽				[1]梯悌锑屉[4]体嚏涕倜[5]替剃				[1]挑[5]跳祧眺							[1]天添[4]舔添[5]恬	[7b]踢剔惕铁贴帖	[1]听厅汀[4]挺艇听2(量词)[5]□(剩下)		[1]拖兔[4]土吐唾堍椭[5]妥毻(脱毛)														[1]偷[4]㪗[5]透	
n		[1]那哪娜[2]拿[3]挪[4]奶艿		[8]捺衲纳2呐	[4]脑瑙[5]闹恼挠		[2]囊囔	[2]挪-拿-[5]哪2(~吒)	[8]诺喏	[1]囡囝[2]男南楠喃腩[4]暖煖媛	[1]□(将就)[2]农脓哝拿-(老派)[4]侬[5]弄(动词)	[2]难[4]鼐奈倷奶2(~~，祖母)[5]内乃	[8]讷钠纳	[4]馁[5]耐内2(~容)	[2]能																			[2]糯挼[3]努弩懦[5]奴怒														[4]你-	
