字	IPA	原文	客拼	源	備注		到格拉夫覈校，2024年12月更新		
吖	a1	a1	a1	客法辭典					
阿	a1	a1	a1	客法辭典					
阿	a5	a5	a5	客法辭典	【替字】本字爲「下」，到、往。纏～樹上。				
阿	o1	o1	o1	客法辭典					
嗄	sa5	sa5	sa5	客法辭典					
啊	o1	o1	o1	客法辭典					
哀	oi1	oi1	oi1	客法辭典					
埃	ai1	ai1	ai1	客法辭典					
挨	ai1	ai1	ai1	客法辭典					
挨	iai1	yai1	iai1	客法辭典					
唉	ai1	ai1	ai1	客法辭典					
唉	oi1	oi1	oi1	客法辭典					
欸	ai1	ai1	ai1	客法辭典					
捱	ŋai5	ngai5	ngai5	客法辭典					
捱	ai1	ai1	ai1	客法辭典					
啀	ŋai2	ngai2	ngai2	客法辭典					
凒	kʰi2	k'i2	ki2	客法辭典					
溰	kʰi2	k'i2	ki2	客法辭典					
毐	ai1	ai1	ai1	客法辭典					
矮	ai3	ai3	ai3	客法辭典					
濭	ai5	ai5	ai5	客法辭典					
藹	ai5	ai5	ai5	客法辭典					
靄	ai5	ai5	ai5	客法辭典					
艾	ȵe5	gne5	nje5	客法辭典					
艾	ȵiai5	gniai5	njiai5	客法辭典					
隘	ai5	ai5	ai5	客法辭典					
嗌	it7	yt7	id7	客法辭典					
愛	oi5	oi5	oi5	客法辭典					
僾	oi5	oi5	oi5	客法辭典					
壒	ai5	ai5	ai5	客法辭典					
薆	oi5	oi5	oi5	客法辭典					
噯	oi5	oi5	oi5	客法辭典					
曖	oi5	oi5	oi5	客法辭典					
礙	ŋoi3	ngoe'3	ngoi3	客法辭典					
譺	ȵi3	gni3	nji3	客法辭典					
安	on1	on1	on1	客法辭典					
侒	on1	on1	on1	客法辭典					
桉	on5	on5	on5	客法辭典					
庵	am1	am1	am1	客法辭典					
鞍	on1	on1	on1	客法辭典					
諳	am1	am1	am1	客法辭典					
闇	am5	am5	am5	客法辭典	閉合。～豆苗，蓋住豆苗以生芽。～窯，關上口子使窯悶熱。				
鵪	em1	em1	em1	客法辭典					
雸	kam1	kam1	gam1	客法辭典					
俺	iam3	yam3	iam3	客法辭典					
埯	iam3	yam3	iam3	客法辭典					
唵	iam3	yam3	iam3	客法辭典					
揞	em1	em1	em1	客法辭典	捂(嘴)。～啜。				
揞	am1	am1	am1	客法辭典	【替字】趴。打～仆，趴着。				
