"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	1	"资姿咨滋"
"z"	"tsɿ"	3	"雌紫[(文)]姊[～妹]纸脂旨指[动词；量词：几～膘]子籽梓[～木树]止趾"
"z"	"tsɿ"	5	"做翅[翼～：翅膀]指[手～崽：手指头]痣"
"c"	"tsʰɿ"	1	"摛[伸]差[参～]侈[奢～]"
"c"	"tsʰɿ"	2	"池[(文)～塘]慈[(文)～悲]磁词迟[(文)～到]持秩[(文)]赤[(文)～脚医生]斥"
"c"	"tsʰɿ"	3	"紫[(白)]此耻址齿"
"c"	"tsʰɿ"	5	"刺赐次伺"
"zz"	"dzɿ"	2	"池[(白)～子]瓷糍慈[(白)～姑]迟[(白)来～]祠秩[(白)]"
"zz"	"dzɿ"	3	"是"
"zz"	"dzɿ"	5	"匙[(白)锁～：钥匙]自字牸[～牛：幼小雌性黄牛]巳[干支]柿[(白)～花：柿子]侍"
"s"	"sɿ"	1	"斯撕私师狮尸司丝思"
"s"	"sɿ"	2	"屎[(1)～痂：排泄和分泌物；渣滓]"
"s"	"sɿ"	3	"死"
"s"	"sɿ"	5	"四似寺[(1)]饲士事"
"zr"	"tʂʅ"	1	"鸡知支枝肢栀[黄～槎：黄栀子]只[～有]痴[～呆]之芝[～麻]箕[簸～]机[(白)缝纫～]织[(白)～布]"
"zr"	"tʂʅ"	3	"举[(白)(2)～手]几[～个]"
"zr"	"tʂʅ"	5	"制系[～鞋带]智致至置治志纪[(白)年～]记[(白)～倒：记得]继[(白)拜～]季[(白)春～]蛰[惊～]炙[(文)～热]"
"zr"	"tʂʅ"	7	"执汁侄质织[(文)～女]直[(文)～接]值[(3)～班]职殖植质"
"cr"	"tʂʰʅ"	1	"欺[(白)莫～渠]值[(白)(2)～价：有骨气，不轻易屈就]"
"cr"	"tʂʰʅ"	3	"举[(白)(1)～起]启[(白)～發]起"
"cr"	"tʂʰʅ"	5	"契气[(白)臭～]汽[(白)～水]泣直[(白)耿～]值[(白)(1)～好多钱]"
"cr"	"tʂʰʅ"	7	"尺[(文)～寸]"
