id	ini	fn	pt	middeng	middiao	midini	midkaihe	midshe	midyun	单字	IPA	注释
1	t	ɔ	52	三	入	羣	合	通	燭	多	tɔ52	多少
2	tʰ	ɔ	52	一	平	影	開		歌	拖	tʰɔ52	拖拉机
3	tʰ	a	52	一	平	影	開		歌	他	tʰa52	其他
4	t	ɔ	342	一	平	影	開		歌	駝	tɔ342	骆驼
5	t	ɔ	342	一	平	影	開		歌	舵	tɔ342	舵手
6	t	a	22	一	平	影	開		歌	大	ta22	大夫、大黄
7	l	a	13	一	平	影	開		歌	哪	la13	哪里；哪吒
8	l	a	13	一	平	影	開		歌	那	la13	那里；那霍（地名）
9	l	ɔ	342	一	平	影	開		歌	羅	lɔ342	姓
10	l	ɔ	342	一	平	影	開		歌	鑼	lɔ342	锣鼓
11	l	ɔ	342	一	平	影	開		歌	蘿	lɔ342	萝卜
12	l	ɔ	342	一	平	影	開		歌	籮	lɔ342	箩筐
13	tʃ	ɔ	55	一	平	影	開		歌	左	tʃɔ55	左右
14	tʃ	ɔ	55	一	平	影	開		歌	佐	tʃɔ55	辅佐
15	tʃʰ	ɔ	52	一	平	影	開		歌	搓	tʃʰɔ52	搓手
16	k	ɔ	52	一	平	影	開		歌	歌	kɔ52	唱歌
17	k	ɔ	52	一	平	影	開		歌	哥	kɔ52	哥哥
18	k	ɔ	33	一	平	影	開		歌	個	kɔ33	一个
19	h	ɔ	55	一	平	影	開		歌	可	hɔ55	可以
20	ŋ	ɔ	342	一	平	影	開		歌	蛾	ŋɔ342	飞蛾
21	ŋ	ɔ	342	一	平	影	開		歌	鵝	ŋɔ342	天鹅
22	ŋ	ɔ	342	一	平	影	開		歌	俄	ŋɔ342	俄国
23	ŋ	ɔ	13	一	平	影	開		歌	我	ŋɔ13	我们
24	ŋ	ɔ	22	一	平	影	開		歌	餓	ŋɔ22	肚子饿
25	h	ɔ	342	一	平	影	開		歌	荷	hɔ342	薄荷
26	h	ɔ	342	一	平	影	開		歌	河	hɔ342	黄河
27	h	ɔ	342	一	平	影	開		歌	何	hɔ342	姓何
28	h	ɔ	342	一	平	影	開		歌	荷	hɔ342	荷花
29	h	ɔ	22	一	平	影	開		歌	賀	hɔ22	祝贺
30		ɔ	52	一	平	影	開		歌	阿	ɔ52	阿哥
31		ɔ	52	一	平	影	開		歌	阿	ɔ52	阿胶；阿弥陀佛
32	k	ɛ	342	一	平	影	開		歌	茄	kɛ342	茄子
33	p	ɔ	52	一	平	影	開		歌	波	pɔ52	风波
34	p	ɔ	52	一	平	影	開		歌	菠	pɔ52	菠菜
35	p	ai	52	一	平	影	開		歌	跛	pai52	跛足
36	p	ui	22	一	平	影	開		歌	簸	pui22	簸箕
37	p	ɔ	33	一	平	影	開		歌	播	pɔ33	播种
38	p	ɔ	52	一	平	影	開		歌	坡	pɔ52	山坡
39	p	ɔ	52	一	平	影	開		歌	玻	pɔ52	玻璃
40	pʰ	ɔ	33	一	平	影	開		歌	破	pʰɔ33	破坏
41	p	ɔ	342	一	平	影	開		歌	婆	pɔ342	外婆
42	p	œk	022	一	平	影	開		歌	薄	pœk2	薄荷
43	m	ɔ	52	一	平	影	開		歌	魔	mɔ52	魔术
44	m	ɔ	342	一	平	影	開		歌	磨	mɔ342	磨刀（动）
45	m	ɔ	52	一	平	影	開		歌	摩	mɔ52	摩擦
46	m	ɔ	22	一	平	影	開		歌	磨	mɔ22	石磨（名）
47	t	œ	55	一	平	影	開		歌	朵	tœ55	一朵花
48	t	œ	55	一	平	影	開		歌	躲	tœ55	躲避
49	t	ot	033	一	平	影	開		歌	剁	tot3	剁猪肉
50	tʰ	œ	13	一	平	影	開		歌	妥	tʰœ13	妥当
51	ʃ	oi	22	一	平	影	開		歌	唾	ʃoi22	唾液
52	n	ɔ	22	一	平	影	開		歌	糯	nɔ22	糯米
53	l	ɔ	342	一	平	影	開		歌	螺	lɔ342	田螺
54	l	ɔ	342	一	平	影	開		歌	腡	lɔ342	手指纹
55	l	ɔ	22	一	平	影	開		歌	囉	lɔ22	啰嗦
56	tʃʰ	ɔ	33	一	平	影	開		歌	銼	tʃʰɔ33	锉刀
57	tʃ	ɔ	13	一	平	影	開		歌	坐	tʃɔ13	请坐
58	tʃ	ɔ	22	一	平	影	開		歌	座	tʃɔ22	座位
60	ʃ	ɔ	52	一	平	影	開		歌	梭	ʃɔ52	织布梭
61	ʃ	ɔ	52	一	平	影	開		歌	唆	ʃɔ52	唆使
62	ʃ	ɔ	55	一	平	影	開		歌	鎖	ʃɔ55	门锁
63	ʃ	ɔ	55	一	平	影	開		歌	瑣	ʃɔ55	琐碎
64		uɔ	52	一	平	影	開		歌	鍋	uɔ52	砂锅；锅铲
65	kʰ	ɔ	52	一	平	影	開		歌	戈	kʰɔ52	大动干戈
66	k	uɔ	55	一	平	影	開		歌	果	kuɔ55	水果
67	k	uɔ	55	一	平	影	開		歌	裹	kuɔ55	包裹
68	k	uɔ	33	一	平	影	開		歌	過	kuɔ33	过去
69	kʰ	uɔ	52	一	平	影	開		歌	科	kʰuɔ52	文科
70	kʰ	uɔ	52	一	平	影	開		歌	棵	kʰuɔ52	一棵
71	kʰ	uɔ	52	一	平	影	開		歌	顆	kʰuɔ52	颗粒
72	kʰ	uɔ	33	一	平	影	開		歌	課	kʰuɔ33	上课
74	ŋ	ɔ	22	一	平	影	開		歌	臥	ŋɔ22	卧室
75	f	ɔ	55	一	平	影	開		歌	火	fɔ55	火车
76	f	ɔ	55	一	平	影	開		歌	伙	fɔ55	伙食
77	f	ɔ	55	一	平	影	開		歌	夥	fɔ55	伙计，合伙
78	f	ɔ	33	一	平	影	開		歌	貨	fɔ33	货物
79		uɔ	342	一	平	影	開		歌	和	uɔ342	和气
80		uɔ	342	一	平	影	開		歌	禾	uɔ342	禾苗
81		uɔ	22	一	平	影	開		歌	禍	uɔ22	祸害
82		uɔ	342	一	平	影	開		歌	和	uɔ342	和诗，唱和
83		uɔ	55	一	平	影	開		歌	倭	uɔ55	倭寇
84		uɔ	52	一	平	影	開		歌	窩	uɔ52	鸟窝
85		uɔ	52	一	平	影	開		歌	萵	uɔ52	莴笋
86	kʰ	œ	52	一	平	影	開		歌	靴	kʰœ52	*靴子
87	p	a	52	一	平	影	開		歌	巴	pa52	巴掌
88	p	a	52	一	平	影	開		歌	芭	pa52	芭蕉
89	p	a	52	一	平	影	開		歌	疤	pa52	伤疤
90	p	a	55	一	平	影	開		歌	把	pa55	把柄
91	p	a	33	一	平	影	開		歌	霸	pa33	霸王
92	p	a	55	一	平	影	開		歌	把	pa55	把握、一把
93	p	a	33	一	平	影	開		歌	壩	pa33	堤坝
94	p	a	52	一	平	影	開		歌	爸	pa52	爸爸
95	pʰ	a	33	一	平	影	開		歌	怕	pʰa33	害怕
96	p	a	342	一	平	影	開		歌	爬	pa342	爬树
97	p	a	342	一	平	影	開		歌	琶	pa342	琵琶
98	p	a	342	一	平	影	開		歌	杷	pa342	枇杷
99	p	a	342	一	平	影	開		歌	耙	pa342	犁耙
100	m	a	342	一	平	影	開		歌	麻	ma342	麻袋
101	m	a	342	一	平	影	開		歌	痲	ma342	麻疹
102	l	a	55	一	平	影	開		歌	蟆	la55	蛤蟆
103	m	a	55	一	平	影	開		歌	媽	ma55	妈妈
104	m	a	13	一	平	影	開		歌	馬	ma13	骑马
105	m	a	13	一	平	影	開		歌	碼	ma13	码头
106	m	a	22	一	平	影	開		歌	罵	ma22	骂人
107	l	a	22	一	平	影	開		歌	拿	la22	拿手；推拿
108	tʃ	a	342	一	平	影	開		歌	茶	tʃa342	茶叶
109	tʃ	a	342	一	平	影	開		歌	搽	tʃa342	搽药
110	tʃ	a	52	一	平	影	開		歌	楂	tʃa52	山楂
111	tʃ	a	52	一	平	影	開		歌	渣	tʃa52	药渣
112	tʃ	a	33	一	平	影	開		歌	詐	tʃa33	诈骗
113	tʃ	a	33	一	平	影	開		歌	榨	tʃa33	榨油
114	tʃ	a	33	一	平	影	開		歌	炸	tʃa33	炸弹
115	tʃʰ	a	52	一	平	影	開		歌	叉	tʃʰa52	叉腰
116	tʃʰ	a	52	一	平	影	開		歌	杈	tʃʰa52	枝杈
117	tʃʰ	a	52	一	平	影	開		歌	差	tʃʰa52	差别
118	tʃʰ	a	52	一	平	影	開		歌	岔	tʃʰa52	三岔路口
119	tʃ	a	342	一	平	影	開		歌	查	tʃa342	调查
120	ʃ	a	52	一	平	影	開		歌	沙	ʃa52	沙漠
121	ʃ	a	52	一	平	影	開		歌	紗	ʃa52	纱布
122	ʃ	a	52	一	平	影	開		歌	砂	ʃa52	朱砂；砂纸
123	ʃ	a	52	一	平	影	開		歌	痧	ʃa52	刮痧；斑痧
124	ʃ	a	55	一	平	影	開		歌	灑	ʃa55	洒水
125	k	a	52	一	平	影	開		歌	家	ka52	成家，老家
126	k	a	52	一	平	影	開		歌	加	ka52	加工
127	k	a	52	一	平	影	開		歌	痂	ka52	结痂
128	k	a	52	一	平	影	開		歌	嘉	ka52	嘉宾
129	k	a	52	一	平	影	開		歌	傢	ka52	家具
130	k	a	55	一	平	影	開		歌	假	ka55	真假
131	k	a	55	一	平	影	開		歌	賈	ka55	姓，贾宝玉
132	k	a	55	一	平	影	開		歌	假	ka55	放假
133	k	a	33	一	平	影	開		歌	架	ka33	衣架
134	k	a	33	一	平	影	開		歌	駕	ka33	驾驶
135	k	a	33	一	平	影	開		歌	嫁	ka33	出嫁
136	k	a	33	一	平	影	開		歌	價	ka33	价钱
137	ŋ	a	342	一	平	影	開		歌	牙	ŋa342	牙齿
138	ŋ	a	342	一	平	影	開		歌	芽	ŋa342	豆芽
139	ŋ	a	13	一	平	影	開		歌	衙	ŋa13	衙门
140	ŋ	a	342	一	平	影	開		歌	蚜	ŋa342	蚜虫（生在豆类、棉花、稻等幼苗上）
141	ŋ	a	13	一	平	影	開		歌	雅	ŋa13	典雅
142	h	a	52	一	平	影	開		歌	蝦	ha52	虾蟆（蛤蟆）
143	h	a	52	一	平	影	開		歌	□	ha52	虾腰
144	h	ɛk	033	一	平	影	開		歌	嚇	hɛk3	恐吓
145	h	a	342	一	平	影	開		歌	霞	ha342	朝霞
146	h	a	342	一	平	影	開		歌	瑕	ha342	瑕疵
147	h	a	52	一	平	影	開		歌	蝦	ha52	鱼虾
148	h	a	22	一	平	影	開		歌	下	ha22	下降
149	h	a	22	一	平	影	開		歌	夏	ha22	春夏
150	h	a	22	一	平	影	開		歌	厦	ha22	高楼大厦，商厦
151	h	a	22	一	平	影	開		歌	下	ha22	下面
152	h	a	22	一	平	影	開		歌	夏	ha22	姓夏
