	音標	調類	調值	字
387	biɛnʔ	2	55	别
388	miɛnʔ	2	55	灭篾
389	dzɛnʔ	2	55	撤缺
390	seʔ	2	55	舌设虱塞色
391	dʑiɛnʔ	2	55	杰切绝
392	pe	2	42	扁
393	piɛn	2	42	扁
394	biɛn	2	42	片
395	diɛn	2	35	垫
396	niɛn	2	33	莲
397	iɛn	1	212	烟
398	piʔ	1	55	憋逼
399	pon	1	212	搬
400	pon	1	214	半
401	bon	1	214	判
402	bon	2	33	盘
403	mon	2	42	满
404	ton	1	212	端
405	ton	1	42	短
406	don	1	35	断
407	non	1	42	暖
408	non	1	35	乱
409	son	1	212	酸闩
410	kuon	1	212	官
411	uon	1	212	宽
412	fon	1	212	欢
413	uon	2	33	完
414	uon	2	35	换
415	uon	2	42	碗
416	ponʔ	2	55	拨
417	bonʔ	2	55	泼
418	monʔ	2	55	末
419	donʔ	2	55	脱夺
420	uonʔ	2	55	阔
421	uanʔ	2	55	阔活袜
422	fonʔ	2	55	活
423	uan	2	33	顽还
424	uaiʔ	2	55	挖
425	kuan	1	212	关
426	kuan	1	214	惯
427	uan	1	212	弯
428	sonʔ	1	55	刷
429	kuanʔ	1	55	刮
430	tsɛn	1	42	转卷
431	dzɛn	1	35	传
432	tsɛn	1	212	砖
433	dzɛn	1	212	圈
434	yɛn	2	33	圆园
435	yɛn	2	35	院
436	fan	2	42	反
437	fan	1	212	翻
438	uan	1	35	万
439	dzɛn	1	214	劝
440	yɛn	1	212	冤
441	yɛn	1	42	远
442	nɛnʔ	1	55	月
443	yɛnʔ	1	55	越
444	sɛnʔ	1	55	血
445	kiɛn	1	212	根更
446	hiɛn	1	35	恨
447	ŋiɛn	1	212	恩
448	bin	2	33	贫瓶
449	min	2	33	民明
450	dʑin	1	212	亲清轻
451	tsən	1	214	镇震证正
452	sən	2	33	神辰纯
453	ȵin	2	33	人银迎
454	ȵin	2	35	认
455	tɕin	2	42	紧井
456	in	2	214	印拥
457	in	2	42	引隐影
458	pinʔ	2	55	笔
459	binʔ	2	55	匹
460	minʔ	2	55	密
461	diʔ	2	55	栗律笛历
462	dʑinʔ	2	55	七
463	dzɿʔ	2	55	侄直
464	ȵinʔ	2	55	日
465	inʔ	2	55	一
466	iʔ	2	55	一益
467	dʑin	2	35	近静
468	pən	2	42	本
469	bən	2	33	盆
470	mən	2	33	门
471	tən	2	42	墩
472	nən	2	35	嫩
473	dzən	1	212	村春秤
474	dzən	1	214	寸秤
475	tən	1	212	蹲
476	kun	1	42	滚
477	un	1	214	困
478	fən	1	212	婚分
479	fən	2	33	魂坟
480	un	1	212	温
481	kunʔ	1	55	骨
482	nən	2	33	轮
483	ɕin	2	42	笋
484	tsən	2	42	准整
