#i
p[31]皮脾僻辟[55]比髀{大腿}[24]被[313]蔽币毙备避
pʰ[55]□{~眼，眯眼睛}[422]屁
m[42]眯[31]眉[24]尾[313]谜味
f[42]飞非妃[31]肥
t[55]啲{少许}[313]隶逮地
n[24]你
l[31]离篱厘狸[24]李里{公~}理鲤[313]例厉励丽荔利{~益}痢吏
ts[42]资姿[31]饲瓷磁词祠鹚[55]姊子紫{文}[313]寺字自
tsʰ[31]雌[55]此[24]似[422]刺次
s[42]斯撕丝司私思师[55]死[422]四肆[313]事
tɕ[42]知{文}枝肢芝之[31]迟池持[55]纸止址指脂旨只[422]智{文}技{文}祭{文}致制[313]志痣治
tɕʰ[55]始齿耻
ȵ[31]儿[24]耳蚁[313]二
ɕ[42]诗施尸狮[31]匙时[55]使史驶[24]是{文}试{文}市{文}示{文}支{文}式{文}[313]视士
k[42]机基饥[31]期奇其旗棋骑激祁祈[55]几己[422]季继寄记计既
kʰ[42]欺
h[42]稀希牺[55]启起岂喜[422]企器气汽戏
∅[42]医衣依[31]移姨[55]椅已[24]以[422]意议义忆疫{文}艺仪[313]异易{容易}

#u
p[55]补□{~日，昨天}[24]簿[422]布[313]部步
pʰ[42]铺{床~}[55]捕谱普浦赴辅[422]铺{当~}
m[24]母
f[42]夫肤呼麸[31]符扶浮葫[55]虎府腑斧腐俯[422]裤富[313]负傅付附妇{文}父{文}符
t[42]都[31]突途涂图徒屠[55]堵肚{~子}赌[24]杜肚{猪~}[313]度镀渡
tʰ[55]土[422]吐兔
n[31]奴[55]努怒[422]□{不，没有}
l[31]芦炉鲈鸬[55]卤鲁虏橹[313]路露
ts[42]租[55]祖组[422]做
tsʰ[42]粗[422]醋
s[42]苏酥[55]叔[422]素诉
k[42]姑孤菇咕[55]估古股鼓[422]故顾固库
kʰ[42]箍枯[55]苦
∅[42]乌[31]胡糊湖忽{文}吴无蜈壶狐[24]武舞[422]雾[313]握{文}务恶勿误户护互

#y
t[31]□{人称代词复数}
n[24]女
l[31]驴[55]吕旅[24]里{~外}[313]虑滤利{水~}
ts[31]徐卒{文}[55]紫
tsʰ[42]蛆[55]取娶处[422]趣
s[42]需须[422]序{文}
tɕ[42]猪株珠蛛诸朱[31]除厨储[55]主煮[24]柱[422]蛀注[313]住铸
ȵ[31]鱼
ɕ[42]书输殊舒[31]薯[55]署鼠[24]竖[313]柿树
k[42]居拘车{~马炮}□{吊~，一种丁形船钉}[31]局{文}菊{文}渠[55]举[422]锯句[313]据距具
kʰ[42]区驱
h[42]虚墟[55]许[422]去
∅[31]如儒余馀盂娱愚玉{~米}[24]役{文}雨语羽与乳[422]裕预[313]遇誉

#a
p[42]巴疤[31]扒爬[55]把{一~}爸[422]把{刀~}霸坝[313]罢
pʰ[55]□{~开，手脚伸开}[422]怕·
m[42]蚂□{爬}[31]麻[55]孖{成双的}[24]马[313]孭{背负}
f[42]花[422]化
t[313]大
tʰ[42]他
n[42]□{黏贴}[31]乸{雌性的}
l[31]辣{文}
tɕ[42]渣[31]茶查察[313]诈炸榨
tɕʰ[42]钗叉杈差{~错}[422]岔
ɕ[42]沙纱杉[55]耍洒
k[42]家加佳[31]跨[55]假贾[422]架价嫁稼
kʰ[42]卡
ŋ[42]桠[31]牙芽[55]哑[24]瓦
h[42]虾霞[24]夏下{~面}[313]下{~山}
kʷ[42]瓜[55]寡[422]挂卦
kʰʷ[42]垮
j[31]亚{~军}
w[31]华[313]话
∅[42]阿鸦亚{~洲}

#ɔ
p[42]波菠玻[31]婆[55]宝[24]袍抱[422]报[313]爆暴雹
pʰ[42]坡□{量词。株，棵}[24]破
m[31]毛矛茅魔磨{~刀}膜[55]摸[24]□{~，哈欠}[422]□{匍匐而行}[313]磨{石~}冒帽貌
f[55]火伙[313]货
t[42]多刀[31]桃逃淘[55]朵躲岛捣祷导倒{~下}[422]到道[313]舵盗稻{文}
tʰ[42]拖[55]讨妥[422]套
n[24]恼[313]糯
l[31]罗锣骆箩萝螺[55]攞{讨，取，要}[24]老佬
ts[42]糟遭[31]槽曹嘈[55]早枣阻[24]坐座[422]左皂灶
tsʰ[42]操搓[55]草[422]错锉糙燥造躁
s[42]骚臊蓑梭[55]锁琐所嫂扫
tɕʰ[42]初[31]锄
ȵ[42]□{栗凿}
ɕ[42]梳疏[55]数{~一~}[422]数{~量}
k[42]歌锅高糕膏羔[55]哥果[422]个过告
kʰ[42]科[55]可颗[24]课[422]靠
ŋ[31]鹅腭熬□{松动}[313]饿
h[42]蒿[31]河何荷禾[55]好{~坏}[24]和贺[422]好{喜~}[313]或号
j[42]□{心~~，不安心貌}
w[42]莴[24]祸
∅[42]窝蜗屙[313]涴{脏}

#e
p[31]□{~下去，坍塌}
pʰ[42]批
m[31]谜[55]□{母亲}[24]米[422]□{~水，潜水}
f[422]肺废费
t[42]低[31]蹄啼题提惕[55]底抵[422]帝[313]弟第递
tʰ[42]梯[55]体[422]替涕剃
n[31]泥尼呢弥宜疑□{细小}[24]腻
l[31]犁梨
ts[42]姐[31]齐脐慈[55]挤[422]借际济[313]谢
