蓖	蓖	p	i	33	pi33			
碑	碑	p	i	33	pi33			
脾	脾	p	i	55	pi55	白读	~胃	
琵	琵	p	i	55	pi55			
枇	枇	p	i	55	pi55			
篦	篦	p	i	55	pi55			
彼	彼	p	i	42	pi42			
比	比	p	i	42	pi42			
闭	閉	p	i	35	pi35			
毙	斃	p	i	35	pi35			
币	幣	p	i	35	pi35			
婢	婢	p	i	35	pi35			
被	被	p	i	35	pi35	文读	~动	
备	備	p	i	35	pi35			
臂	臂	p	i	213	pi213			
秘	秘	p	i	213	pi213			
泌	泌	p	i	213	pi213			
痹	痺	p	i	213	pi213			
蔽	蔽	p	i	22	pi22			
敝	敝	p	i	22	pi22			
弊	弊	p	i	22	pi22			
避	避	p	i	22	pi22			
憋	憋	p	iʔ	2	piʔ2			
鳖		p	iʔ	2	piʔ2			
披		pʰ	i	33	pʰi33			
疲		pʰ	i	55	pʰi55			
脾		pʰ	i	55	pʰi55	文读	~气	
鄙		pʰ	i	42	pʰi42			
丕		pʰ	i	42	pʰi42			
米		b	i	42	bi42			
味		b	i	22	bi22			
篾		b	iʔ	5	biʔ5			
低		t	i	33	ti33			
知		t	i	33	ti33	文读	无~	
蜘		t	i	33	ti33			
池		t	i	55	ti55			
递		t	i	55	ti55		原表记为鼻化，实际常见不鼻化读法	
底		t	i	42	ti42	文读	~稿	
抵		t	i	42	ti42			
弟		t	i	35	ti35			
隶		t	i	35	ti35			
雉		t	i	35	ti35		野鸡	
帝		t	i	213	ti213			
智		t	i	213	ti213			
致		t	i	213	ti213			
置		t	i	213	ti213			
地		t	i	22	ti22			
治		t	i	22	ti22			
底		t	i	22	ti22		表疑问，如~个（哪个）、~撮（哪些）	
滴		t	iʔ	2	tiʔ2			
碟		t	iʔ	5	tiʔ5			
牒		t	iʔ	5	tiʔ5			
黐		tʰ	i	33	tʰi33		~~：黏黏的	
苔		tʰ	i	55	tʰi55			
提		tʰ	i	55	tʰi55			
啼		tʰ	i	55	tʰi55			
持		tʰ	i	55	tʰi55			
体		tʰ	i	42	tʰi42			
痔		tʰ	i	35	tʰi35			
替		tʰ	i	213	tʰi213			
涕		tʰ	i	213	tʰi213			
剃		tʰ	i	213	tʰi213			
翅		tʰ	i	213	tʰi213			
铁		tʰ	iʔ	2	tʰiʔ2			
黎		l	i	55	li55			
离		l	i	55	li55			
篱		l	i	55	li55			
璃		l	i	55	li55			
厘		l	i	55	li55			
狸		l	i	55	li55			
旅		l	i	42	li42			
礼		l	i	42	li42			
履		l	i	42	li42			
李		l	i	42	li42			
里		l	i	42	li42			
理		l	i	42	li42			
鲤		l	i	42	li42			
厉		l	i	35	li35			
励		l	i	35	li35			
丽		l	i	35	li35			
荔		l	i	35	li35	文读	《~镜记》	
利		l	i	35	li35	文读	~益	
痢		l	i	35	li35		瘌~	
攦		l	i	213	li213		撕	
例		l	i	22	li22			
吏		l	i	22	li22			
裂		l	iʔ	5	liʔ5			
膣		ts	i	33	tsi33		女阴	
糍		ts	i	55	tsi55			
紫		ts	i	42	tsi42			
只		ts	i	42	tsi42			
姊		ts	i	42	tsi42			
旨		ts	i	42	tsi42			
止		ts	i	42	tsi42			
趾		ts	i	42	tsi42			
址		ts	i	42	tsi42			
籽		ts	i	42	tsi42		种子	
子		ts	i	42	tsi42		铳~：子弹	
舐		ts	i	35	tsi35			
巳		ts	i	35	tsi35			
祭		ts	i	213	tsi213			
际		ts	i	213	tsi213			
制		ts	i	213	tsi213			
济		ts	i	213	tsi213			
剂		ts	i	213	tsi213			
至		ts	i	213	tsi213			
志		ts	i	213	tsi213			
接		ts	iʔ	2	tsiʔ2	白读	~过来	
折		ts	iʔ	2	tsiʔ2		叠	
折		ts	iʔ	5	tsiʔ5		断	
