y				
tʰi	3	体□[把骨头上的肉刮下来]		
tʰi	5	剃涕替		
ȵi	1	呢[～～哝哝]		
ȵi	2	尼泥倪霓逆匿溺宜[～章，地名]		
ȵi	3	你		
ȵi	5	腻		
li	2	厘梨狸离犁璃黎篱[笆～，地名]力历立疬栗笠粒		
li	3	礼李[～常水]里[～程]理鲤		
li	5	蜊厉吏丽利励例荔痢		
tɕi	1	讥饥机肌鸡屐基稽		
tɕi	2	击激及吉级极急戟		
tɕi	3	几己纪杞		
tɕi	5	计记际妓忌季既继寄徛冀髻		
tɕʰi	1	欺期[～待]妻綦溪[蕉～村，地名]		
tɕʰi	2	吃[五岭镇读法]期[过～]祁七其奇歧骑棋旗鳍麒戚		
tɕʰi	3	岂启祈起[～床]喜[～柜，衣柜]		
tɕʰi	5	气汽契器砌弃技企		
ɕi	1	西[～门桥]犀熹熙兮嘻嬉[～搞，玩耍]希奚牺稀起		
ɕi	2	吸息悉惜昔析夕熄习席袭媳		
ɕi	3	洗玺喜		
ɕi	5	系[～列]戏细[～伢嘚，泛指小孩子，不分男女]		
i	1	衣医依		
i	2	入-疑[新派]宜[新派]日[今～，今天]而[～今，现在]一夷姨移遗亦抑易益		
i	3	已以矣蚁倚椅		
i	5	亿刈忆异易意缢肄翼疫[新派]毅[欧阳～]		
u				
pu	2	不=		
pu	3	补谱卜		
pu	5	布步怖部簿□[打～，接吻]		
pʰu	1	铺[～设]潽[水沸溢]噗		
pʰu	2	脯伏扑仆菩葡蒲渤		
pʰu	3	捕甫脯[果～]辅圃浦普		
pʰu	5	铺[店～]		
mu	2	目牧睦木		
mu	3	母拇牡		
mu	5	募墓幕慕暮穆		
fu	1	夫[～娘，妻子]敷乎呼浒肤戽		
fu	2	孵伏扶芙服俘符幅福[～星桥，又称寡婆桥，古桥]辐复[～习]蝠湖缚腹胡狐覆鬍[～须]		
fu	3	抚府[～前街]斧俯釜腑腐虎		
fu	5	埠父妇负附咐驸赴副傅富赋互户护		
tu	1	都[～市]嘟督		
tu	2	毒读牍犊独笃		
tu	3	堵赌肚[～子]		
tu	5	妒杜度渡镀		
tʰu	1	凸秃		
tʰu	2	突图徒涂途屠		
tʰu	3	土吐		
tʰu	5	吐[又音]兔		
nu	2	奴驽		
nu	3	努		
nu	5	怒		
lu	1	攎[～起走，抱着走]撸噜		
lu	2	六卢庐芦炉鸬陆录鹿禄肉		
lu	3	卤虏鲁橹		
lu	5	露赂路鹭录[又读]		
tsu	1	租蛛		
tsu	2	粥竹烛逐祝筑足局[老派]嘱浞[按在水中灌死]		
tsu	3	阻组祖		
tsu	5	做[～事]		
tsʰu	1	初粗		
tsʰu	2	触猝畜锄俗族束□[～着了，一下子想不起某件事]雏		
tsʰu	3	础楚		
tsʰu	5	猝[又音]醋助		
su	1	梳疏蔬苏[～州]酥稣淑		
su	2	叔孰赎塾熟俗肃速宿[～舍]粟缩续[老派]属塑		
su	3	属[又音]数[动词]蜀		
su	5	数[名词]漱[～口，刷牙]诉素		
ku	1	姑孤鸪辜箍菇牯[马拉～，石头]估		
ku	2	谷骨=		
ku	3	古股=鼓[眼～，嫉妒]		
ku	5	固故顾雇锢		
kʰu	1	枯窟骷		
kʰu	2	哭		
kʰu	3	苦股-		
kʰu	5	库裤酷绔		
xu	1	忽[又音]呼[又音]		
xu	2	湖[又音]壶[又音]浒[又音]胡[又音]		
xu	3	虎[又音]戽[又音]		
xu	5	糊[～弄]户[又音]互[又音]		
iu	2	肉辱浴		
u	1	乌污巫诬		
u	2	屋[～上，家里]无=吴梧蜈物=		
u	3	杇[涂墙壁]五[～指峰]午伍武侮鹉舞□[～来～去，表示动来动去的样子]		
u	5	务戊误悟雾恶[厌～]		
ua				
tsua	1	抓		
tsua	2	啄		
sua	2	刷		
sua	3	耍		
kua	1	瓜呱		
kua	2	括刮		
kua	3	剐寡		
kua	5	卦挂		
kʰua	1	夸		
kʰua	3	垮侉		
kʰua	5	跨		
xua	1	花		
xua	2	华铧划[～得来]		
xua	3	哗[～～响]		
xua	5	化画话[电～]划[计～]		
ua	1	挖=洼蛙		
ua	2	袜滑猾		
ua	3	瓦握[～紧拳头]		
ua	5	话[～事，动词，说话的意思]		
ai				
ai	1	阿[～姼，妈妈]		
pai	1	跛[瘸]		
pai	3	摆		
pai	5	败拜稗		
pʰai	2	排牌簰徘		
pʰai	3	□[～起，用肩担的一头挑东西]□[不对～，不对劲]		
pʰai	5	派		
mai	2	埋		
mai	3	买		
mai	5	卖迈		
tai	1	呆		
tai	3	歹逮		
tai	5	袋代带待怠殆贷戴黛		
tʰai	1	胎苔		
tʰai	2	台抬		
tʰai	5	太态泰		
lai	1	邋[～遢]		
lai	2	来		
lai	3	奶□[～巴嘚，男小孩子]		
lai	5	赖□[水烫]癞		
nai	5	□[脚好～，形容脚很酸胀，无力感]奈耐		
tsai	1	哉[呜～，常用语气词]灾栽斋		
tsai	2	宅=		
tsai	3	崽宰载[记～]		
tsai	5	再在债寨载[～人]		
tsʰai	1	差[出～]猜钗		
tsʰai	2	才材财裁柴豺		
tsʰai	3	采彩採		
tsʰai	5	菜蔡		
sai	1	腮鳃筛酾[～水，接水]		
sai	3	色[～子]		
sai	5	赛晒塞[边～]		
kai	1	该阶皆街□[～鞋带索，系鞋带]		
kai	3	改解[～手，上厕所]		
kai	5	丐盖溉介戒-芥届界疥械艮[～岩，地名]		
kʰai	1	开揩		
kʰai	3	凯楷		
kʰai	5	概慨		
ŋai	1	挨哀埃		
ŋai	2	捱呆硙		
ŋai	3	矮蔼		
ŋai	5	艾爱隘[狭窄]碍		
xai	2	孩鞋		
xai	3	海蟹		
xai	5	亥骇害		
uai				
uai	1	挖-		
tsuai	3	拽		
tsʰuai	3	揣		
suai	1	衰摔		
suai	3	甩		
suai	5	帅蟀		
kuai	1	乖		
kuai	3	□[怎么办，～场了，形容事态糟糕]□[女阴]□[～索，形容人精明麻溜]拐		
kuai	5	怪夬		
