							#調值 [1]31 [2]24 [3]22 [5]554 [7]5
字號	字	聲母	韻母	調值	備註	調類	
67	蟲	tʂʰ	oŋ	24		陽平	
223	狨	ʐ	oŋ	24		陽平	
224	絨	ʐ	oŋ	24		陽平	
225	弓	k	oŋ	31		陰平	
125	雄	ɕ	ioŋ	24		陽平	
157	豐	f	əŋ	31		陰平	
165	充	tʂʰ	oŋ	31		陰平	
192	公	k	oŋ	31		陰平	
262	紅	x	oŋ	24		陽平	
287	翁	v	əŋ	31		陰平	
297	葱	tsʰ	oŋ	31		陰平	
310	通	tʰ	əŋ	31		陰平	
343	篷	pʰ	əŋ	24		陽平	
361	冬	t	oŋ	31		陰平	
362	𡘬	t	oŋ	31		陰平	
424	鬆	s	oŋ	31	鬆緊。	陰平	
425	䯳	s	oŋ	31	鬆緊。	陰平	
428	鐘	tʂ	oŋ	31		陰平	
445	龍	l	oŋ	24		陽平	
460	松	s	oŋ	31	松樹。	陰平	
461	㮤	s	oŋ	31	松樹。	陰平	
5547	濃	l	oŋ	24		陽平	
584	蠭	f	əŋ	31		陰平	
585	蜂	f	əŋ	31		陰平	
586	𧒒	f	əŋ	31		陰平	
633	恭	k	oŋ	31		陰平	
698	䆫	tʂʰ	uɑŋ	31		陰平	
699	牎	tʂʰ	uɑŋ	31		陰平	
700	窓	tʂʰ	uɑŋ	31		陰平	
706	邦	p	ɑŋ	31		陰平	
707	𤰫	p	ɑŋ	31		陰平	
725	雙	ʂ	uɑŋ	31	印刷誤為2，此地陰平應為31。	陰平	
772	支	tʂ	ʅ	31		陰平	
891	吹	tʂʰ	ueɪ	31		陰平	
908	碑	p	eɪ	31		陰平	
925	騎	tɕʰ	iᶽ	24		陽平	
959	犧	ɕ	iᶽ	31		陰平	
999	皮	pʰ	iᶽ	24		陽平	
1018	兒	∅	eɪ	24		陽平	
1019	𠒆	∅	eɪ	24		陽平	
2293	知	tʂ	ʅ	31		陰平	
1225	危	v	eɪ	24		陽平	
1288	姨	∅	iᶽ	24		陽平	
1314	師	s	ɿ	31		陰平	
1317	篩	ʂ	æɪ	31	篩子。	陰平	
1344	資	ts	ɿ	31		陰平	
1248	飢	tɕ	iᶽ	31		陰平	
1410	遲	tʂʰ	ʅ	24		陽平	
1422	遟	tʂʰ	ʅ	24		陽平	
1460	葵	kʰ	ueɪ	24		陽平	
1468	追	tʂ	ueɪ	31		陰平	
1471	龜	k	ueɪ	31		陰平	
1472	龜	k	ueɪ	31		陰平	
1473	𠃾	k	ueɪ	31		陰平	
1484	衰	ʂ	uæɪ	31		陰平	
1514	雖	s	eɪ	31		陰平	
1718	詩	ʂ	ʅ	31		陰平	
1759	基	tɕ	iᶽ	31		陰平	
1825	醫	∅	iᶽ	31		陰平	
1826	毉	∅	iᶽ	31		陰平	
1880	徽	x	ueɪ	31		陰平	
1914	飛	f	eɪ	31		陰平	
1925	肥	f	eɪ	24		陽平	
1986	稀	ɕ	iᶽ	31		陰平	
1995	衣	∅	iᶽ	31		陰平	
2010	魚	∅	y	24		陽平	
2022	𩺰	∅	y	24		陽平	
2020	初	tsʰ	o	31		陰平	
2022	書	ʂ	u	31		陰平	
2029	居	tɕ	y	31		陰平	
2069	余	∅	y	24	節余。	陽平	
3228	蛆	tɕʰ	y	31		陰平	
3125	鉏	tsʰ	o	24		陽平	
3126	鋤	tsʰ	o	24		陽平	
3152	徐	tɕʰ	y	24		陽平	
3161	豬	tʂ	u	31		陰平	
3162	䐗	tʂ	u	31		陰平	
3163	猪	tʂ	u	31		陰平	
3191	除	tʂʰ	u	24		陽平	
2204	如	ʐ	u	24		陽平	
2378	須	ɕ	y	31		陰平	
2833	蘇	s	u	31		陰平	
2888	麁	tsʰ	u	31		陰平	
2893	粗	tsʰ	u	31		陰平	
2924	犂	l	iᶽ	24		陽平	
2936	𤛿	l	iᶽ	24		陽平	
2955	妻	tɕ	iᶽ	31		陰平	
3066	雞	tɕ	iᶽ	31		陰平	
3067	鷄	tɕ	iᶽ	31		陰平	
3146	梯	tʰ	iᶽ	31		陰平	
3191	泥	l	iᶽ	24		陽平	
3192	埿	l	iᶽ	24		陽平	
3264	街	k	æɪ	31		陰平	
3268	鞵	x	æɪ	24		陽平	
3269	鞋	x	æɪ	24		陽平	
3273	牌	pʰ	æɪ	24		陽平	
3295	柴	tʂʰ	æɪ	24		陽平	
3245	街	k	æɪ	31		陰平	
3368	鞋	x	æɪ	24		陽平	
3370	排	pʰ	æɪ	24		陽平	
3373	牌	pʰ	æɪ	24		陽平	
3408	齋	tʂ	æɪ	31		陰平	
3432	灰	x	ueɪ	31		陰平	
3495	雷	l	eɪ	24		陽平	
3496	𩂩	l	eɪ	24		陽平	
2498	開	kʰ	æɪ	31		陰平	
36554	來	l	æɪ	24		陽平	
3733	真	tʂ	əŋ	31		陰平	
3753	因	∅	iŋ	31		陰平	
3776	新	ɕ	iŋ	31		陰平	
3794	人	ʐ	əŋ	24		陽平	
3831	鄰	l	iŋ	24		陽平	
3860	陳	tʂʰ	əŋ	24		陽平	
3861	敶	tʂʰ	əŋ	24		陽平	
3958	貧	pʰ	iŋ	24		陽平	
3959	𡧋	pʰ	iŋ	24		陽平	
4070	春	tʂʰ	oŋ	31		陰平	
4072	勻	∅	ioŋ	24		陽平	
4078	循	ɕ	ioŋ	24		陽平	
4092	均	tɕ	ioŋ	31		陰平	
4141	蟁	v	əŋ	24		陽平	
4142	蚊	v	əŋ	24		陽平	
4143	䘇	v	əŋ	24		陽平	
4183	墳	f	əŋ	24		陽平	
4319	分	f	əŋ	31	分開。	陰平	
4242	君	tɕ	ioŋ	31		陰平	
4282	斤	tɕ	iŋ	31		陰平	
4299	原	∅	yø	24		陽平	
4422	言	∅	iᶽeɪ	24		陽平	
4515	門	m	əŋ	24		陽平	
4558	屯	tʰ	əŋ	24		陽平	
4580	村	tsʰ	əŋ	31		陰平	
4606	婚	x	oŋ	31		陰平	
4623	恩	∅	əŋ	31		陰平	
4626	吞	tʰ	əŋ	31		陰平	
4630	寒	x	æɪ	24		陽平	
4648	丹	t	æɪ	31		陰平	
4660	難	l	æɪ	24	困難。	陽平	
4661	𪅀	l	æɪ	24	困難。	陽平	
4662	𩁢	l	æɪ	24	困難。	陽平	
4663	𩁚	l	æɪ	24	困難。	陽平	
4708	肝	k	æɪ	31		陰平	
4720	蘭	l	æɪ	24	蘭花。	陽平	
4808	酸	s	ø	31		陰平	
4834	官	k	ø	31		陰平	
4871	寬	kʰ	ø	31		陰平	
4879	槃	pʰ	ø	24		陽平	
4880	盤	pʰ	ø	24		陽平	
4881	鎜	pʰ	ø	24		陽平	
4882	柈	pʰ	ø	24		陽平	
4941	關	k	uæɪ	31		陰平	
4942	関	k	uæɪ	31		陰平	
4947	彎	v	æɪ	31		陰平	
4952	𣠯	ʂ	uæɪ	31		陰平	
4973	班	p	æɪ	31		陰平	
4995	姦	ts	eɪ	31		陰平	
5009	山	ʂ	æɪ	31		陰平	
5015	閒	ts	eɪ	31	中間。	陰平	
5074	先	s	eɪ	31		陰平	
5229	肩	ts	eɪ	31		陰平	
5131	賢	s	eɪ	24		陽平	
5132	臤	s	eɪ	24		陽平	
5189	秊	l	eɪ	24		陽平	
5190	年	l	eɪ	24		陽平	
5309	錢	tsʰ	eɪ	24		陽平	
5323	然	ʐ	eɪ	24		陽平	
55434	棉	m	eɪ	24		陽平	
55451	泉	tsʰ	ø	24		陽平	
55456	宣	s	ø	31		陰平	
5524	船	tʂʰ	ø	24		陽平	
5525	舩	tʂʰ	ø	24		陽平	
5526	鞭	p	eɪ	31		陰平	
55554	甎	tʂ	ø	31		陰平	
5574	圜	∅	yø	24		陽平	
5575	圓	∅	yø	24		陽平	
5604	權	tsʰ	ø	24		陽平	
5628	傳	tʂʰ	ø	24	宣傳。	陽平	
5700	條	tʰ	iɔu	24		陽平	
5814	超	tʂʰ	ɔu	31		陰平	
5853	驕	tɕ	iɔu	31		陰平	
5862	焦	tɕ	iɔu	31		陰平	
5863	𤓪	tɕ	iɔu	31		陰平	
5885	燒	ʂ	ɔu	31		陰平	
5901	搖	∅	iɔu	24		陽平	
5936	招	tʂ	ɔu	31		陰平	
5990	橋	tɕʰ	iɔu	24		陽平	
6024	飄	pʰ	iɔu	31		陰平	
6100	巢	tsʰ	ɔu	24		陽平	
6173	敲	tɕʰ	iɔu	31		陰平	
6191	抓	tʂ	ua	31		陰平	
6251	高	k	ɔu	31		陰平	
6339	刀	t	ɔu	31		陰平	
6460	歌	k	o	31		陰平	
6461	謌	k	o	31		陰平	
6478	多	t	o	31		陰平	
6560	鑼	l	o	24		陽平	
6572	河	x	o	24		陽平	
6624	婆	pʰ	o	24		陽平	
6666	騾	l	o	24		陽平	
6667	驘	l	o	24		陽平	
6701	科	kʰ	o	31		陰平	
6722	鞾	s	ø	31		陰平	
6723	靴	s	ø	31		陰平	
6731	茄	tsʰ	ø	24	茄子。	陽平	
6744	麻	m	a	24		陽平	
6752	車	tʂʰ	eɪ	31		陰平	
6786	蛇	ʂ	eɪ	24		陽平	
6787	虵	ʂ	eɪ	24		陽平	
6799	瓜	k	ua	31		陰平	
6806	華	x	ua	31		陰平	
6807	花	x	ua	31		陰平	
6828	家	tɕ	ia	31		陰平	
6898	沙	ʂ	a	31		陰平	
6899	砂	ʂ	a	31		陰平	
6930	𣘻	tʂʰ	a	24		陽平	
6931	茶	tʂʰ	a	24		陽平	
6953	蛙	v	a	31		陰平	
6961	爬	pʰ	a	24		陽平	
7005	羊	∅	iɑŋ	24		陽平	
7038	良	l	iɑŋ	24		陽平	
7080	房	f	ɑŋ	24		陽平	
7137	張	tʂ	ɑŋ	31		陰平	
7156	瓤	ʐ	ɑŋ	24		陽平	
7158	方	f	ɑŋ	31		陰平	
7206	娘	l	iɑŋ	24		陽平	
7209	牀	tʂʰ	uɑŋ	24		陽平	
7310	床	tʂʰ	uɑŋ	24		陽平	
7246	槍	tɕʰ	iɑŋ	31		陰平	
7269	王	∅	uɑŋ	24		陽平	
7282	強	tɕʰ	iɑŋ	24	強壯。	陽平	
7292	狂	kʰ	uɑŋ	24		陽平	
7297	唐	tʰ	ɑŋ	24		陽平	
7298	啺	tʰ	ɑŋ	24		陽平	
7299	𥏬	tʰ	ɑŋ	24		陽平	
7391	鋼	k	ɑŋ	31		陰平	
7401	桑	s	ɑŋ	31		陰平	
7402	桒	s	ɑŋ	31		陰平	
7467	光	k	uɑŋ	31		陰平	
7468	灮	k	uɑŋ	31		陰平	
7499	汪	∅	uɑŋ	31		陰平	
7526	杭	x	ɑŋ	24		陽平	
7537	恾	m	ɑŋ	24		陽平	
7538	忙	m	ɑŋ	24		陽平	
7577	幫	p	ɑŋ	31		陰平	
7578	縍	p	ɑŋ	31		陰平	
7594	阬	kʰ	əŋ	31		陰平	
7595	坑	kʰ	əŋ	31		陰平	
7596	硎	kʰ	əŋ	31		陰平	
7641	彭	pʰ	əŋ	24		陽平	
7718	榮	∅	ioŋ	24		陽平	
7724	兵	p	iŋ	31		陰平	
7725	兄	ɕ	ioŋ	31		陰平	
7727	生	s	əŋ	31		陰平	
7748	迎	∅	iŋ	24		陽平	
7764	𧃱	k	əŋ	31		陰平	
7795	宏	x	oŋ	24		陽平	
7896	棚	pʰ	əŋ	24		陽平	
7909	清	tɕʰ	iŋ	31		陰平	
7981	程	tʂʰ	əŋ	24		陽平	
7987	聲	ʂ	əŋ	31		陰平	
7995	正	tʂ	əŋ	31	正月。	陰平	
8001	輕	tɕʰ	iŋ	31		陰平	
8051	經	tɕ	iŋ	31		陰平	
8104	星	ɕ	iŋ	31		陰平	
8105	曐	ɕ	iŋ	31		陰平	
8124	靈	l	iŋ	24		陽平	
8125	霛	l	iŋ	24		陽平	
8126	𩆈	l	iŋ	24		陽平	
8224	聽	tʰ	iŋ	31	聽見。	陰平	
8249	瓶	pʰ	iŋ	24		陽平	
8250	缾	pʰ	iŋ	24		陽平	
8278	蒸	tʂ	əŋ	31		陰平	
8279	䒱	tʂ	əŋ	31		陰平	
8280	烝	tʂ	əŋ	31		陰平	
8299	蔆	l	iŋ	24		陽平	
8300	菱	l	iŋ	24		陽平	
8301	䔖	l	iŋ	24		陽平	
8314	鷹	∅	iŋ	31		陰平	
8317	憑	pʰ	iŋ	24		陽平	
8320	冫	p	iŋ	31		陰平	
8331	冰	p	iŋ	31		陰平	
8336	升	ʂ	əŋ	31		陰平	
8337	昇	ʂ	əŋ	31		陰平	
8395	增	ts	əŋ	31		陰平	
8414	朋	pʰ	əŋ	24		陽平	
8430	能	l	əŋ	24		陽平	
85545	油	∅	iəu	24		陽平	
8618	抽	tʂʰ	əu	31		陰平	
8619	𢭆	tʂʰ	əu	31		陰平	
8620	㨨	tʂʰ	əu	31		陰平	
8631	周	tʂ	əu	31		陰平	
8736	愁	tsʰ	əu	24		陽平	
8738	休	ɕ	iəu	31		陰平	
9061	彪	p	iɔu	31		陰平	
9107	林	l	iŋ	24		陽平	
9123	針	tʂ	əŋ	31		陰平	
9124	鍼	tʂ	əŋ	31		陰平	
9131	沈	tʂʰ	əŋ	24		陽平	
9132	沉	tʂʰ	əŋ	24		陽平	
9159	深	ʂ	əŋ	31		陰平	
9176	心	ɕ	iŋ	31		陰平	
9245	金	tɕ	iŋ	31		陰平	
9255	音	∅	iŋ	31		陰平	
