#ɿ																																																	
调\n声	阴  平	阳  平	上 声	去 声																																													
ts	抓		爪{∽手}																																														
s	刷		耍																																														
k	瓜刮		寡剐	挂卦																																													
kʰ	夸		垮	挎跨褂																																													
x	花滑猾	华哗铧划{∽船}桦	哗{~啦}	化画划话																																													
Ø	蛙挖洼袜	娃	瓦哇																																														
#e																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
k	街该疙		改解{白：∽绳子}	盖丐钙																																													
kʰ	客开揩咳		楷凯	概溉慨忾																																													
ŋ	哀挨{∽边}埃	挨{∽打}癌	矮蔼	爱碍艾隘																																													
Ø				哎																																													
n	的{白}																																																
#ie																																																	
调\n声	阴  平	阳  平	上 声	去 声																																													
p	别鳖瘪瞥																																																
pʰ	撇		苤{~蓝}																																														
m	灭蔑觅																																																
t	爹跌迭叠碟谍蝶牒																																																
tʰ	贴帖铁																																																
n	列冽烈裂猎劣																																																
tɕ	皆杰结接孑揭竭洁节截阶疖劫		姐解{文}	借介芥疥界戒械届																																													
tɕʰ	切窃妾劫捷怯	茄	且																																														
ȵ	捏聂镊蹑镍孽																																																
ɕ	血歇楔协胁泄穴蝎恤	邪斜谐偕	写	谢泻卸懈蟹																																													
Ø	页耶椰叶	爷	也冶野	夜腋液																																													
#ye																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
tɕ	决诀抉绝珏厥蹶																																																
tɕʰ	缺阙	瘸	撅																																														
ɕ	靴薛削雪屑																																																
Ø	月曰越阅悦																																																
#o																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
p	波玻菠拨钹脖钵博搏薄缚膊驳剥箔		簸	播																																													
pʰ	坡泼	婆	颇叵剖	破																																													
m	莫摸漠寞末茉沫摹摩	磨{∽刀}蘑么魔	抹	磨{∽子}																																													
f			否																																														
t	多哆夺踱朵{耳~}		躲朵剁垛	惰堕驮{∽子}舵																																													
tʰ	托拖脱拓	坨驼	妥椭	唾																																													
n	洛落络骆烙乐啰{∽嗦}	罗螺骡萝锣锣逻挪	裸	诺糯懦																																													
ts	桌卓捉啄琢酌作茁拙涿着{∽落}		左佐	坐座																																													
tsʰ	戳龊浊擢濯	着{睡∽了}		错凿措锉挫																																													
s	说索硕烁铄朔率搠槊梭唆缩蓑妁勺芍		所琐锁																																														
Z	若弱																																																
k	哥歌割鸽葛各锅阁角{头上长∽}		果裹	过个																																													
kʰ	科蝌苛渴磕瞌壳		可	课搁																																													
ŋ	恶鄂颚噩		我																																														
x	喝合貉豁或惑获霍郝活	和何荷河盒禾	火伙	货贺祸和{一唱一~}																																													
Ø	涡窝倭握沃幄阿窠凹	俄鹅蛾讹		饿卧																																													
#io																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
tɕ	觉脚角{一元二~}																																																
tɕʰ	雀鹊却确屈掘																																																
ɕ	学																																																
Ø	约虐疟钥药岳狱郁粤育域浴欲毓跃																																																
#ae																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
p	白伯柏舶箔百北		摆	败拜稗																																													
pʰ	拍迫	排徘牌		派																																													
m	麦脉墨默	埋	买	卖迈																																													
t	呆德得		歹逮{~捕}	代贷袋待怠戴玳																																													
tʰ	胎特苔{舌~}	台抬苔{青~}		太汰泰态																																													
n	勒肋	来徕睐	乃奶	耐奈赖癞																																													
ts	斋摘折遮灾哉栽褶仄浙哲谪磔则责翟窄贼		者宰赭	在这债寨再载																																													
tsʰ	差{∽遣}车拆泽撤辙彻侧测恻策册猜择	才材柴财裁豺	采彩踩睬扯	菜蔡																																													
s	筛色腮鳃塞奢赊舌设涉\n摄慑虱涩瑟啬	蛇	舍{∽弃}	晒赛塞{要~}社舍射麝赦																																													
z	热		惹																																														
x	黑赫核劾	鞋还{∽要看}	海嗨嘿	害骇亥																																													
#uae																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
n	略																																																
ts	揣{~手}		喘{∽气}																																														
s	衰		甩	帅																																													
k	乖郭国蝈帼		拐	怪																																													
kʰ	括阔扩廓		块蒯傀	快筷脍会{∽计}刽{∽子手}																																													
x	惑	怀槐淮徊		坏																																													
Ø	歪			外																																													
#ei																																																	
调\n声	阴  平	阳 平	上 声	去 声																																													
p	杯碑背{~东西}卑悲			贝倍背{∽后}辈佩																																													
pʰ	胚批披	培陪赔	呸丕痞	配沛譬辔																																													
m		枚玫媒煤梅霉	每美镁	妹昧媚寐																																													
f	非菲{~红}妃飞啡	肥	匪诽菲{∽薄}	费废肺																																													
#uei																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
t	堆			对兑队																																													
tʰ	推	颓	腿	退蜕																																													
n		雷擂蕾	儡累{~计}馁垒	累劳{~类}泪内																																													
ts	追锥	□{贼}	嘴	最罪缀赘坠醉																																													
tsʰ	吹炊崔催摧	垂捶槌锤		翠碎粹脆瘁悴																																													
s		随隋谁	水髓	岁税睡瑞絮{棉∽}碎																																													
z				锐																																													
k	归龟规闺圭		鬼诡轨	贵柜跪桂瑰癸																																													
kʰ	亏盔魁窥	奎逵葵		溃愧																																													
x	灰恢挥辉徽	回茴蛔	悔毁	会烩绘汇慧惠贿秽讳晦诲卉																																													
Ø	威巍煨{∽饭}	为{作∽}危微围违桅唯惟维伪	伟苇纬委诿尾{文；∽随}萎	为畏喂胃谓猥卫位魏未味																																													
#ɑo																																																	
调\n声	阴 平	阳 平	上 声	去  声																																													
p	包胞苞		饱保堡{碉~}宝	抱报鲍刨{~子}豹暴爆曝																																													
pʰ	抛	袍刨{~坑}	跑	炮泡																																													
m		毛矛茅锚	卯铆	冒帽瑁貌																																													
t	刀		倒{打∽}岛捣祷	到道稻悼盗蹈倒{~水}																																													
tʰ	滔掏叨	桃逃陶淘萄	讨	套导																																													
n	捞	劳牢痨涝	老姥脑恼	闹																																													
ts	遭糟召招昭朝{今∽}		早找爪沼澡蚤枣	照召兆赵诏罩灶皂																																													
tsʰ	超操抄钞	曹巢朝{∽代}潮嘲	吵炒草	造燥躁噪																																													
s	烧稍梢捎搔骚臊	韶	少{多~}扫嫂	少{~年}哨邵绍扫{~帚}肇 稍{猪食：∽水}																																													
z		饶娆	绕挠扰																																														
k	高糕膏羔		搞稿镐	告窖觉{白；睡了一~}																																													
kʰ	尻敲{白}		考烤拷	靠铐犒																																													
ŋ	熬{~锅肉}	熬{∽药}	咬{白}袄	奥澳傲																																													
x	蒿薅	豪壕毫嚎号{哭~}	好{∽坏}	好{爱∽}号{∽码浩}耗																																													
